,Concept_ID,mrj,cy
0,Auge::N,сӹнзӓ,llygad
1,Ohr::N,пӹлӹш,clust
2,Nase::N,нер,trwyn
3,Mund::N,ышма,ceg
4,Zahn::N,пӱ,dant
5,Zunge::N,йӹлмӹ,tafod
6,Lippe::N,тӹрвӹ,gwefus
7,Wange::N,шӹргӹ,boch
8,Gesicht::N,лицӓ,wyneb
9,Stirn::N,лепкӓ,talcen
10,Haar::N,ӱп,blew
11,Schnurrbart::N,öрш,mwstas
12,Bart::N,пандаш,barf
13,Kinn::N,онгылаш,gên
14,Kiefer[Anatomie]::N,пӱ арата,gên
15,Kehle::N,логер,gwddf
16,Hals::N,шӱ,gwddf
17,Genick::N,ланга,gwar
18,Genick::N,ланга,gwegil
19,Kopf::N,вуй,pen
20,Rücken::N,туп,cefn
21,Bauch::N,мӹшкӹр,bol
22,Nabel::N,кӹлӹмдӹ,bogail
23,Busen::N,цӹзӹ,bron
24,Brust::N,мел,brest
25,Schulter::N,ӹнгӹжӓ,ysgwydd
26,Arm::N,кид,braich
27,Ellenbogen::N,кӹнервуй,penelin
28,Hand::N,лапа,llaw
29,Handfläche::N,кид лапа,palf
30,Finger::N,парня,bys
31,Fingernagel::N,кӹч,ewin
32,Nagel[Anatomie]::N,кӹч,ewin
33,Zeh::N,парня,bys troed
34,Fuß::N,ял лапа,troed
35,Ferse::N,ялгавал,sawdl
36,Ferse::N,ял кавал,sawdl
37,Knie::N,пылвуй,glin
38,Oberschenkel::N,ӓрдӹ,clun
39,Bein::N,ял,coes
40,Körper::N,монгыр,corff
41,Haut::N,кавашты,croen
42,Blut::N,вӹр,gwaed
43,Ader::N,вӹршӓр,gwythïen
44,Sehne::N,кукшышӱн,gewyn
45,Knochen::N,лу,asgwrn
46,Gehirn::N,вим,ymennydd
47,Herz::N,шӱм,calon
48,Magen::N,шӱм,cylla
49,Magen::N,шӱм,stumog
50,Leber::N,мокш,iau
51,Atem::N,шӱлӹш,anadl
52,Hunger::N,шужымаш,newyn
53,Träne::N,сӹнзӓвӹд,deigryn
54,Geschmack::N,тот,cyflas
55,Geruch::N,пыш,aroglau
56,Schlaf::N,ом,cwsg
57,Traum::N,ом,breuddwyd
58,Himmel::N,пӹлгом,awyr
59,Sonne::N,кечӹ,haul
60,Mond::N,тӹлзӹ,lleuad
61,Stern::N,шӹдӹр,seren
62,Luft::N,юж,awyr
63,Luft::N,воздух,awyr
64,Wind::N,мардеж,gwynt
65,Welle::N,ко,ton
66,Welle::N,коэ,ton
67,Wasser::N,вӹд,dŵr
68,Stein::N,кӱ,carreg
69,Boden::N,рок,llawr
70,Erde::N,свет,pridd
71,Staub::N,пырак,llwch
72,Rauch::N,шӹкш,mwg
73,Funke::N,ип,gwreichioni
74,Funke::N,тылип,gwreichioni
75,Feuer::N,тыл,tân
76,Licht::N,соты,golau
77,Licht::N,валгыды,golau
78,Schatten::N,ӹмӹл,cysgod
79,Wetter::N,игечӹ,tywydd
80,Nebel::N,тӹтӹрӓ,niwl
81,Wolke::N,пӹл,cwmwl
82,Regen::N,юр,glaw
83,Schnee::N,лым,ôd
84,Schnee::N,лым,eira
85,Eis::N,и,iâ
86,Frost::N,ӱштӹ,rhew
87,Kälte::N,ӱштӹ,oerni
88,Kälte::N,ӱштӹ,annwyd
89,Hitze::N,шокшы,gwres
90,Raureif::N,пöрш,barrug
91,Regenbogen::N,шанавӹл,enfys
92,Donner::N,хӹдӹртӹш,tyrfau
93,Strömung::N,йогы,cerrynt
94,Tropfen::N,капльы,dafn
95,Tropfen::N,капльы,diferyn
96,Tropfen::N,капльык,dafn
97,Tropfen::N,капльык,diferyn
98,Schaum::N,шонг,ewyn
99,Schmutz::N,лявӹрӓ,baw
100,Schmutz::N,лявӹрӓ,budreddi
101,See::N,йӓр,llyn
102,Sumpf::N,лӱкӹ,cors
103,Moor::N,куп,rhos
104,Wiese::N,алык,dôl
105,Wald::N,шӹргӹ,coedwig
106,Hügel::N,пӱгӹрикӓ,bryn
107,Anhöhe::N,кӱкшикӓ,bryn
108,Berg::N,кырык,mynydd
109,Gipfel::N,неркӓ,copa
110,Höhle::N,ы́раж,ogof
111,Abhang::N,полом,llethr
112,Quelle::N,вӹдсӹнзӓ,tarddiad
113,Quelle::N,вӹдсӹнзӓ,ffynhonnell
114,Bach::N,ӓнгӹр,nant
115,Bach::N,ӓнгӹр,afonig
116,Bach::N,ӓнгӹр,cornant
117,Fluss::N,вӹд,afon
118,Ufer::N,сир,glan
119,Küste::N,сир,traeth
120,Küste::N,сир,arfordir
121,Festland::N,мӱлӓндӹ,tir
122,Meer::N,тангыж,môr
123,Bucht::N,вӹдъял,bae
124,Insel::N,острок,ynys
125,Blume::N,пеледӹш,blodyn
126,Gras::N,шуды,glaswellt
127,Wurzel::N,важ,gwreiddyn
128,Baum::N,пушӓнгӹ,coeden
129,Stamm::N,пушӓнгӹ тӹнг,colfen
130,Stamm::N,пушӓнгӹ тӹнг,boncyff
131,Rinde::N,каргыж,rhisgl
132,Ast::N,укш,cangen
133,Zweig::N,укш,cainc
134,Zweig::N,укш,cangen
135,Blatt::N,листӹ,deilen
136,Birke::N,куги,bedwen
137,Kiefer[Baum]::N,йӓктӹ,pinwydden
138,Weide[Baum]::N,уа,helygen
139,Tanne::N,кож,ffynidwydden
140,Horn::N,шур,corn
141,Feder::N,пын,plufyn
142,Fell::N,кавашты,ffwr
143,Flügel::N,шылдыр,adain
144,Klaue::N,кӹч,crafanc
145,Kralle::N,лапа,ewin
146,Schwanz::N,пач,cwt
147,Schwanz::N,пач,cynffon
148,Ei::N,мыны,wy
149,Nest::N,пӹжӓш,nyth
150,Bau::N,ыраж,ffau
151,Tier::N,во́льык,anifail
152,Herde::N,кӹтö,praidd
153,Herde::N,кӹтö,diadell
154,Kuh::N,ышкал,buwch
155,Bulle::N,ӱшкӱж,tarw
156,Pferd::N,имни,ceffyl
157,Schaf::N,шарык,dafad
158,Schwein::N,сасна,mochyn
159,Hund::N,пи,ci
160,Katze::N,коти,cath
161,Bär::N,мöскӓ,arth
162,Eichhörnchen::N,ур,gwiwer
163,Elch::N,шарды,elc
164,Fuchs::N,рӹвӹж,cadno
165,Hase::N,морен,ysgyfarnog
166,Maus::N,каля,llygoden
167,Wolf::N,пирӹ,blaidd
168,Vogel::N,кек,aderyn
169,Schwarm::N,цуца,haid
170,Huhn::N,цӹвӹ,cyw
171,Hahn::N,ӓптӓн,ceiliog
172,Gans::N,комбы,gŵydd
173,Adler::N,кучкыж,eryr
174,Ente::N,лыды,hwyad
175,Eule::N,тымана,tylluan
176,Kranich::N,тырня,garan
177,Kranich::N,тырня,crychydd
178,Kranich::N,тыртня,garan
179,Kranich::N,тыртня,crychydd
180,Krähe::N,лудыгарак,brân
181,Kuckuck::N,куку,cog
182,Kuckuck::N,куку,cwcw
183,Schwan::N,йӱксӹ,alarch
184,Fisch::N,кол,pysgod
185,Barsch::N,алангы,draenog
186,Hecht::N,нуж,penhwyad
187,Hecht::N,нужгол,penhwyad
188,Schlange[Tier]::N,кӹшкы,neidr
189,Wurm::N,шукш,abwydyn
190,Wurm::N,шукш,pryf genwair
191,Spinne::N,ӓнгӹремшӹ,cor
192,Spinne::N,ӓнгӹремшӹ,pryf copyn
193,Ameise::N,кыткы,morgrugyn
194,Laus::N,ти,lleuen
195,Mücke::N,кужнер,gwybedyn
196,Mücke::N,кужынер,gwybedyn
197,Fliege::N,шӹнгӓ,cleren
198,Schmetterling::N,лӹпӹ,glöyn byw
199,Schmetterling::N,лӹпӹ,iâr fach yr haf
200,Beere::N,мöр,aeronen
201,Apfel::N,олма,afal
202,Pilz::N,понгы,madarch
203,Zwiebel::N,охыра,nionyn
204,Zwiebel::N,охыра,winwnsyn
205,Saat::N,нӱшмӹ,had
206,Saat::N,нӱшмӱ,had
207,Korn::N,пӹрцӹ,grawn
208,Heu::N,шуды,gwair
209,Schale::N,аваха,croen
210,Schale::N,аваха,plisgyn
211,Schale::N,карлангы,croen
212,Schale::N,карлангы,plisgyn
213,Grube::N,йӓм,pwll
214,Grube::N,йӓм,pydew
215,Falle::N,лӱдӹ,magl
216,Falle::N,лӱдӹш,magl
217,Schlinge::N,онгы,cwlwm rhedeg
218,Spur::N,кишӓ,ôl
219,Asche::N,ломых,lludw
220,Asche::N,ломпыж,lludw
221,Dreck::N,лявӹрӓ,baw
222,Dreck::N,лявӹрӓ,budreddi
223,Eisen::N,кӹртни,haearn
224,Gold::N,шöртни,aur
225,Gold::N,шöртньӹ,aur
226,Silber::N,ши,arian
227,Kohle::N,шӱ,glo
228,Glas::N,охоница,gwydr
229,Lehm::N,шун,clai
230,Sand::N,ошма,tywod
231,Mensch::N,эдем,dyn
232,Mann::N,пӱэргӹ,dyn
233,Frau::N,ӹдӹрӓмӓш,merch
234,Frau::N,ӹдӹрӓмӓш,gwraig
235,Kind::N,ӓзӓ,plentyn
236,Kind::N,шачшы,plentyn
237,Junge::N,рвезӹ,hogyn
238,Junge::N,рвезӹ,bachgen
239,Junge::N,ӹрвезӹ,hogyn
240,Junge::N,ӹрвезӹ,bachgen
241,Mädchen::N,ӹдӹрӓш,merch
242,Mädchen::N,ӹдӹрӓш,geneth
243,Familie::N,йиш,teulu
244,Familie::N,йиш,tylwyth
245,Familie::N,семня,teulu
246,Familie::N,семня,tylwyth
247,Großvater::N,тьоти,taid
248,Großvater::N,тьоти,tad-cu
249,Großmutter::N,папа,nain
250,Großmutter::N,папа,mam-gu
251,Eltern::N,ӓтя-ӓвӓ,rhieni
252,Vater::N,ӓтя,tad
253,Mutter::N,ӓвӓ,mam
254,Sohn::N,эргӹ,mab
255,Tochter::N,ӹдӹр,merch
256,Bruder::N,ӹза,brawd
257,Schwester::N,ӓкӓ,chwaer
258,Onkel::N,кугуза,ewythr
259,Tante::N,куака,modryb
260,Ehemann::N,мары,gŵr
261,Ehefrau::N,вӓтӹ,gwraig
262,Freude::N,ӹвӹртӹмӓш,gorfoledd
263,Gelächter::N,ваштылмаш,chwerthin
264,Glück::N,пиӓл,hapusrwydd
265,Kummer::N,ясы,galar
266,Wunsch::N,охата,dymuniad
267,Wunsch::N,шанымаш,dymuniad
268,Lust::N,шӓр,chwant
269,Lust::N,охата,chwant
270,Lust::N,шанымаш,chwant
271,Geist::N,тух,ysbryd
272,Gedanke::N,шанымаш,meddwl
273,Gedächtnis::N,ӓш,cof
274,Verstand::N,ыш,meddwl
275,Sinn::N,кын,ystyr
276,Grund::N,вир,achos
277,Grund::N,вир,rheswm
278,Wahrheit::N,тöр,gwir
279,Wahrheit::N,тöр,gwirionedd
280,Gespräch::N,хытырымаш,sgwrs
281,Märchen::N,ямак,chwedl werin
282,Erzählung::N,шайыштмаш,stori
283,Nachricht::N,увертӓрӹмӓш,neges
284,Neuigkeit::N,увер,newydd
285,Name::N,лӹм,enw
286,Rätsel::N,тышты,pos
287,Rede::N,шая,araith
288,Rede::N,шамак,araith
289,Sprache::N,йӹлмӹ,iaith
290,Stimme::N,юк,llais
291,Wort::N,шамак,gair
292,Zeichen::N,палӹ,arwydd
293,Ruf::N,сӹгӹрӹмӓш,galwad
294,Lärm::N,юкланымащ,trwst
295,Laut::N,юк,sain
296,Ton::N,юк,tôn
297,Lied::N,мыры,cân
298,Ruhe::N,тыр,tawelwch
299,Leute::N,эдемвлӓ,pobl
300,Volk::N,халык,pobl
301,Arbeit::N,пӓшӓ,gwaith
302,Gast::N,хына,gwestai
303,Geschenk::N,подарка,rhodd
304,Geschenk::N,подарка,anrheg
305,Spiel::N,мадыш,chwarae
306,Gesellschaft::N,йӓл,cwmni
307,Gesellschaft::N,йӓлвлӓ,cwmni
308,Hilfe::N,палшык,cymorth
309,Freund::N,тӓнг,cyfaill
310,Kamerad::N,тос,cydymaith
311,Angelegenheit::N,дела,pwnc
312,Angelegenheit::N,йела,pwnc
313,Angelegenheit::N,йыла,pwnc
314,Angelegenheit::N,пӓшӓ,pwnc
315,Anzahl::N,шот,cyfrif
316,Art::N,цӹре,bath
317,Stück::N,лаштык,darn
318,Teil::N,пай,rhan
319,Teil::N,часть,rhan
320,Hälfte::N,пел,hanner
321,Kreis::N,тӹртӹш,cylch
322,Kreuz::N,крестӹ,croes
323,Abstand::N,ло,bwlch
324,Abstand::N,ло,pellter
325,Entfernung::N,ло,pellter
326,Gegend::N,вӓр,cylch
327,Platz::N,вӓр,lle
328,Ort::N,вӓр,lle
329,Seite::N,öрдӹж,ochr
330,Mitte::N,ло,canol
331,Gegenstand::N,хӓдӹр,eitem
332,Sache::N,хӓдӹр,peth
333,Rand::N,шöр,cwr
334,Rand::N,шöр,ymyl
335,Kante::N,шöр,min
336,Kante::N,шöр,ymyl
337,Ecke::N,лык,cornel
338,Spitze::N,вуй,blaen
339,Ende::N,вуй,pen
340,Ende::N,мычаш,pen
341,Loch::N,ыраж,twll
342,Winkel::N,лык,congl
343,Muster::N,тӹрлец,patrwm
344,Größe::N,кӱкшӹц,maint
345,Größe::N,кӱкшӹц,maintioli
346,Länge::N,кыт,hyd
347,Höhe::N,кӱкшӹц,uchder
348,Gewicht::N,нелӹц,pwysau
349,Menge::N,шот,swm
350,Menge::N,шот,maint
351,Haufen::N,ара,pentwr
352,Reihe::N,ряд,rhes
353,Boot::N,пыш,cwch
