,Concept_ID,ga,sq
0,Auge::N,súil,sy
1,Ohr::N,cluas,vesh
2,Nase::N,soc,hundë
3,Mund::N,béal,gojë
4,Zahn::N,fiacail,dhëmb
5,Zunge::N,teanga,gjuhë
6,Lippe::N,liopa,buzë
7,Wange::N,grua,faqe
8,Wange::N,grua,mollëz
9,Wange::N,leiceann,faqe
10,Wange::N,leiceann,mollëz
11,Gesicht::N,éadan,fytyrë
12,Gesicht::N,aghaidh,fytyrë
13,Stirn::N,baithis,ballë
14,Stirn::N,clár éadain,ballë
15,Haar::N,gruaig,flokë
16,Schnurrbart::N,croiméal,mustaqe
17,Bart::N,féasóg,mjekër
18,Kinn::N,smig,mjekër
19,Kiefer[Anatomie]::N,giall,nofull
20,Kehle::N,scornach,fyt
21,Kehle::N,scornach,grykë
22,Hals::N,muinéal,qafë
23,Genick::N,baic,arrëz
24,Kopf::N,ceann,kokë
25,Rücken::N,droim,kurriz
26,Bauch::N,bolg,bark
27,Nabel::N,imleacán,kërthizë
28,Busen::N,cíoch,gji
29,Brust::N,brollach,gjoks
30,Brust::N,brollach,kraharor
31,Schulter::N,gualainn,sup
32,Schulter::N,gualainn,krah
33,Arm::N,lámh,krah
34,Ellenbogen::N,uillinn,bërryl
35,Hand::N,lámh,dorë
36,Handfläche::N,bos,pëllëmbë
37,Finger::N,méar,gisht
38,Fingernagel::N,ionga,thua
39,Nagel[Anatomie]::N,ionga,thua
40,Zeh::N,ladhar,gisht i këmbës
41,Fuß::N,cos,këmbë
42,Fuß::N,troigh,këmbë
43,Ferse::N,sáil,thembër
44,Knie::N,glúin,gju
45,Oberschenkel::N,ceathrú,kofshë
46,Bein::N,cos,këmbë
47,Körper::N,corp,trup
48,Körper::N,colainn,trup
49,Haut::N,cneas,lëkurë
50,Haut::N,craiceann,lëkurë
51,Blut::N,fuil,gjak
52,Sehne::N,teannán,dell
53,Sehne::N,féitheog,dell
54,Knochen::N,cnámh,asht
55,Knochen::N,cnámh,kockë
56,Gehirn::N,inchinn,tru
57,Herz::N,croí,zemër
58,Magen::N,bolg,stomak
59,Magen::N,goile,stomak
60,Leber::N,ae,mëlçi
61,Atem::N,anáil,frymë
62,Hunger::N,ocras,uri
63,Träne::N,deoir,lot
64,Geschmack::N,blas,shije
65,Geruch::N,boladh,erë
66,Schlaf::N,suan,gjumë
67,Schlaf::N,codladh,gjumë
68,Traum::N,taibhreamh,ëndërr
69,Himmel::N,spéir,qiell
70,Sonne::N,grian,diell
71,Mond::N,ré,hënë
72,Mond::N,gealach,hënë
73,Stern::N,rinn,yll
74,Stern::N,réalta,yll
75,Luft::N,aer,ajër
76,Wind::N,gaoth,erë
77,Welle::N,tonn,valë
78,Welle::N,tonn,dallgë
79,Wasser::N,uisce,ujë
80,Stein::N,cloch,gur
81,Boden::N,talamh,tokë
82,Boden::N,talamh,truall
83,Erde::N,cré,dhe
84,Erde::N,cré,baltë
85,Erde::N,ithir,dhe
86,Erde::N,ithir,baltë
87,Staub::N,dusta,pluhur
88,Staub::N,deannach,pluhur
89,Rauch::N,toit,tym
90,Rauch::N,deatach,tym
91,Funke::N,drithle,xixë
92,Funke::N,drithle,shkëndijë
93,Feuer::N,tine,zjarr
94,Licht::N,solas,dritë
95,Schatten::N,scáth,hije
96,Wetter::N,aimsir,mot
97,Nebel::N,ceo,mjegull
98,Wolke::N,néal,re
99,Wolke::N,scamall,re
100,Regen::N,báisteach,shi
101,Regen::N,fearthainn,shi
102,Schnee::N,sneachta,borë
103,Eis::N,oighear,akull
104,Frost::N,sioc,ngricë
105,Kälte::N,fuacht,të ftohtë
106,Hitze::N,teas,vapë
107,Hitze::N,teas,nxehtësi
108,Hitze::N,teocht,vapë
109,Hitze::N,teocht,nxehtësi
110,Raureif::N,sioc bán,cikmë
111,Regenbogen::N,stua ceatha,ylber
112,Regenbogen::N,bogha báistí,ylber
113,Donner::N,toirneach,gjëmim
114,Donner::N,toirneach,bubullimë
115,Strömung::N,sruth,rrymë
116,Tropfen::N,deoir,pikë
117,Schaum::N,cúr,shkumë
118,Schmutz::N,salachar,baltë
119,See::N,loch,liqen
120,Sumpf::N,portach,batak
121,Moor::N,caorán,kënetë
122,Moor::N,móinteán,kënetë
123,Wiese::N,cluain,livadh
124,Wiese::N,móinéar,livadh
125,Wald::N,coill,pyll
126,Wald::N,foraois,pyll
127,Hügel::N,ard,kodër
128,Anhöhe::N,ard,bregore
129,Anhöhe::N,ardán,bregore
130,Berg::N,sliabh,mal
131,Gipfel::N,barr,kulm
132,Gipfel::N,mullach,kulm
133,Höhle::N,uaimh,shpellë
134,Höhle::N,uaimh,zgafelle
135,Höhle::N,pluais,shpellë
136,Höhle::N,pluais,zgafelle
137,Abhang::N,fána,shpat
138,Abhang::N,fána,tatëpjetë
139,Quelle::N,foinse,krua
140,Quelle::N,foinse,burim
141,Bach::N,sruthán,virua
142,Fluss::N,abhainn,lumë
143,Ufer::N,bruach,breg
144,Küste::N,cósta,anëdet
145,Küste::N,cósta,bregdet
146,Küste::N,cladach,anëdet
147,Küste::N,cladach,bregdet
148,Festland::N,míntír,kontinent
149,Meer::N,muir,det
150,Meer::N,farraige,det
151,Bucht::N,bá,gji deti
152,Bucht::N,cuan,gji deti
153,Insel::N,inis,ishull
154,Insel::N,inis,ujdhesë
155,Insel::N,oileán,ishull
156,Insel::N,oileán,ujdhesë
157,Blume::N,bláth,lule
158,Gras::N,féar,bar
159,Wurzel::N,rúta,rrënjë
160,Wurzel::N,fréamh,rrënjë
161,Baum::N,crann,pemë
162,Stamm::N,stoc,trung
163,Stamm::N,tamhan,trung
164,Rinde::N,coirt,lëvore
165,Rinde::N,craiceann,lëvore
166,Ast::N,géag,degë
167,Zweig::N,géag,bisk
168,Zweig::N,craobh,bisk
169,Blatt::N,duille,fletë
170,Blatt::N,duille,gjethe
171,Blatt::N,duilleog,fletë
172,Blatt::N,duilleog,gjethe
173,Birke::N,beith,mështekën
174,Birke::N,crann beithe,mështekën
175,Kiefer[Baum]::N,péine,pishë
176,Weide[Baum]::N,saileach,shelg
177,Tanne::N,giúis,bredh
178,Horn::N,adharc,bri
179,Feder::N,cleite,pupël
180,Fell::N,clúmh,lëkurë
181,Flügel::N,eite,krah
182,Flügel::N,eite,fletë
183,Flügel::N,sciathán,krah
184,Flügel::N,sciathán,fletë
185,Klaue::N,crúb,kthetër
186,Klaue::N,crobh,kthetër
187,Kralle::N,crobh,thua
188,Kralle::N,crobh,kthetër
189,Schwanz::N,eireaball,bisht
190,Ei::N,ubh,vezë
191,Nest::N,nead,fole
192,Bau::N,brocais,strofkë
193,Tier::N,ainmhí,kafshë
194,Tier::N,beithíoch,kafshë
195,Herde::N,tréad,kope
196,Herde::N,tréad,grigjë
197,Kuh::N,bó,lopë
198,Bulle::N,tarbh,dem
199,Pferd::N,each,kalë
200,Pferd::N,capall,kalë
201,Schaf::N,caora,dele
202,Schwein::N,muc,derr
203,Hund::N,madra,qen
204,Katze::N,cat,mace
205,Bär::N,béar,ari
206,Eichhörnchen::N,iora,ketër
207,Elch::N,eilc,dre brilopatë
208,Fuchs::N,sionnach,dhelpër
209,Fuchs::N,madra rua,dhelpër
210,Hase::N,giorria,lepur
211,Maus::N,luch,mi
212,Wolf::N,mac tíre,ujk
213,Vogel::N,éan,zog
214,Vogel::N,éan,shpend
215,Schwarm::N,saithe,luzmë
216,Huhn::N,cearc,pulë
217,Hahn::N,coileach,gjel
218,Hahn::N,coileach,këndes
219,Gans::N,gé,patë
220,Adler::N,iolar,shqiponjë
221,Ente::N,lacha,rosë
