,Concept_ID,os,av
1180,hochheben::V,уæлæмæ хæцын,борхалъизабизе
1181,hochheben::V,уæлæмæ хæцын,борхизе
1182,ergreifen::V,фӕлӕбурын,кквезе
1183,halten::V,дарын,кквезе
1184,drücken::V,æлхъивын,къазе
1185,drücken::V,æлхъивын,къанцӏу́зе
1186,drücken::V,æлхъивын,къвал ба́зе
1187,drücken::V,хæцын,къазе
1188,drücken::V,хæцын,къанцӏу́зе
1189,drücken::V,хæцын,къвал ба́зе
1190,schieben::V,схойын,хъилдизе
1191,kratzen::V,хафын,хачазе
1192,lecken::V,сдæрын,чӏикӏизе
1193,beißen::V,хæцын,хӏанчӏизе
1194,beißen::V,хæцын,хӏанчӏизабизе
1195,abreißen::V,ратонын,тӏезе
1196,abreißen::V,ратонын,тӏезабизе
1197,abschneiden::V,ралыг кӕнын,къотӏизе
1198,binden::V,бабӕттын,бухьине
1199,stecken::V,ныссадзын,къазабизе
1200,brechen::V,асæттын,бекизе
1201,brechen::V,басæттын,бекизе
1202,brechen::V,ныссæттын,бекизе
1203,klopfen::V,хойын,дванкезе
1204,klopfen::V,гуыпп-гуыпп кæнын,дванкезе
1205,klopfen::V,къуырцц-къуырцц кæнын,дванкезе
1206,hauen::V,цӕвын,базе
1207,hauen::V,нӕмын,базе
1208,kleben::V,ныхасын,бацӏцӏине
1209,kleben::V,æндадзын,бацӏцӏине
1210,reiben::V,сӕрфын,хачазе
1211,reiben::V,хафын,хачазе
1212,streichen::V,байсæрдын,бахине
1213,streichen::V,байсæрдын,жужазе
1214,streichen::V,сахорын,бахине
1215,streichen::V,сахорын,жужазе
1216,schleifen::V,ссын,лъухьизе
1217,schleifen::V,цыргъ кӕнын,лъухьизе
1218,schneiden::V,кӕрдын,къотӏизе
1219,rütteln::V,æнкъусын,багъа-бачаризабизе
1220,schütteln::V,уигъын,кӏобокӏизе
1221,schwenken::V,тилын,гьесадизе
1222,schwenken::V,тилын,хьвагӏезабизе
1223,schwenken::V,уигъын,гьесадизе
1224,schwenken::V,уигъын,хьвагӏезабизе
1225,schütten::V,ныккӕнын,тӏезе
1226,füllen::V,байдзаг кæнын,цӏезабизе
1227,einwickeln::V,батухын,жемизе
1228,tragen::V,хӕссын,баччизе
1229,schleppen::V,ласын,бехъерхъизе
1230,ziehen::V,ласын,цӏазе
1231,aufbewahren::V,æвæрын,цӏунизе
1232,werfen::V,зыввытт кӕнын,рехизе
1233,fangen::V,ӕрцахсын,кквезе
1234,packen::V,рацахсын,кквезе
1235,verstecken::V,æмбæхсын,бахчизе
1236,verstecken::V,нымæхсын,бахчизе
1237,teilen::V,уарын,бикьизе
1238,schicken::V,ӕрвитын,битӏизе
1239,bringen::V,æрхæссын,баччизе
1240,bringen::V,æрбахæссын,баччизе
1241,hinzufügen::V,ӕфтауын,жубазе
1242,bekommen::V,ссарын,щвезе
1243,bekommen::V,сфæрæз кæнын,щвезе
1244,bekommen::V,самал кæнын,щвезе
1245,erhalten::V,райсын,щвезе
1246,erhalten::V,райсын,босизе
1247,nehmen::V,райсын,босизе
1248,wählen::V,равзарын,бищизе
1249,auswählen::V,авзарын,тӏасабищизе
1250,bewahren::V,бавæрын,цӏунизе
1251,bewahren::V,нывæрын,цӏунизе
1252,behindern::V,цæлхдур æвæрын,квекӏен гьабизе
1253,behindern::V,ныхдур æвæрын,квекӏен гьабизе
1254,behindern::V,къуылымпы кæнын,квекӏен гьабизе
1255,behindern::V,хъыг дарын,квекӏен гьабизе
1256,verderben::V,фесафын,хвезабизе
1257,beschädigen::V,халын,галгъазабизе
1258,zerbrechen::V,асӕттын,щущазабизе
1259,zerreißen::V,аскъуынын,бихъизе
1260,zerstören::V,фехалын,биххизабизе
1261,verbrennen::V,басудзын,бухӏизе
1262,geben::V,дӕттын,кьезе
1263,reichen::V,адæттын,кьезе
1264,schenken::V,лæвар кæнын,кьезе
1265,versprechen::V,дзырд раттын,назру гьабизе
1266,versprechen::V,зӕрдӕ бавӕрын,назру гьабизе
1267,wünschen::V,зæрдæ зæгъы,бокьизе
1268,loben::V,раппӕлын,беццизе
1269,loben::V,раппӕлын,бецца-бекъизе
1270,küssen::V,пъа кæнын,баизе
1271,küssen::V,ба кæнын,баизе
1272,wiegen::V,узын,чӏучӏадизабизе
1273,zudecken::V,бамбӕрзын,тӏадбигъине
1274,wecken::V,райхъал кӕнын,бигьинабизе
1275,zeigen::V,амонын,бихьизабизе
1276,führen::V,кӕнын,бачине
1277,führen::V,фæкæнын,бачине
1278,lehren::V,ахуыр кæнын,малъизе
1279,lehren::V,ахуыр кæнын,цӏализабизе
1280,unterrichten::V,ахуыр кæнын,цӏализабизе
1281,aufziehen::V,хъомыл кӕнын,гӏезабизе
1282,leiten::V,разамынд дӕттын,нухмалъи гьабизе
1283,antreiben::V,тагъд кæнын,гӏедегӏизабизе
1284,antreiben::V,рог кæнын,гӏедегӏизабизе
1285,lassen::V,кæнын,
1286,einladen::V,ӕрхонын,ахӏизе
