,Concept_ID,hy,it
0,Auge::N,աչք,occhio
1,Ohr::N,ականջ,orecchio
2,Nase::N,քիթ,naso
3,Mund::N,բերան,bocca
4,Zahn::N,ատամ,dente
5,Zunge::N,լեզու,lingua
6,Lippe::N,շրթունք,labbro
7,Wange::N,այտ,guancia
8,Wange::N,թուշ,guancia
9,Gesicht::N,դեմք,viso
10,Gesicht::N,դեմք,faccia
11,Stirn::N,ճակատ,fronte
12,Haar::N,մազ,capello
13,Schnurrbart::N,բեղ,baffi
14,Schnurrbart::N,բեղ,mustacchi
15,Bart::N,մորուք,barba
16,Kinn::N,կզակ,mento
17,Kiefer[Anatomie]::N,ծնոտ,mascella
18,Kehle::N,կոկորդ,gola
19,Hals::N,վիզ,collo
20,Hals::N,պարանոց,collo
21,Genick::N,ծոծրակ,nuca
22,Kopf::N,գլուխ,capo
23,Kopf::N,գլուխ,testa
24,Rücken::N,մեջք,dorso
25,Rücken::N,մեջք,schiena
26,Bauch::N,փոր,ventre
27,Bauch::N,որովայն,ventre
28,Nabel::N,պորտ,ombelico
29,Busen::N,ծոց,seno
30,Brust::N,կուրծք,petto
31,Schulter::N,ուս,spalla
32,Arm::N,թեւ,braccio
33,Arm::N,բազուկ,braccio
34,Ellenbogen::N,արմունկ,gomito
35,Hand::N,ձեռք,mano
36,Handfläche::N,ափ,palma
37,Finger::N,մատ,dito
38,Fingernagel::N,եղունգ,unghia
39,Nagel[Anatomie]::N,եղունգ,unghia
40,Zeh::N,ոտքի մատ,dito del piede
41,Fuß::N,ոտք,piede
42,Ferse::N,գարշապար,tallone
43,Ferse::N,գարշապար,calcagno
44,Knie::N,ծունկ,ginocchio
45,Oberschenkel::N,ազդր,fèmore
46,Bein::N,ոտք,gamba
47,Körper::N,մարմին,corpo
48,Haut::N,մաշկ,pelle
49,Blut::N,արյուն,sangue
50,Ader::N,երակ,vena
51,Sehne::N,ջիղ,tèndine
52,Sehne::N,ձգտան,tèndine
53,Knochen::N,ոսկոր,osso
54,Gehirn::N,խելք,cervello
55,Herz::N,սիրտ,cuore
56,Magen::N,ստամոքս,stòmaco
57,Leber::N,լյարդ,fegato
58,Atem::N,շունչ,fiato
59,Atem::N,շունչ,respiro
60,Hunger::N,քաղց,fame
61,Träne::N,արտասուք,làcrima
62,Geschmack::N,համ,gusto
63,Geschmack::N,համ,sapore
64,Geschmack::N,բուրմունք,gusto
65,Geschmack::N,բուրմունք,sapore
66,Geruch::N,հոտ,odore
67,Geruch::N,բուրում,odore
68,Schlaf::N,քուն,sonno
69,Traum::N,երազ,sogno
70,Himmel::N,երկինք,cielo
71,Sonne::N,արեւ,sole
72,Mond::N,լուսին,luna
73,Stern::N,աստղ,stella
74,Luft::N,օդ,aria
75,Wind::N,քամի,vento
76,Welle::N,ալիք,onda
77,Wasser::N,ջուր,acqua
78,Stein::N,քար,sasso
79,Stein::N,քար,pietra
80,Boden::N,գետին,suolo
81,Boden::N,գետին,terreno
82,Erde::N,հող,terra
83,Staub::N,փոշի,polvere
84,Rauch::N,ծուխ,fumo
85,Funke::N,կայծ,scintilla
86,Feuer::N,կրակ,fuoco
87,Feuer::N,հրդեհ,fuoco
88,Licht::N,լույս,luce
89,Schatten::N,ստվեր,ombra
90,Wetter::N,եղանակ,tempo
91,Nebel::N,մեգ,nebbia
92,Nebel::N,մառախուղ,nebbia
93,Wolke::N,ամպ,nube
94,Wolke::N,ամպ,nùvola
95,Regen::N,անձրև,pioggia
96,Schnee::N,ձյուն,neve
97,Eis::N,սառույց,ghiaccio
