,Concept_ID,pt,tt
0,Auge::N,olho,күз
1,Ohr::N,orelha,колак
2,Nase::N,nariz,борын
3,Mund::N,boca,авыз
4,Mund::N,boca,тамак
5,Zahn::N,dente,теш
6,Zunge::N,língua,тел
7,Lippe::N,lábio,ирен
8,Wange::N,face,яңак
9,Gesicht::N,cara,йөз
10,Gesicht::N,rosto,йөз
11,Stirn::N,testa,маңгай
12,Haar::N,cabelo,чәч
13,Schnurrbart::N,bigode,мыек
14,Bart::N,barba,сакал
15,Kinn::N,queixo,ияк
16,Kiefer[Anatomie]::N,maxila,казналык
17,Kiefer[Anatomie]::N,mandíbula,казналык
18,Kehle::N,garganta,тамак
19,Hals::N,colo,бугаз
20,Hals::N,pescoço,бугаз
21,Genick::N,nuca,җилкә
22,Kopf::N,cabeça,баш
23,Rücken::N,dorso,сырт
24,Rücken::N,costas,сырт
25,Bauch::N,ventre,корсак
26,Bauch::N,barriga,корсак
27,Nabel::N,umbigo,кендек
28,Busen::N,seio,түш
29,Brust::N,peito,имчәк
30,Brust::N,peito,күкрәк
31,Schulter::N,ombro,иңбаш
32,Schulter::N,ombro,кулбаш
33,Arm::N,braço,кул
34,Ellenbogen::N,cotovelo,терсәк
35,Hand::N,mão,кул
36,Handfläche::N,palma,уч
37,Handfläche::N,palma da mão,уч
38,Finger::N,dedo,бармак
39,Fingernagel::N,unha,тырнак
40,Nagel[Anatomie]::N,unha,тырнак
41,Zeh::N,dedo do pé,бармак
42,Fuß::N,pé,табан
43,Ferse::N,calcanhar,үкчә
44,Knie::N,joelho,тез
45,Oberschenkel::N,coxa,бот
46,Bein::N,perna,аяк
47,Körper::N,corpo,тән
48,Körper::N,corpo,җисем
49,Haut::N,pele,тире
50,Blut::N,sangue,кан
51,Ader::N,veia,тамыр
52,Sehne::N,tendão,сеңер
53,Knochen::N,osso,сөяк
54,Gehirn::N,cérebro,ми
55,Herz::N,coração,йөрәк
56,Magen::N,estômago,ашказаны
57,Leber::N,fígado,бавыр
58,Atem::N,fôlego,сулыш
59,Hunger::N,fome,ачлык
60,Träne::N,lágrima,яшь
61,Geschmack::N,gosto,тәм
62,Geschmack::N,gosto,зәвык
63,Geruch::N,odor,ис
