,Concept_ID,ab,ca
0,Auge::N,ала,ull
1,Ohr::N,алымҳа,orella
2,Nase::N,аҧынҵа,nas
3,Mund::N,аҧышə,boca
4,Zahn::N,ахаҧыц,dent
5,Zunge::N,абз,llēngua
6,Lippe::N,ақьышə,llavi
7,Wange::N,аӡамҩа,galta
8,Gesicht::N,аҿы,cara
9,Stirn::N,алахь,front
10,Haar::N,ахəыц,cabēll
11,Schnurrbart::N,аҧаҵа,bigoti
12,Bart::N,ажакьа,barba
13,Kinn::N,ацламкəыгə,mentó
14,Kinn::N,ацламкəыгə,barbeta
15,Kiefer[Anatomie]::N,ацламҳəа,queix
16,Kiefer[Anatomie]::N,ацламҳəа,mandíbula
17,Kehle::N,ахəда,gola
18,Kehle::N,ахəда,gorja
19,Hals::N,ахəда,coll
20,Genick::N,ахəдаџьал,nuca
21,Kopf::N,ахы,cap
22,Rücken::N,азқəа,esquena
23,Bauch::N,амгəа,panxa
24,Nabel::N,аҷапан,llombrígol
25,Busen::N,агəыҧҳəы,pit
26,Busen::N,агəыҧҳəы,mama
27,Brust::N,агəышҧы,pit
28,Schulter::N,ажəҩахыр,espatlla
29,Arm::N,амахəар,braç
30,Ellenbogen::N,амашьхəылҵ,colze
31,Hand::N,анапы,mà
32,Handfläche::N,анапсаргəыҵа,palma
33,Finger::N,анацəа,dit
34,Fingernagel::N,анапхыц,ungla
35,Nagel[Anatomie]::N,ашьапхыц,ungla
36,Zeh::N,ашьацəа,dit del peu
37,Fuß::N,ашьапсыргəыҵа,peu
38,Ferse::N,ашьхəа,taló
39,Knie::N,ашьамхы,genoll
40,Oberschenkel::N,ауаҭəа,cuixa
41,Bein::N,ашьапы,cama
42,Körper::N,ацəеижь,cos
43,Haut::N,ацəа,pell
44,Blut::N,ашьа,sang
45,Ader::N,ада,vena
46,Sehne::N,адаш,tendó
47,Knochen::N,абаҩ,os
48,Gehirn::N,ахшлыбаҩ,cervell
49,Gehirn::N,ахшыбаҩ,cervell
50,Herz::N,агəы,cor
51,Magen::N,аца,estómac
52,Magen::N,ацар,estómac
53,Leber::N,агəаҵəа,fetge
54,Atem::N,аҧсыҧлагаҩгара,alè
55,Atem::N,аҧсыҧлагаҩгара,hàlit
56,Hunger::N,амла,fam
57,Hunger::N,амла,gana
58,Träne::N,алабжыш,llàgrima
59,Geschmack::N,агьама,gust
60,Geschmack::N,агьама,sabor
61,Geruch::N,афҩы,olor
62,Schlaf::N,ацəа,son
63,Traum::N,аҧхыӡ,somni
64,Himmel::N,ажəҩан,celm
65,Sonne::N,амра,sol
66,Mond::N,амза,lluna
67,Stern::N,аеҵəа,estel
68,Stern::N,аеҵəа,estrella
69,Luft::N,аҳаир,aire
70,Wind::N,аҧша,vent
71,Welle::N,ацəқəырҧа,ona
72,Wasser::N,аӡы,āigua
73,Stein::N,ахаҳə,pedra
74,Boden::N,адгьыл,sòl
75,Erde::N,адгьыл,terra
76,Staub::N,асаба,pols
77,Rauch::N,алҩа,fum
78,Funke::N,акəиц,guspira
79,Funke::N,акəиц,centella
80,Funke::N,ацҧхь,guspira
81,Funke::N,ацҧхь,centella
82,Feuer::N,амца,foc
83,Licht::N,алашара,llum
84,Schatten::N,ашəшьыра,ombra
85,Wetter::N,амш,temps
86,Nebel::N,анаҟəа,boira
87,Wolke::N,аҧсҭҳəа,núvol
88,Regen::N,ақəа,pluja
89,Schnee::N,асы,neu
90,Eis::N,аҵаа,gel
91,Eis::N,аҵаа,glaç
92,Frost::N,аҵаа,glaçada
93,Kälte::N,ахьҭа,fred
94,Hitze::N,ашоура,calor
95,Raureif::N,аҵааҧшқа,gebre
96,Regenbogen::N,ацəаҟəа,arc iris
97,Donner::N,адыд,tro
98,Strömung::N,аиасра,corrent
99,Strömung::N,амҩасра,corrent
100,Tropfen::N,ацəыкəбар,gota
101,Schaum::N,ашəах,escuma
102,Schmutz::N,алымт,brutícia
103,See::N,аӡиа,llac
104,Sumpf::N,аӡмах,pantà
105,Wiese::N,адəы,prat
106,Wiese::N,адəы,prada
107,Wald::N,абна,bosc
108,Hügel::N,ахəы,puig
109,Hügel::N,ахəы,pujol
110,Anhöhe::N,аҳаракыра,turó
111,Berg::N,ашьха,muntanya
112,Gipfel::N,ацəқəа,cim
113,Höhle::N,аҳаҧы,cova
114,Abhang::N,анаара,coster
115,Quelle::N,аҵҵырҭа,font
116,Bach::N,акəараҷҷа,riera
117,Fluss::N,аӡиас,riu
118,Ufer::N,ахықə,riba
119,Küste::N,ахықə,costa
120,Festland::N,абарра,terra ferma
121,Meer::N,амшын,mar
122,Bucht::N,аӡбжьахала,cala
123,Bucht::N,аӡбжьахала,badia
124,Insel::N,адгьылбжьаха,illa
125,Blume::N,ашəҭ,flor
126,Gras::N,аҳасакьын,herba
127,Wurzel::N,адац,rel
128,Wurzel::N,адац,arrel
129,Baum::N,аҵла,arbre
130,Stamm::N,ашьапы,tronc
131,Rinde::N,ацəа,escorça
132,Ast::N,амахə,branca
133,Ast::N,амахəҭа,branca
134,Zweig::N,амахə,ram
135,Zweig::N,амахəҭа,ram
136,Blatt::N,абҕьы,fulla
137,Birke::N,аҵааҵла,bedoll
138,Kiefer[Baum]::N,амза,pi
139,Weide[Baum]::N,аҧслыш,salze
140,Tanne::N,аҧсаӡ,avet
141,Horn::N,атəыҩа,corn
142,Horn::N,атəыҩа,banya
143,Feder::N,ахӡы,ploma
144,Fell::N,ацəа,pell
145,Flügel::N,амҵəыжəа,ala
146,Klaue::N,ашьапхыц,urpa
147,Schwanz::N,аҵыхəа,cua
148,Ei::N,акəтаӷь,ou
149,Nest::N,аҭра,niu
150,Nest::N,аҵысҭра,niu
151,Bau::N,аҭыҩра,cau
152,Tier::N,аҧстəы,animāl
153,Tier::N,агыгшəыг,animāl
154,Herde::N,агəарҭа,ramat
155,Kuh::N,ажə,vaca
156,Bulle::N,ацə,toro
157,Pferd::N,аҽы,cavāll
158,Schaf::N,ауаса,be
159,Schaf::N,ауаса,ovella
160,Schwein::N,аҳəа,bacó
161,Hund::N,ала,ca
162,Hund::N,ала,gos
163,Katze::N,ацгəы,gat
164,Bär::N,амшə,ós
165,Eichhörnchen::N,аеш,esquirol
166,Elch::N,аҽаҩа,ant
167,Fuchs::N,абгахəыҷы,guilla
168,Hase::N,ажьа,llebre
169,Maus::N,аҳəынаҧ,ratolí
170,Wolf::N,абгаду,llop
171,Vogel::N,аҧсаатə,au
172,Vogel::N,аҧсаатə,ocēll
173,Huhn::N,акəты,gallina
174,Hahn::N,арбаҕь,gall
175,Gans::N,аҟыз,oca
176,Adler::N,ауарба,àguila
177,Ente::N,акəата,ànec
178,Eule::N,аты,òliba
179,Eule::N,аты,mussol
180,Kranich::N,апҟа,grua
181,Krähe::N,аҟəараан,cornella
182,Kuckuck::N,акəыкəу,cucut
183,Schwan::N,агьад,cigne
184,Fisch::N,аҧсыӡ,peix
185,Barsch::N,ацəыбла,perca
186,Hecht::N,ахиаала,lluç
187,Schlange[Tier]::N,амаҭ,serp
188,Wurm::N,ахəа,cuc
189,Wurm::N,ахəац,cuc
190,Spinne::N,абызкаҭаҳа,aranya
191,Ameise::N,ашышкамс,formiga
192,Laus::N,аҵа,poll
193,Mücke::N,акəыбры,mosquit
194,Fliege::N,амҵ,mosca
195,Schmetterling::N,аҧарҧалыкь,papallona
196,Beere::N,аргуц,baia
197,Apfel::N,аҵəа,poma
198,Pilz::N,акəкəбаа,bolet
199,Zwiebel::N,аџьымшьы,ceba
200,Zwiebel::N,аџьымшьхы,ceba
201,Saat::N,ажəла,sembra
202,Korn::N,арыц,gra
203,Heu::N,аҭəа,fenc
204,Schale::N,ацəа,closca
205,Grube::N,ажра,sot
206,Grube::N,ажра,clot
207,Grube::N,атыша,sot
208,Grube::N,атыша,clot
209,Falle::N,арыҧҟьа,trampa
210,Schlinge::N,аҟəараҟəантə,baga
211,Spur::N,ашьҭа,traça
212,Asche::N,ахəа,cendra
213,Dreck::N,аҳəынҵəа,llot
214,Dreck::N,аҟьамсар,llot
215,Eisen::N,аиха,ferro
216,Gold::N,ахьы,or
217,Silber::N,аразны,plata
218,Kohle::N,арацəа,carbó
219,Glas::N,асаркьа,vidre
220,Lehm::N,анышəаҧшь,fang
221,Lehm::N,анышəаҧшь,argila
222,Sand::N,аҧслымӡ,arena
223,Mensch::N,ауаҩы,humà
224,Mensch::N,ауаҩы,persona
225,Mann::N,ахаҵа,home
226,Frau::N,аҧҳəыс,dona
227,Kind::N,ахəыҷы,nen
228,Junge::N,аҷкəын,noi
229,Junge::N,ахаҵарҧыс,noi
230,Mädchen::N,аӡӷаб,noia
231,Familie::N,аҭаацəа,família
232,Großvater::N,абду,avi
233,Großmutter::N,анду,àvia
234,Eltern::N,ани аби,pares
235,Vater::N,аб,pare
236,Mutter::N,ан,mare
237,Sohn::N,аҧа,fill
238,Tochter::N,аҧҳа,filla
239,Bruder::N,аиашьа,germà
240,Schwester::N,Аҳəшьа,germana
241,Onkel::N,абиашьа,oncle
242,Onkel::N,аншьа,oncle
243,Tante::N,абиаҳəшьа,tia
244,Ehemann::N,ахаҵа,espòs
245,Ehemann::N,аҧшəма,espòs
246,Ehefrau::N,аҧҳəыс,muller
247,Freude::N,агəырӷьара,goig
248,Freude::N,агəырӷьара,alegria
249,Gelächter::N,ачча,riallada
250,Gelächter::N,аччара,riallada
251,Glück::N,аразҟы,felicitat
252,Kummer::N,агəырҩа,pena
253,Wunsch::N,агəхəтəы,desig
254,Wunsch::N,аҭахра,desig
255,Lust::N,агəазыҳəара,ganes
256,Geist::N,аҧсы,ment
257,Geist::N,аҧсы,esperit
258,Gedanke::N,ахəыцырҭа,pensament
259,Gedächtnis::N,агəынкылара,memòria
260,Verstand::N,ахшыҩ,raó
261,Verstand::N,ахшыҩ,seny
262,Sinn::N,аҵакы,solta
263,Sinn::N,аҵакы,sentit
264,Grund::N,амзыз,raó
265,Grund::N,амзыз,causa
266,Wahrheit::N,аиаша,veritāt
267,Gespräch::N,аиҿцәажәара,conversa
268,Märchen::N,алакə,conte
269,Erzählung::N,ажәабжь,narració
270,Nachricht::N,адырраҭара,missatge
271,Neuigkeit::N,ажәабжь ҿыц,novetat
272,Name::N,ахьӡ,nom
273,Rätsel::N,ацуфара,endevinalla
274,Rede::N,ажәа,discurs
275,Sprache::N,абызшəа,llēngua
276,Stimme::N,абжьы,veu
277,Wort::N,ажәа,mot
278,Wort::N,ажәа,paraula
279,Zeichen::N,адырга,signe
280,Zeichen::N,адырга,senyal
281,Ruf::N,аҿҭы,crida
282,Lärm::N,ашьҭыбжь,sorōll
283,Laut::N,ашьҭыбжь,so
284,Ton::N,атон,to
285,Lied::N,ашəа,cançó
286,Ruhe::N,аҭынчра,calma
287,Ruhe::N,аҭынчра,silenci
288,Leute::N,ауаа,gent
289,Volk::N,ажəлар,poble
290,Arbeit::N,аусура,labor
291,Arbeit::N,аусура,treball
292,Gast::N,асас,hoste
293,Geschenk::N,аҳамҭа,regal
294,Geschenk::N,аҳамҭа,obsequi
295,Geschenk::N,аҿанҵа,regal
296,Geschenk::N,аҿанҵа,obsequi
297,Spiel::N,ахəмарра,joc
298,Gesellschaft::N,агəыҧ,companyia
299,Hilfe::N,ацхыраара,ajut
300,Freund::N,аҩыза,amīc
301,Kamerad::N,Аҧхнагьла,company
302,Kamerad::N,Аҧхнагьла,camarada
303,Angelegenheit::N,аус,afer
304,Angelegenheit::N,аус,assumpte
305,Anzahl::N,ахыҧхьаӡара,nombre
306,Anzahl::N,ахыҧхьаӡара,quantitat
307,Art::N,ахкы,tipus
308,Art::N,ахкы,classe
309,Stück::N,аҽыҭ,peça
310,Teil::N,ахəҭа,part
311,Hälfte::N,абжа,meitat
312,Kreis::N,агьагьа,cercle
313,Kreuz::N,аџьар,creu
314,Linie::N,аицтәар,línia
315,Strich::N,ацəаҳəа,traç
316,Strich::N,ацəаҳəа,ratlla
317,Abstand::N,абжьара,distància
318,Entfernung::N,абжьара,distància
319,Gegend::N,аҭыҧ,regió
320,Gegend::N,аҭыҧ,contrada
321,Platz::N,аҭыҧ,cabuda
322,Ort::N,аҭыҧ,lloc
323,Seite::N,аган,banda
324,Seite::N,аган,costāt
325,Mitte::N,агəҭа,mig
326,Mitte::N,агəҭа,centre
327,Gegenstand::N,амаҭəар,objecte
328,Rand::N,аҵкар,vora
329,Rand::N,аҵкар,marge
330,Kante::N,авардым,caire
331,Kante::N,авардым,cantell
332,Ecke::N,акəакь,cantonada
333,Spitze::N,аҧынҵа,punta
334,Ende::N,анаӡара,cap
335,Loch::N,акылҵəара,forāt
336,Winkel::N,агҿаҩра,racó
337,Winkel::N,акəындхə,racó
338,Winkel::N,акəакь,racó
339,Muster::N,аҟҟа,dibuix
340,Muster::N,аҟҟа,disseny
341,Größe::N,изаҟароу,grandària
342,Länge::N,аура,longitud
343,Höhe::N,агылара,altura
344,Höhe::N,агылара,altitud
345,Gewicht::N,акапан,pes
346,Haufen::N,ачаҟəа,pila
347,Reihe::N,ацəаҳəа,fila
348,Boot::N,анышь,bot
349,Boot::N,анышь,barca
350,Ruder::N,ажəҩа,rem
351,Schlitten::N,ашəаҩауардын,trineu
352,Ski::N,ашəаҩа,esquí
353,Ski::N,ашьахаха,esquí
354,Lagerfeuer::N,еиқуу амца,foc de campament
355,Last::N,ахьанҭара,càrrega
356,Gang::N,аныҟəара,marxa
357,Schritt::N,ашьаҿа,pas
358,Norden::N,аҩада,nord
359,Süden::N,алада,sud
360,Westen::N,амраҭашəара,oest
361,Westen::N,амраҭашəара,occident
362,Osten::N,амрагылара,est
363,Osten::N,амрагылара,orient
364,Holz::N,амҿымаҭəахə,fusta
365,Brett::N,аӷəы,taula
366,Platte::N,ахаҳәцәы,placa
367,Stütze::N,аҵаргəа,suport
368,Stütze::N,агəышьаҟа,suport
369,Stange::N,акьат,vara
370,Stock::N,алаба,pal
371,Stab::N,акьат,bastó
372,Rohr::N,абыкь,tub
373,Haus::N,аҩны,casa
374,Heim::N,аҭаацəа,llar
375,Ofen::N,аҳақə,estufa
376,Ofen::N,ауаџьаҟ,estufa
377,Ofen::N,афрына,estufa
378,Fußboden::N,адашьма,terra
379,Tisch::N,аишәа,taula
380,Stuhl::N,аҟəардə,cadira
381,Wiege::N,агара,bressol
382,Bett::N,акаруаҭ,llit
383,Regal::N,акыӷəра,prestatgeria
384,Kiste::N,аидчаҧала,caixa
385,Fenster::N,аҧенџьыр,finestra
386,Tür::N,ашə,porta
387,Tor::N,агəашə,portal
388,Zaun::N,аанда,tanca
389,Dach::N,ахыб,teulada
390,Leiter::N,амардуан,escala
391,Leiter::N,амардуан,escala de mà
392,Besen::N,аҧссага,escombra
393,Spaten::N,ажыга,pala
394,Schaufel::N,аҭəарӷəы,pala
395,Gabel::N,ачқьыҧ,forquilla
396,Löffel::N,амҳаҵə,cullera
397,Messer::N,аҳəызба,coltell
398,Nagel::N,аҵəымӷ,clau
399,Netz::N,акаҭа,filat
400,Haken::N,аҵəаҳə,ganxo
401,Griff::N,амаа,puny
402,Griff::N,амаа,mànec
403,Schloss::N,асаҧаҭ,pany
404,Bild::N,асахьа,imatge
405,Figur::N,афигура,figura
406,Puppe::N,акьанџьа,nina
407,Beutel::N,асакь,bossa
408,Bündel::N,аҿаҳəара,feix
409,Bündel::N,аҿаҳəара,paquet
410,Tasche::N,арҭмаҟ,bossa
411,Eimer::N,аведра,galleda
412,Deckel::N,ахҩа,tapa
413,Deckel::N,ахҩа,tapadora
414,Geschirr::N,ачысмаҭəа,vaixella
415,Sack::N,асакь,sac
416,Sack::N,асакь,saca
417,Tasse::N,аҵəца,tassa
418,Topf::N,акаструлиа,pot
419,Topf::N,акаструлиа,olla
420,Kessel::N,ачуан,caldera
421,Nahrung::N,афатə,aliment
422,Speise::N,афатə,plat
423,Fleisch::N,акəац,carn
424,Getreide::N,ачакуа,cereals
425,Brei::N,ақашь,puré
426,Brot::N,ача,pa
427,Scheibe::N,аҽыҭ,tall
428,Scheibe::N,аҽыҭ,llesca
429,Scheibe::N,аҿаҵа,tall
430,Scheibe::N,аҿаҵа,llesca
431,Fett::N,ашша,greix
432,Butter::N,ахəша,mantega
433,Öl::N,азеҭ,oli
434,Salz::N,аџьыка,sal
435,Suppe::N,асуҧ,sopa
436,Honig::N,ацха,mel
437,Milch::N,ахш,llet
438,Tee::N,ачаи,te
439,Leder::N,ацəа,cuir
440,Wolle::N,аласа,llana
441,Stoff::N,Аба,tela
442,Nadel::N,агəыр,agulla
443,Faden::N,арахəыц,fil
444,Knopf::N,аҳəынҵəра,botó
445,Knoten::N,аиқəҳəала,nus
446,Farbe::N,ашəыга,pintura
447,Kleidung::N,амаҭəа,roba
448,Kleidung::N,амаҭəа,vestits
449,Hemd::N,акьаҿ,camisa
450,Kragen::N,ахəда,coll
451,Ärmel::N,амаӷра,màniga
452,Hose::N,аиқəа,pantalōns
453,Gürtel::N,амаҟа,cinturó
454,Mütze::N,ахылҧа,gorra
455,Schuh::N,аимаа,sabata
456,Stiefel::N,амагə,bota
457,Ring::N,амацəаз,anell
458,Band::N,алента,veta
459,Band::N,алента,cinta
460,Kamm::N,ахҳəа,pinta
461,Spiegel::N,асаркьа,mirāll
462,Riemen::N,аа,corretja
463,Schnur::N,ашаха,corda
464,Leine::N,аҕура,corretja
465,Decke::N,ахыза,manta
466,Decke::N,ахыза,flassada
467,Kissen::N,ахчы,coixí
468,Tuch::N,акасы,mocador
469,Handtuch::N,ампахьшьы,tovallola
470,Kraft::N,амч,força
471,Stärke::N,амч,vigor
472,Gesundheit::N,агəабзиара,salut
473,Krankheit::N,ачымазара,malaltia
474,Schmerz::N,ахьаа,dolor
475,Wunde::N,ахəра,ferida
476,Fieber::N,ашоура,febre
477,Arznei::N,ахəшə,medicament
478,Brücke::N,ацҳа,pont
479,Brunnen::N,аҵыџь,pou
480,Weide::N,аҳəырҭа,pastura
481,Pfad::N,амхəасҭа,senda
482,Pfad::N,амхəасҭа,sender
483,Weg::N,амҩа,camí
484,Straße::N,амҩа,carretera
485,Dorf::N,ақыҭа,poble
