,Concept_ID,la,az
0,Auge::N,oculus,göz
1,Ohr::N,auris,qulaq
2,Nase::N,nasus,burun
3,Mund::N,os,ağız
4,Zahn::N,dens,diş
5,Zunge::N,lingua,dil
6,Lippe::N,labrum,dodaq
7,Wange::N,gena,yanaq
8,Gesicht::N,vultus,üz
9,Stirn::N,frons,alın
10,Haar::N,capillus,saç
11,Schnurrbart::N,barba labri superioris,bığ
12,Bart::N,barba,saqqal
13,Kinn::N,mentum,çənə
14,Kiefer[Anatomie]::N,mala,çənə
15,Kehle::N,iugulums,boğaz
16,Hals::N,collum,boyun
17,Genick::N,cervices,ənsə
18,Kopf::N,caput,baş
19,Rücken::N,tergum,bel
20,Bauch::N,venter,qarın
21,Nabel::N,umbilicus,göbək
22,Busen::N,sinus,məmə
23,Brust::N,pectus,döş
24,Schulter::N,umerus,çiyin
25,Arm::N,bracchium,qol
26,Ellenbogen::N,cubitum,dirsək
27,Hand::N,manus,əl
28,Handfläche::N,palma,ovuc
29,Finger::N,digitus,barmaq
30,Fingernagel::N,unguiculus,barmaq dırnağı
31,Nagel[Anatomie]::N,unguis,dırnak
32,Zeh::N,digitus,ayaq barmağı
33,Fuß::N,pes,ayaq
34,Ferse::N,calx,daban
35,Knie::N,genu,diz
36,Oberschenkel::N,femur,bud
37,Bein::N,crus,qıç
38,Körper::N,corpus,əndam
39,Haut::N,cutis,dəri
40,Haut::N,pellis,dəri
41,Blut::N,sanguis,qan
42,Ader::N,vena,damar
43,Sehne::N,nervus,vətər
44,Knochen::N,os,sümük
45,Gehirn::N,cerebrum,beyin
46,Herz::N,cor,ürək
47,Herz::N,animus,ürək
48,Magen::N,stomachus,mədə
49,Leber::N,iecur,qara ciyər
50,Atem::N,spiritus,nəfəs
51,Hunger::N,fames,aclıq
52,Träne::N,lacrima,göz yaşı
53,Geschmack::N,sapor,tam
54,Geschmack::N,sapor,ləzzət
55,Geschmack::N,gustus,tam
56,Geschmack::N,gustus,ləzzət
57,Geruch::N,odor,qoxu
58,Schlaf::N,somnus,yuxu
59,Traum::N,somnium,röya
60,Himmel::N,caelum,göy
61,Himmel::N,caelum,səma
62,Sonne::N,sol,günəş
63,Mond::N,luna,ay
64,Stern::N,sidus,ulduz
65,Stern::N,stella,ulduz
66,Luft::N,aer,hava
67,Wind::N,ventus,yel
68,Wind::N,ventus,külək
69,Welle::N,unda,dalğa
70,Wasser::N,aqua,su
71,Stein::N,lapis,daş
72,Boden::N,solum,yer
73,Boden::N,solum,zəmin
74,Erde::N,terra,yer torpaq
75,Staub::N,pulvis,toz
76,Rauch::N,fumus,tüstü
77,Funke::N,scintilla,qığılcım
78,Feuer::N,ignis,od
79,Licht::N,lux,işıq
80,Licht::N,lumen,işıq
81,Schatten::N,umbra,kölgə
82,Wetter::N,caelum,hava
83,Wetter::N,tempestas,hava
84,Nebel::N,nebula,duman
85,Wolke::N,nubes,bulud
86,Regen::N,imber,yağış
87,Regen::N,imber,yağmur
88,Regen::N,pluvia,yağış
89,Regen::N,pluvia,yağmur
90,Schnee::N,nix,qar
91,Eis::N,glacies,buz
