,Concept_ID,mhr,ga
167,Birke::N,куэ́,beith
168,Birke::N,куэ́,crann beithe
169,Kiefer[Baum]::N,пӱ́нчӧ,péine
170,Weide[Baum]::N,уа́,saileach
171,Tanne::N,кож,giúis
172,Horn::N,шур,adharc
173,Feder::N,пы́стыл,cleite
174,Fell::N,кова́ште,clúmh
175,Flügel::N,шу́лдыр,eite
176,Flügel::N,шу́лдыр,sciathán
177,Klaue::N,кӱч,crúb
178,Klaue::N,кӱч,crobh
179,Kralle::N,ла́па,crobh
180,Kralle::N,копа́,crobh
181,Schwanz::N,поч,eireaball
182,Ei::N,му́но,ubh
183,Nest::N,пыжа́ш,nead
184,Bau::N,пыжа́ш,brocais
185,Tier::N,я́нлык,ainmhí
186,Tier::N,я́нлык,beithíoch
187,Tier::N,живо́тный,ainmhí
188,Tier::N,живо́тный,beithíoch
189,Herde::N,кӱ́тӱ,tréad
190,Herde::N,тӱшка́,tréad
191,Kuh::N,ушка́л,bó
192,Bulle::N,ӱ́шкыж,tarbh
193,Pferd::N,и́мне,each
194,Pferd::N,и́мне,capall
195,Schaf::N,шо́рык,caora
196,Schwein::N,сӧсна́,muc
197,Hund::N,пий,madra
198,Katze::N,пы́рыс,cat
199,Bär::N,маска́,béar
200,Eichhörnchen::N,ур,iora
201,Elch::N,шо́рдо,eilc
202,Fuchs::N,ры́выж,sionnach
203,Fuchs::N,ры́выж,madra rua
204,Hase::N,мера́ҥ,giorria
205,Maus::N,коля́,luch
206,Wolf::N,пи́ре,mac tíre
207,Vogel::N,ка́йык,éan
208,Schwarm::N,каша́к,saithe
209,Huhn::N,чы́ве,cearc
210,Hahn::N,агыта́н,coileach
211,Gans::N,ко́мбо,gé
212,Adler::N,карагу́ш,iolar
213,Ente::N,лу́до,lacha
214,Eule::N,тумна́,ulchabhán
215,Kranich::N,турня́,grús
216,Krähe::N,кора́к,caróg
217,Krähe::N,кора́к,préachán
218,Kuckuck::N,куку́,cuach
219,Schwan::N,йӱ́ксӧ,eala
220,Fisch::N,кол,iasc
221,Barsch::N,ола́ҥге,péirse
222,Hecht::N,нуж,liús
223,Hecht::N,чорта́н,liús
224,Schlange[Tier]::N,ки́шке,nathair
225,Wurm::N,шукш,péist
226,Spinne::N,эҥыре́мыш,damhán alla
227,Ameise::N,ку́тко,seangán
228,Laus::N,тий,míol
229,Mücke::N,шыҥа́,muiscít
230,Mücke::N,шыҥа́,corrmhíol
231,Fliege::N,ка́рме,cuil
232,Fliege::N,ка́рме,cuileog
233,Schmetterling::N,лы́ве,féileacán
234,Beere::N,мӧр,caor
235,Apfel::N,олма́,úll
236,Pilz::N,по́ҥго,beacán
237,Pilz::N,по́ҥго,muisiriún
238,Zwiebel::N,шога́н,oinniún
239,Saat::N,нӧ́шмӧ,síol
240,Saat::N,туш,síol
241,Korn::N,шу́рно,gráinne
242,Heu::N,шу́до,féar
243,Schale::N,шӱм,scaimh
244,Grube::N,выне́м,poll
245,Falle::N,лӧ́дӧ,gaiste
246,Schlinge::N,о́птыш,sealán
247,Schlinge::N,шӧрга́лтыш,sealán
248,Spur::N,кыша́,rian
249,Asche::N,ло́мыж,luaith
250,Dreck::N,лавыра́,salachar
251,Eisen::N,кӱ́ртньӧ,iarann
252,Gold::N,шӧ́ртньӧ,ór
253,Silber::N,ший,airgead
254,Kohle::N,мландышӱ́й,gual
255,Glas::N,янда́,gloine
256,Lehm::N,шун,cré
257,Sand::N,ошма́,gaineamh
258,Mensch::N,еҥ,duine
259,Mensch::N,айде́ме,duine
260,Mann::N,пӧръе́ҥ,fear
261,Frau::N,ӱдырама́ш,bean
262,Kind::N,аза́,gasúr
263,Kind::N,аза́,páiste
264,Junge::N,рве́зе,buachaill
265,Mädchen::N,ӱдыра́ш,cailín
266,Familie::N,еш,teaghlach
267,Familie::N,еш,comhluadar
268,Großvater::N,коча́,seanathair
269,Großmutter::N,кова́,seanmháthair
270,Eltern::N,ача́-ава́,tuismitheoirí
271,Vater::N,ача́,athair
272,Mutter::N,ава́,máthair
273,Sohn::N,э́рге,mac
274,Tochter::N,ӱ́дыр,iníon
275,Bruder::N,иза́,deartháir
276,Bruder::N,шо́льо,deartháir
277,Schwester::N,ака́,deirfiúr
278,Onkel::N,иза́,uncail
279,Tante::N,кока́,aintín
280,Ehemann::N,мари́й,fear céile
281,Ehefrau::N,ва́те,bean chéile
282,Freude::N,куа́н,áthas
283,Freude::N,куаныма́ш,áthas
284,Gelächter::N,во́штылтыш,gáire
285,Glück::N,пиа́л,séan
286,Glück::N,пиа́л,sonas
287,Kummer::N,о́йго,brón
288,Kummer::N,о́йго,buairt
289,Wunsch::N,ку́мыл,guí
290,Wunsch::N,ку́мыл,achainí
291,Lust::N,ку́мыл,fonn
292,Geist::N,ӧрт,meon
293,Geist::N,ӧрт,spiorad
294,Geist::N,чон,meon
295,Geist::N,чон,spiorad
296,Gedanke::N,ой,smaoineamh
297,Gedanke::N,шоныма́ш,smaoineamh
298,Gedächtnis::N,шарныма́ш,cuimhne
299,Verstand::N,уш,ciall
300,Verstand::N,уш,intinn
301,Sinn::N,смысл,brí
302,Sinn::N,смысл,ciall
303,Grund::N,ама́л,fáth
304,Wahrheit::N,чын,fírinne
305,Gespräch::N,мутланыма́ш,comhrá
306,Märchen::N,йома́к,scéal
307,Erzählung::N,ойлыма́ш,scéal
308,Nachricht::N,увертарыма́ш,teachtaireacht
309,Neuigkeit::N,уве́р,scéala
310,Name::N,лӱм,ainm
311,Rätsel::N,ту́што,tomhas
312,Rede::N,ойлыма́ш,óráid
313,Rede::N,ойлыма́ш,aitheasc
314,Sprache::N,йы́лме,teanga
315,Stimme::N,йӱк,guth
316,Wort::N,ой,focal
317,Wort::N,мут,focal
318,Zeichen::N,ти́ште,comhartha
319,Zeichen::N,знак,comhartha
320,Ruf::N,ӱжма́ш,glaoch
321,Lärm::N,лӱшкыма́ш,torann
322,Lärm::N,йӱк-йӱа́н,torann
323,Laut::N,йӱк,fuaim
324,Ton::N,йӱксе́м,ton
325,Lied::N,му́ро,amhrán
326,Ruhe::N,ты́мык,suaimhneas
327,Leute::N,еҥ-влак,muintir
328,Volk::N,ка́лык,pobal
329,Arbeit::N,паша́,obair
330,Gast::N,уна́,aoi
331,Geschenk::N,пӧле́к,féirín
332,Geschenk::N,пӧле́к,bronntanas
333,Spiel::N,мо́дыш,cluiche
334,Spiel::N,модма́ш,cluiche
335,Gesellschaft::N,тӱшка́,comhluadar
336,Hilfe::N,по́лыш,cúnamh
