,Concept_ID,ku,sk
0,Auge::N,çav,oko
1,Ohr::N,guh,ucho
2,Nase::N,bêvil,nos
3,Mund::N,dev,ústa
4,Zahn::N,didan,zub
5,Zunge::N,ziman,jazyk
6,Lippe::N,lêv,pera
7,Wange::N,dêm,líce
8,Wange::N,hinarik,líce
9,Gesicht::N,rû,tvár
10,Gesicht::N,rû,obličaj
11,Stirn::N,enî,čelo
12,Haar::N,por,vlas
13,Schnurrbart::N,simbêl,fúzy
14,Bart::N,rih,brada
15,Kinn::N,zenî,brada
16,Kiefer[Anatomie]::N,arguşk,čeľusť
17,Kehle::N,qirik,hrdlo
18,Hals::N,stû,krk
19,Hals::N,qirik,krk
20,Genick::N,stû,väzy
21,Kopf::N,serî,hlava
22,Rücken::N,pişt,chrbát
23,Bauch::N,ûr,brucho
24,Bauch::N,zik,brucho
25,Nabel::N,navik,pupok
26,Busen::N,sîng,prsia
27,Brust::N,sîng,hruď
28,Schulter::N,mil,plece
29,Arm::N,çepil,rameno
30,Ellenbogen::N,enîşk,lakeť
31,Hand::N,dest,ruka
32,Handfläche::N,kefadest,dlaň
33,Finger::N,tilî,prst
34,Fingernagel::N,neynuk,necht
35,Nagel[Anatomie]::N,bizmar,necht
36,Zeh::N,tilî linga,prst na nohe
37,Fuß::N,ling,noha
38,Ferse::N,pahnî,päta
39,Knie::N,kabok,koleno
40,Oberschenkel::N,rahn,stehno
41,Bein::N,çip,noha
42,Körper::N,laş,telo
43,Körper::N,gowde,telo
44,Haut::N,çerm,koža
45,Blut::N,xwîn,krv
46,Ader::N,reh,žila
47,Sehne::N,reh,šľacha
48,Knochen::N,hestî,kosť
49,Gehirn::N,mêjî,mozog
50,Herz::N,dil,srdce
51,Magen::N,navêş,žalúdok
52,Leber::N,kezeb,pečeň
53,Atem::N,hilm,dych
54,Hunger::N,birçîtî,hlad
55,Träne::N,hêstir,slza
56,Geschmack::N,tam,chuť
57,Geruch::N,bêhn,pach
58,Schlaf::N,xew,spánok
59,Traum::N,xewn,sen
60,Himmel::N,ezman,nebo
61,Sonne::N,roj,slnko
62,Mond::N,heyv,mesiac
63,Stern::N,stêrk,hviezda
64,Luft::N,ba,vzduch
65,Wind::N,ba,vietor
66,Welle::N,şewl,vlna
67,Wasser::N,av,voda
68,Stein::N,kevir,kameň
69,Boden::N,herd,zem
70,Boden::N,herd,pôda
71,Erde::N,ax,zem
72,Staub::N,toz,prach
73,Rauch::N,dû,dym
74,Funke::N,çirûşk,iskra
75,Feuer::N,agir,oheň
76,Licht::N,ronahî,svetlo
77,Schatten::N,sî,tieň
78,Wetter::N,hewa,počasie
79,Nebel::N,mij,hmla
80,Wolke::N,ewr,oblak
81,Wolke::N,ewr,mračno
82,Regen::N,baran,dážď
83,Schnee::N,berf,sneh
84,Eis::N,qeşa,ľad
85,Frost::N,xûsik,mráz
86,Kälte::N,serma,zima
87,Kälte::N,serma,chlad
88,Hitze::N,germayî,horúčava
89,Raureif::N,şext,srieň
90,Raureif::N,şext,inovať
91,Regenbogen::N,heftreng,dúha
92,Donner::N,gire-gir,hrom
93,Strömung::N,şewl,prúdenie
94,Tropfen::N,dilop,kvapka
95,Schaum::N,kef,pena
96,Schmutz::N,gemar,špina
97,Schmutz::N,gemar,nečistota
98,See::N,gol,jazero
99,Sumpf::N,hezek,bahno
100,Moor::N,mafêl,močiar
101,Wiese::N,sûrik,lúka
102,Wald::N,çiya,les
103,Wald::N,çiya,hora
104,Wald::N,daristan,les
105,Wald::N,daristan,hora
106,Hügel::N,gir,vŕšok
107,Anhöhe::N,sere gir,výšina
108,Anhöhe::N,sere gir,vyvýšenina
109,Berg::N,kaş,hora
110,Gipfel::N,sere gir,vrchol
111,Höhle::N,şikeft,jaskyňa
112,Abhang::N,kaş,úbočie
113,Quelle::N,kanî,prameň
114,Bach::N,çem,potok
115,Fluss::N,çem,rieka
116,Fluss::N,rûbar,rieka
117,Ufer::N,kevî,breh
118,Küste::N,berav,pobrežie
119,Festland::N,bejahî,pevnina
120,Meer::N,behr,more
121,Bucht::N,derav,záliv
122,Bucht::N,derav,zátoka
123,Insel::N,girav,ostrov
124,Blume::N,kulînk,kvet
125,Blume::N,kulînk,kvetina
126,Gras::N,giha,tráva
127,Wurzel::N,reh,koreň
128,Baum::N,dar,strom
129,Stamm::N,bavik,kmeň
130,Rinde::N,qaqil,kôra
131,Ast::N,gulî,konár
132,Zweig::N,şax,vetva
133,Blatt::N,pel,list
134,Birke::N,dara sipî,breza
135,Kiefer[Baum]::N,dara bî,sosna
136,Kiefer[Baum]::N,dara bî,borovica
137,Weide[Baum]::N,dara belalûk,vŕba
138,Tanne::N,merx,jedľa
139,Horn::N,strô,roh
140,Feder::N,pîrtîk,pero
141,Fell::N,heyar,koža
142,Fell::N,heyar,kožušina
143,Flügel::N,per,krídlo
144,Klaue::N,napîk,paznecht
145,Kralle::N,dinik,pazúr
146,Kralle::N,dirnax,pazúr
147,Schwanz::N,dûv,chvost
148,Ei::N,hêk,vajce
149,Ei::N,hêk,vajíčko
150,Nest::N,hêlîn,hniezdo
151,Bau::N,avahî,nora
152,Tier::N,heywan,zviera
153,Herde::N,hoz,stádo
154,Kuh::N,çêlek,krava
155,Bulle::N,ga,býk
156,Pferd::N,hesp,kôň
157,Schaf::N,mîh,ovca
158,Schwein::N,beraz,sviňa
159,Hund::N,seh,pes
160,Katze::N,pişîk,mačka
161,Bär::N,hirç,medveď
162,Eichhörnchen::N,pilûr,veverička
163,Elch::N,pazkovî,los
164,Fuchs::N,rovî,líška
165,Hase::N,kîroşk,zajac
166,Maus::N,mişk,myš
167,Wolf::N,gur,vlk
168,Vogel::N,çûk,vták
169,Schwarm::N,lufik,roj
170,Huhn::N,mirîşk,kurča
171,Huhn::N,mirîşk,sliepka
172,Hahn::N,dîk,kohút
173,Gans::N,qaz,hus
174,Adler::N,eylo,orol
175,Ente::N,werdek,kačka
176,Ente::N,werdek,kačica
177,Eule::N,bûm,sova
178,Eule::N,kund,sova
179,Kranich::N,quling,žeriav
180,Krähe::N,qijik,vrana
181,Kuckuck::N,pepûk,kukučka
182,Schwan::N,qû,labuť
183,Fisch::N,masî,ryba
184,Barsch::N,okûn,ostriež
185,Hecht::N,mesîyê lûf,šťuka
186,Schlange[Tier]::N,mar,had
187,Wurm::N,kurm,červ
188,Spinne::N,pîrê,pavúk
189,Ameise::N,mîro,mravec
190,Ameise::N,gêrîk,mravec
191,Laus::N,spi,voš
192,Mücke::N,mêş,komár
193,Fliege::N,mêş,mucha
194,Schmetterling::N,perperîk,motýľ
195,Beere::N,hirç,bobuľa
196,Apfel::N,sêv,jablko
197,Pilz::N,bîrov,hríb
198,Zwiebel::N,pîvaz,cibuľa
199,Saat::N,tov,osivo
200,Korn::N,dexl,zrno
201,Heu::N,sap,seno
202,Schale::N,qaşik,šupa
203,Schale::N,qaşik,škrupina
204,Grube::N,çahl,jama
205,Falle::N,dafik,pasca
206,Falle::N,dafik,klepec
207,Schlinge::N,dahf,slučka
208,Spur::N,rêç,stopa
209,Asche::N,xweli,popol
210,Dreck::N,gemarî,kal
211,Dreck::N,gemarî,blato
212,Eisen::N,hesing,železo
213,Gold::N,zêr,zlato
214,Silber::N,zîv,striebro
215,Kohle::N,komir,uhlie
216,Glas::N,qedeh,sklo
217,Lehm::N,kelpîç,íl
218,Lehm::N,kelpîç,hlina
219,Sand::N,qûm,piesok
220,Mensch::N,mirov,človek
221,Mann::N,mêr,muž
222,Mann::N,mêr,chlap
223,Frau::N,jin,žena
224,Kind::N,zarok,dieťa
225,Junge::N,kur,chlapec
226,Mädchen::N,keç,dievka
227,Mädchen::N,keçik,dievka
228,Familie::N,malbat,rodina
229,Großvater::N,bapîr,dedo
230,Großvater::N,bapîr,starý otec
231,Großmutter::N,pîrik,babička
232,Großmutter::N,pîrik,stará mať
233,Eltern::N,bavudê,rodičia
234,Vater::N,bav,otec
235,Mutter::N,dê,mať
236,Mutter::N,dê,matka
237,Mutter::N,dayik,mať
238,Mutter::N,dayik,matka
239,Sohn::N,kur,syn
240,Tochter::N,keç,dcéra
241,Bruder::N,bira,brat
242,Schwester::N,xweh,sestra
243,Onkel::N,am,ujo
244,Onkel::N,am,strýko
245,Onkel::N,xal,ujo
246,Onkel::N,xal,strýko
247,Tante::N,metik,teta
248,Tante::N,metik,tetka
249,Tante::N,xaltîk,teta
250,Tante::N,xaltîk,tetka
251,Ehemann::N,mêr,muž
252,Ehemann::N,mêr,manžel
253,Ehefrau::N,kulfet,žena
254,Ehefrau::N,kulfet,manželka
255,Freude::N,kêfxweşî,radosť
256,Gelächter::N,pîrqînî,smiech
257,Glück::N,bext,šťastie
258,Kummer::N,derd,žiaľ
259,Kummer::N,derd,zármutok
260,Wunsch::N,daxwaz,prianie
261,Wunsch::N,xwestek,prianie
262,Lust::N,şewq,chuť
263,Geist::N,aqil,duch
264,Gedanke::N,fikir,myšlienka
265,Gedächtnis::N,aqil,pamäť
