,Concept_ID,br,cv
0,Auge::N,lagad,куҫ
1,Ohr::N,skouarn,хӑлха
2,Nase::N,fri,сӑмса
3,Mund::N,genoù,ҫӑвар
4,Zahn::N,dant,шӑл
5,Zunge::N,teod,чӗлхе
6,Lippe::N,muzell,тута
7,Wange::N,chot,пит ҫӑмарти
8,Gesicht::N,dremm,пит
9,Gesicht::N,dremm,пит-куҫ
10,Stirn::N,tal,ҫамка
11,Haar::N,blev,ҫӳҫ
12,Schnurrbart::N,mourenn,усси
13,Bart::N,barv,сухал
14,Kinn::N,groñj,янах
15,Kiefer[Anatomie]::N,javed,янах
16,Kehle::N,gouzoug,пыр
17,Kehle::N,gouzoug,карланкӑ
18,Hals::N,gouzoug,пыр
19,Genick::N,choug,ӗнсе
20,Kopf::N,penn,пуҫ
21,Rücken::N,kein,ҫурӑм
22,Bauch::N,kof,
23,Nabel::N,begel,кӑвапа
24,Busen::N,bronn,кӑкӑр
25,Brust::N,bruched,умӗ
26,Schulter::N,skoaz,хул пуҫҫи
27,Arm::N,brec'h,алӑ
28,Ellenbogen::N,ilin,чавса
29,Hand::N,dorn,алӑ сыппи
30,Handfläche::N,palv,ал лаппи
31,Finger::N,biz,пӳрне
32,Fingernagel::N,ivin,чӗрне
33,Nagel[Anatomie]::N,ivin,чӗрне
34,Zeh::N,biz-troad,пӳрне
35,Fuß::N,troad,ура лаппи
36,Ferse::N,seul,кӗле
37,Knie::N,glin,чӗркуҫҫи
38,Oberschenkel::N,morzhed,пӗҫӗ
39,Bein::N,gar,ура
40,Körper::N,korf,ӳт
41,Körper::N,korf,ӳт-пӳ
42,Haut::N,kroc'hen,тир
43,Blut::N,gwad,юн
44,Ader::N,gwazhi,вена
45,Sehne::N,stir,шӑнӑр
46,Knochen::N,askorn,шӑмӑ
47,Gehirn::N,empenn,миме
48,Herz::N,kalon,чӗре
49,Magen::N,stomog,хырӑмлӑх
50,Leber::N,avu,пӗвер
51,Atem::N,anal,сывлав
52,Hunger::N,naon,выҫлӑх
53,Träne::N,daer,куҫҫуль
54,Geschmack::N,blaz,техӗм
55,Geruch::N,c'hwezh,шӑршӑ
56,Schlaf::N,kousked,ыйхӑ
57,Traum::N,hune,тӗлӗк
58,Himmel::N,oabl,пӗлӗт
59,Sonne::N,heol,хӗвел
60,Mond::N,loar,уйӑх
61,Stern::N,steredenn,ҫӑлтӑр
62,Luft::N,aer,сывлӑш
63,Wind::N,avel,ҫил
64,Welle::N,houlenn,хум
65,Wasser::N,dour,шыв
66,Wasser::N,dour,шыв-шур
67,Stein::N,maen,чул
68,Boden::N,tachenn,тӑпра
69,Erde::N,douar,ҫӗр
70,Staub::N,poultr,тусан
71,Rauch::N,moged,тӗтӗм
72,Funke::N,ful,хӗм
73,Feuer::N,tan,вут
74,Feuer::N,tan,ҫулӑм
75,Licht::N,gouloù,ҫутӑ
76,Schatten::N,disheol,сулхӑн
77,Wetter::N,amzer,ҫанталӑк
78,Nebel::N,brumenn,тӗтре
79,Wolke::N,koumoulenn,пӗлӗт
80,Regen::N,glav,ҫумӑр
81,Schnee::N,erc'h,юр
82,Eis::N,skorn,пӑр
83,Frost::N,rev,сивӗ
84,Kälte::N,yen,сивӗ
85,Hitze::N,tommder,вӗри
86,Hitze::N,tommder,шӑрӑх
87,Raureif::N,frim,пас
88,Regenbogen::N,gwareg-ar-glav,асамат кӗперӗ
89,Donner::N,kurun,аслати
90,Strömung::N,red,юхӑ
91,Tropfen::N,bannac'h,тумлам
92,Tropfen::N,takenn,тумлам
93,Schaum::N,spoum,кӑпӑк
94,Schmutz::N,fank,пылчӑк
95,See::N,lenn,кӳлӗ
96,Sumpf::N,gwern,шур
97,Sumpf::N,gwern,шурлӑх
98,Moor::N,taouarc'heg,торфлӑ шурлӑх
99,Wiese::N,prad,улӑх
100,Wiese::N,prad,ҫаран
101,Wald::N,koad,вӑрман
102,Hügel::N,torgenn,сӑрт
103,Hügel::N,torgenn,тӗмеске
104,Anhöhe::N,run,сӑрт
105,Berg::N,menez,ту
106,Gipfel::N,barr,тӳпе
107,Höhle::N,kav,ҫӗр хӑвӑлӗ
108,Abhang::N,naou,тӑвайкки
109,Quelle::N,feunteun,ҫӑл куҫ
110,Bach::N,gwazh,пӗчӗк шыв
111,Fluss::N,stêr,юхан шыв
112,Ufer::N,ribl,ҫыран
113,Küste::N,aod,тинӗс ҫыранӗ
114,Festland::N,douar,тип ҫӗр
115,Meer::N,mor,тинӗс
116,Bucht::N,mor-bihan,тинӗс кукӑрӗ
117,Insel::N,enez,утрав
118,Blume::N,bleunienn,чечек
119,Gras::N,geot,курӑк
120,Wurzel::N,gwrizienn,тымар
121,Baum::N,gwezenn,йывӑҫ
122,Stamm::N,kef,вулӑ
123,Rinde::N,rusk,хуйӑр
124,Ast::N,barr,турат
125,Zweig::N,bod,турат
126,Blatt::N,delienn,ҫулҫӑ
127,Birke::N,bezvenn,хурӑн
128,Kiefer[Baum]::N,pinenn,хыр
129,Weide[Baum]::N,halegenn,хӑва
130,Tanne::N,sapenn,чӑрӑш
131,Horn::N,korn,мӑйрака
132,Feder::N,pluñv,тӗк
133,Fell::N,kreoñ,ҫӑм
134,Flügel::N,askell,ҫунат
135,Klaue::N,skilf,чӗрне
136,Kralle::N,skilf,ура
137,Schwanz::N,lost,хӳре
138,Ei::N,vi,ҫӑмарта
139,Nest::N,neizh,йӑва
140,Bau::N,douarenn,йӗнӗ
141,Tier::N,loen,выльӑх
142,Herde::N,tropell,кӗтӳ
143,Kuh::N,buoc'h,ӗне
144,Bulle::N,tarv,вӑкӑр
145,Pferd::N,marc'h,лаша
146,Schaf::N,dañvad,сурӑх
147,Schwein::N,pemoc'h,сысна
148,Hund::N,ki,йытӑ
149,Katze::N,kazh,кушак
150,Bär::N,arzh,упа
151,Eichhörnchen::N,gwiñver,пакша
152,Elch::N,karv-dour,пӑши
153,Fuchs::N,louarn,тилӗ
154,Hase::N,gad,куян
155,Hase::N,gad,мулкач
156,Maus::N,logodenn,шӑши
157,Wolf::N,bleiz,кашкӑр
158,Vogel::N,labous,кайӑк
159,Vogel::N,labous,вӗҫен кайӑк
160,Schwarm::N,nijad,ушкӑн
161,Huhn::N,yar,чӑх
162,Huhn::N,yar,чӑхӑ
163,Hahn::N,kilhog,автан
164,Gans::N,gwazenn,хур
165,Adler::N,erer,ӑмӑрт кайӑк
166,Ente::N,houad,кӑвакал
167,Eule::N,toud,тӑмана
168,Kranich::N,garan,тӑрна
169,Krähe::N,bran,ула курак
170,Kuckuck::N,koukoug,куккук
171,Schwan::N,alarc'h,акӑш
172,Fisch::N,pesk,пулӑ
173,Barsch::N,brell,уланкӑ
174,Hecht::N,beked,ҫӑрттан
175,Schlange[Tier]::N,naer,ҫӗлен
176,Wurm::N,preñv,ӑман
177,Spinne::N,kevnidenn,эрешмен
178,Ameise::N,merion,кӑткӑ
179,Laus::N,laouenn,пыйтӑ
180,Mücke::N,moustik,вӑрӑм туна
181,Fliege::N,kelienenn,шӑна
182,Schmetterling::N,balafenn,лӗпӗш
183,Beere::N,hog,ҫырла
184,Apfel::N,aval,улма
185,Apfel::N,aval,пан улми
186,Pilz::N,kabell-touseg,кӑмпа
187,Zwiebel::N,ognonenn,сухан
188,Saat::N,had,вӑрӑ
189,Korn::N,ed,тӗшӗ
190,Korn::N,ed,пӗрчӗ
191,Heu::N,foenn,утӑ
192,Schale::N,peliadur,хупӑ
193,Falle::N,pech,тапӑ
194,Falle::N,pech,капкӑн
195,Schlinge::N,krouglas,йӑлӑ
196,Asche::N,ludu,кӗл
197,Dreck::N,fank,пылчӑк
198,Eisen::N,houarn,тимӗр
199,Gold::N,aour,ылтӑн
200,Silber::N,arc'hant,кӗмӗл
201,Kohle::N,glaou,кӑмрӑк
202,Glas::N,gwer,кӗленче
203,Sand::N,traezh,хӑйӑр
204,Mensch::N,den,ҫын
205,Mensch::N,den,этем
206,Mann::N,den,ар
207,Frau::N,maouez,хӗрарӑм
208,Kind::N,bugel,ача
209,Junge::N,paotr,ача
210,Junge::N,paotr,ар ҫын ача
211,Mädchen::N,plac'h,хӗр ача
212,Familie::N,familh,ҫемье
213,Familie::N,familh,кил-йыш
214,Großvater::N,tad-kozh,кукаҫи
215,Großmutter::N,mamm-gozh,кукамай
216,Eltern::N,kerent,аҫа-ама
217,Vater::N,tad,атте
218,Mutter::N,mamm,анне
219,Sohn::N,mab,ывӑл
220,Tochter::N,merc'h,хӗр
221,Bruder::N,breur,ар тӑван
222,Schwester::N,c'hoar,аппа
223,Schwester::N,c'hoar,йӑмӑк
224,Onkel::N,eontr,мучи
225,Onkel::N,eontr,пичче
226,Tante::N,moereb,аппа
227,Ehemann::N,gwaz,упӑшка
228,Ehefrau::N,gwreg,арӑм
229,Freude::N,levenez,савӑнӑҫ
230,Freude::N,levenez,хаваслӑх
231,Gelächter::N,c'hoarzherezh,кулӑ
232,Glück::N,chañs,телей
233,Glück::N,chañs,ӑраскал
234,Kummer::N,doan,хурлӑх
235,Wunsch::N,c'hoant,ӗмӗт
236,Wunsch::N,c'hoant,кӑмӑл
237,Lust::N,c'hoant,кӑмӑл
238,Geist::N,spered,чун-чӗм
239,Geist::N,spered,ыр-усал
240,Geist::N,spered,чун хавалӗ
241,Gedanke::N,soñj,шухӑш
242,Gedächtnis::N,eñvor,ас
243,Verstand::N,skiant,ӑс
244,Verstand::N,skiant,ӑс-тӑн
245,Verstand::N,skiant,ӑс-хакӑл
