,Concept_ID,ml,it
0,Auge::N,കണ്ണ്,occhio
1,Ohr::N,ചെവി,orecchio
2,Nase::N,മൂക്ക്,naso
3,Mund::N,വായ,bocca
4,Zahn::N,പല്ല്,dente
5,Zunge::N,നാക്ക്,lingua
6,Lippe::N,ചുണ്ട്,labbro
7,Wange::N,കവിൾത്തടം,guancia
8,Gesicht::N,മുഖം,viso
9,Gesicht::N,മുഖം,faccia
10,Stirn::N,നെറ്റി,fronte
11,Haar::N,തലമുടി,capello
12,Schnurrbart::N,മീശ,baffi
13,Schnurrbart::N,മീശ,mustacchi
14,Bart::N,താടിരോമം,barba
15,Kinn::N,താടി,mento
16,Kiefer[Anatomie]::N,താടിയെല്ല്,mascella
17,Kehle::N,കണ്ഠനാളം,gola
18,Hals::N,കഴുത്ത്,collo
19,Genick::N,പിടലി,nuca
20,Kopf::N,തല,capo
21,Kopf::N,തല,testa
22,Rücken::N,മുതുക്,dorso
23,Rücken::N,മുതുക്,schiena
24,Bauch::N,നയറ്,ventre
25,Nabel::N,നാഭി,ombelico
26,Busen::N,സ്തനം,seno
27,Brust::N,സ്തനം,petto
28,Schulter::N,തോൾ,spalla
29,Arm::N,കൈ,braccio
30,Ellenbogen::N,കൈമുട്ട്,gomito
31,Hand::N,കൈ,mano
32,Handfläche::N,ഉള്ളം കൈ,palma
33,Finger::N,വിരൽ,dito
34,Fingernagel::N,നഖം,unghia
35,Nagel[Anatomie]::N,നഖം,unghia
36,Zeh::N,കാൽവിരൽ,dito del piede
37,Fuß::N,കാൽപ്പാദം,piede
38,Ferse::N,ഉപ്പൂറ്റി,tallone
39,Ferse::N,ഉപ്പൂറ്റി,calcagno
40,Knie::N,കാൽമുട്ട്,ginocchio
41,Oberschenkel::N,തുട,fèmore
42,Bein::N,കാൽ,gamba
43,Körper::N,ശരീരം,corpo
44,Haut::N,ചർമ്മം,pelle
45,Blut::N,രക്തം,sangue
46,Ader::N,ഞരമ്പ്,vena
47,Sehne::N,സ്നായു,tèndine
48,Knochen::N,അസ്ഥി,osso
49,Gehirn::N,തലച്ചോറ്,cervello
50,Herz::N,ഹൃദയം,cuore
51,Magen::N,വയർ,stòmaco
52,Leber::N,കരൾ,fegato
53,Atem::N,ശ്വാസം,fiato
54,Atem::N,ശ്വാസം,respiro
55,Hunger::N,വിശപ്പ്,fame
56,Träne::N,കണ്ണീർ,làcrima
57,Geschmack::N,രുചി,gusto
58,Geschmack::N,രുചി,sapore
59,Geruch::N,ഗന്ധം,odore
60,Schlaf::N,ഉറകും,sonno
61,Traum::N,സ്വപ്നം,sogno
62,Himmel::N,ആകാശം,cielo
63,Sonne::N,സൂര്യൻ,sole
64,Mond::N,ചന്ദ്രൻ,luna
65,Stern::N,നക്ഷത്രം,stella
66,Luft::N,കാറ്റ്,aria
67,Wind::N,കാറ്റ്,vento
68,Welle::N,തിരമാല,onda
69,Wasser::N,വെള്ളം,acqua
70,Stein::N,ശില,sasso
71,Stein::N,ശില,pietra
72,Stein::N,കല്ല്,sasso
73,Stein::N,കല്ല്,pietra
74,Boden::N,തറ,suolo
75,Boden::N,തറ,terreno
76,Boden::N,നിലം,suolo
77,Boden::N,നിലം,terreno
78,Erde::N,മണ്ണ്,terra
79,Staub::N,പൊടി,polvere
80,Rauch::N,പുക,fumo
81,Funke::N,തീപ്പൊരി,scintilla
82,Feuer::N,തീ,fuoco
83,Licht::N,വിളക്ക്,luce
84,Licht::N,സൂര്യപ്രകാശം,luce
85,Schatten::N,തണൽ,ombra
86,Wetter::N,കാലാവസ്ഥ,tempo
87,Nebel::N,മൂടൽമഞ്ഞ്,nebbia
88,Wolke::N,മേഘം,nube
89,Wolke::N,മേഘം,nùvola
90,Regen::N,മഴ,pioggia
91,Schnee::N,മഞ്ഞ്,neve
92,Eis::N,ഐസ്,ghiaccio
93,Frost::N,മൂടൽമഞ്ഞ്,gelo
94,Kälte::N,തണുപ്പ്,freddo
95,Hitze::N,ചൂട്,caldo
96,Hitze::N,ചൂട്,calura
97,Raureif::N,കോടമഞ്ഞ്,brina
98,Regenbogen::N,മഴവില്ല്,arcobaleno
99,Donner::N,ഇടി,tuono
100,Strömung::N,പ്രവാഹം,corrente
101,Tropfen::N,തുള്ളി,goccia
102,Schaum::N,നുര,spuma
103,Schaum::N,നുര,schiuma
104,Schmutz::N,അഴുക്ക്,sudiciume
105,See::N,തടാകം,lago
