,Concept_ID,mn,ku
0,Auge::N,нүд,çav
1,Ohr::N,чих,guh
2,Nase::N,хамар,bêvil
3,Mund::N,ам,dev
4,Zahn::N,шүд,didan
5,Zunge::N,хэл,ziman
6,Lippe::N,уруул,lêv
7,Wange::N,хацар,dêm
8,Wange::N,хацар,hinarik
9,Gesicht::N,царай,rû
10,Gesicht::N,нүүр,rû
11,Stirn::N,дух,enî
12,Haar::N,үс,por
13,Schnurrbart::N,дээд сахал,simbêl
14,Schnurrbart::N,живэр сахал,simbêl
15,Bart::N,сахал,rih
16,Kinn::N,эрүү,zenî
17,Kiefer[Anatomie]::N,эрүү,arguşk
18,Kehle::N,хоолой,qirik
19,Hals::N,хүзүү,stû
20,Hals::N,хүзүү,qirik
21,Genick::N,шил,stû
22,Genick::N,хүзүү,stû
23,Kopf::N,толгой,serî
24,Rücken::N,ар,pişt
25,Rücken::N,нуруу,pişt
26,Bauch::N,хэвлий,ûr
27,Bauch::N,хэвлий,zik
28,Bauch::N,гэдэс,ûr
29,Bauch::N,гэдэс,zik
30,Nabel::N,хүйс,navik
31,Busen::N,хөх,sîng
32,Brust::N,цээж,sîng
33,Schulter::N,мөр,mil
34,Schulter::N,бугалга,mil
35,Arm::N,гар,çepil
36,Ellenbogen::N,тохой,enîşk
37,Hand::N,гар,dest
38,Hand::N,алга,dest
39,Handfläche::N,алга,kefadest
40,Finger::N,хуруу,tilî
41,Fingernagel::N,хурууны хумс,neynuk
42,Nagel[Anatomie]::N,хумс,bizmar
43,Zeh::N,хуруу,tilî linga
44,Fuß::N,хөл,ling
45,Ferse::N,өсгий,pahnî
46,Knie::N,өвдөг,kabok
47,Oberschenkel::N,гуя,rahn
48,Bein::N,хөл,çip
49,Körper::N,бие,laş
50,Körper::N,бие,gowde
51,Haut::N,арьс,çerm
52,Blut::N,цус,xwîn
53,Ader::N,судас,reh
54,Sehne::N,бүлх,reh
55,Sehne::N,шандас,reh
56,Knochen::N,яс,hestî
57,Gehirn::N,тархи,mêjî
58,Herz::N,зүрх,dil
59,Magen::N,ходоод,navêş
60,Leber::N,элэг,kezeb
61,Atem::N,амьсгаа,hilm
62,Hunger::N,өлсгөлөн,birçîtî
63,Träne::N,нулимс,hêstir
64,Geschmack::N,амт,tam
65,Geruch::N,үнэр,bêhn
66,Schlaf::N,нойр,xew
67,Traum::N,зүүд,xewn
68,Himmel::N,тэнгэр,ezman
69,Himmel::N,огторгуй,ezman
70,Sonne::N,нар,roj
71,Mond::N,сар,heyv
72,Stern::N,од,stêrk
73,Luft::N,агаар,ba
74,Wind::N,салхи,ba
75,Welle::N,долгио,şewl
76,Welle::N,давалгаа,şewl
77,Wasser::N,ус,av
78,Stein::N,чулуу,kevir
79,Boden::N,хөрс,herd
80,Erde::N,газар,ax
81,Erde::N,шороо,ax
82,Staub::N,тоос,toz
83,Rauch::N,утаа,dû
84,Funke::N,оч,çirûşk
85,Feuer::N,гал,agir
86,Licht::N,гэрэл,ronahî
87,Licht::N,гэгээ,ronahî
88,Schatten::N,сүүдэр,sî
89,Wetter::N,тэнгэр,hewa
90,Wetter::N,цаг уур,hewa
91,Nebel::N,будан,mij
92,Wolke::N,үүл,ewr
93,Regen::N,бороо,baran
94,Schnee::N,цас,berf
95,Eis::N,мөс,qeşa
96,Frost::N,хүйт,xûsik
97,Kälte::N,хүйт,serma
98,Hitze::N,халуун,germayî
99,Raureif::N,цан,şext
100,Raureif::N,хяруу,şext
101,Regenbogen::N,солонго,heftreng
102,Donner::N,тэнгэрийн дуу,gire-gir
103,Strömung::N,урсгал,şewl
104,Tropfen::N,дусал,dilop
105,Schaum::N,хөөс,kef
106,Schmutz::N,хир,gemar
107,Schmutz::N,шавхай,gemar
108,See::N,нуур,gol
109,Sumpf::N,намаг,hezek
110,Sumpf::N,балчиг,hezek
111,Moor::N,хүлрийн намаг,mafêl
112,Wiese::N,нуга,sûrik
113,Wald::N,ой,çiya
114,Wald::N,ой,daristan
115,Hügel::N,болдог,gir
116,Anhöhe::N,гүвээ,sere gir
117,Berg::N,уул,kaş
118,Gipfel::N,орой,sere gir
119,Gipfel::N,оргил,sere gir
120,Höhle::N,агуй,şikeft
121,Abhang::N,хүр,kaş
122,Quelle::N,булаг,kanî
123,Bach::N,горхи,çem
124,Fluss::N,гол,çem
125,Fluss::N,гол,rûbar
126,Fluss::N,мөрөн,çem
127,Fluss::N,мөрөн,rûbar
128,Ufer::N,эрэг,kevî
129,Küste::N,эрэг,berav
130,Festland::N,хуурай газар,bejahî
131,Meer::N,далай,behr
132,Meer::N,тэнгис,behr
133,Bucht::N,булан,derav
134,Bucht::N,далайн тохой,derav
135,Insel::N,арал,girav
136,Blume::N,цэцэг,kulînk
137,Gras::N,өвс,giha
138,Gras::N,ногоо,giha
139,Wurzel::N,үндэс,reh
140,Baum::N,мод,dar
141,Stamm::N,иш,bavik
142,Stamm::N,гуалин,bavik
143,Rinde::N,холтос,qaqil
144,Ast::N,гишүү,gulî
