,Concept_ID,pt,sv
0,Auge::N,olho,öga
1,Ohr::N,orelha,öra
2,Nase::N,nariz,näsa
3,Mund::N,boca,mun
4,Zahn::N,dente,tand
5,Zunge::N,língua,tunga
6,Lippe::N,lábio,läpp
7,Wange::N,face,kind
8,Gesicht::N,cara,syn
9,Gesicht::N,cara,ansikte
10,Gesicht::N,rosto,syn
11,Gesicht::N,rosto,ansikte
12,Stirn::N,testa,panna
13,Haar::N,cabelo,hår
14,Schnurrbart::N,bigode,mustasch
15,Bart::N,barba,skägg
16,Kinn::N,queixo,haka
17,Kiefer[Anatomie]::N,maxila,käke
18,Kiefer[Anatomie]::N,mandíbula,käke
19,Kehle::N,garganta,strupe
20,Hals::N,colo,hals
21,Hals::N,pescoço,hals
22,Genick::N,nuca,nacke
23,Kopf::N,cabeça,huvud
24,Rücken::N,dorso,rygg
25,Rücken::N,costas,rygg
26,Bauch::N,ventre,buk
27,Bauch::N,ventre,mage
28,Bauch::N,barriga,buk
29,Bauch::N,barriga,mage
30,Nabel::N,umbigo,navel
31,Busen::N,seio,barm
32,Brust::N,peito,bröst
33,Schulter::N,ombro,skuldra
34,Arm::N,braço,arm
35,Ellenbogen::N,cotovelo,armbåge
36,Hand::N,mão,hand
37,Handfläche::N,palma,handflata
38,Handfläche::N,palma da mão,handflata
39,Finger::N,dedo,finger
40,Fingernagel::N,unha,fingernagel
41,Nagel[Anatomie]::N,unha,nagel
42,Zeh::N,dedo do pé,tå
43,Fuß::N,pé,fot
44,Ferse::N,calcanhar,häl
45,Knie::N,joelho,knä
46,Oberschenkel::N,coxa,lår
47,Bein::N,perna,ben
48,Körper::N,corpo,kropp
49,Haut::N,pele,hud
50,Haut::N,pele,skinn
51,Blut::N,sangue,blod
52,Ader::N,veia,åder
53,Sehne::N,tendão,sena
54,Knochen::N,osso,ben
55,Gehirn::N,cérebro,hjärna
56,Herz::N,coração,hjärta
57,Magen::N,estômago,mage
58,Leber::N,fígado,lever
59,Atem::N,fôlego,anda
60,Atem::N,fôlego,andedräkt
61,Hunger::N,fome,svält
62,Hunger::N,fome,hunger
63,Träne::N,lágrima,tår
64,Geschmack::N,gosto,smak
65,Geruch::N,odor,lukt
66,Geruch::N,cheiro,lukt
67,Schlaf::N,sono,sömn
68,Traum::N,sonho,dröm
69,Himmel::N,céu,himmel
70,Sonne::N,sol,sol
71,Mond::N,lua,måne
72,Stern::N,estrela,stjärna
73,Luft::N,ar,luft
74,Wind::N,vento,vind
75,Welle::N,onda,våg
76,Welle::N,onda,bölja
77,Wasser::N,água,vatten
78,Stein::N,pedra,sten
79,Boden::N,solo,mark
80,Erde::N,terra,jord
81,Staub::N,pó,damm
82,Rauch::N,fumo,rök
83,Funke::N,faísca,gnista
84,Funke::N,centelha,gnista
85,Feuer::N,fogo,eld
86,Licht::N,luz,ljus
87,Schatten::N,sombra,skugga
88,Wetter::N,tempo,väder
89,Nebel::N,nevoeiro,dimma
90,Nebel::N,nevoeiro,töcken
91,Wolke::N,nuvem,sky
92,Wolke::N,nuvem,moln
93,Regen::N,chuva,regn
94,Schnee::N,neve,snö
95,Eis::N,gelo,is
96,Frost::N,gelo,frost
97,Frost::N,geada,frost
98,Kälte::N,frio,köld
99,Hitze::N,ardor,hetta
100,Raureif::N,geada,rimfrost
101,Regenbogen::N,arco-iris,regnbåge
102,Donner::N,trovão,åska
103,Donner::N,trovão,dunder
104,Strömung::N,corrente,strömning
105,Tropfen::N,gota,dropper
106,Schaum::N,espuma,skum
107,Schmutz::N,sujidade,lort
108,Schmutz::N,sujidade,smuts
109,Schmutz::N,imundície,lort
110,Schmutz::N,imundície,smuts
111,See::N,lago,sjö
112,Sumpf::N,charco,träsk
