,Concept_ID,lt,el
0,Auge::N,akis,μάτι
1,Auge::N,akis,οφθαλμός
2,Ohr::N,ausis,αυτί
3,Nase::N,nosis,μύτη
4,Mund::N,burna,στόμα
5,Zahn::N,dantis,δόντι
6,Zunge::N,liežuvis,γλώσσα
7,Lippe::N,lūpa,χείλος
8,Wange::N,žandas,παρειά
9,Wange::N,žandas,μάγουλο
10,Wange::N,skruostas,παρειά
11,Wange::N,skruostas,μάγουλο
12,Gesicht::N,veidas,πρόσωπο
13,Stirn::N,kakta,μέτωπο
14,Haar::N,plaukai,μαλλιά
15,Schnurrbart::N,ūsai,μουστάκι
16,Bart::N,barzda,γένια
17,Kinn::N,smakras,πιγούνι
18,Kiefer[Anatomie]::N,žandikaulis,σαγόνι
19,Kehle::N,gerklė,λαρύγγι
20,Hals::N,kaklas,λαιμός
21,Genick::N,sprandas,σβέρκος
22,Kopf::N,galva,κεφάλι
23,Rücken::N,nugara,ράχη
24,Bauch::N,pilvas,κοιλιά
25,Nabel::N,bamba,αφαλός
26,Busen::N,krūtinė,στήθος
27,Brust::N,krūtis,στήθος
28,Schulter::N,petys,ώμος
29,Arm::N,ranka,χέρι
30,Arm::N,ranka,μπράτςο
31,Ellenbogen::N,alkūnė,αγκώνας
32,Hand::N,ranka,χέρι
33,Hand::N,plaštaka,χέρι
34,Handfläche::N,delnas,παλάμη
35,Handfläche::N,plaštaka,παλάμη
36,Finger::N,pirštas,δάχτυλο
37,Fingernagel::N,nagas,νύχι
38,Nagel[Anatomie]::N,nagas,νύχι
39,Zeh::N,pirštas,δάχτυλο του ποδιού
40,Fuß::N,pėda,πόδι
41,Ferse::N,kulnas,φτέρνα
42,Knie::N,kelis,γόνατο
43,Oberschenkel::N,kulšis,μηρός
44,Oberschenkel::N,šlaunis,μηρός
45,Bein::N,koja,πόδι
46,Körper::N,kūnas,σώμα
47,Körper::N,kūnas,κορμί
48,Haut::N,oda,πετσί
49,Blut::N,kraujas,αίμα
50,Ader::N,kraujagyslė,φλέβα
51,Sehne::N,sausgyslė,νεύρο
52,Sehne::N,sausgyslė,τένοντας
53,Knochen::N,kaulas,οστό
54,Knochen::N,kaulas,κόκκαλο
55,Gehirn::N,smegenys,μυαλό
56,Gehirn::N,smegenys,εγκέφαλος
57,Herz::N,širdis,καρδιά
58,Magen::N,skrandis,στομάχι
59,Leber::N,kepenys,ήπαρ
60,Leber::N,kepenys,συκωτί
61,Atem::N,kvapas,αναπνοή
62,Hunger::N,badas,πείνα
63,Hunger::N,alkis,πείνα
64,Träne::N,ašara,δάκρυ
65,Geschmack::N,skonis,γεύση
66,Geruch::N,kvapas,οσμή
67,Geruch::N,kvapas,μυρωδία
68,Schlaf::N,miegas,ύπνος
69,Traum::N,sapnas,όνειρο
70,Himmel::N,dangus,ουρανός
71,Sonne::N,saulė,ήλιος
72,Mond::N,mėnulis,σελήνη
73,Mond::N,mėnulis,φεγγάρι
74,Stern::N,žvaigždė,άστρο
75,Stern::N,žvaigždė,αστέρι
76,Luft::N,oras,αέρας
77,Wind::N,vėjas,αέρας
78,Wind::N,vėjas,άνεμος
79,Welle::N,banga,κύμα
80,Welle::N,vilnis,κύμα
81,Wasser::N,vanduo,νερό
82,Stein::N,akmuo,πέτρα
83,Boden::N,žemė,χώμα
84,Boden::N,dugnas,χώμα
85,Erde::N,žemė,γη
86,Staub::N,dulkės,σκόνη
87,Rauch::N,dūmai,καπνός
88,Funke::N,kibirkštis,σπίθα
89,Funke::N,kibirkštis,σπινθήρας
90,Feuer::N,ugnis,φωτιά
91,Licht::N,šviesa,φως
92,Schatten::N,paūksmė,σκιά
93,Schatten::N,paūksmė,ίσκιος
94,Wetter::N,oras,καιρός
95,Nebel::N,migla,ομίχλη
96,Nebel::N,rūkas,ομίχλη
97,Wolke::N,debesis,σύννεφο
98,Regen::N,lietus,βροχή
99,Schnee::N,sniegas,χιόνι
100,Eis::N,ledas,πάγος
101,Frost::N,šalna,παγωνία
102,Kälte::N,šaltis,κρύο
103,Kälte::N,šaltis,ψύχος
104,Hitze::N,karštis,ζέστη
105,Raureif::N,šerkšnas,πάχνη
106,Regenbogen::N,vaivorykštė,ουράνιο τόξο
107,Donner::N,perkūnas,βροντή
108,Donner::N,griaustinis,βροντή
109,Strömung::N,tėkmė,ρεύμα
110,Tropfen::N,lašas,στάλα
111,Schaum::N,putos,αφρός
112,Schmutz::N,purvas,βρωμιά
113,See::N,ežeras,λίμνη
114,Sumpf::N,klampynė,βάλτος
115,Sumpf::N,liūnas,βάλτος
116,Moor::N,pelkė,έλος
117,Wiese::N,pieva,λιβάδι
118,Wald::N,miškas,δάσος
119,Hügel::N,kalva,λόφος
120,Anhöhe::N,kauburys,ύψωμα
121,Berg::N,kalnas,όρος
122,Berg::N,kalnas,βουνό
123,Gipfel::N,viršūnė,κορυφή
124,Höhle::N,ola,σπηλιά
125,Abhang::N,šlaitas,πλαγιά
126,Abhang::N,nuokalnė,πλαγιά
127,Quelle::N,versmė,πηγή
128,Quelle::N,versmė,βρύση
