,Concept_ID,et,lv
0,Auge::N,silm,син
1,Auge::N,silm,acs
2,Ohr::N,kõrv,пель
3,Ohr::N,kõrv,auss
4,Nase::N,nina,ныр
5,Nase::N,nina,deguns
6,Mund::N,suu,вом
7,Mund::N,suu,mute
8,Zahn::N,hammas,пинь
9,Zahn::N,hammas,zobs
10,Zunge::N,keel,кыв
11,Zunge::N,keel,mēle
12,Lippe::N,huul,вом дор
13,Lippe::N,huul,lūpa
14,Wange::N,põsk,бан
15,Wange::N,põsk,vaigs
16,Gesicht::N,nägu,чужӧм
17,Gesicht::N,nägu,seja
18,Gesicht::N,nägu,ģīmis
19,Stirn::N,otsmik,плеш
20,Stirn::N,otsmik,кымӧс
21,Stirn::N,otsmik,piere
22,Haar::N,juus,си
23,Haar::N,juus,юрси
24,Haar::N,juus,mats
25,Schnurrbart::N,vurrud,ус
26,Schnurrbart::N,vurrud,пыртсим
27,Schnurrbart::N,vurrud,ūsas
28,Schnurrbart::N,vuntsid,ус
29,Schnurrbart::N,vuntsid,пыртсим
30,Schnurrbart::N,vuntsid,ūsas
31,Bart::N,habe,тош
32,Bart::N,habe,bārda
33,Kinn::N,lõug,тшӧка
34,Kinn::N,lõug,zods
35,Kinn::N,lõug,smakrs
36,Kiefer[Anatomie]::N,lõualuu,черлы
37,Kiefer[Anatomie]::N,lõualuu,алака лы
38,Kiefer[Anatomie]::N,lõualuu,вомкӧтш лы
39,Kiefer[Anatomie]::N,lõualuu,žoklis
40,Kehle::N,kõri,голя
41,Kehle::N,kõri,rīkle
42,Hals::N,kael,сьылі
43,Hals::N,kael,kakls
44,Genick::N,kukal,юрбӧр
45,Genick::N,kukal,балябӧж
46,Genick::N,kukal,sprands
47,Kopf::N,pea,юр
48,Kopf::N,pea,galva
49,Rücken::N,selg,мыш
50,Rücken::N,selg,mugura
51,Bauch::N,kõht,рушку
52,Bauch::N,kõht,vēders
53,Nabel::N,naba,гӧг
54,Nabel::N,naba,naba
55,Busen::N,rind,морӧс
56,Busen::N,rind,krūts
57,Brust::N,rind,морӧс
58,Brust::N,rind,krūts
59,Schulter::N,õlg,пельпом
60,Schulter::N,õlg,plecs
61,Arm::N,käsivars,ки
62,Arm::N,käsivars,roka
63,Arm::N,käsivars,delms
64,Ellenbogen::N,küünarnukk,гырддза
65,Ellenbogen::N,küünarnukk,elkonis
66,Hand::N,käsi,ки
67,Hand::N,käsi,roka
68,Hand::N,käsi,plauksta
69,Handfläche::N,pihk,ки пыдӧс
70,Handfläche::N,pihk,delna
71,Handfläche::N,pihk,plauksta
72,Finger::N,sõrm,чунь
73,Finger::N,sõrm,pirksts
74,Fingernagel::N,küüs,гыж
75,Fingernagel::N,küüs,nags
76,Nagel[Anatomie]::N,küüs,гыж
77,Nagel[Anatomie]::N,küüs,nags
78,Zeh::N,varvas,кок чунь
79,Zeh::N,varvas,pirksts
80,Fuß::N,jalg,кок
81,Fuß::N,jalg,kāja
82,Ferse::N,kand,кокбӧр
83,Ferse::N,kand,papēdis
84,Knie::N,põlv,пидзӧс
85,Knie::N,põlv,celis
86,Oberschenkel::N,reis,лядьвей
87,Oberschenkel::N,reis,бек
88,Oberschenkel::N,reis,ciska
89,Oberschenkel::N,reis,augšstilbs
90,Bein::N,jalg,кок
91,Bein::N,jalg,kāja
92,Körper::N,ihu,туша
93,Körper::N,ihu,вывтыр
94,Körper::N,ihu,miesa
95,Körper::N,ihu,ķermenis
96,Körper::N,keha,туша
97,Körper::N,keha,вывтыр
98,Körper::N,keha,miesa
99,Körper::N,keha,ķermenis
100,Haut::N,nahk,ку
101,Haut::N,nahk,āda
102,Blut::N,veri,вир
103,Blut::N,veri,asins
104,Ader::N,veen,сӧн
105,Ader::N,veen,asinsvads
106,Sehne::N,kõõlus,вез
107,Sehne::N,kõõlus,dzīsla
108,Knochen::N,luu,лы
109,Knochen::N,luu,kauls
110,Gehirn::N,aju,вем
111,Gehirn::N,aju,smadzenes
112,Herz::N,süda,сьӧлӧм
113,Herz::N,süda,sirds
114,Magen::N,magu,кынӧм
115,Magen::N,magu,kuņģis
116,Leber::N,maks,мус
117,Leber::N,maks,aknas
118,Atem::N,hingeõhk,лов
119,Atem::N,hingeõhk,elpa
120,Atem::N,hingamine,лов
121,Atem::N,hingamine,elpa
122,Hunger::N,nälg,тшыг
123,Hunger::N,nälg,bads
124,Hunger::N,nälg,izsalkums
125,Träne::N,pisar,синва
126,Träne::N,pisar,asara
127,Geschmack::N,maitse,кӧр
128,Geschmack::N,maitse,чӧсмӧс
129,Geschmack::N,maitse,garša
130,Geruch::N,lõhn,зын
131,Geruch::N,lõhn,дук
132,Geruch::N,lõhn,smaka
133,Schlaf::N,uni,узьӧм
134,Schlaf::N,uni,miegs
135,Traum::N,unenägu,вӧт
136,Traum::N,unenägu,вӧтасьӧм
137,Traum::N,unenägu,sapnis
138,Himmel::N,taevas,енэж
139,Himmel::N,taevas,debess
140,Sonne::N,päike,шонді
141,Sonne::N,päike,saule
142,Mond::N,kuu,тӧлысь
143,Mond::N,kuu,mēness
144,Stern::N,täht,кодзув
145,Stern::N,täht,zvaigzne
146,Luft::N,õhk,сынӧд
147,Luft::N,õhk,gaiss
148,Wind::N,tuul,тӧв
149,Wind::N,tuul,vējš
150,Welle::N,laine,гы
151,Welle::N,laine,vilnis
152,Wasser::N,vesi,ва
153,Wasser::N,vesi,ūdens
154,Stein::N,kivi,из
155,Stein::N,kivi,akmens
156,Boden::N,maa,му
157,Boden::N,maa,augsne
158,Boden::N,pinnas,му
159,Boden::N,pinnas,augsne
160,Erde::N,maa,му
161,Erde::N,maa,му-ва
162,Erde::N,maa,zeme
163,Staub::N,põrm,бус
164,Staub::N,põrm,putekļi
165,Rauch::N,suits,тшын
166,Rauch::N,suits,dūmi
167,Funke::N,säde,кинь
168,Funke::N,säde,би кинь
169,Funke::N,säde,dzirkstele
170,Feuer::N,tuli,би
