,Concept_ID,ku,lv
0,Auge::N,çav,син
1,Auge::N,çav,acs
2,Ohr::N,guh,пель
3,Ohr::N,guh,auss
4,Nase::N,bêvil,ныр
5,Nase::N,bêvil,deguns
6,Mund::N,dev,вом
7,Mund::N,dev,mute
8,Zahn::N,didan,пинь
9,Zahn::N,didan,zobs
10,Zunge::N,ziman,кыв
11,Zunge::N,ziman,mēle
12,Lippe::N,lêv,вом дор
13,Lippe::N,lêv,lūpa
14,Wange::N,dêm,бан
15,Wange::N,dêm,vaigs
16,Wange::N,hinarik,бан
17,Wange::N,hinarik,vaigs
18,Gesicht::N,rû,чужӧм
19,Gesicht::N,rû,seja
20,Gesicht::N,rû,ģīmis
21,Stirn::N,enî,плеш
22,Stirn::N,enî,кымӧс
23,Stirn::N,enî,piere
24,Haar::N,por,си
25,Haar::N,por,юрси
26,Haar::N,por,mats
27,Schnurrbart::N,simbêl,ус
28,Schnurrbart::N,simbêl,пыртсим
29,Schnurrbart::N,simbêl,ūsas
30,Bart::N,rih,тош
31,Bart::N,rih,bārda
32,Kinn::N,zenî,тшӧка
33,Kinn::N,zenî,zods
34,Kinn::N,zenî,smakrs
35,Kiefer[Anatomie]::N,arguşk,черлы
36,Kiefer[Anatomie]::N,arguşk,алака лы
37,Kiefer[Anatomie]::N,arguşk,вомкӧтш лы
38,Kiefer[Anatomie]::N,arguşk,žoklis
39,Kehle::N,qirik,голя
40,Kehle::N,qirik,rīkle
41,Hals::N,stû,сьылі
42,Hals::N,stû,kakls
43,Hals::N,qirik,сьылі
44,Hals::N,qirik,kakls
45,Genick::N,stû,юрбӧр
46,Genick::N,stû,балябӧж
47,Genick::N,stû,sprands
48,Kopf::N,serî,юр
49,Kopf::N,serî,galva
50,Rücken::N,pişt,мыш
51,Rücken::N,pişt,mugura
52,Bauch::N,ûr,рушку
53,Bauch::N,ûr,vēders
54,Bauch::N,zik,рушку
55,Bauch::N,zik,vēders
56,Nabel::N,navik,гӧг
57,Nabel::N,navik,naba
58,Busen::N,sîng,морӧс
59,Busen::N,sîng,krūts
60,Brust::N,sîng,морӧс
61,Brust::N,sîng,krūts
62,Schulter::N,mil,пельпом
63,Schulter::N,mil,plecs
64,Arm::N,çepil,ки
65,Arm::N,çepil,roka
66,Arm::N,çepil,delms
67,Ellenbogen::N,enîşk,гырддза
68,Ellenbogen::N,enîşk,elkonis
69,Hand::N,dest,ки
70,Hand::N,dest,roka
71,Hand::N,dest,plauksta
72,Handfläche::N,kefadest,ки пыдӧс
73,Handfläche::N,kefadest,delna
74,Handfläche::N,kefadest,plauksta
75,Finger::N,tilî,чунь
76,Finger::N,tilî,pirksts
77,Fingernagel::N,neynuk,гыж
78,Fingernagel::N,neynuk,nags
79,Nagel[Anatomie]::N,bizmar,гыж
80,Nagel[Anatomie]::N,bizmar,nags
81,Zeh::N,tilî linga,кок чунь
82,Zeh::N,tilî linga,pirksts
83,Fuß::N,ling,кок
84,Fuß::N,ling,kāja
85,Ferse::N,pahnî,кокбӧр
86,Ferse::N,pahnî,papēdis
87,Knie::N,kabok,пидзӧс
88,Knie::N,kabok,celis
89,Oberschenkel::N,rahn,лядьвей
90,Oberschenkel::N,rahn,бек
91,Oberschenkel::N,rahn,ciska
92,Oberschenkel::N,rahn,augšstilbs
93,Bein::N,çip,кок
94,Bein::N,çip,kāja
95,Körper::N,laş,туша
96,Körper::N,laş,вывтыр
97,Körper::N,laş,miesa
98,Körper::N,laş,ķermenis
99,Körper::N,gowde,туша
100,Körper::N,gowde,вывтыр
101,Körper::N,gowde,miesa
102,Körper::N,gowde,ķermenis
103,Haut::N,çerm,ку
104,Haut::N,çerm,āda
105,Blut::N,xwîn,вир
106,Blut::N,xwîn,asins
107,Ader::N,reh,сӧн
108,Ader::N,reh,asinsvads
109,Sehne::N,reh,вез
110,Sehne::N,reh,dzīsla
111,Knochen::N,hestî,лы
112,Knochen::N,hestî,kauls
113,Gehirn::N,mêjî,вем
114,Gehirn::N,mêjî,smadzenes
115,Herz::N,dil,сьӧлӧм
116,Herz::N,dil,sirds
117,Magen::N,navêş,кынӧм
118,Magen::N,navêş,kuņģis
119,Leber::N,kezeb,мус
120,Leber::N,kezeb,aknas
121,Atem::N,hilm,лов
122,Atem::N,hilm,elpa
123,Hunger::N,birçîtî,тшыг
124,Hunger::N,birçîtî,bads
125,Hunger::N,birçîtî,izsalkums
126,Träne::N,hêstir,синва
127,Träne::N,hêstir,asara
128,Geschmack::N,tam,кӧр
129,Geschmack::N,tam,чӧсмӧс
130,Geschmack::N,tam,garša
131,Geruch::N,bêhn,зын
132,Geruch::N,bêhn,дук
133,Geruch::N,bêhn,smaka
134,Schlaf::N,xew,узьӧм
135,Schlaf::N,xew,miegs
136,Traum::N,xewn,вӧт
137,Traum::N,xewn,вӧтасьӧм
138,Traum::N,xewn,sapnis
139,Himmel::N,ezman,енэж
140,Himmel::N,ezman,debess
141,Sonne::N,roj,шонді
142,Sonne::N,roj,saule
143,Mond::N,heyv,тӧлысь
144,Mond::N,heyv,mēness
145,Stern::N,stêrk,кодзув
146,Stern::N,stêrk,zvaigzne
147,Luft::N,ba,сынӧд
148,Luft::N,ba,gaiss
149,Wind::N,ba,тӧв
150,Wind::N,ba,vējš
151,Welle::N,şewl,гы
152,Welle::N,şewl,vilnis
153,Wasser::N,av,ва
154,Wasser::N,av,ūdens
155,Stein::N,kevir,из
156,Stein::N,kevir,akmens
157,Boden::N,herd,му
158,Boden::N,herd,augsne
159,Erde::N,ax,му
160,Erde::N,ax,му-ва
161,Erde::N,ax,zeme
162,Staub::N,toz,бус
163,Staub::N,toz,putekļi
164,Rauch::N,dû,тшын
165,Rauch::N,dû,dūmi
166,Funke::N,çirûşk,кинь
167,Funke::N,çirûşk,би кинь
168,Funke::N,çirûşk,dzirkstele
169,Feuer::N,agir,би
170,Feuer::N,agir,uguns
171,Licht::N,ronahî,югӧр
172,Licht::N,ronahî,gaisma
173,Schatten::N,sî,вуджӧр
174,Schatten::N,sî,ēna
175,Wetter::N,hewa,поводдя
176,Wetter::N,hewa,laiks
177,Nebel::N,mij,ру
178,Nebel::N,mij,онь
179,Nebel::N,mij,migla
180,Wolke::N,ewr,кымӧр
181,Wolke::N,ewr,mākonis
182,Regen::N,baran,зэр
183,Regen::N,baran,lietus
184,Schnee::N,berf,лым
185,Schnee::N,berf,sniegs
186,Eis::N,qeşa,йи
187,Eis::N,qeşa,ledus
188,Frost::N,xûsik,кӧдзыд
189,Frost::N,xûsik,sals
190,Kälte::N,serma,кӧдзыд
191,Kälte::N,serma,saltums
192,Kälte::N,serma,aukstums
193,Hitze::N,germayî,пӧсь
194,Hitze::N,germayî,гожӧд
195,Hitze::N,germayî,karstums
196,Raureif::N,şext,пуж
197,Raureif::N,şext,гыӧр
198,Raureif::N,şext,sarma
199,Regenbogen::N,heftreng,ӧшкамӧшка
200,Regenbogen::N,heftreng,varavīksne
201,Donner::N,gire-gir,гым
202,Donner::N,gire-gir,pērkons
203,Strömung::N,şewl,ва ныр
204,Strömung::N,şewl,визувтӧм
205,Strömung::N,şewl,straume
206,Strömung::N,şewl,strāvojums
207,Tropfen::N,dilop,войт
208,Tropfen::N,dilop,lāse
209,Schaum::N,kef,быг
210,Schaum::N,kef,быгзьӧм
211,Schaum::N,kef,putas
212,Schmutz::N,gemar,няйт
213,Schmutz::N,gemar,dubļi
214,See::N,gol,ты
215,See::N,gol,ezers
216,Sumpf::N,hezek,гыбад
217,Sumpf::N,hezek,кад
218,Sumpf::N,hezek,dumbrājs
219,Sumpf::N,hezek,staignājs
220,Moor::N,mafêl,нюр
221,Moor::N,mafêl,purvs
222,Moor::N,mafêl,muklājs
223,Wiese::N,sûrik,видз
224,Wiese::N,sûrik,pļava
225,Wald::N,çiya,вӧр
226,Wald::N,çiya,mežs
227,Wald::N,daristan,вӧр
228,Wald::N,daristan,mežs
229,Hügel::N,gir,дзиб
230,Hügel::N,gir,мыльк
231,Hügel::N,gir,нӧрыс
232,Hügel::N,gir,paugurs
233,Anhöhe::N,sere gir,мыльк
234,Anhöhe::N,sere gir,нӧрыс
235,Anhöhe::N,sere gir,paugurs
236,Berg::N,kaş,чой
237,Berg::N,kaş,керӧс
238,Berg::N,kaş,kalns
239,Gipfel::N,sere gir,чук
240,Gipfel::N,sere gir,virsotne
241,Höhle::N,şikeft,рудӧг
242,Höhle::N,şikeft,ala
243,Abhang::N,kaş,ньывк
244,Abhang::N,kaş,бокша
245,Abhang::N,kaş,nogāze
246,Quelle::N,kanî,ӧшмӧс
247,Quelle::N,kanî,avots
248,Bach::N,çem,шор
249,Bach::N,çem,urga
250,Bach::N,çem,strauts
251,Fluss::N,çem,ю
252,Fluss::N,çem,upe
253,Fluss::N,rûbar,ю
254,Fluss::N,rûbar,upe
255,Ufer::N,kevî,вадор
256,Ufer::N,kevî,krasts
257,Küste::N,berav,вадор
258,Küste::N,berav,piekraste
259,Festland::N,bejahî,му
260,Festland::N,bejahî,sauszeme
261,Meer::N,behr,саридз
262,Meer::N,behr,jūra
263,Bucht::N,derav,куръя
264,Bucht::N,derav,līcis
265,Insel::N,girav,ді
266,Insel::N,girav,sala
267,Blume::N,kulînk,дзоридз
268,Blume::N,kulînk,puķe
269,Blume::N,kulînk,zieds
270,Gras::N,giha,турун
271,Gras::N,giha,zāle
272,Wurzel::N,reh,вуж
273,Wurzel::N,reh,sakne
274,Baum::N,dar,пу
275,Baum::N,dar,koks
276,Stamm::N,bavik,пучер
277,Stamm::N,bavik,stumbrs
278,Rinde::N,qaqil,кырсь
279,Rinde::N,qaqil,miza
280,Ast::N,gulî,ув
281,Ast::N,gulî,zars
282,Zweig::N,şax,вож
283,Zweig::N,şax,nozare
284,Blatt::N,pel,кор
285,Blatt::N,pel,lapa
286,Birke::N,dara sipî,кыдз
287,Birke::N,dara sipî,bērzs
288,Kiefer[Baum]::N,dara bî,пожӧм
289,Kiefer[Baum]::N,dara bî,priede
290,Weide[Baum]::N,dara belalûk,бадь
291,Weide[Baum]::N,dara belalûk,kārkls
292,Tanne::N,merx,коз
293,Tanne::N,merx,egle
294,Horn::N,strô,сюр
295,Horn::N,strô,rags
296,Feder::N,pîrtîk,гӧн
297,Feder::N,pîrtîk,тывборд
298,Feder::N,pîrtîk,spalva
299,Fell::N,heyar,ку
300,Fell::N,heyar,āda
301,Flügel::N,per,борд
302,Flügel::N,per,spārns
303,Klaue::N,napîk,гыж
304,Klaue::N,napîk,nags
305,Kralle::N,dinik,гыж
306,Kralle::N,dinik,nags
307,Kralle::N,dirnax,гыж
308,Kralle::N,dirnax,nags
309,Schwanz::N,dûv,бӧж
310,Schwanz::N,dûv,ļipa
311,Ei::N,hêk,кольк
312,Ei::N,hêk,ola
313,Nest::N,hêlîn,поз
314,Nest::N,hêlîn,ligzda
315,Bau::N,avahî,горс
316,Bau::N,avahî,пырмӧс
317,Bau::N,avahî,гу
318,Bau::N,avahî,ala
319,Tier::N,heywan,пемӧс
320,Tier::N,heywan,dzīvnieks
321,Herde::N,hoz,стада
322,Herde::N,hoz,кельӧб
323,Herde::N,hoz,ganāmpulks
324,Kuh::N,çêlek,мӧс
325,Kuh::N,çêlek,govs
326,Bulle::N,ga,ӧш
327,Bulle::N,ga,bullis
328,Pferd::N,hesp,вӧв
329,Pferd::N,hesp,zirgs
330,Schaf::N,mîh,ыж
331,Schaf::N,mîh,aita
332,Schwein::N,beraz,порсь
333,Schwein::N,beraz,cūka
334,Hund::N,seh,пон
335,Hund::N,seh,suns
336,Katze::N,pişîk,кань
337,Katze::N,pişîk,kaķis
338,Bär::N,hirç,ош
339,Bär::N,hirç,lācis
340,Eichhörnchen::N,pilûr,ур
