,Concept_ID,ca,ro
0,Auge::N,ull,ochi
1,Ohr::N,orella,ureche
2,Nase::N,nas,nas
3,Mund::N,boca,gură
4,Zahn::N,dent,dinte
5,Zunge::N,llēngua,limbă
6,Lippe::N,llavi,buză
7,Wange::N,galta,bucă
8,Wange::N,galta,obraz
9,Gesicht::N,cara,față
10,Gesicht::N,cara,figură
11,Stirn::N,front,frunte
12,Haar::N,cabēll,păr
13,Schnurrbart::N,bigoti,mustață
14,Bart::N,barba,barbă
15,Kinn::N,mentó,bărbie
16,Kinn::N,barbeta,bărbie
17,Kiefer[Anatomie]::N,queix,falcă
18,Kiefer[Anatomie]::N,mandíbula,falcă
19,Kehle::N,gola,beregată
20,Kehle::N,gorja,beregată
21,Hals::N,coll,gât
22,Genick::N,nuca,ceafă
23,Kopf::N,cap,cap
24,Rücken::N,esquena,dos
25,Rücken::N,esquena,spate
26,Rücken::N,esquena,spinare
27,Bauch::N,panxa,burtă
28,Bauch::N,panxa,pântece
29,Nabel::N,llombrígol,buric
30,Busen::N,pit,sân
31,Busen::N,mama,sân
32,Brust::N,pit,piept
33,Schulter::N,espatlla,umăr
34,Schulter::N,espatlla,spate
35,Arm::N,braç,braț
36,Ellenbogen::N,colze,cot
37,Hand::N,mà,mână
38,Handfläche::N,palma,palmă
39,Finger::N,dit,deget
40,Fingernagel::N,ungla,unghie
41,Nagel[Anatomie]::N,ungla,unghie
42,Zeh::N,dit del peu,deget de la picior
43,Fuß::N,peu,picior
44,Ferse::N,taló,călcâi
45,Knie::N,genoll,genunchi
46,Oberschenkel::N,cuixa,coapsă
47,Bein::N,cama,picior
48,Körper::N,cos,corp
49,Haut::N,pell,piele
50,Blut::N,sang,sânge
51,Ader::N,vena,vână
52,Ader::N,vena,arteră
53,Sehne::N,tendó,tendon
54,Knochen::N,os,os
55,Gehirn::N,cervell,creier
56,Herz::N,cor,inimă
57,Magen::N,estómac,stomac
58,Leber::N,fetge,ficat
59,Atem::N,alè,răsuflare
60,Atem::N,alè,respirație
61,Atem::N,hàlit,răsuflare
62,Atem::N,hàlit,respirație
63,Hunger::N,fam,foame
64,Hunger::N,gana,foame
65,Träne::N,llàgrima,lacrimă
66,Geschmack::N,gust,gust
67,Geschmack::N,sabor,gust
68,Geruch::N,olor,miros
69,Schlaf::N,son,somn
70,Traum::N,somni,vis
71,Himmel::N,celm,cer
72,Sonne::N,sol,soare
73,Mond::N,lluna,lună
74,Stern::N,estel,stea
75,Stern::N,estrella,stea
76,Luft::N,aire,aer
77,Wind::N,vent,vânt
78,Welle::N,ona,val
79,Welle::N,ona,undă
80,Wasser::N,āigua,apă
81,Stein::N,pedra,piatră
82,Boden::N,sòl,sol
83,Boden::N,sòl,pământ
84,Erde::N,terra,pământ
85,Staub::N,pols,praf
86,Rauch::N,fum,fum
87,Funke::N,guspira,scânteie
88,Funke::N,centella,scânteie
89,Feuer::N,foc,foc
90,Licht::N,llum,lumină
91,Schatten::N,ombra,umbră
92,Wetter::N,temps,timp
93,Wetter::N,temps,vreme
94,Nebel::N,boira,ceață
95,Nebel::N,boira,negură
96,Wolke::N,núvol,nor
97,Regen::N,pluja,ploaie
98,Schnee::N,neu,zăpadă
99,Eis::N,gel,gheață
100,Eis::N,glaç,gheață
101,Frost::N,glaçada,ger
102,Kälte::N,fred,frig
103,Hitze::N,calor,arșiță
104,Hitze::N,calor,căldură
105,Raureif::N,gebre,chiciură
106,Regenbogen::N,arc iris,curcubeu
107,Donner::N,tro,tunet
108,Strömung::N,corrent,curent
109,Tropfen::N,gota,picătură
110,Schaum::N,escuma,spumă
111,Schmutz::N,brutícia,murdărie
112,See::N,llac,lac
113,Sumpf::N,pantà,mlaștină
114,Moor::N,pantà,bărăgan
115,Wiese::N,prat,fânaț
116,Wiese::N,prat,livadă
117,Wiese::N,prada,fânaț
118,Wiese::N,prada,livadă
119,Wald::N,bosc,codru
120,Wald::N,bosc,pădure
121,Hügel::N,puig,deal
122,Hügel::N,puig,movilă
123,Hügel::N,pujol,deal
124,Hügel::N,pujol,movilă
125,Anhöhe::N,turó,deal
126,Anhöhe::N,turó,ridicătură
127,Berg::N,muntanya,munte
128,Gipfel::N,cim,pisc
129,Höhle::N,cova,peșteră
130,Abhang::N,coster,pantă
131,Abhang::N,coster,versant
132,Quelle::N,font,izvor
133,Bach::N,riera,gârlă
134,Fluss::N,riu,râu
135,Fluss::N,riu,fluviu
136,Ufer::N,riba,mal
137,Ufer::N,riba,țărm
138,Küste::N,costa,coastă
139,Festland::N,terra ferma,uscat
140,Meer::N,mar,mare
141,Bucht::N,cala,golf
142,Bucht::N,badia,golf
143,Insel::N,illa,insulă
144,Blume::N,flor,floare
145,Gras::N,herba,iarbă
146,Wurzel::N,rel,rădăcină
147,Wurzel::N,arrel,rădăcină
148,Baum::N,arbre,copac
149,Baum::N,arbre,arbore
150,Stamm::N,tronc,tulpină
151,Rinde::N,escorça,scoarță
152,Ast::N,branca,cracă
153,Ast::N,branca,creangă
154,Zweig::N,ram,ramură
155,Zweig::N,ram,creangă
156,Blatt::N,fulla,frunză
157,Birke::N,bedoll,mesteacăn
158,Kiefer[Baum]::N,pi,pin
159,Weide[Baum]::N,salze,salcie
160,Weide[Baum]::N,salze,răchită
161,Tanne::N,avet,brad
162,Horn::N,corn,corn
163,Horn::N,banya,corn
164,Feder::N,ploma,pană
165,Fell::N,pell,piele
166,Flügel::N,ala,aripă
167,Klaue::N,urpa,gheară
168,Kralle::N,grapa,labă
169,Kralle::N,grapa,gheară
170,Schwanz::N,cua,coadă
171,Ei::N,ou,ou
172,Nest::N,niu,cuib
173,Bau::N,cau,bârlog
174,Bau::N,cau,vizuină
175,Tier::N,animāl,animal
176,Herde::N,ramat,turmă
177,Herde::N,ramat,cireadă
178,Kuh::N,vaca,vacă
179,Bulle::N,toro,taur
180,Pferd::N,cavāll,cal
181,Schaf::N,be,oaie
182,Schaf::N,ovella,oaie
183,Schwein::N,bacó,porc
184,Hund::N,ca,câine
185,Hund::N,gos,câine
186,Katze::N,gat,pisică
187,Bär::N,ós,urs
188,Eichhörnchen::N,esquirol,veveriță
189,Elch::N,ant,elan
190,Fuchs::N,guilla,vulpe
191,Hase::N,llebre,iepure
192,Maus::N,ratolí,șoarece
193,Wolf::N,llop,lup
194,Vogel::N,au,pasăre
195,Vogel::N,ocēll,pasăre
196,Schwarm::N,bandada,cârd
197,Huhn::N,gallina,găină
198,Hahn::N,gall,cocoș
199,Gans::N,oca,gâscă
200,Adler::N,àguila,vultur
201,Ente::N,ànec,rață
202,Eule::N,òliba,bufniță
203,Eule::N,mussol,bufniță
204,Kranich::N,grua,cocor
205,Krähe::N,cornella,cioară
206,Kuckuck::N,cucut,cuc
207,Schwan::N,cigne,lebădă
208,Fisch::N,peix,pește
209,Barsch::N,perca,biban
210,Hecht::N,lluç,știucă
211,Schlange[Tier]::N,serp,șarpe
212,Wurm::N,cuc,vierme
213,Spinne::N,aranya,păianjen
214,Ameise::N,formiga,furnică
215,Laus::N,poll,păduche
216,Mücke::N,mosquit,țânțar
217,Fliege::N,mosca,muscă
218,Schmetterling::N,papallona,fluture
219,Beere::N,baia,boabă
220,Apfel::N,poma,măr
221,Pilz::N,bolet,burete
222,Pilz::N,bolet,ciupercă
223,Zwiebel::N,ceba,ceapă
224,Saat::N,sembra,semănătură
225,Korn::N,gra,grâu
226,Heu::N,fenc,fân
227,Schale::N,closca,coajă
228,Grube::N,sot,groapă
229,Grube::N,clot,groapă
230,Falle::N,trampa,cursă
231,Falle::N,trampa,capcană
232,Schlinge::N,baga,laț
233,Spur::N,traça,dâră
234,Asche::N,cendra,cenușă
235,Dreck::N,llot,noroi
236,Dreck::N,llot,murdărie
237,Eisen::N,ferro,fier
238,Gold::N,or,aur
239,Silber::N,plata,argint
240,Kohle::N,carbó,cărbune
241,Glas::N,vidre,sticlă
242,Lehm::N,fang,lut
243,Lehm::N,fang,humă
244,Lehm::N,argila,lut
245,Lehm::N,argila,humă
246,Sand::N,arena,nisip
247,Mensch::N,humà,om
248,Mensch::N,humà,persoană
249,Mensch::N,persona,om
250,Mensch::N,persona,persoană
251,Mann::N,home,om
252,Mann::N,home,bărbat
253,Frau::N,dona,femeie
254,Kind::N,nen,copil
255,Junge::N,noi,băiat
256,Junge::N,noi,flăcău
257,Mädchen::N,noia,fată
258,Familie::N,família,familie
259,Großvater::N,avi,bunic
260,Großvater::N,avi,tată mare
261,Großmutter::N,àvia,bunică
262,Großmutter::N,àvia,mamă mare
263,Eltern::N,pares,părinți
264,Vater::N,pare,tată
265,Vater::N,pare,părinte
266,Mutter::N,mare,mamă
267,Sohn::N,fill,fiu
268,Sohn::N,fill,fecior
269,Tochter::N,filla,fiică
270,Bruder::N,germà,frate
271,Schwester::N,germana,soră
272,Onkel::N,oncle,unchi
273,Tante::N,tia,mătușă
274,Ehemann::N,espòs,soț
275,Ehemann::N,espòs,bărbat
276,Ehefrau::N,muller,soție
277,Freude::N,goig,bucurie
278,Freude::N,alegria,bucurie
279,Gelächter::N,riallada,râset
280,Glück::N,felicitat,fericire
281,Kummer::N,pena,mâhnire
282,Wunsch::N,desig,dorință
283,Wunsch::N,desig,deziderat
284,Lust::N,ganes,poftă
285,Lust::N,ganes,înclinare
286,Geist::N,ment,duh
287,Geist::N,ment,minte
288,Geist::N,ment,suflet
289,Geist::N,esperit,duh
290,Geist::N,esperit,minte
291,Geist::N,esperit,suflet
292,Gedanke::N,pensament,gând
293,Gedanke::N,pensament,cuget
294,Gedächtnis::N,memòria,memorie
295,Verstand::N,raó,minte
296,Verstand::N,raó,intelect
297,Verstand::N,seny,minte
298,Verstand::N,seny,intelect
299,Sinn::N,solta,sens
300,Sinn::N,solta,înțeles
301,Sinn::N,sentit,sens
302,Sinn::N,sentit,înțeles
303,Grund::N,raó,cauză
304,Grund::N,raó,pricină
305,Grund::N,causa,cauză
306,Grund::N,causa,pricină
307,Wahrheit::N,veritāt,adevăr
308,Gespräch::N,conversa,convorbire
309,Gespräch::N,conversa,conversație
310,Märchen::N,conte,basm
311,Märchen::N,conte,poveste
312,Erzählung::N,narració,poveste
313,Nachricht::N,missatge,veste
314,Neuigkeit::N,novetat,noutate
315,Neuigkeit::N,novetat,actualitate
316,Name::N,nom,nume
317,Rätsel::N,endevinalla,ghicitoare
318,Rede::N,discurs,discurs
319,Sprache::N,llēngua,limbă
320,Sprache::N,llēngua,limbaj
321,Stimme::N,veu,glas
322,Wort::N,mot,cuvânt
