,Concept_ID,ka,lez
0,Auge::N,თვალი,вил
1,Ohr::N,ყური,яб
2,Nase::N,ცხვირი,нер
3,Mund::N,პირი,сив
4,Zahn::N,კბილი,сас
5,Zahn::N,კბილი,свах
6,Zunge::N,ენა,мез
7,Lippe::N,ბაგე,пӏуз
8,Wange::N,ლოყა,хъвехъ
9,Gesicht::N,სახე,ччин
10,Stirn::N,შუბლი,пел
11,Haar::N,თმა,чӏар
12,Schnurrbart::N,ულვაში,спел
13,Schnurrbart::N,ულვაში,спелар
14,Bart::N,წვერი,ччуру
15,Kinn::N,ნიკაპი,чене
16,Kiefer[Anatomie]::N,ყბა,чене
17,Kehle::N,ყელი,туьд
18,Hals::N,ყელი,гардан
19,Hals::N,კისერი,гардан
20,Genick::N,კეფა,кьам
21,Kopf::N,თავი,кьил
22,Rücken::N,ზურგი,далу
23,Bauch::N,მუცელი,руфун
24,Nabel::N,ჭიპი,пицӏ
25,Busen::N,ძუძუ,мам
26,Brust::N,მკერდი,хур
27,Schulter::N,მხარი,къуьн
28,Schulter::N,მკლავი,къуьн
29,Arm::N,ხელი,гъил
30,Ellenbogen::N,იდაყვი,кьуьнт
31,Hand::N,ხელი,капаш
32,Handfläche::N,ნები,капан юкь
33,Handfläche::N,ხელისგული,капан юкь
34,Finger::N,თითი,тӏуб
35,Fingernagel::N,ფრჩხილი,кек
36,Nagel[Anatomie]::N,ფრჩხილი,кек
37,Zeh::N,ფეხის თითი,кул
38,Fuß::N,ტერფი,кӏвач
39,Fuß::N,ფეხისგული,кӏвач
40,Ferse::N,ქუსლი,дабан
41,Knie::N,მუხლი,мет
42,Oberschenkel::N,ბარძაყი,
43,Bein::N,ფეხი,кӏвач
44,Körper::N,ტანი,беден
45,Körper::N,სხეული,беден
46,Haut::N,კანი,хам
47,Blut::N,სისხლი,иви
48,Ader::N,ძარღვი,дамар
49,Sehne::N,მყესი,кьуру дамар
50,Knochen::N,ძვალი,кӏараб
51,Gehirn::N,ტვინი,мефт
52,Herz::N,გული,рикӏ
53,Magen::N,კუჭი,хук
54,Leber::N,ღვიძლი,лекь
55,Atem::N,სუნთქვა,ял
56,Atem::N,სუნთქვა,нефес
57,Hunger::N,შიმშილი,каш
58,Träne::N,ცრემლი,вилин нагъв
59,Geschmack::N,გემო,дад
60,Geschmack::N,გემო,тӏям
61,Geruch::N,სუნი,ни
62,Schlaf::N,ძილი,ахвар
63,Traum::N,სიზმარი,ахвар
64,Himmel::N,ცა,цав
65,Sonne::N,მზე,рагъ
66,Mond::N,მთვარე,варз
67,Stern::N,ვარსკვლავი,гъед
68,Luft::N,ჰაერი,гьава
69,Wind::N,ქარი,гар
70,Welle::N,ტალღა,лепе
71,Wasser::N,წყალი,яд
72,Stein::N,ქვა,къван
73,Boden::N,მიწა,накьв
74,Erde::N,ნიადაგი,ччил
75,Staub::N,მტვერი,руг
76,Rauch::N,ბოლი,гум
77,Rauch::N,კვამლი,гум
78,Funke::N,ნაკვესი,цӏелхем
79,Feuer::N,ცეცხლი,цӏай
80,Licht::N,შუქი,экв
81,Licht::N,სინათლე,экв
82,Schatten::N,ლანდი,серин
83,Schatten::N,ჩრდილი,серин
84,Wetter::N,ამინდი,гьава
85,Nebel::N,ნისლი,ччилин циф
86,Wolke::N,ღრუბელი,циф
87,Regen::N,წვიმა,марф
88,Schnee::N,თოვლი,жив
89,Eis::N,თოში,мурк
90,Eis::N,ყინული,мурк
91,Frost::N,ყინვა,аяз
92,Kälte::N,სიცივე,мекь
93,Kälte::N,სიცივე,мекьивал
94,Hitze::N,სიცხე,зегьем
95,Raureif::N,ჭირხლი,къирав
96,Raureif::N,თრთვილი,къирав
97,Regenbogen::N,ცისარტყელა,яргъируш
98,Donner::N,ქუხილი,цавун ван
99,Strömung::N,დინება,
100,Tropfen::N,წვეთი,стӏал
101,Schaum::N,ქაფი,каф
102,Schaum::N,დორბლი,каф
103,Schmutz::N,ჭუჭყი,чирк
104,Schmutz::N,ჭუჭყი,кьуруш
105,Schmutz::N,ტალახი,чирк
106,Schmutz::N,ტალახი,кьуруш
107,See::N,ტბა,вир
108,Sumpf::N,ჭაობი,уьлен
109,Moor::N,ტორფნარი,
110,Wiese::N,ველი,векь
111,Wiese::N,მდელო,векь
112,Wald::N,ტყე,там
113,Hügel::N,ბორცვი,кӏунтӏ
114,Anhöhe::N,მაღლობი,тепе
115,Anhöhe::N,მაღლობი,гьуьндуьрвал
116,Berg::N,მთა,дагъ
117,Gipfel::N,მწვერვალი,кӏукӏ
118,Höhle::N,მღვიმე,кьветӏ
119,Höhle::N,გამოქვებული,кьветӏ
120,Abhang::N,ფერდობი,гуьне
121,Quelle::N,წყარო,чешме
122,Quelle::N,სათავე,чешме
123,Bach::N,რუ,булах
124,Bach::N,ნაკადული,булах
125,Fluss::N,მდინარე,вацӏ
126,Ufer::N,კიდე,къерех
127,Ufer::N,ნაპირი,къерех
128,Küste::N,ნაპირი,къерех
129,Festland::N,ხმელეთი,кьурамат
130,Meer::N,ზღვა,гьуьл
131,Bucht::N,ყურე,бухта
132,Insel::N,კუნძული,остров
133,Blume::N,ყვავილი,цуьк
134,Gras::N,ბალახი,хъач
135,Wurzel::N,ძირი,дувул
136,Wurzel::N,ფესვი,дувул
137,Baum::N,ხე,ттар
138,Stamm::N,ტანი,тан
139,Rinde::N,ქერქი,чкал
140,Ast::N,ტოტი,тӏур
141,Zweig::N,შტო,хел
142,Blatt::N,ფოთოლი,пеш
143,Birke::N,არყი,верх
144,Kiefer[Baum]::N,ფიჭვი,шамагъаж
145,Weide[Baum]::N,ტირიფი,цӏвелин ттар
146,Tanne::N,ნაძვი,ель
147,Horn::N,რქა,карч
148,Feder::N,ფრთა,цӏакул
149,Fell::N,ტყავი,хам
150,Flügel::N,ფრთა,лув
151,Klaue::N,კლანჭი,къармах
152,Kralle::N,ტორი,пац
153,Kralle::N,ტორი,тапас
154,Schwanz::N,კუდი,ттум
155,Ei::N,კვერცხი,кака
156,Nest::N,ბუდე,муг
157,Bau::N,სორო,тӏеквен
158,Tier::N,ნადირი,гьайван
159,Tier::N,ცხოველი,гьайван
160,Herde::N,ფარა,суьруь
161,Kuh::N,ფური,ккал
162,Kuh::N,ძროხა,ккал
163,Bulle::N,ხარი,яц
164,Bulle::N,ხარი,бугъа
165,Pferd::N,რაში,балкӏан
166,Pferd::N,ცხენი,балкӏан
167,Schaf::N,ცხვარი,хеб
168,Schwein::N,ღორი,вак
169,Hund::N,ძაღლი,кицӏ
170,Katze::N,კატა,кац
171,Bär::N,დათვი,сев
172,Eichhörnchen::N,ციყვი,белка
173,Elch::N,ცხენ-ირემი,лось
174,Fuchs::N,მელა,сикӏ
175,Hase::N,კურდღელი,къуьр
176,Maus::N,თაგვი,кьиф
177,Wolf::N,მგელი,жанавур
178,Vogel::N,ჩიტი,луван ничхир
179,Vogel::N,ფრინველი,луван ничхир
180,Schwarm::N,გუნდი,луж
181,Huhn::N,დედალი,верч
182,Hahn::N,მამალი,кӏек
183,Gans::N,ბატი,къаз
184,Adler::N,არწივი,лекь
185,Ente::N,იხვი,пӏатӏ
186,Eule::N,ბუ,тӏиб
187,Kranich::N,წერო,дурна
188,Krähe::N,ყვავი,къаргъа
189,Kuckuck::N,გუგული,кукупӏ
190,Schwan::N,გედი,къугь
191,Fisch::N,თევზი,гъед
192,Barsch::N,ქორჭილა,окунь
193,Hecht::N,ქარიყლაპია,щука
194,Schlange[Tier]::N,გველი,илан
195,Schlange[Tier]::N,გველი,гъуьлягъ
196,Wurm::N,ჭია,квак
197,Spinne::N,ობობა,хуьшрекан
198,Ameise::N,ჭიანჭველა,цегв
199,Laus::N,ტილი,нет
200,Laus::N,მკბენარი,нет
201,Mücke::N,კოღო,ветӏ
202,Fliege::N,ბუზი,тӏветӏ
203,Schmetterling::N,პეპელა,чепелукь
204,Beere::N,კენკრა,куьлуь емиш
205,Apfel::N,ვაშლი,ич
206,Pilz::N,სოკო,къарникъуз
207,Zwiebel::N,ხახვი,чичӏек
208,Saat::N,თესლი,тумар
209,Korn::N,მარცვალი,твар
210,Heu::N,თივა,векь
211,Heu::N,თივა,векьер
212,Schale::N,ჩენჩო,пириш
213,Schale::N,ჩენჩო,хъуьруьш
214,Grube::N,ორმო,фур
215,Falle::N,ხაფანგი,ракьар
216,Schlinge::N,მახე,гьалкъа
217,Spur::N,კვალი,гел
218,Asche::N,ფერფლი,руьхъ
219,Dreck::N,ტალახი,чирк
220,Dreck::N,ტალახი,кьуруш
221,Dreck::N,სიბინძურე,чирк
222,Dreck::N,სიბინძურე,кьуруш
223,Eisen::N,რკინა,ракь
224,Gold::N,ოქრო,алтун
225,Silber::N,ვერცხლი,гимиш
226,Kohle::N,ნახშირი,цӏивин
227,Glas::N,მინა,шуьше
228,Lehm::N,თიხა,ччеб
229,Sand::N,ქვიშა,къум
230,Mensch::N,ადამიანი,инсан
231,Mann::N,კაცი,итим
232,Frau::N,ქალი,паб
233,Frau::N,ქალი,дишегьли
234,Kind::N,ბავშვი,аял
235,Junge::N,ვაჟი,гада
236,Mädchen::N,გოგო,руш
237,Familie::N,ოჯახი,хзан
238,Familie::N,ოჯახი,килфет
239,Großvater::N,პაპა,чӏехи буба
240,Großvater::N,ბაბუა,чӏехи буба
241,Großmutter::N,ბებია,чӏехи диде
242,Großmutter::N,დიდედა,чӏехи диде
243,Eltern::N,მშობლები,диде-буба
244,Vater::N,მამა,буба
245,Mutter::N,დედა,диде
246,Sohn::N,ვაჟიშვილი,хва
247,Tochter::N,ქალიშვილი,руш
248,Bruder::N,ძმა,стха
249,Schwester::N,და,вах
250,Onkel::N,ბიძა,ими
251,Onkel::N,ბიძა,халу
252,Tante::N,დეიდა,эме
253,Tante::N,დეიდა,хала
254,Tante::N,მამიდა,эме
255,Tante::N,მამიდა,хала
256,Ehemann::N,ქმარი,гъуьл
257,Ehefrau::N,ცოლი,паб
258,Freude::N,სიხარული,шадвал
259,Gelächter::N,სიცილი,хъвер
260,Glück::N,ბედნიერება,бахт
261,Kummer::N,მწუხარება,дерт
262,Kummer::N,მწუხარება,хажалат
263,Wunsch::N,წადილი,мурад
264,Wunsch::N,სურვილი,мурад
265,Lust::N,წადილი,гьевес
266,Geist::N,სული,руьгь
267,Gedanke::N,ფიქრი,фикир
268,Gedächtnis::N,მეხსიერება,
269,Verstand::N,ჭკუა,акьул
270,Verstand::N,გონება,акьул
271,Sinn::N,მნიშვნელობა,мана
272,Grund::N,მიზეზი,себеб
273,Wahrheit::N,სიმართლე,керчек
274,Wahrheit::N,სიმართლე,гьакъикъат
275,Wahrheit::N,ჭეშმარიტება,керчек
276,Wahrheit::N,ჭეშმარიტება,гьакъикъат
277,Gespräch::N,ბაასი,ихтилат
278,Gespräch::N,საუბარი,ихтилат
279,Märchen::N,არაკი,мах
