,Concept_ID,sk,is
0,Auge::N,oko,auga
1,Ohr::N,ucho,eyra
2,Nase::N,nos,nef
3,Mund::N,ústa,munnur
4,Zahn::N,zub,tönn
5,Zunge::N,jazyk,tunga
6,Lippe::N,pera,vör
7,Wange::N,líce,kinn
8,Wange::N,líce,vangi
9,Gesicht::N,tvár,andlit
10,Gesicht::N,obličaj,andlit
11,Stirn::N,čelo,enni
12,Haar::N,vlas,hár
13,Schnurrbart::N,fúzy,yfirskegg
14,Bart::N,brada,skegg
15,Kinn::N,brada,haka
16,Kiefer[Anatomie]::N,čeľusť,kjálki
17,Kiefer[Anatomie]::N,čeľusť,skoltur
18,Kehle::N,hrdlo,kverk
19,Hals::N,krk,háls
20,Genick::N,väzy,hnakki
21,Kopf::N,hlava,höfuð
22,Rücken::N,chrbát,hryggur
23,Bauch::N,brucho,kviður
24,Nabel::N,pupok,nafli
25,Busen::N,prsia,barmur
26,Brust::N,hruď,brjóst
27,Schulter::N,plece,öxl
28,Arm::N,rameno,armur
29,Ellenbogen::N,lakeť,olnbogi
30,Hand::N,ruka,hönd
31,Handfläche::N,dlaň,lófi
32,Finger::N,prst,fingur
33,Fingernagel::N,necht,fingurnögl
34,Nagel[Anatomie]::N,necht,nögl
35,Zeh::N,prst na nohe,tá
36,Fuß::N,noha,fótur
37,Ferse::N,päta,hæll
38,Knie::N,koleno,kné
39,Oberschenkel::N,stehno,læri
40,Bein::N,noha,fótleggur
41,Körper::N,telo,búkur
42,Körper::N,telo,líkami
43,Haut::N,koža,húð
44,Haut::N,koža,skinn
45,Blut::N,krv,blóð
46,Ader::N,žila,æð
47,Sehne::N,šľacha,sin
48,Knochen::N,kosť,bein
49,Gehirn::N,mozog,heili
50,Herz::N,srdce,hjarta
51,Magen::N,žalúdok,magi
52,Leber::N,pečeň,lifur
53,Atem::N,dych,andi
54,Atem::N,dych,andardráttur
55,Hunger::N,hlad,hungur
56,Träne::N,slza,tár
57,Geschmack::N,chuť,smekkur
58,Geruch::N,pach,lykt
59,Schlaf::N,spánok,svefn
60,Traum::N,sen,draumur
61,Himmel::N,nebo,himinn
62,Sonne::N,slnko,sól
63,Mond::N,mesiac,tungl
64,Stern::N,hviezda,stjarna
65,Luft::N,vzduch,loft
66,Wind::N,vietor,vindur
67,Welle::N,vlna,alda
68,Welle::N,vlna,bylgja
69,Wasser::N,voda,vatn
70,Stein::N,kameň,steinn
71,Boden::N,zem,botn
72,Boden::N,pôda,botn
73,Erde::N,zem,jörð
74,Staub::N,prach,ryk
75,Staub::N,prach,duft
76,Rauch::N,dym,reykur
77,Funke::N,iskra,neisti
78,Feuer::N,oheň,eldur
79,Licht::N,svetlo,ljós
80,Schatten::N,tieň,skuggi
81,Wetter::N,počasie,veður
82,Nebel::N,hmla,þoka
83,Wolke::N,oblak,ský
84,Wolke::N,mračno,ský
85,Regen::N,dážď,regn
86,Schnee::N,sneh,snjór
87,Eis::N,ľad,ís
88,Frost::N,mráz,frost
89,Kälte::N,zima,kuldi
90,Kälte::N,chlad,kuldi
91,Hitze::N,horúčava,hiti
92,Raureif::N,srieň,hrím
93,Raureif::N,inovať,hrím
94,Regenbogen::N,dúha,regnbogi
95,Donner::N,hrom,þruma
96,Strömung::N,prúdenie,straumur
97,Tropfen::N,kvapka,dropi
98,Schaum::N,pena,froða
99,Schmutz::N,špina,óhreinindi
100,Schmutz::N,nečistota,óhreinindi
101,See::N,jazero,stöðuvatn
102,Sumpf::N,bahno,fen
103,Moor::N,močiar,mýri
104,Wiese::N,lúka,engi
105,Wald::N,les,skógur
106,Wald::N,hora,skógur
107,Hügel::N,vŕšok,hæð
108,Hügel::N,vŕšok,hóll
109,Anhöhe::N,výšina,hæð
110,Anhöhe::N,výšina,hóll
111,Anhöhe::N,vyvýšenina,hæð
112,Anhöhe::N,vyvýšenina,hóll
113,Berg::N,hora,fell
114,Berg::N,hora,fjall
115,Gipfel::N,vrchol,tindur
116,Höhle::N,jaskyňa,hellir
117,Abhang::N,úbočie,hlíð
118,Abhang::N,úbočie,brekka
119,Quelle::N,prameň,lind
120,Quelle::N,prameň,uppspretta
121,Bach::N,potok,lækur
122,Fluss::N,rieka,á
123,Fluss::N,rieka,fljót
124,Ufer::N,breh,árbakki
125,Ufer::N,breh,sjávarbakki
126,Küste::N,pobrežie,strönd
127,Festland::N,pevnina,meginland
128,Meer::N,more,haf
129,Meer::N,more,sjór
130,Bucht::N,záliv,vík
131,Bucht::N,zátoka,vík
132,Insel::N,ostrov,eyja
133,Blume::N,kvet,blóm
134,Blume::N,kvetina,blóm
135,Gras::N,tráva,gras
136,Wurzel::N,koreň,rót
137,Baum::N,strom,tré
138,Stamm::N,kmeň,stofn
139,Rinde::N,kôra,börkur
140,Ast::N,konár,grein
141,Zweig::N,vetva,angi
142,Zweig::N,vetva,kvistur
143,Blatt::N,list,blað
144,Birke::N,breza,birki
145,Kiefer[Baum]::N,sosna,fura
146,Kiefer[Baum]::N,borovica,fura
147,Weide[Baum]::N,vŕba,víðir
