,Concept_ID,av,lt
0,Ohr::N,гӏин,ausis
1,Nase::N,мегӏер,nosis
2,Mund::N,кӏал,burna
3,Zahn::N,гӏус,dantis
4,Zunge::N,мацӏ,liežuvis
5,Lippe::N,кӏветӏ,lūpa
6,Wange::N,гӏоно,žandas
7,Wange::N,гӏоно,skruostas
8,Gesicht::N,гьумер,veidas
9,Stirn::N,нодо,kakta
10,Haar::N,рас,plaukai
11,Schnurrbart::N,михъ,ūsai
12,Bart::N,мегеж,barzda
13,Kinn::N,нилъу,smakras
14,Kiefer[Anatomie]::N,чанагъ,žandikaulis
15,Kehle::N,щекъер,gerklė
16,Hals::N,габур,kaklas
17,Genick::N,гъванща,sprandas
18,Kopf::N,бетӏер,galva
19,Rücken::N,мугъ,nugara
20,Bauch::N,чехь,pilvas
21,Nabel::N,цӏину,bamba
22,Busen::N,керен,krūtinė
23,Brust::N,керен,krūtis
24,Schulter::N,гъажазубетӏер,petys
25,Arm::N,гъеж,ranka
26,Ellenbogen::N,гӏункӏрукь,alkūnė
27,Hand::N,квер,ranka
28,Hand::N,квер,plaštaka
29,Handfläche::N,огъохъат,delnas
30,Handfläche::N,огъохъат,plaštaka
31,Handfläche::N,жанисахъат,delnas
32,Handfläche::N,жанисахъат,plaštaka
33,Finger::N,килищ,pirštas
34,Fingernagel::N,малъ,nagas
35,Nagel[Anatomie]::N,малъ,nagas
36,Zeh::N,килищ,pirštas
37,Fuß::N,хӏетӏ,pėda
38,Fuß::N,хӏетӏе,pėda
39,Ferse::N,эгъе,kulnas
40,Knie::N,наку,kelis
41,Oberschenkel::N,мачӏ,kulšis
42,Oberschenkel::N,мачӏ,šlaunis
43,Bein::N,бох,koja
44,Körper::N,къаркъала,kūnas
45,Haut::N,тӏом,oda
46,Blut::N,би,kraujas
47,Ader::N,бидурихь,kraujagyslė
48,Knochen::N,ракьа,kaulas
49,Gehirn::N,гӏадалнах,smegenys
50,Herz::N,ракӏ,širdis
51,Magen::N,кванирукъ,skrandis
52,Leber::N,тӏул,kepenys
53,Atem::N,хӏухь,kvapas
54,Hunger::N,ракъи,badas
55,Hunger::N,ракъи,alkis
56,Träne::N,магӏу,ašara
57,Geschmack::N,тату,skonis
58,Geruch::N,махӏ,kvapas
59,Schlaf::N,макьу,miegas
60,Traum::N,макьу,sapnas
61,Himmel::N,зоб,dangus
62,Sonne::N,бакъ,saulė
63,Mond::N,моцӏ,mėnulis
64,Stern::N,цӏва,žvaigždė
65,Luft::N,гьава,oras
66,Wind::N,гьури,vėjas
67,Welle::N,карачел,banga
68,Welle::N,карачел,vilnis
69,Wasser::N,лъим,vanduo
70,Stein::N,гьецӏо,akmuo
71,Boden::N,ракь,žemė
72,Boden::N,ракь,dugnas
73,Erde::N,ракь,žemė
74,Erde::N,дуниял,žemė
75,Staub::N,хӏур,dulkės
76,Rauch::N,кӏкӏуй,dūmai
77,Feuer::N,цӏа,ugnis
78,Licht::N,канлъи,šviesa
79,Schatten::N,рагӏад,paūksmė
80,Wetter::N,гьава-бакъ,oras
81,Nebel::N,гӏодобнакӏкӏ,migla
82,Nebel::N,гӏодобнакӏкӏ,rūkas
83,Wolke::N,накӏкӏ,debesis
84,Regen::N,цӏад,lietus
85,Schnee::N,гӏазу,sniegas
86,Eis::N,цӏер,ledas
87,Frost::N,замгьари,šalna
88,Kälte::N,квач,šaltis
89,Hitze::N,багӏари,karštis
90,Raureif::N,мартӏ,šerkšnas
91,Regenbogen::N,нур,vaivorykštė
92,Regenbogen::N,чамбара,vaivorykštė
93,Donner::N,гъугъай,perkūnas
94,Donner::N,гъугъай,griaustinis
95,Donner::N,гъугъади,perkūnas
96,Donner::N,гъугъади,griaustinis
97,Strömung::N,чвахи,tėkmė
98,Tropfen::N,резел,lašas
99,Tropfen::N,тӏинкӏ,lašas
100,Tropfen::N,къатӏра,lašas
101,Tropfen::N,тӏенкӏел,lašas
102,Schaum::N,полоп,putos
