,Concept_ID,sv,eu
0,Auge::N,öga,begi
1,Ohr::N,öra,belarri
2,Nase::N,näsa,sudur
3,Mund::N,mun,aho
4,Zahn::N,tand,hortz
5,Zunge::N,tunga,mihi
6,Lippe::N,läpp,ezpain
7,Wange::N,kind,masail
8,Gesicht::N,syn,aurpegi
9,Gesicht::N,ansikte,aurpegi
10,Stirn::N,panna,bekoki
11,Haar::N,hår,ile
12,Haar::N,hår,bilo
13,Schnurrbart::N,mustasch,bibote
14,Schnurrbart::N,mustasch,sudurpeko
15,Bart::N,skägg,bizar
16,Kinn::N,haka,kokots
17,Kiefer[Anatomie]::N,käke,masailezur
18,Kehle::N,strupe,eztarri
19,Hals::N,hals,sama
20,Genick::N,nacke,garondo
21,Kopf::N,huvud,buru
22,Rücken::N,rygg,bizkar
23,Bauch::N,buk,sabel
24,Bauch::N,mage,sabel
25,Nabel::N,navel,zilbor
26,Busen::N,barm,titi
27,Busen::N,barm,ugatz
28,Brust::N,bröst,bular
29,Schulter::N,skuldra,besaburu
30,Arm::N,arm,beso
31,Ellenbogen::N,armbåge,ukondo
32,Hand::N,hand,esku
33,Handfläche::N,handflata,ahur
34,Finger::N,finger,hatz
35,Fingernagel::N,fingernagel,azazkal
36,Nagel[Anatomie]::N,nagel,azazkal
37,Zeh::N,tå,behatz
38,Fuß::N,fot,oin
39,Ferse::N,häl,orpo
40,Ferse::N,häl,oinburu
41,Knie::N,knä,belaun
42,Oberschenkel::N,lår,izter
43,Bein::N,ben,zango
44,Körper::N,kropp,soin
45,Haut::N,hud,azal
46,Haut::N,skinn,azal
47,Blut::N,blod,odol
48,Ader::N,åder,zain
49,Sehne::N,sena,gihar-zain
50,Knochen::N,ben,hezur
51,Gehirn::N,hjärna,garun
52,Gehirn::N,hjärna,burmuin
53,Herz::N,hjärta,bihotz
54,Magen::N,mage,urdail
55,Leber::N,lever,gibel
56,Atem::N,anda,hats
57,Atem::N,anda,arnasa
58,Atem::N,andedräkt,hats
59,Atem::N,andedräkt,arnasa
60,Hunger::N,svält,gose
61,Hunger::N,hunger,gose
62,Träne::N,tår,malko
63,Geschmack::N,smak,dasta
64,Geruch::N,lukt,usain
65,Schlaf::N,sömn,lo
66,Traum::N,dröm,amets
67,Himmel::N,himmel,zeru
68,Sonne::N,sol,eguzki
69,Mond::N,måne,ilargi
70,Stern::N,stjärna,izar
71,Luft::N,luft,aire
72,Wind::N,vind,haize
73,Welle::N,våg,uhin
74,Welle::N,våg,olatu
75,Welle::N,bölja,uhin
76,Welle::N,bölja,olatu
77,Wasser::N,vatten,ur
78,Stein::N,sten,harri
79,Boden::N,mark,lur
80,Boden::N,mark,zoru
81,Erde::N,jord,lur
82,Staub::N,damm,hauts
83,Rauch::N,rök,ke
84,Funke::N,gnista,zirta
85,Funke::N,gnista,txinparta
86,Feuer::N,eld,su
87,Licht::N,ljus,argi
88,Schatten::N,skugga,itzal
89,Schatten::N,skugga,geriza
90,Wetter::N,väder,eguraldi
91,Nebel::N,dimma,laino
92,Nebel::N,töcken,laino
93,Wolke::N,sky,hodei
94,Wolke::N,moln,hodei
95,Regen::N,regn,euri
96,Schnee::N,snö,elur
97,Eis::N,is,horma
98,Frost::N,frost,izotzaldi
99,Kälte::N,köld,hotz
100,Hitze::N,hetta,bero
101,Raureif::N,rimfrost,antzigar
102,Regenbogen::N,regnbåge,ostadar
103,Regenbogen::N,regnbåge,ortzadar
