,Concept_ID,ady,sah
0,Auge::N,нэ,харах
1,Ohr::N,тхьакӏу́м,кулгаах
2,Nase::N,пэ,мурун
3,Mund::N,жэ,айах
4,Zahn::N,цэ,тиис
5,Zunge::N,бзэгу,тыл
6,Lippe::N,ӏупшӏэ́,уос
7,Wange::N,нэкӏу́шъу,иэдэс
8,Gesicht::N,нэ́гу,сирэй
9,Stirn::N,натӏэ́,сүүс
10,Haar::N,шъхьацы́,баттах
11,Bart::N,жакӏэ́,сэҥийэ бытыга
12,Kinn::N,жэкӏэпэпкъ,сэҥийэ
13,Kiefer[Anatomie]::N,жэпкъы́,сыҥаах
14,Kehle::N,чый,тамах
15,Kehle::N,чый,күөмэй
16,Hals::N,пшъэ,моой
17,Genick::N,шъхьэпхэтыку,кэтэх
18,Kopf::N,шъхьэ́,бас
19,Rücken::N,кӏыбы́,көҕүс
20,Bauch::N,ныбэ́,ис
21,Busen::N,бгъэ́,эмиий
22,Brust::N,бгъэ́,түөс
23,Schulter::N,блыпкъ,сарын
24,Arm::N,ӏэ,илии
25,Ellenbogen::N,ӏэнтэ́гъу,тоҕонох
26,Hand::N,ӏэтхьэцу,илии
27,Handfläche::N,ӏэ́гу,ытыс
28,Finger::N,ӏэхъуа́мб,тарбах
29,Fingernagel::N,ӏэбжъа́н,тыҥырах
30,Nagel[Anatomie]::N,ӏэбжъа́н,тыҥырах
31,Zeh::N,ӏэхъуа́мб,тарбах
32,Fuß::N,лъэгу,уллуҥах
33,Ferse::N,лъэдакъэ,тилэх
34,Knie::N,лъагуа́ндж,тобук
35,Knie::N,лъагуа́ндж,дьилбэк
36,Oberschenkel::N,ко,уллук
37,Oberschenkel::N,ко,өттүк
38,Bein::N,лъакъо́,атах
39,Körper::N,пкъышъол,бэйэ
40,Haut::N,кӏы́шъу,тирии
41,Blut::N,лъы,хаан
42,Ader::N,льытф,вена
43,Ader::N,льытф,күөх_тымыр
44,Sehne::N,фэ,иҥиир
45,Knochen::N,къупшъхьэ́,уҥуох
46,Knochen::N,къупшъхьэ́,уҥгуох
47,Gehirn::N,куцӏы,мэйии
48,Herz::N,гу,сүрэх
49,Magen::N,мышкӏу,куртах
50,Leber::N,шӏу,быар
51,Atem::N,къэщэныр,тыын
52,Hunger::N,гъаблэ́,аас
53,Träne::N,нэпсы,харах уута
54,Geschmack::N,ӏэшӏугъа́кӏ,амтан
55,Geruch::N,мэ,сыт
56,Schlaf::N,пчыхьы́пӏ,утуйуу
57,Traum::N,пчыхьы́пӏ,түүл
58,Himmel::N,уашъо́,халлаан
59,Sonne::N,тыгъэ,күн
60,Mond::N,мазэ,ый
61,Stern::N,жъуагъо́,сулус
62,Luft::N,жьы,салгын
63,Wind::N,жьыбгъэ́,тыал
64,Welle::N,ор,долгун
65,Welle::N,ор,балхаан
66,Welle::N,оры,долгун
67,Welle::N,оры,балхаан
68,Wasser::N,псы,уу
69,Stein::N,мыжъо́,таас
70,Boden::N,чӏ́ыгу,сир
71,Erde::N,чӏ́ыгу,буор
72,Staub::N,сап,быыл
73,Rauch::N,ӏугъо́,буруо
74,Funke::N,мэшӏуа́ч,кыым
75,Feuer::N,машӏо́,уот
76,Licht::N,нэфы,уот
77,Licht::N,нэфын,уот
78,Schatten::N,жьау́,күлүк
