,Concept_ID,kn,zh
0,Auge::N,ಕಣ್ಣು,眼睛
1,Ohr::N,ಕಿವಿ,耳朵
2,Nase::N,ಮೂಗು,鼻子
3,Mund::N,ಬಾಯಿ,嘴
4,Zahn::N,ಹಲ್ಲು,牙齿
5,Zunge::N,ನಾಲಿಗೆ,舌头
6,Lippe::N,ತುಟಿ,嘴唇
7,Wange::N,ಗಲ್ಲ,面颊
8,Gesicht::N,ಮುಖ,脸
9,Stirn::N,ಹಣೆ,额
10,Haar::N,ಕೂದಲು,头发
11,Schnurrbart::N,ಮೀಸೆ,髭须
12,Bart::N,ಗಡ್ಡ,胡子
13,Kinn::N,ಗದ್ದ,下巴
14,Kiefer[Anatomie]::N,ದವಡೆ,颌
15,Kehle::N,ಗಂಟಲು,嗓子
16,Hals::N,ಕೊರಳು,颈
17,Genick::N,ಹಿಂಗತ್ತು,后颈
18,Kopf::N,ತಲೆ,头
19,Rücken::N,ಬೆನ್ನು,背
20,Bauch::N,ಹೊಟ್ಟೆ,肚子
21,Nabel::N,ಹೊಕ್ಕುಳು,肚脐
22,Busen::N,ಸ್ತನ,胸脯
23,Brust::N,ಎದೆ,胸
24,Schulter::N,ಭುಜ,肩膀
25,Arm::N,ತೋಳು,臂膀
26,Ellenbogen::N,ಮೊಣಕೈ,肘
27,Hand::N,ಕೈ,手
28,Handfläche::N,ಅಂಗೈ,手掌
29,Finger::N,ಕೈಬೆರಳು,手指
30,Fingernagel::N,ಉಗುರು,指甲
31,Nagel[Anatomie]::N,ಉಗುರು,指甲
32,Zeh::N,ಕಾಲ್ಬೆರಳು,脚趾
33,Fuß::N,ಪಾದ,脚
34,Ferse::N,ಹಿಮ್ಮಡಿ,后跟
35,Knie::N,ಮಂಡಿ,膝
36,Oberschenkel::N,ತೊಡೆ,大腿
37,Bein::N,ಕಾಲು,腿
38,Körper::N,ದೇಹ,身体
39,Haut::N,ಚರ್ಮ,皮肤
40,Blut::N,ರಕ್ತ,血
41,Ader::N,ನರ,血管
42,Sehne::N,ನರ,腱
43,Knochen::N,ಮೂಳೆ,骨
44,Gehirn::N,ಮಿದುಳು,脑
45,Herz::N,ಹೃದಯ,心
46,Magen::N,ಉದರ,胃
47,Leber::N,ಯಕೃತ್ತು,肝
48,Atem::N,ಉಸಿರು,呼吸
49,Hunger::N,ಹಸಿವು,饿
50,Träne::N,ಕಣ್ಣೀರು,眼泪
51,Geschmack::N,ರುಚಿ,味道
52,Geruch::N,ವಾಸನೆ,气味
53,Schlaf::N,ನಿದ್ರೆ,睡眠
54,Traum::N,ಕನಸು,梦
55,Himmel::N,ಬಾನು,天空
56,Sonne::N,ಸೂರ್ಯ,太阳
57,Mond::N,ಚಂದ್ರ,月亮
58,Stern::N,ಚುಕ್ಕಿ,星
59,Luft::N,ವಾಯು,空气
60,Wind::N,ಗಾಳಿ,风
61,Welle::N,ಅಲೆ,波
62,Wasser::N,ನೀರು,水
63,Stein::N,ಕಲ್ಲು,石头
64,Boden::N,ನೆಲ,地面
65,Erde::N,ಭೂಮಿ,地
66,Staub::N,ದೂಳು,灰尘
67,Rauch::N,ಹೊಗೆ,烟
68,Funke::N,ಕಿಡಿ,火花
69,Feuer::N,ಬೆಂಕಿ,火
70,Licht::N,ಬೆಳಕು,光
71,Schatten::N,ನೆರಳು,影子
72,Wetter::N,ಹವ,天气
73,Nebel::N,ಮಂಜು,雾
74,Wolke::N,ಮೋಡ,云
75,Regen::N,ಮಳೆ,雨
76,Schnee::N,ಹಿಮ,雪
77,Eis::N,ಮಂಜುಗಡ್ಡೆ,冰
78,Frost::N,ಮಂಜು,霜冻
79,Kälte::N,ಹಿಮ,寒冷
80,Hitze::N,ಉಷ್ಣ,炎热
81,Raureif::N,ಇಬ್ಬನಿ,霜
