,Concept_ID,fa,ml
0,Auge::N,چشم,കണ്ണ്
1,Ohr::N,گوش,ചെവി
2,Nase::N,بینی,മൂക്ക്
3,Mund::N,دهان,വായ
4,Zahn::N,دندان,പല്ല്
5,Zunge::N,زبان,നാക്ക്
6,Lippe::N,لب,ചുണ്ട്
7,Wange::N,لپ,കവിൾത്തടം
8,Gesicht::N,رو,മുഖം
9,Gesicht::N,چهره,മുഖം
10,Stirn::N,پیشانی,നെറ്റി
11,Haar::N,مو,തലമുടി
12,Schnurrbart::N,سبیل,മീശ
13,Bart::N,ریش,താടിരോമം
14,Kinn::N,چانه,താടി
15,Kiefer[Anatomie]::N,فک,താടിയെല്ല്
16,Kiefer[Anatomie]::N,آرواره,താടിയെല്ല്
17,Kehle::N,حلق,കണ്ഠനാളം
18,Hals::N,گردن,കഴുത്ത്
19,Genick::N,پشت گردن,പിടലി
20,Kopf::N,سر,തല
21,Kopf::N,کله,തല
22,Rücken::N,پشت,മുതുക്
23,Bauch::N,شکم,നയറ്
24,Nabel::N,ناف,നാഭി
25,Busen::N,پستان,സ്തനം
26,Brust::N,سینه,സ്തനം
27,Schulter::N,دوش,തോൾ
28,Schulter::N,شانه,തോൾ
29,Arm::N,بازو,കൈ
30,Ellenbogen::N,آرنج,കൈമുട്ട്
31,Hand::N,دست,കൈ
32,Handfläche::N,کف دست,ഉള്ളം കൈ
33,Finger::N,انگشت,വിരൽ
34,Fingernagel::N,ناخن دست,നഖം
35,Nagel[Anatomie]::N,ناخن,നഖം
36,Zeh::N,انگشت پا,കാൽവിരൽ
37,Fuß::N,پا,കാൽപ്പാദം
38,Ferse::N,پاشنه,ഉപ്പൂറ്റി
39,Knie::N,زانو,കാൽമുട്ട്
40,Oberschenkel::N,ران,തുട
41,Bein::N,پا,കാൽ
42,Bein::N,لنگ,കാൽ
43,Körper::N,تن,ശരീരം
44,Körper::N,بدن,ശരീരം
45,Haut::N,پوست,ചർമ്മം
46,Blut::N,خون,രക്തം
47,Ader::N,رگ,ഞരമ്പ്
48,Sehne::N,زردپی,സ്നായു
49,Knochen::N,استخوان,അസ്ഥി
50,Gehirn::N,مخ,തലച്ചോറ്
51,Gehirn::N,مغز,തലച്ചോറ്
52,Herz::N,دل,ഹൃദയം
53,Herz::N,قلب,ഹൃദയം
54,Magen::N,معده,വയർ
55,Leber::N,کبد,കരൾ
56,Atem::N,نفس,ശ്വാസം
57,Hunger::N,گرسنگی,വിശപ്പ്
58,Träne::N,اشک,കണ്ണീർ
59,Geschmack::N,مزه,രുചി
60,Geruch::N,بو,ഗന്ധം
61,Schlaf::N,خواب,ഉറകും
62,Traum::N,رؤیا,സ്വപ്നം
63,Himmel::N,فلک,ആകാശം
64,Himmel::N,آسمان,ആകാശം
65,Sonne::N,آفتاب,സൂര്യൻ
66,Sonne::N,خورشید,സൂര്യൻ
67,Mond::N,ماه,ചന്ദ്രൻ
68,Stern::N,ستاره,നക്ഷത്രം
69,Luft::N,هوا,കാറ്റ്
70,Wind::N,باد,കാറ്റ്
71,Welle::N,موج,തിരമാല
72,Wasser::N,آب,വെള്ളം
73,Stein::N,سنگ,ശില
74,Stein::N,سنگ,കല്ല്
75,Boden::N,زمین,തറ
76,Boden::N,زمین,നിലം
77,Erde::N,خاک,മണ്ണ്
78,Erde::N,زمین,മണ്ണ്
79,Staub::N,گرد,പൊടി
80,Staub::N,غبار,പൊടി
81,Rauch::N,دود,പുക
82,Funke::N,جرقه,തീപ്പൊരി
83,Feuer::N,آتش,തീ
84,Licht::N,نور,വിളക്ക്
85,Licht::N,نور,സൂര്യപ്രകാശം
86,Licht::N,روشنی,വിളക്ക്
87,Licht::N,روشنی,സൂര്യപ്രകാശം
88,Schatten::N,سایه,തണൽ
89,Wetter::N,هوا,കാലാവസ്ഥ
90,Nebel::N,مه,മൂടൽമഞ്ഞ്
91,Wolke::N,ابر,മേഘം
92,Regen::N,باران,മഴ
93,Schnee::N,برف,മഞ്ഞ്
94,Eis::N,یخ,ഐസ്
95,Frost::N,یخبندان,മൂടൽമഞ്ഞ്
96,Kälte::N,سرما,തണുപ്പ്
97,Hitze::N,گرما,ചൂട്
98,Hitze::N,حرارت,ചൂട്
99,Raureif::N,برف ریزه,കോടമഞ്ഞ്
100,Regenbogen::N,رنگین‌کمان,മഴവില്ല്
101,Donner::N,رعد,ഇടി
102,Strömung::N,جریان,പ്രവാഹം
103,Tropfen::N,قطره,തുള്ളി
104,Schaum::N,کف,നുര
105,Schmutz::N,گل,അഴുക്ക്
106,Schmutz::N,کثافت,അഴുക്ക്
107,See::N,دریاچه,തടാകം
108,Sumpf::N,مرداب,ചതുപ്പുനിലം
109,Sumpf::N,باتلاق,ചതുപ്പുനിലം
110,Moor::N,باتلاق,പാഴ്നിലം
111,Wiese::N,چمن,പുൽത്തകിടി
112,Wald::N,جنگل,വനം
113,Wald::N,جنگل,കാട്
114,Hügel::N,تل,കുന്ന്
115,Hügel::N,تپه,കുന്ന്
116,Anhöhe::N,بلندی,ഉയർന്ന ഭൂമി
117,Berg::N,کوه,പർവ്വതം
118,Gipfel::N,قله,ഉച്ചകോടി
119,Höhle::N,غار,ഗുഹ
120,Abhang::N,سرازیری,ചരിവ്
121,Quelle::N,چشمه,ഉറവിടം
122,Bach::N,نهر,അരുവി
123,Fluss::N,رود,നദി
124,Ufer::N,ساحل,തീരം
125,Ufer::N,کرانه,തീരം
126,Küste::N,ساحل,കടൽത്തീരം
127,Festland::N,خشکی,കര
128,Meer::N,دریا,കടൽ
129,Bucht::N,خلیج,ഉൾക്കടല്
130,Insel::N,جزیره,ദ്വീപ്
131,Blume::N,گل,പൂവ്
132,Gras::N,علف,പുല്ല്
133,Wurzel::N,ریشه,വേര്
134,Baum::N,درخت,മരം
135,Stamm::N,تنه,തായ്ത്തടി
136,Rinde::N,توژ,പട്ട
137,Rinde::N,پوست,പട്ട
138,Ast::N,شاخه,ശാഖ
139,Zweig::N,شاخه,ശാഖ
140,Blatt::N,برگ,ഇല
141,Birke::N,غان,പൂവരശ്
142,Kiefer[Baum]::N,کاج,പൈൻമരം
143,Weide[Baum]::N,بید,വില്ലോ
144,Tanne::N,صنوبر,ദേവദാരു
145,Horn::N,شاخ,മൃഗത്തിൻറെ കൊമ്പ്
146,Feder::N,پر,തൂവൽ
147,Fell::N,خز,മൃദുരോമം
148,Flügel::N,پر,ചിറക്
149,Flügel::N,بال,ചിറക്
150,Klaue::N,چنگ,നഖം
151,Klaue::N,پنجه,നഖം
152,Kralle::N,پنجه,നഖം
153,Schwanz::N,دم,വാൽ
154,Ei::N,تخم,മുട്ട
155,Nest::N,لانه,കൂട്
156,Bau::N,بنا,മാളം
157,Bau::N,ساختمان,മാളം
158,Tier::N,هیوان,മൃഗം
159,Herde::N,رمه,കൂട്ടം
160,Kuh::N,گاو,പശു
161,Bulle::N,گاو نر,കാള
162,Pferd::N,اسب,കുതിര
163,Schaf::N,گوسفند,ആട്
164,Schwein::N,خوک,പന്നി
165,Hund::N,سگ,നായ്
166,Katze::N,گربه,പൂച്ച
167,Bär::N,خرس,കരടി
168,Eichhörnchen::N,سنجاب,അണ്ണാൻ
169,Elch::N,گوزن شمالی,കടമാന്
170,Fuchs::N,روباه,കുറുക്കൻ
171,Hase::N,خرگوش,മുയൽ
172,Maus::N,موش,ചുണ്ടലി
173,Wolf::N,گرگ,ചെന്നായ
174,Vogel::N,پرنده,പക്ഷി
175,Schwarm::N,دسته,കൂട്ടം
176,Huhn::N,مرغ,കോഴി
177,Hahn::N,خروس,പൂവൻകോഴി
178,Gans::N,غاز,അരയന്നം
179,Adler::N,عقاب,കഴുകൻ
180,Ente::N,اردک,താറാവ്
181,Ente::N,مرغابی,താറാവ്
182,Eule::N,جغد,മൂങ്ങ
183,Kranich::N,درنا,കൊക്ക്
184,Krähe::N,زاغ,കാക്ക
185,Krähe::N,کلاغ,കാക്ക
186,Kuckuck::N,فاخته,കുയിൽ
187,Schwan::N,قو,അരയന്നം
188,Fisch::N,ماهی,മത്സ്യം
189,Barsch::N,ماهی خاردار,ഒരിനം മത്സ്യം
190,Hecht::N,اردک ماهی,ഒരു മത്സ്യം
191,Schlange[Tier]::N,مار,പാമ്പ്
192,Wurm::N,کرم,വിര
193,Spinne::N,عنکبوت,ചിലന്തി
194,Ameise::N,مورچه,ഉറുമ്പ്
195,Laus::N,شپش,പേന്
196,Mücke::N,پشه,മശകം
197,Fliege::N,مگس,ഈച്ച
198,Schmetterling::N,پروانه,ചിത്രശലഭം
199,Beere::N,گیله,ബെറി
200,Apfel::N,سیب,ആപ്പിൾ
201,Pilz::N,قارچ,കൂൺ
202,Zwiebel::N,پیاز,സവാള
203,Saat::N,بذر,വിത്ത്
204,Korn::N,تخم,ധാന്യം
205,Korn::N,دانه,ധാന്യം
206,Heu::N,علف خشک,വയ്ക്കോൽ
207,Schale::N,پوست,തൊലി
208,Grube::N,گودال,കുഴി
209,Falle::N,دام,കെണി
210,Schlinge::N,حلقه,കുടുക്ക്
211,Spur::N,رد,ചുവട്
212,Asche::N,خاکستر,ചാരം
213,Dreck::N,کثافت,അഴുക്ക്
214,Eisen::N,آهن,ഇരുമ്പ്
215,Gold::N,زر,സ്വർണ്ണം
216,Gold::N,طلا,സ്വർണ്ണം
217,Silber::N,نقره,വെള്ളി
218,Kohle::N,زغال,കൽക്കരി
219,Glas::N,شیشه,ഗ്ലാസ്
220,Lehm::N,گل,കളിമണ്ണ്
221,Sand::N,شن,മണൽ
222,Sand::N,ماسه,മണൽ
223,Mensch::N,آدم,മനുഷ്യർ
224,Mensch::N,انسان,മനുഷ്യർ
225,Mann::N,مرد,പുരുഷൻ
226,Frau::N,زن,സ്ത്രീ
227,Kind::N,بچه,കുഞ്ഞ്
228,Kind::N,کودک,കുഞ്ഞ്
229,Junge::N,پسر,ആൺകുട്ടി
230,Mädchen::N,دختر,പെൺകുട്ടി
231,Familie::N,فامیل,കുടുംബം
232,Familie::N,خانواده,കുടുംബം
233,Großvater::N,پدربزرگ,അപ്പൂപ്പൻ
234,Großmutter::N,مادر‌بزرگ,അമ്മുമ്മ
235,Eltern::N,والدین,മാതാപിതാക്കള്
236,Eltern::N,پدر‌و‌مادر,മാതാപിതാക്കള്
237,Vater::N,پدر,അച്ഛൻ
238,Mutter::N,مادر,അമ്മ
239,Sohn::N,پسر,മകൻ
240,Tochter::N,دختر,മകൾ
241,Bruder::N,برادر,ചേട്ടൻ
242,Bruder::N,برادر,അനിയൻ
243,Schwester::N,خواهر,ചേച്ചി
244,Schwester::N,خواهر,അനിയത്തി
245,Onkel::N,عمو,അമ്മാവൻ
246,Onkel::N,دایی,അമ്മാവൻ
247,Tante::N,عمه,മാമി
248,Tante::N,خاله,മാമി
249,Ehemann::N,همسر,ഭർത്താവ്
250,Ehefrau::N,همسر,ഭാര്യ
251,Freude::N,شادی,ആഹ്ലാദം
252,Gelächter::N,خنده,ചിരിയുടെ ശബ്ദം
253,Gelächter::N,قاه‌قاه,ചിരിയുടെ ശബ്ദം
254,Glück::N,اقبال,സന്തോഷം
255,Glück::N,اقبال,സന്തുഷ്ടി
256,Kummer::N,غم,ശോകം
257,Kummer::N,غصه,ശോകം
258,Wunsch::N,آرزو,ആഗ്രഹം
259,Lust::N,هوس,ആഗ്രഹം
260,Geist::N,روح,ചുറുചുറുക്ക്
261,Gedanke::N,فکر,ചിന്ത
262,Gedächtnis::N,حافظه,ഓർമ്മശക്തി
263,Verstand::N,هوش,മനസ്സ്
264,Sinn::N,معنا,അർത്ഥം
265,Sinn::N,مفهوم,അർത്ഥം
266,Grund::N,سبب,കാരണം
267,Grund::N,دلیل,കാരണം
268,Wahrheit::N,حقیقت,സത്യം
269,Gespräch::N,صحبت,സല്ലാപം
270,Gespräch::N,گفتگو,സല്ലാപം
271,Märchen::N,قصه,യക്ഷിക്കഥ
272,Märchen::N,افسانه,യക്ഷിക്കഥ
273,Erzählung::N,داستان,കഥ
274,Nachricht::N,خبر,സന്ദേശം
275,Neuigkeit::N,خبر تازه,വാർത്ത
276,Name::N,اسم,പേര്
277,Rätsel::N,معما,പ്രഹേളിക
278,Rede::N,سخن,സംസാരം
279,Sprache::N,زبان,ഭാഷ
280,Stimme::N,صدا,സ്വരം
281,Wort::N,کلمه,വാക്ക്
282,Zeichen::N,نشان,സംജ്ഞ
283,Zeichen::N,علامت,സംജ്ഞ
284,Ruf::N,صدا,വിളി
285,Lärm::N,هیاهو,ആരവം
286,Laut::N,صدا,ശബ്ദം
287,Ton::N,آهنگ,സ്വരഭേദം
288,Lied::N,آواز,പാട്ട്
289,Lied::N,ترانه,പാട്ട്
