,Concept_ID,en,os
0,Auge::N,eye,цӕст
1,Ohr::N,ear,хъус
2,Nase::N,nose,фындз
3,Mund::N,mouth,дзых
4,Zahn::N,tooth,дӕндаг
5,Zunge::N,tongue,ӕвзаг
6,Lippe::N,lip,был
7,Wange::N,cheek,рус
8,Wange::N,cheek,уадул
9,Wange::N,cheek,ӕхсӕрфарс
10,Gesicht::N,face,цӕсгом
11,Stirn::N,forehead,ных
12,Haar::N,hair,хил
13,Schnurrbart::N,moustache,рихи
14,Bart::N,beard,зачъе
15,Kinn::N,chin,роцъо
16,Kiefer[Anatomie]::N,jaw,ӕфсӕр
17,Kehle::N,throat,хъуыр
18,Hals::N,neck,къубал
19,Genick::N,nape,къӕбут
20,Kopf::N,head,сӕр
21,Rücken::N,back,фӕсонтӕ
22,Rücken::N,spine,фӕсонтӕ
23,Bauch::N,belly,гуыбын
24,Nabel::N,navel,бикъ
25,Busen::N,bosom,дзидзи
26,Brust::N,chest,риу
27,Brust::N,breast,риу
28,Schulter::N,shoulder,уӕхск
29,Arm::N,arm,цонг
30,Ellenbogen::N,elbow,рæмбын
31,Hand::N,hand,къух
32,Handfläche::N,palm,армытъӕпӕн
33,Finger::N,finger,ӕнруылдз
34,Fingernagel::N,fingernail,ных
35,Nagel[Anatomie]::N,nail,ных
36,Zeh::N,toe,къух
37,Fuß::N,foot,фад
38,Ferse::N,heel,зӕвӕт
39,Knie::N,knee,уӕраг
40,Oberschenkel::N,thigh,агъд
41,Bein::N,leg,зӕнг
42,Körper::N,body,буар
43,Haut::N,skin,царм
44,Blut::N,blood,туг
45,Ader::N,vein,дадзин
46,Ader::N,vein,тугдадзин
47,Sehne::N,sinew,хъиутæ
48,Sehne::N,sinew,нуар
49,Knochen::N,bone,стӕг
50,Gehirn::N,brain,магъз
51,Herz::N,heart,зӕрдӕ
52,Magen::N,stomach,ахсӕн
53,Leber::N,liver,игæр
54,Atem::N,breath,улӕфт
55,Hunger::N,hunger,стонг
56,Träne::N,tear,цæссыг
57,Geschmack::N,flavour,ад
58,Geschmack::N,flavor,ад
59,Geruch::N,odour,смаг
60,Geruch::N,odor,смаг
61,Schlaf::N,sleep,хуыссӕг
62,Traum::N,dream,фын
63,Himmel::N,sky,арв
64,Himmel::N,sky,уӕларв
65,Sonne::N,sun,хур
66,Mond::N,moon,мӕй
67,Stern::N,star,стъалы
68,Luft::N,air,уӕлдӕф
69,Wind::N,wind,дымгӕ
70,Welle::N,wave,уылӕн
71,Wasser::N,water,дон
72,Stein::N,stone,дур
73,Boden::N,soil,зӕхх
74,Boden::N,ground,зӕхх
75,Erde::N,earth,сыджыт
76,Staub::N,dust,рыг
77,Rauch::N,smoke,фӕздӕг
78,Funke::N,spark,цӕхӕр
79,Feuer::N,fire,зынг
80,Licht::N,light,рухс
81,Schatten::N,shadow,аууон
82,Wetter::N,weather,боныхъӕд
83,Nebel::N,fog,мигъ
84,Wolke::N,cloud,ӕврагъ
85,Regen::N,rain,уарын
86,Schnee::N,snow,мит
87,Eis::N,ice,их
88,Frost::N,frost,ихæн
89,Kälte::N,chill,уазал
90,Hitze::N,heat,ӕнтӕф
91,Raureif::N,hoarfrost,халас
92,Regenbogen::N,rainbow,арвырон
93,Regenbogen::N,rainbow,арвырдын
94,Donner::N,thunder,æрвнæрын
95,Strömung::N,current,цыд
96,Tropfen::N,drop,æртах
97,Schaum::N,foam,фынк
98,Schmutz::N,dirt,цъыф
99,See::N,lake,цад
100,Sumpf::N,swamp,цъыфдзаст
101,Moor::N,moor,цъыфдзаст
102,Wiese::N,meadow,уыгӕрдӕн
103,Wald::N,forest,хъӕд
104,Hügel::N,hill,обау
105,Hügel::N,hill,къуыбыр
106,Anhöhe::N,elevation,уæлвæз
107,Anhöhe::N,elevation,уæлхох
108,Berg::N,mountain,хох
109,Gipfel::N,summit,цъупп
110,Höhle::N,cave,лӕгӕт
111,Abhang::N,slope,къул
112,Quelle::N,source,суадон
113,Bach::N,brook,мӕсчъыдон
114,Fluss::N,river,дон
115,Fluss::N,river,цӕугӕдон
116,Ufer::N,shore,был
