,Concept_ID,br,mrj
0,Auge::N,lagad,сӹнзӓ
1,Ohr::N,skouarn,пӹлӹш
2,Nase::N,fri,нер
3,Mund::N,genoù,ышма
4,Zahn::N,dant,пӱ
5,Zunge::N,teod,йӹлмӹ
6,Lippe::N,muzell,тӹрвӹ
7,Wange::N,chot,шӹргӹ
8,Gesicht::N,dremm,лицӓ
9,Stirn::N,tal,лепкӓ
10,Haar::N,blev,ӱп
11,Schnurrbart::N,mourenn,öрш
12,Bart::N,barv,пандаш
13,Kinn::N,groñj,онгылаш
14,Kiefer[Anatomie]::N,javed,пӱ арата
15,Kehle::N,gouzoug,логер
16,Hals::N,gouzoug,шӱ
17,Genick::N,choug,ланга
18,Kopf::N,penn,вуй
19,Rücken::N,kein,туп
20,Bauch::N,kof,мӹшкӹр
21,Nabel::N,begel,кӹлӹмдӹ
22,Busen::N,bronn,цӹзӹ
23,Brust::N,bruched,мел
24,Schulter::N,skoaz,ӹнгӹжӓ
25,Arm::N,brec'h,кид
26,Ellenbogen::N,ilin,кӹнервуй
27,Hand::N,dorn,лапа
28,Handfläche::N,palv,кид лапа
29,Finger::N,biz,парня
30,Fingernagel::N,ivin,кӹч
31,Nagel[Anatomie]::N,ivin,кӹч
32,Zeh::N,biz-troad,парня
33,Fuß::N,troad,ял лапа
34,Ferse::N,seul,ялгавал
35,Ferse::N,seul,ял кавал
36,Knie::N,glin,пылвуй
37,Oberschenkel::N,morzhed,ӓрдӹ
38,Bein::N,gar,ял
39,Körper::N,korf,монгыр
40,Haut::N,kroc'hen,кавашты
41,Blut::N,gwad,вӹр
42,Ader::N,gwazhi,вӹршӓр
43,Sehne::N,stir,кукшышӱн
44,Knochen::N,askorn,лу
45,Gehirn::N,empenn,вим
46,Herz::N,kalon,шӱм
47,Magen::N,stomog,шӱм
48,Leber::N,avu,мокш
49,Atem::N,anal,шӱлӹш
50,Hunger::N,naon,шужымаш
51,Träne::N,daer,сӹнзӓвӹд
52,Geschmack::N,blaz,тот
53,Geruch::N,c'hwezh,пыш
54,Schlaf::N,kousked,ом
55,Traum::N,hune,ом
56,Himmel::N,oabl,пӹлгом
57,Sonne::N,heol,кечӹ
58,Mond::N,loar,тӹлзӹ
59,Stern::N,steredenn,шӹдӹр
60,Luft::N,aer,юж
61,Luft::N,aer,воздух
62,Wind::N,avel,мардеж
63,Welle::N,houlenn,ко
64,Welle::N,houlenn,коэ
65,Wasser::N,dour,вӹд
66,Stein::N,maen,кӱ
67,Boden::N,tachenn,рок
68,Erde::N,douar,свет
69,Staub::N,poultr,пырак
70,Rauch::N,moged,шӹкш
71,Funke::N,ful,ип
72,Funke::N,ful,тылип
73,Feuer::N,tan,тыл
74,Licht::N,gouloù,соты
75,Licht::N,gouloù,валгыды
76,Schatten::N,disheol,ӹмӹл
77,Wetter::N,amzer,игечӹ
78,Nebel::N,brumenn,тӹтӹрӓ
79,Wolke::N,koumoulenn,пӹл
80,Regen::N,glav,юр
81,Schnee::N,erc'h,лым
82,Eis::N,skorn,и
83,Frost::N,rev,ӱштӹ
84,Kälte::N,yen,ӱштӹ
85,Hitze::N,tommder,шокшы
86,Raureif::N,frim,пöрш
