,Concept_ID,ml,zh
0,Auge::N,കണ്ണ്,眼睛
1,Ohr::N,ചെവി,耳朵
2,Nase::N,മൂക്ക്,鼻子
3,Mund::N,വായ,嘴
4,Zahn::N,പല്ല്,牙齿
5,Zunge::N,നാക്ക്,舌头
6,Lippe::N,ചുണ്ട്,嘴唇
7,Wange::N,കവിൾത്തടം,面颊
8,Gesicht::N,മുഖം,脸
9,Stirn::N,നെറ്റി,额
10,Haar::N,തലമുടി,头发
11,Schnurrbart::N,മീശ,髭须
12,Bart::N,താടിരോമം,胡子
13,Kinn::N,താടി,下巴
14,Kiefer[Anatomie]::N,താടിയെല്ല്,颌
15,Kehle::N,കണ്ഠനാളം,嗓子
16,Hals::N,കഴുത്ത്,颈
17,Genick::N,പിടലി,后颈
18,Kopf::N,തല,头
19,Rücken::N,മുതുക്,背
20,Bauch::N,നയറ്,肚子
21,Nabel::N,നാഭി,肚脐
22,Busen::N,സ്തനം,胸脯
23,Brust::N,സ്തനം,胸
24,Schulter::N,തോൾ,肩膀
25,Arm::N,കൈ,臂膀
26,Ellenbogen::N,കൈമുട്ട്,肘
27,Hand::N,കൈ,手
28,Handfläche::N,ഉള്ളം കൈ,手掌
29,Finger::N,വിരൽ,手指
30,Fingernagel::N,നഖം,指甲
31,Nagel[Anatomie]::N,നഖം,指甲
32,Zeh::N,കാൽവിരൽ,脚趾
33,Fuß::N,കാൽപ്പാദം,脚
34,Ferse::N,ഉപ്പൂറ്റി,后跟
35,Knie::N,കാൽമുട്ട്,膝
36,Oberschenkel::N,തുട,大腿
37,Bein::N,കാൽ,腿
38,Körper::N,ശരീരം,身体
39,Haut::N,ചർമ്മം,皮肤
40,Blut::N,രക്തം,血
41,Ader::N,ഞരമ്പ്,血管
42,Sehne::N,സ്നായു,腱
43,Knochen::N,അസ്ഥി,骨
44,Gehirn::N,തലച്ചോറ്,脑
45,Herz::N,ഹൃദയം,心
46,Magen::N,വയർ,胃
47,Leber::N,കരൾ,肝
48,Atem::N,ശ്വാസം,呼吸
49,Hunger::N,വിശപ്പ്,饿
50,Träne::N,കണ്ണീർ,眼泪
51,Geschmack::N,രുചി,味道
52,Geruch::N,ഗന്ധം,气味
53,Schlaf::N,ഉറകും,睡眠
54,Traum::N,സ്വപ്നം,梦
55,Himmel::N,ആകാശം,天空
56,Sonne::N,സൂര്യൻ,太阳
57,Mond::N,ചന്ദ്രൻ,月亮
58,Stern::N,നക്ഷത്രം,星
59,Luft::N,കാറ്റ്,空气
60,Wind::N,കാറ്റ്,风
61,Welle::N,തിരമാല,波
62,Wasser::N,വെള്ളം,水
63,Stein::N,ശില,石头
64,Stein::N,കല്ല്,石头
65,Boden::N,തറ,地面
66,Boden::N,നിലം,地面
67,Erde::N,മണ്ണ്,地
68,Staub::N,പൊടി,灰尘
69,Rauch::N,പുക,烟
70,Funke::N,തീപ്പൊരി,火花
71,Feuer::N,തീ,火
72,Licht::N,വിളക്ക്,光
73,Licht::N,സൂര്യപ്രകാശം,光
74,Schatten::N,തണൽ,影子
75,Wetter::N,കാലാവസ്ഥ,天气
76,Nebel::N,മൂടൽമഞ്ഞ്,雾
77,Wolke::N,മേഘം,云
78,Regen::N,മഴ,雨
79,Schnee::N,മഞ്ഞ്,雪
80,Eis::N,ഐസ്,冰
81,Frost::N,മൂടൽമഞ്ഞ്,霜冻
82,Kälte::N,തണുപ്പ്,寒冷
83,Hitze::N,ചൂട്,炎热
84,Raureif::N,കോടമഞ്ഞ്,霜
85,Regenbogen::N,മഴവില്ല്,虹
86,Donner::N,ഇടി,雷
87,Strömung::N,പ്രവാഹം,水流
88,Tropfen::N,തുള്ളി,滴
89,Schaum::N,നുര,泡沫
90,Schmutz::N,അഴുക്ക്,赃物
91,See::N,തടാകം,湖
92,Sumpf::N,ചതുപ്പുനിലം,沼泽
93,Moor::N,പാഴ്നിലം,沼泽
94,Wiese::N,പുൽത്തകിടി,草地
95,Wald::N,വനം,森林
96,Wald::N,കാട്,森林
97,Hügel::N,കുന്ന്,丘陵
98,Anhöhe::N,ഉയർന്ന ഭൂമി,山丘
99,Berg::N,പർവ്വതം,山
100,Gipfel::N,ഉച്ചകോടി,峰
101,Höhle::N,ഗുഹ,洞穴
102,Abhang::N,ചരിവ്,斜坡
103,Quelle::N,ഉറവിടം,泉
104,Bach::N,അരുവി,溪
105,Fluss::N,നദി,河流
106,Ufer::N,തീരം,岸
107,Küste::N,കടൽത്തീരം,海岸
108,Festland::N,കര,大陆
109,Meer::N,കടൽ,海
110,Bucht::N,ഉൾക്കടല്,海湾
111,Insel::N,ദ്വീപ്,岛
112,Blume::N,പൂവ്,花
113,Gras::N,പുല്ല്,草
114,Wurzel::N,വേര്,根
115,Baum::N,മരം,树
116,Stamm::N,തായ്ത്തടി,树干
117,Rinde::N,പട്ട,树皮
118,Ast::N,ശാഖ,树枝
119,Zweig::N,ശാഖ,树枝
120,Blatt::N,ഇല,叶子
121,Birke::N,പൂവരശ്,桦木
122,Kiefer[Baum]::N,പൈൻമരം,松树
123,Weide[Baum]::N,വില്ലോ,柳树
124,Tanne::N,ദേവദാരു,冷杉
125,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,角
126,Feder::N,തൂവൽ,羽毛
127,Fell::N,മൃദുരോമം,皮毛
128,Flügel::N,ചിറക്,翅膀
129,Klaue::N,നഖം,爪子
130,Kralle::N,നഖം,爪子
131,Schwanz::N,വാൽ,尾巴
132,Ei::N,മുട്ട,蛋
133,Nest::N,കൂട്,巢
134,Bau::N,മാളം,穴
135,Tier::N,മൃഗം,动物
136,Herde::N,കൂട്ടം,群
137,Kuh::N,പശു,母牛
138,Bulle::N,കാള,公牛
139,Pferd::N,കുതിര,马
140,Schaf::N,ആട്,羊
141,Schwein::N,പന്നി,猪
142,Hund::N,നായ്,狗
143,Katze::N,പൂച്ച,猫
144,Bär::N,കരടി,熊
145,Eichhörnchen::N,അണ്ണാൻ,松鼠
146,Elch::N,കടമാന്,麋鹿
147,Fuchs::N,കുറുക്കൻ,狐狸
