,Concept_ID,ru,se
0,Auge::N,глаз,tjelmie
1,Auge::N,глаз,tjalmme
2,Auge::N,глаз,čalbmi
3,Auge::N,глаз,čalme
4,Auge::N,глаз,čâ´lmm
5,Auge::N,глаз,ча̄лльм
6,Ohr::N,ухо,bieljie
7,Ohr::N,ухо,biellje
8,Ohr::N,ухо,beallji
9,Ohr::N,ухо,pelji
10,Ohr::N,ухо,pe´llj
11,Ohr::N,ухо,пе̄лльй
12,Nase::N,нос,njuenie
13,Nase::N,нос,njunnje
14,Nase::N,нос,njunni
15,Nase::N,нос,njuṇe
16,Nase::N,нос,njuu´nn
17,Nase::N,нос,нюннҍ
18,Mund::N,рот,njaelmie
19,Mund::N,рот,njálmme
20,Mund::N,рот,njálbmi
21,Mund::N,рот,njälmi
22,Mund::N,рот,njä´lmm
23,Mund::N,рот,ня̄лльм
24,Zahn::N,зуб,baenie
25,Zahn::N,зуб,bádne
26,Zahn::N,зуб,bátni
27,Zahn::N,зуб,pääṇi
28,Zahn::N,зуб,pää´nn
29,Zahn::N,зуб,па̄ннҍ
30,Zunge::N,язык,njoektjeme
31,Zunge::N,язык,njuovtjav
32,Zunge::N,язык,njuovčča
33,Zunge::N,язык,njuovčâ
34,Zunge::N,язык,njuhččâm
35,Zunge::N,язык,нюхчем
36,Lippe::N,губа,bangseme
37,Lippe::N,губа,njálmmerabdda
38,Lippe::N,губа,bavssa
39,Lippe::N,губа,poovsâ
40,Lippe::N,губа,põõus
41,Lippe::N,губа,пэ̄кс
42,Wange::N,щека,skiehrie
43,Wange::N,щека,nierra
44,Wange::N,щека,muohtu
45,Wange::N,щека,nieṛâ
46,Wange::N,щека,njiõrr
47,Wange::N,щека,нӣрр
48,Gesicht::N,лицо,ååredæjja
49,Gesicht::N,лицо,muohto
50,Gesicht::N,лицо,muođut
51,Gesicht::N,лицо,ámadadju
52,Gesicht::N,лицо,muáđuh
53,Gesicht::N,лицо,muâđ
54,Gesicht::N,лицо,ка̄ссв
55,Stirn::N,лоб,gaalloe
56,Stirn::N,лоб,gállo
57,Stirn::N,лоб,gállu
58,Stirn::N,лоб,kállu
59,Stirn::N,лоб,käll
60,Stirn::N,лоб,вуэххьц
61,Haar::N,волос,voepte
62,Haar::N,волос,vuoppta
63,Haar::N,волос,vuokta
64,Haar::N,волос,vuop'tâ
65,Haar::N,волос,vuõpt
66,Haar::N,волос,вӯппт
67,Haar::N,волосы,voepte
68,Haar::N,волосы,vuoppta
69,Haar::N,волосы,vuokta
70,Haar::N,волосы,vuop'tâ
71,Haar::N,волосы,vuõpt
72,Haar::N,волосы,вӯппт
73,Schnurrbart::N,ус,bijjie-skaavtjoe
74,Schnurrbart::N,ус,njunjevuolskávttjá
75,Schnurrbart::N,ус,seamu
76,Schnurrbart::N,ус,siämu
77,Schnurrbart::N,ус,ää´bben
78,Schnurrbart::N,ус,о̄а̄бпан
79,Schnurrbart::N,усы,bijjie-skaavtjoe
80,Schnurrbart::N,усы,njunjevuolskávttjá
81,Schnurrbart::N,усы,seamu
82,Schnurrbart::N,усы,siämu
83,Schnurrbart::N,усы,ää´bben
84,Schnurrbart::N,усы,о̄а̄бпан
85,Bart::N,борода,skaavtja
86,Bart::N,борода,skaavtjoe
87,Bart::N,борода,skávttjá
88,Bart::N,борода,seamu
89,Bart::N,борода,siämu
90,Bart::N,борода,seäm
91,Bart::N,борода,ся̄м
92,Kinn::N,подбородок,gaejpie
93,Kinn::N,подбородок,gájbbe
94,Kinn::N,подбородок,gáibi
95,Kinn::N,подбородок,käibi
96,Kinn::N,подбородок,käi´bb
97,Kinn::N,подбородок,ка̄ййп
98,Kiefer[Anatomie]::N,челюсть,gaejpie
99,Kiefer[Anatomie]::N,челюсть,oalol
100,Kiefer[Anatomie]::N,челюсть,oaloldákte
101,Kiefer[Anatomie]::N,челюсть,gáibi
