,Concept_ID,br,lv
0,Auge::N,lagad,син
1,Auge::N,lagad,acs
2,Ohr::N,skouarn,пель
3,Ohr::N,skouarn,auss
4,Nase::N,fri,ныр
5,Nase::N,fri,deguns
6,Mund::N,genoù,вом
7,Mund::N,genoù,mute
8,Zahn::N,dant,пинь
9,Zahn::N,dant,zobs
10,Zunge::N,teod,кыв
11,Zunge::N,teod,mēle
12,Lippe::N,muzell,вом дор
13,Lippe::N,muzell,lūpa
14,Wange::N,chot,бан
15,Wange::N,chot,vaigs
16,Gesicht::N,dremm,чужӧм
17,Gesicht::N,dremm,seja
18,Gesicht::N,dremm,ģīmis
19,Stirn::N,tal,плеш
20,Stirn::N,tal,кымӧс
21,Stirn::N,tal,piere
22,Haar::N,blev,си
23,Haar::N,blev,юрси
24,Haar::N,blev,mats
25,Schnurrbart::N,mourenn,ус
26,Schnurrbart::N,mourenn,пыртсим
27,Schnurrbart::N,mourenn,ūsas
28,Bart::N,barv,тош
29,Bart::N,barv,bārda
30,Kinn::N,groñj,тшӧка
31,Kinn::N,groñj,zods
32,Kinn::N,groñj,smakrs
33,Kiefer[Anatomie]::N,javed,черлы
34,Kiefer[Anatomie]::N,javed,алака лы
35,Kiefer[Anatomie]::N,javed,вомкӧтш лы
36,Kiefer[Anatomie]::N,javed,žoklis
37,Kehle::N,gouzoug,голя
38,Kehle::N,gouzoug,rīkle
39,Hals::N,gouzoug,сьылі
40,Hals::N,gouzoug,kakls
41,Genick::N,choug,юрбӧр
42,Genick::N,choug,балябӧж
43,Genick::N,choug,sprands
44,Kopf::N,penn,юр
45,Kopf::N,penn,galva
46,Rücken::N,kein,мыш
47,Rücken::N,kein,mugura
48,Bauch::N,kof,рушку
49,Bauch::N,kof,vēders
50,Nabel::N,begel,гӧг
51,Nabel::N,begel,naba
52,Busen::N,bronn,морӧс
53,Busen::N,bronn,krūts
54,Brust::N,bruched,морӧс
55,Brust::N,bruched,krūts
56,Schulter::N,skoaz,пельпом
57,Schulter::N,skoaz,plecs
58,Arm::N,brec'h,ки
59,Arm::N,brec'h,roka
60,Arm::N,brec'h,delms
61,Ellenbogen::N,ilin,гырддза
62,Ellenbogen::N,ilin,elkonis
63,Hand::N,dorn,ки
64,Hand::N,dorn,roka
65,Hand::N,dorn,plauksta
66,Handfläche::N,palv,ки пыдӧс
67,Handfläche::N,palv,delna
68,Handfläche::N,palv,plauksta
69,Finger::N,biz,чунь
70,Finger::N,biz,pirksts
71,Fingernagel::N,ivin,гыж
72,Fingernagel::N,ivin,nags
73,Nagel[Anatomie]::N,ivin,гыж
74,Nagel[Anatomie]::N,ivin,nags
75,Zeh::N,biz-troad,кок чунь
76,Zeh::N,biz-troad,pirksts
77,Fuß::N,troad,кок
78,Fuß::N,troad,kāja
79,Ferse::N,seul,кокбӧр
80,Ferse::N,seul,papēdis
81,Knie::N,glin,пидзӧс
82,Knie::N,glin,celis
83,Oberschenkel::N,morzhed,лядьвей
84,Oberschenkel::N,morzhed,бек
85,Oberschenkel::N,morzhed,ciska
86,Oberschenkel::N,morzhed,augšstilbs
87,Bein::N,gar,кок
88,Bein::N,gar,kāja
89,Körper::N,korf,туша
90,Körper::N,korf,вывтыр
91,Körper::N,korf,miesa
92,Körper::N,korf,ķermenis
93,Haut::N,kroc'hen,ку
94,Haut::N,kroc'hen,āda
95,Blut::N,gwad,вир
96,Blut::N,gwad,asins
97,Ader::N,gwazhi,сӧн
98,Ader::N,gwazhi,asinsvads
