,Concept_ID,ce,hi
0,Auge::N,бӏаьрг,आँख
1,Auge::N,бӏаьрг,चक्षु
2,Ohr::N,лерг,कान
3,Ohr::N,лерг,कर्ण
4,Nase::N,мара,नाक
5,Nase::N,мара,नासा
6,Mund::N,бага,मुख
7,Mund::N,бага,मुँह
8,Zahn::N,церг,दंत
9,Zahn::N,церг,दाँत
10,Zunge::N,мотт,जीभ
11,Zunge::N,мотт,ज़बान
12,Zunge::N,мотт,जिह्वा
13,Lippe::N,балда,ओंठ
14,Lippe::N,балда,होंठ
15,Wange::N,бесни,गाल
16,Wange::N,бесни,कपोल
17,Gesicht::N,юьхь,मुँह
18,Gesicht::N,юьхь,चेहरा
19,Stirn::N,хьаж,माथा
20,Stirn::N,хьаж,मस्तक
21,Haar::N,мас,बाल
22,Schnurrbart::N,мекх,मूँछें
23,Bart::N,маж,दाढ़ी
24,Kinn::N,чӏениг,चिबुक
25,Kiefer[Anatomie]::N,мочхал,जबड़ा
26,Kehle::N,къамкъарг,गला
27,Hals::N,ворта,गला
28,Hals::N,ворта,गरदन
29,Genick::N,кӏесаркӏаг,गरदन
30,Genick::N,кӏесаркӏаг,ग्रीवा
31,Kopf::N,корта,सिर
32,Kopf::N,корта,शीर्ष
33,Rücken::N,букъ,पीठ
34,Bauch::N,кийра,उदर
35,Nabel::N,цӏонга,नाभि
36,Nabel::N,цӏонга,ढोंढी
37,Busen::N,зударийн накха,कुच
38,Busen::N,зударийн накха,स्तन
39,Brust::N,накха,वक्ष
40,Schulter::N,белш,कंधा
41,Schulter::N,белш,स्कंध
42,Arm::N,пхьарс,बाँह
43,Arm::N,пхьарс,बाज़ू
44,Ellenbogen::N,пхьаьрсан гола,कुहनी
45,Hand::N,куьг,हाथ
46,Hand::N,куьг,हस्त
47,Handfläche::N,кераюкъ,हथेली
48,Finger::N,пӏелг,उँगली
49,Finger::N,пӏелг,अँगुली
50,Fingernagel::N,мӏара,नख
51,Fingernagel::N,мӏара,नाख़ून
52,Nagel[Anatomie]::N,мӏара,नख
53,Nagel[Anatomie]::N,мӏара,नाख़ून
54,Zeh::N,кога пӏелг,उँगली
55,Zeh::N,кога пӏелг,पाँव की उँगली
56,Fuß::N,ког,चरण
57,Fuß::N,ког,पाँव
58,Ferse::N,кӏажа,एड़ी
59,Knie::N,гола,जानु
60,Knie::N,гола,घुटना
61,Oberschenkel::N,варе,उरु
62,Bein::N,ког,टाँग
63,Körper::N,хӏума,तन
64,Körper::N,хӏума,देह
65,Körper::N,хӏума,शरीर
66,Haut::N,чкъор,चर्म
67,Haut::N,чкъор,त्वचा
68,Blut::N,цӏий,लहू
69,Blut::N,цӏий,ख़ून
70,Ader::N,пха,रग
71,Ader::N,пха,शिरा
72,Sehne::N,хьорзам,कंडरा
73,Sehne::N,хьорзам,स्नायु
74,Knochen::N,даьӏахк,अस्थि
75,Gehirn::N,хье,दिमाग़
76,Gehirn::N,хье,मस्तिष्क
77,Herz::N,дог,दिल
78,Herz::N,дог,हृदय
79,Magen::N,зорх,मेदा
80,Magen::N,зорх,अमाशय
81,Leber::N,доӏах,जिगर
82,Leber::N,доӏах,यकृत्
83,Atem::N,садеӏар,दम
84,Atem::N,садеӏар,साँस
