,Concept_ID,ady,fr
0,Auge::N,нэ,œil
1,Ohr::N,тхьакӏу́м,oreille
2,Nase::N,пэ,nez
3,Mund::N,жэ,bouche
4,Zahn::N,цэ,dent
5,Zunge::N,бзэгу,langue
6,Lippe::N,ӏупшӏэ́,lèvre
7,Wange::N,нэкӏу́шъу,joue
8,Gesicht::N,нэ́гу,face
9,Gesicht::N,нэ́гу,visage
10,Stirn::N,натӏэ́,front
11,Haar::N,шъхьацы́,cheveu
12,Bart::N,жакӏэ́,barbe
13,Kinn::N,жэкӏэпэпкъ,menton
14,Kiefer[Anatomie]::N,жэпкъы́,mâchoire
15,Kehle::N,чый,gorge
16,Hals::N,пшъэ,cou
17,Genick::N,шъхьэпхэтыку,nuque
18,Kopf::N,шъхьэ́,tête
19,Rücken::N,кӏыбы́,dos
20,Bauch::N,ныбэ́,ventre
21,Busen::N,бгъэ́,sein
22,Brust::N,бгъэ́,poitrine
23,Schulter::N,блыпкъ,épaule
24,Arm::N,ӏэ,bras
25,Ellenbogen::N,ӏэнтэ́гъу,coude
26,Hand::N,ӏэтхьэцу,main
27,Handfläche::N,ӏэ́гу,paume
28,Finger::N,ӏэхъуа́мб,doigt
29,Fingernagel::N,ӏэбжъа́н,ongle
30,Nagel[Anatomie]::N,ӏэбжъа́н,ongle
31,Zeh::N,ӏэхъуа́мб,orteil
32,Zeh::N,ӏэхъуа́мб,doigt de pied
33,Fuß::N,лъэгу,pied
34,Ferse::N,лъэдакъэ,talon
35,Knie::N,лъагуа́ндж,genou
36,Oberschenkel::N,ко,cuisse
37,Bein::N,лъакъо́,jambe
38,Körper::N,пкъышъол,corps
39,Haut::N,кӏы́шъу,peau
40,Blut::N,лъы,sang
41,Ader::N,льытф,veine
42,Sehne::N,фэ,tendon
43,Knochen::N,къупшъхьэ́,os
44,Gehirn::N,куцӏы,cerveau
45,Herz::N,гу,cœur
46,Magen::N,мышкӏу,estomac
47,Leber::N,шӏу,foie
48,Atem::N,къэщэныр,haleine
49,Hunger::N,гъаблэ́,faim
50,Träne::N,нэпсы,larme
