,Concept_ID,ta,da
0,Auge::N,கண்,øje
1,Ohr::N,காது,øre
2,Nase::N,மூக்கு,næse
3,Mund::N,வாய்,mund
4,Zahn::N,பல்,tand
5,Zunge::N,நாக்கு,tunge
6,Lippe::N,உதடு,læbe
7,Wange::N,கன்னம்,kind
8,Gesicht::N,முகம்,ansigt
9,Stirn::N,முன்னெற்றி,pande
10,Haar::N,முடி,hår
11,Schnurrbart::N,மீசை,overskæg
12,Bart::N,தாடி,skæg
13,Kinn::N,கீழதாடை,hage
14,Kiefer[Anatomie]::N,தாடை,kæbe
15,Kehle::N,தொண்டை,strube
16,Hals::N,கழுத்து,hals
17,Genick::N,கழுத்து,nakke
18,Kopf::N,தலை,hoved
19,Rücken::N,முதுகு,ryg
20,Bauch::N,வயிறு,mave
21,Nabel::N,தொப்புள்,navle
22,Busen::N,மார்பகம்,barm
23,Brust::N, மார்பு,bryst
24,Schulter::N,தோள்பட்டை,skulder
25,Arm::N,கரம்,arm
26,Ellenbogen::N,முழங்கை,albue
27,Hand::N,கை,hånd
28,Handfläche::N,உள்ளங்கை,håndflade
29,Finger::N,விரல்,finger
30,Fingernagel::N,விரல் நகம்,fingernegl
31,Nagel[Anatomie]::N,நகம்,negl
32,Zeh::N,கால்விரல்,tå
33,Fuß::N,கால்,fod
34,Ferse::N,குதிகால்,hæl
35,Knie::N,முழங்கால்,knæ
36,Oberschenkel::N,தொடை,lår
37,Bein::N,கால்,ben
38,Körper::N,உடல்,krop
39,Körper::N,உடல்,legeme
40,Haut::N,சருமம்,hud
41,Blut::N,இரத்தம்,blod
42,Ader::N,நாளம்,åre
43,Sehne::N,தசைநார்,sene
44,Knochen::N,எலுமபு,ben
45,Gehirn::N,மூனை,hjerne
46,Herz::N,இதயம,hjerte
47,Magen::N,வயிறு,mave
48,Leber::N,கல்லீரல்,lever
49,Atem::N,மூச்சு,ånde
50,Hunger::N,பசி,sult
51,Träne::N,கண்ணீர்,tåre
52,Geschmack::N,நறுமணம்,smag
53,Geruch::N,துர்நாற்றம்,lugt
54,Schlaf::N,தூக்கம்,søvn
55,Traum::N,கனவு,drøm
56,Himmel::N,வானம்,himmel
57,Sonne::N,சூரியன்,sol
58,Mond::N,சந்திரன்,måne
59,Stern::N,நட்சத்திரம்,stjerne
60,Luft::N,காறறு,luft
61,Wind::N,காற்று,vind
62,Welle::N,அலை,bølge
63,Wasser::N,நீர்,vand
64,Stein::N,கல்,sten
65,Boden::N,தரை,jord
66,Erde::N,மண்,jord
67,Staub::N,தூசி,støv
68,Rauch::N,புகை,røg
69,Funke::N,தீப்பொறி,gnist
70,Feuer::N,தீ,ild
71,Licht::N,வெளிச்சம்,lys
72,Schatten::N,நிழல்,skygge
73,Wetter::N,வானிலை,vejr
74,Nebel::N,பனிமூட்டம்,tåge
75,Wolke::N,மேகம்,sky
76,Regen::N,மழை,regn
77,Schnee::N,உறைபனி,sne
78,Eis::N,பனிக்கட்டி,is
79,Frost::N,உறைபனி,frost
80,Kälte::N,குளிர்ந்த,kulde
81,Hitze::N,சூடு,hede
82,Raureif::N,உறைபனி வெண்திரை,rimfrost
83,Regenbogen::N,வானவில்,regnbue
84,Donner::N,இடி,torden
85,Strömung::N,நீரோட்டம்,strømning
86,Tropfen::N,துளி,dråbe
87,Schaum::N,நுரை,skum
88,Schmutz::N,அழுக்கு,snavs
89,See::N,ஏரி,sø
90,Sumpf::N,சதுப்பு நிலம்,sump
91,Moor::N,முட்புதற்காடு,mose
92,Wiese::N,பசும் புல்தரை,eng
93,Wald::N,காடு,skov
94,Hügel::N,குன்று,høj
95,Hügel::N,குன்று,bakke
96,Anhöhe::N,பதுக்கை,høj
97,Anhöhe::N,பதுக்கை,bakke
98,Berg::N,மலை,bjerg
99,Gipfel::N,உச்சி மாநாடு,top
100,Höhle::N,குகை,hule
101,Abhang::N,சரிவு,skrænt
102,Abhang::N,சரிவு,skråning
103,Quelle::N,மூலம்,kilde
104,Bach::N,ஓடை,bæk
105,Fluss::N,ஆறு,flod
106,Ufer::N,நீர்க்கரை,bred
107,Küste::N,கடற்கரை,kyst
108,Festland::N,நிலம்,fastland
109,Meer::N,கடல்,hav
110,Bucht::N,சிறுகுடா,bugt
111,Insel::N,தீவு,ø
112,Blume::N,பூ,blomst
113,Gras::N,புல்தரை,græs
114,Wurzel::N,வேர்,rod
115,Baum::N,மரம்,træ
116,Stamm::N,அடிமரம்,stamme
117,Rinde::N,பட்டை,bark
118,Rinde::N,மரப்பட்டை,bark
119,Ast::N,கினை,gren
120,Zweig::N,குச்சி,kvist
121,Blatt::N,இலை,blad
122,Birke::N,பிர்ச் மரம்,birk
123,Kiefer[Baum]::N,தேவதாரு மரம்,fyrretræ
124,Weide[Baum]::N,மர வகைகளுள் ஒன்று,piletræ
125,Tanne::N,சாதிக்கய்,gran
126,Horn::N,கொம்பு,horn
127,Feder::N,இறகு,fjer
128,Fell::N,மென்முடி,skind
129,Flügel::N,இறக்கை,vinge
130,Klaue::N,நகம்,klov
131,Kralle::N,நகம்,klo
132,Schwanz::N,வால்,hale
133,Ei::N,முட்டை,æg
134,Nest::N,கூடு,rede
135,Bau::N,குகை,bo
136,Tier::N,விலங்கு,dyr
137,Herde::N,கூட்டம்,flok
138,Kuh::N,பசு,ko
139,Bulle::N,காளை,tyr
140,Pferd::N,குதிரை,hest
141,Schaf::N,செம்மறிஆடு,får
142,Schwein::N,பன்றி,gris
143,Hund::N,நாய்,hund
144,Katze::N,பூனை,kat
145,Bär::N,கரடி,bjørn
146,Eichhörnchen::N,அணில்,egern
147,Elch::N,கடம்பை,elg
148,Fuchs::N,நரி,ræv
149,Hase::N,முயல்,hare
150,Maus::N,எலி,mus
151,Wolf::N,ஓநாய்,ulv
152,Vogel::N,பறவை,fugl
153,Schwarm::N,தொகுதி,sværm
154,Huhn::N,கோழிக்குஞசு,høne
155,Hahn::N,சேவல்,hane
156,Gans::N,பெண் வாத்து,gås
157,Adler::N,பருநது,ørn
158,Ente::N,வாத்து,and
159,Eule::N,ஆந்தை,ugle
160,Kranich::N,நாரை,trane
161,Krähe::N,காகம்,krage
162,Kuckuck::N,குயில்,gøg
163,Schwan::N,அன்னம்,svane
164,Fisch::N,மீன்,fisk
165,Barsch::N,பேர்ச்,aborre
166,Hecht::N,கோலாச்சி மீன்,gedde
167,Schlange[Tier]::N,பாம்பு,slange
168,Wurm::N,புழு,orm
169,Spinne::N,சிலந்தி,edderkop
170,Ameise::N,எறும்பு,myre
171,Laus::N,பேன்,lus
172,Mücke::N,கொசுவினப்பூச்சி,myg
173,Fliege::N,ஈ,flue
174,Schmetterling::N,வண்ணத்துப்பூச்சி,sommerfugl
175,Beere::N,சதைப்பழம்,bær
176,Apfel::N,ஆப்பிள பழம்,æble
177,Pilz::N,காளான்,svamp
178,Zwiebel::N,வெங்காயம்,løg
179,Saat::N,விதை,sæd
180,Korn::N,தானியம்,korn
181,Heu::N,வைக்கோல்,hø
