,Concept_ID,ro,ga
0,Auge::N,ochi,súil
1,Ohr::N,ureche,cluas
2,Nase::N,nas,soc
3,Mund::N,gură,béal
4,Zahn::N,dinte,fiacail
5,Zunge::N,limbă,teanga
6,Lippe::N,buză,liopa
7,Wange::N,bucă,grua
8,Wange::N,bucă,leiceann
9,Wange::N,obraz,grua
10,Wange::N,obraz,leiceann
11,Gesicht::N,față,éadan
12,Gesicht::N,față,aghaidh
13,Gesicht::N,figură,éadan
14,Gesicht::N,figură,aghaidh
15,Stirn::N,frunte,baithis
16,Stirn::N,frunte,clár éadain
17,Haar::N,păr,gruaig
18,Schnurrbart::N,mustață,croiméal
19,Bart::N,barbă,féasóg
20,Kinn::N,bărbie,smig
21,Kiefer[Anatomie]::N,falcă,giall
22,Kehle::N,beregată,scornach
23,Hals::N,gât,muinéal
24,Genick::N,ceafă,baic
25,Kopf::N,cap,ceann
26,Rücken::N,dos,droim
27,Rücken::N,spate,droim
28,Rücken::N,spinare,droim
29,Bauch::N,burtă,bolg
30,Bauch::N,pântece,bolg
31,Nabel::N,buric,imleacán
32,Busen::N,sân,cíoch
33,Brust::N,piept,brollach
34,Schulter::N,umăr,gualainn
35,Schulter::N,spate,gualainn
36,Arm::N,braț,lámh
37,Ellenbogen::N,cot,uillinn
38,Hand::N,mână,lámh
39,Handfläche::N,palmă,bos
40,Finger::N,deget,méar
41,Fingernagel::N,unghie,ionga
42,Nagel[Anatomie]::N,unghie,ionga
43,Zeh::N,deget de la picior,ladhar
44,Fuß::N,picior,cos
45,Fuß::N,picior,troigh
46,Ferse::N,călcâi,sáil
47,Knie::N,genunchi,glúin
48,Oberschenkel::N,coapsă,ceathrú
49,Bein::N,picior,cos
50,Körper::N,corp,corp
51,Körper::N,corp,colainn
52,Haut::N,piele,cneas
53,Haut::N,piele,craiceann
54,Blut::N,sânge,fuil
55,Ader::N,vână,
56,Ader::N,arteră,
57,Sehne::N,tendon,teannán
58,Sehne::N,tendon,féitheog
59,Knochen::N,os,cnámh
60,Gehirn::N,creier,inchinn
61,Herz::N,inimă,croí
62,Magen::N,stomac,bolg
63,Magen::N,stomac,goile
64,Leber::N,ficat,ae
65,Atem::N,răsuflare,anáil
66,Atem::N,respirație,anáil
67,Hunger::N,foame,ocras
68,Träne::N,lacrimă,deoir
69,Geschmack::N,gust,blas
70,Geruch::N,miros,boladh
71,Schlaf::N,somn,suan
72,Schlaf::N,somn,codladh
73,Traum::N,vis,taibhreamh
74,Himmel::N,cer,spéir
75,Sonne::N,soare,grian
76,Mond::N,lună,ré
77,Mond::N,lună,gealach
78,Stern::N,stea,rinn
79,Stern::N,stea,réalta
80,Luft::N,aer,aer
81,Wind::N,vânt,gaoth
82,Welle::N,val,tonn
83,Welle::N,undă,tonn
84,Wasser::N,apă,uisce
85,Stein::N,piatră,cloch
86,Boden::N,sol,talamh
87,Boden::N,pământ,talamh
88,Erde::N,pământ,cré
89,Erde::N,pământ,ithir
90,Staub::N,praf,dusta
91,Staub::N,praf,deannach
92,Rauch::N,fum,toit
93,Rauch::N,fum,deatach
94,Funke::N,scânteie,drithle
95,Feuer::N,foc,tine
96,Licht::N,lumină,solas
