,Concept_ID,os,ka
0,Auge::N,цӕст,თვალი
1,Ohr::N,хъус,ყური
2,Nase::N,фындз,ცხვირი
3,Mund::N,дзых,პირი
4,Zahn::N,дӕндаг,კბილი
5,Zunge::N,ӕвзаг,ენა
6,Lippe::N,был,ბაგე
7,Wange::N,рус,ლოყა
8,Wange::N,уадул,ლოყა
9,Wange::N,ӕхсӕрфарс,ლოყა
10,Gesicht::N,цӕсгом,სახე
11,Stirn::N,ных,შუბლი
12,Haar::N,хил,თმა
13,Schnurrbart::N,рихи,ულვაში
14,Bart::N,зачъе,წვერი
15,Kinn::N,роцъо,ნიკაპი
16,Kiefer[Anatomie]::N,ӕфсӕр,ყბა
17,Kehle::N,хъуыр,ყელი
18,Hals::N,къубал,ყელი
19,Hals::N,къубал,კისერი
20,Genick::N,къӕбут,კეფა
21,Kopf::N,сӕр,თავი
22,Rücken::N,фӕсонтӕ,ზურგი
23,Bauch::N,гуыбын,მუცელი
24,Nabel::N,бикъ,ჭიპი
25,Busen::N,дзидзи,ძუძუ
26,Brust::N,риу,მკერდი
27,Schulter::N,уӕхск,მხარი
28,Schulter::N,уӕхск,მკლავი
29,Arm::N,цонг,ხელი
30,Ellenbogen::N,рæмбын,იდაყვი
31,Hand::N,къух,ხელი
32,Handfläche::N,армытъӕпӕн,ნები
33,Handfläche::N,армытъӕпӕн,ხელისგული
34,Finger::N,ӕнруылдз,თითი
35,Fingernagel::N,ных,ფრჩხილი
36,Nagel[Anatomie]::N,ных,ფრჩხილი
37,Zeh::N,къух,ფეხის თითი
38,Fuß::N,фад,ტერფი
39,Fuß::N,фад,ფეხისგული
40,Ferse::N,зӕвӕт,ქუსლი
41,Knie::N,уӕраг,მუხლი
42,Oberschenkel::N,агъд,ბარძაყი
43,Bein::N,зӕнг,ფეხი
44,Körper::N,буар,ტანი
45,Körper::N,буар,სხეული
46,Haut::N,царм,კანი
47,Blut::N,туг,სისხლი
48,Ader::N,дадзин,ძარღვი
49,Ader::N,тугдадзин,ძარღვი
50,Sehne::N,хъиутæ,მყესი
51,Sehne::N,нуар,მყესი
52,Knochen::N,стӕг,ძვალი
53,Gehirn::N,магъз,ტვინი
54,Herz::N,зӕрдӕ,გული
55,Magen::N,ахсӕн,კუჭი
56,Leber::N,игæр,ღვიძლი
57,Atem::N,улӕфт,სუნთქვა
58,Hunger::N,стонг,შიმშილი
59,Träne::N,цæссыг,ცრემლი
60,Geschmack::N,ад,გემო
61,Geruch::N,смаг,სუნი
62,Schlaf::N,хуыссӕг,ძილი
63,Traum::N,фын,სიზმარი
64,Himmel::N,арв,ცა
65,Himmel::N,уӕларв,ცა
66,Sonne::N,хур,მზე
67,Mond::N,мӕй,მთვარე
68,Stern::N,стъалы,ვარსკვლავი
69,Luft::N,уӕлдӕф,ჰაერი
70,Wind::N,дымгӕ,ქარი
71,Welle::N,уылӕн,ტალღა
72,Wasser::N,дон,წყალი
73,Stein::N,дур,ქვა
74,Boden::N,зӕхх,მიწა
75,Erde::N,сыджыт,ნიადაგი
76,Staub::N,рыг,მტვერი
77,Rauch::N,фӕздӕг,ბოლი
78,Rauch::N,фӕздӕг,კვამლი
79,Funke::N,цӕхӕр,ნაკვესი
80,Feuer::N,зынг,ცეცხლი
81,Licht::N,рухс,შუქი
82,Licht::N,рухс,სინათლე
83,Schatten::N,аууон,ლანდი
84,Schatten::N,аууон,ჩრდილი
85,Wetter::N,боныхъӕд,ამინდი
86,Nebel::N,мигъ,ნისლი
87,Wolke::N,ӕврагъ,ღრუბელი
88,Regen::N,уарын,წვიმა
89,Schnee::N,мит,თოვლი
90,Eis::N,их,თოში
