,Concept_ID,et,bg
0,Auge::N,silm,око
1,Ohr::N,kõrv,ухо
2,Nase::N,nina,нос
3,Mund::N,suu,уста
4,Zahn::N,hammas,зъб
5,Zunge::N,keel,език
6,Lippe::N,huul,устна
7,Wange::N,põsk,буза
8,Gesicht::N,nägu,лице
9,Gesicht::N,nägu,образ
10,Stirn::N,otsmik,чело
11,Haar::N,juus,коса
12,Haar::N,juus,косъм
13,Schnurrbart::N,vurrud,мустаци
14,Schnurrbart::N,vuntsid,мустаци
15,Bart::N,habe,брада
16,Kinn::N,lõug,брада
17,Kinn::N,lõug,брадичка
18,Kiefer[Anatomie]::N,lõualuu,челюст
19,Kehle::N,kõri,гърло
20,Hals::N,kael,врат
21,Genick::N,kukal,тил
22,Kopf::N,pea,глава
23,Rücken::N,selg,гръб
24,Bauch::N,kõht,корем
25,Nabel::N,naba,пъп
26,Busen::N,rind,бозка
27,Brust::N,rind,гръд
28,Schulter::N,õlg,рамо
29,Schulter::N,õlg,плещи
30,Arm::N,käsivars,ръка
31,Ellenbogen::N,küünarnukk,лакът
32,Hand::N,käsi,ръка
33,Hand::N,käsi,китка
34,Handfläche::N,pihk,длан
35,Finger::N,sõrm,пръст
36,Fingernagel::N,küüs,нокът
37,Nagel[Anatomie]::N,küüs,нокът
38,Zeh::N,varvas,пръст на крак
39,Fuß::N,jalg,крак
40,Fuß::N,jalg,нога
41,Ferse::N,kand,пета
42,Knie::N,põlv,коляно
43,Oberschenkel::N,reis,бедро
44,Bein::N,jalg,крак
45,Bein::N,jalg,нога
46,Körper::N,ihu,тяло
47,Körper::N,keha,тяло
48,Haut::N,nahk,кожа
49,Blut::N,veri,кръв
50,Ader::N,veen,вена
51,Ader::N,veen,артерия
52,Sehne::N,kõõlus,жила
53,Sehne::N,kõõlus,сухожилие
54,Knochen::N,luu,кост
55,Gehirn::N,aju,мозък
56,Herz::N,süda,сърце
57,Magen::N,magu,стомах
58,Leber::N,maks,черен дроб
59,Atem::N,hingeõhk,дишане
60,Atem::N,hingamine,дишане
61,Hunger::N,nälg,глад
62,Träne::N,pisar,сълза
63,Geschmack::N,maitse,вкус
64,Geruch::N,lõhn,миризма
65,Schlaf::N,uni,сън
66,Traum::N,unenägu,сън
67,Himmel::N,taevas,небе
68,Sonne::N,päike,слънце
69,Mond::N,kuu,луна
70,Mond::N,kuu,месец
71,Stern::N,täht,звезда
72,Luft::N,õhk,въздух
73,Wind::N,tuul,вятър
74,Welle::N,laine,вълна
75,Wasser::N,vesi,вода
76,Stein::N,kivi,камък
77,Boden::N,maa,земя
78,Boden::N,maa,почва
79,Boden::N,pinnas,земя
80,Boden::N,pinnas,почва
81,Erde::N,maa,земя
82,Erde::N,maa,почва
83,Staub::N,põrm,прах
84,Rauch::N,suits,дим
85,Rauch::N,suits,пушек
86,Funke::N,säde,искра
87,Feuer::N,tuli,огън
88,Licht::N,valgus,светлина
89,Schatten::N,vari,сянка
90,Wetter::N,ilm,време
91,Nebel::N,udu,мъгла
92,Wolke::N,pilv,облак
93,Regen::N,sadu,дъжд
94,Schnee::N,lumi,сняг
95,Eis::N,jää,лед
96,Frost::N,pakane,мраз
97,Kälte::N,külm,студ
98,Kälte::N,külmus,студ
99,Hitze::N,kuumus,жега
100,Hitze::N,kuumus,горещина
101,Hitze::N,palavus,жега
102,Hitze::N,palavus,горещина
103,Raureif::N,härmatis,скреж
104,Raureif::N,härmatis,слана
105,Regenbogen::N,vikerkaar,дъга
106,Donner::N,kõu,гръм
107,Donner::N,müristamine,гръм
108,Strömung::N,voolus,течение
109,Strömung::N,jõevool,течение
110,Tropfen::N,tilk,капка
111,Schaum::N,vaht,пяна
112,Schmutz::N,pori,кал
113,Schmutz::N,pori,мръсотия
114,Schmutz::N,mustus,кал
115,Schmutz::N,mustus,мръсотия
116,See::N,järv,езеро
117,Sumpf::N,soo,блато
118,Moor::N,raba,мочурище
119,Wiese::N,aas,ливада
120,Wiese::N,nurm,ливада
121,Wald::N,mets,гора
122,Hügel::N,küngas,рид
123,Hügel::N,küngas,хълм
124,Anhöhe::N,küngas,могила
125,Anhöhe::N,küngas,възвишение
126,Berg::N,mägi,планина
127,Gipfel::N,mäetipp,връх
128,Höhle::N,koobas,пещера
129,Abhang::N,nõlvak,склон
130,Abhang::N,nõlvak,стръмнина
131,Quelle::N,allikas,извор
132,Bach::N,oja,поток
133,Fluss::N,jõgi,река
134,Ufer::N,kallas,бряг
135,Küste::N,rannik,бряг
136,Küste::N,rannik,крайбрежие
137,Festland::N,mander,суша
138,Festland::N,maismaa,суша
139,Meer::N,meri,море
140,Bucht::N,laht,залив
141,Insel::N,saar,остров
142,Blume::N,lill,цвете
143,Gras::N,rohi,трева
144,Wurzel::N,juur,корен
145,Baum::N,puu,дърво
146,Stamm::N,tüvi,стъбло
147,Rinde::N,koor,кора
148,Ast::N,oks,клон
149,Zweig::N,oks,клон
150,Blatt::N,leht,лист
151,Birke::N,kask,бреза
152,Kiefer[Baum]::N,mänd,бор
153,Weide[Baum]::N,paju,върба
154,Tanne::N,nulg,ела
155,Horn::N,sarv,рог
156,Feder::N,sulg,перо
157,Fell::N,karvkate,кожа
158,Fell::N,karusnahk,кожа
159,Flügel::N,tiib,крило
160,Flügel::N,tiivik,крило
161,Klaue::N,küüs,нокът
162,Kralle::N,küünis,нокът
163,Schwanz::N,saba,опашка
164,Ei::N,muna,яйце
165,Nest::N,pesa,гнездо
166,Bau::N,urg,дупка
167,Tier::N,loom,животно
168,Herde::N,kari,стадо
169,Kuh::N,lehm,крава
170,Bulle::N,pull,бик
171,Pferd::N,hobune,кон
172,Schaf::N,lammas,овца
173,Schwein::N,siga,свиня
174,Hund::N,koer,куче
175,Katze::N,kass,котка
176,Bär::N,karu,мечка
177,Eichhörnchen::N,orav,катерица
178,Elch::N,põder,лос
179,Fuchs::N,rebane,лисица
180,Hase::N,jänes,заек
181,Maus::N,hiir,мишка
182,Wolf::N,hunt,вълк
183,Vogel::N,lind,птица
184,Schwarm::N,parv,рой
185,Schwarm::N,parv,рояк
186,Huhn::N,kana,кокошка
187,Hahn::N,kukk,петел
188,Gans::N,hani,гъска
189,Adler::N,kotkas,орел
190,Ente::N,part,патица
191,Eule::N,kakk,сова
192,Eule::N,öökull,сова
193,Kranich::N,kurg,жерав
194,Krähe::N,vares,врана
195,Kuckuck::N,kägu,кукувица
196,Schwan::N,luik,лебед
197,Fisch::N,kala,риба
198,Barsch::N,ahven,костур
199,Hecht::N,haug,щука
200,Schlange[Tier]::N,uss,змия
201,Wurm::N,uss,червей
202,Wurm::N,vagel,червей
203,Spinne::N,ämblik,паяк
204,Ameise::N,sipelgas,мравка
205,Laus::N,täi,въшка
206,Mücke::N,sääsk,комар
207,Fliege::N,kärbes,муха
208,Schmetterling::N,liblikas,пеперуда
209,Beere::N,mari,плод
210,Apfel::N,õun,ябълка
211,Pilz::N,seen,гъба
212,Zwiebel::N,sibul,лук
213,Zwiebel::N,sibul,кромид
214,Saat::N,seeme,семе
215,Korn::N,iva,зърно
216,Korn::N,tera,зърно
217,Heu::N,hein,сено
218,Schale::N,koor,кора
219,Grube::N,kaevand,яма
220,Grube::N,kaevand,дупка
221,Falle::N,lõks,примка
222,Falle::N,püünis,примка
223,Schlinge::N,aas,клуп
224,Spur::N,jälg,диря
225,Spur::N,jälg,следа
226,Asche::N,tuhk,пепел
227,Dreck::N,saast,кал
228,Dreck::N,mustus,кал
229,Eisen::N,raud,желязо
230,Gold::N,kuld,злато
231,Silber::N,hõbe,сребро
232,Kohle::N,süsi,въглища
233,Glas::N,klaas,стъкло
234,Lehm::N,savi,глина
235,Sand::N,liiv,пясък
236,Mensch::N,inimene,човек
237,Mann::N,mees,мъж
238,Frau::N,naine,жена
239,Kind::N,laps,дете
240,Junge::N,poiss,момче
241,Mädchen::N,tüdruk,момиче
242,Familie::N,perekond,фамилия
243,Familie::N,perekond,семейство
244,Großvater::N,vanaisa,дядо
245,Großmutter::N,vanaema,баба
246,Eltern::N,vanemad,родители
247,Vater::N,isa,баща
248,Mutter::N,ema,майка
249,Sohn::N,poeg,син
250,Tochter::N,tütar,дъщеря
251,Bruder::N,vend,брат
252,Schwester::N,õde,сестра
253,Onkel::N,onu,чичо
254,Onkel::N,onu,вуйчо
255,Tante::N,tädi,леля
256,Ehemann::N,mees,съпруг
