,Concept_ID,te,he
0,Auge::N,కన్ను,עין
1,Ohr::N,చెవి,אזן
2,Nase::N,ముక్కు,אף
3,Nase::N,ముక్కు,חטם
4,Mund::N,నోరు,פה
5,Zahn::N,పల్లు,שן
6,Zunge::N,నాలుక,לשון
7,Lippe::N,పెదవి,שפה
8,Wange::N,చెంప,לחי
9,Gesicht::N,ముఖము,פנים
10,Stirn::N,నుదురు,מצח
11,Haar::N,వెండ్రుక,שערה
12,Schnurrbart::N,మీసము,שפם
13,Bart::N,గడ్డము,זקן
14,Kinn::N,గడ్డము,סנטר
15,Kiefer[Anatomie]::N,దౌడ,לסת
16,Kehle::N,గొంతు,גרון
17,Hals::N,మెడ,צואר
18,Genick::N,మూపు,ערף
19,Kopf::N,తల,ראש
20,Rücken::N,వెన్ను,גב
21,Bauch::N,కడుపు,בטן
22,Nabel::N,బొడ్డు,טבור
23,Busen::N,స్తనము,שד
24,Brust::N,ఱొమ్ము,חזה
25,Schulter::N,భుజము,כתף
26,Arm::N,చేయి,זרוע
27,Ellenbogen::N,మోచేయి,מרפק
28,Hand::N,చేయి,יד
29,Handfläche::N,అరచేయు,כף יד
30,Finger::N,చేతిప్రేలు,אצבע
31,Fingernagel::N,గోరు,צפרן
32,Nagel[Anatomie]::N,గోరు,צפרן
33,Zeh::N,కాలిప్రేలు,אצבע
34,Fuß::N,అడుగు,רגל
35,Ferse::N,మడమ,עקב
36,Knie::N,మోకాలు,ברך
37,Oberschenkel::N,తొడ,ירך
38,Bein::N,కాలు,רגל
39,Körper::N,కాయము,גוף
40,Haut::N,చర్మము,עור
41,Blut::N,రక్తము,דם
42,Ader::N,సిర,וריד
43,Sehne::N,స్నాయువు,גיד
44,Knochen::N,ఎముక,עצם
45,Gehirn::N,మెదడు,מוח
46,Herz::N,హృదయము,לב
47,Magen::N,కడుపు,קבה
48,Leber::N,కాలేయము,כבד
49,Atem::N,ఉపిరి,נשימה
50,Hunger::N,ఆకలి,רעב
51,Träne::N,కన్నీటిచుక్క,דמעה
52,Geschmack::N,రుచి,טעם
53,Geruch::N,వాసన,ריח
54,Schlaf::N,నిద్ర,שנה
55,Traum::N,కల,חלום
56,Himmel::N,ఆకాశము,שמים
57,Sonne::N,సూర్యుడు,שמש
58,Mond::N,చంద్రుడు,ירח
59,Stern::N,నక్షత్రము,כוכב
60,Luft::N,గాలి,אויר
61,Wind::N,వీచుచున్నగాలి,רוח
62,Welle::N,అల,גל
63,Wasser::N,నీరు,מים
64,Stein::N,ఱాయి,אבן
65,Boden::N,నేల,קרקע
66,Erde::N,మన్ను,אדמה
67,Staub::N,దుమ్ము,אבק
68,Rauch::N,పొగ,עשן
69,Funke::N,అగ్నికణము,ניצוץ
70,Feuer::N,అగ్ని,אש
71,Licht::N,కాంతి,אור
72,Schatten::N,నీడ,צל
73,Wetter::N,వాతావరణ స్థితి,מזג אויר
74,Nebel::N,పొగమంచు,ערפל
75,Wolke::N,మేఘము,ענן
76,Regen::N,వాన,גשם
77,Schnee::N,హిమము,שלג
78,Eis::N,మంచుగడ్డ,קרח
79,Frost::N,పేరిన మంచు,צנה
80,Kälte::N,చలి,קר
81,Hitze::N,వేడిమి,חם
82,Raureif::N,మంచు,כפור
83,Regenbogen::N,ఇంద్రధనుస్సు,קשת
84,Donner::N,ఉరుము,רעם
85,Strömung::N,ప్రవాహము,זרימה
86,Tropfen::N,చుక్క,טפה
87,Schaum::N,నురుగు,קצף
88,Schmutz::N,మైల,לכלוך
89,See::N,సరస్సు,אגם
90,Sumpf::N,చిత్తడినేల,בצה
91,Moor::N,చిత్తడినేల,בצה
92,Wiese::N,పచ్చిక బయలు,מרעה
93,Wald::N,అడవి,יער
94,Hügel::N,చివ్నకొండ,תל
95,Anhöhe::N,కొండ,מעלה
96,Berg::N,పర్వతము,הר
97,Gipfel::N,శిఖరము,פסגה
98,Höhle::N,గుహ,מערה
99,Abhang::N,ఏటవాలు,מדרון
100,Abhang::N,ఏటవాలు,שפוע
101,Quelle::N,మూలము,מעין
102,Bach::N,కాలువ,נחל
103,Fluss::N,నది,נהר
104,Ufer::N,తీరము,גדה
105,Küste::N,తీరము,חוף
106,Festland::N,భూమి,יבשה
107,Meer::N,సముద్రము,ים
108,Bucht::N,మరుగు,מפרץ
109,Insel::N,దీవి,אי
110,Blume::N,పుష్పము,פרח
111,Gras::N,పచ్చగడ్డి,דשא
112,Wurzel::N,వేరు,שרש
113,Baum::N,చెట్టు,עץ
114,Stamm::N,చెట్టుబోదె,גזע
115,Rinde::N,చెట్టుపట్ట,קלפת עץ
116,Ast::N,కొమ్మ,ענף
117,Zweig::N,చివుకు,ענף
118,Blatt::N,ఆకు,עלה
119,Birke::N,తరహా చెట్టు,שדר
120,Kiefer[Baum]::N,దేవదారు చెట్టు,ארן
121,Weide[Baum]::N,జాతిచెట్టు,ערבה
122,Tanne::N,దేవదారుచెట్టు,אשוח
123,Horn::N,కొమ్ము,קרן
124,Feder::N,ఈక,נוצה
125,Fell::N,తోలు,פרוה
126,Flügel::N,ఱెక్క,כנף
127,Klaue::N,వంకరగోరు,טלף
128,Kralle::N,వంకరగోరు,טפר
129,Schwanz::N,తోక,זנב
130,Ei::N,గ్రుడ్డు,ביצה
131,Nest::N,పక్షిగూడు,קן
132,Bau::N,గుహ,מחלה
133,Tier::N,జంతువు,חיה
134,Herde::N,మంద,עדר
135,Kuh::N,ఆవు,פרה
136,Bulle::N,గిత్త,פר
137,Pferd::N,గుఱ్ఱము,סוס
138,Schaf::N,గొఱ్ఱె,כבשה
139,Schwein::N,పంది,חזיר
140,Hund::N,కుక్క,כלב
141,Katze::N,పిల్లి,חתול
142,Bär::N,ఎలుగుబంటి,דב
143,Eichhörnchen::N,ఉడుత,סנאי
144,Elch::N,కణంజు,דישון
145,Fuchs::N,గుంటనక్క,שועל
146,Hase::N,కుందేలు,ארנב
147,Maus::N,చిట్టెలుక,עכבר
148,Wolf::N,తోడేలు,זאב
149,Vogel::N,పక్షి,צפור
150,Schwarm::N,గుంపు,נחיל
151,Schwarm::N,గుంపు,להקה
152,Huhn::N,కోడిపిల్ల,תרנגלת
153,Hahn::N,కోడివుంజు,תרנגול
154,Gans::N,ఆడుబాతు,אוז
155,Adler::N,గ్రద్ద,עיט
156,Ente::N,పాట్టిబాతు,ברוז
157,Eule::N,గ్రుడ్లగూబ,ינשוף
158,Kranich::N,కొంగ,עגור
159,Kranich::N,కొంగ,כרוכיה
160,Krähe::N,కాకి,עורב
161,Kuckuck::N,కోయల,קוקיה
162,Schwan::N,హంస,ברבור
163,Fisch::N,చేప,דג
164,Barsch::N,ఒకచేఁప,אוקונוס
