,Concept_ID,cv,ca
0,Auge::N,куҫ,ull
1,Ohr::N,хӑлха,orella
2,Nase::N,сӑмса,nas
3,Mund::N,ҫӑвар,boca
4,Zahn::N,шӑл,dent
5,Zunge::N,чӗлхе,llēngua
6,Lippe::N,тута,llavi
7,Wange::N,пит ҫӑмарти,galta
8,Gesicht::N,пит,cara
9,Gesicht::N,пит-куҫ,cara
10,Stirn::N,ҫамка,front
11,Haar::N,ҫӳҫ,cabēll
12,Schnurrbart::N,усси,bigoti
13,Bart::N,сухал,barba
14,Kinn::N,янах,mentó
15,Kinn::N,янах,barbeta
16,Kiefer[Anatomie]::N,янах,queix
17,Kiefer[Anatomie]::N,янах,mandíbula
18,Kehle::N,пыр,gola
19,Kehle::N,пыр,gorja
20,Kehle::N,карланкӑ,gola
21,Kehle::N,карланкӑ,gorja
22,Hals::N,пыр,coll
23,Genick::N,ӗнсе,nuca
24,Kopf::N,пуҫ,cap
25,Rücken::N,ҫурӑм,esquena
26,Nabel::N,кӑвапа,llombrígol
27,Busen::N,кӑкӑр,pit
28,Busen::N,кӑкӑр,mama
29,Brust::N,умӗ,pit
30,Schulter::N,хул пуҫҫи,espatlla
31,Arm::N,алӑ,braç
32,Ellenbogen::N,чавса,colze
33,Hand::N,алӑ сыппи,mà
34,Handfläche::N,ал лаппи,palma
35,Finger::N,пӳрне,dit
36,Fingernagel::N,чӗрне,ungla
37,Nagel[Anatomie]::N,чӗрне,ungla
38,Zeh::N,пӳрне,dit del peu
39,Fuß::N,ура лаппи,peu
40,Ferse::N,кӗле,taló
41,Knie::N,чӗркуҫҫи,genoll
42,Oberschenkel::N,пӗҫӗ,cuixa
43,Bein::N,ура,cama
44,Körper::N,ӳт,cos
45,Körper::N,ӳт-пӳ,cos
46,Haut::N,тир,pell
47,Blut::N,юн,sang
48,Ader::N,вена,vena
49,Sehne::N,шӑнӑр,tendó
50,Knochen::N,шӑмӑ,os
51,Gehirn::N,миме,cervell
52,Herz::N,чӗре,cor
53,Magen::N,хырӑмлӑх,estómac
54,Leber::N,пӗвер,fetge
55,Atem::N,сывлав,alè
56,Atem::N,сывлав,hàlit
57,Hunger::N,выҫлӑх,fam
58,Hunger::N,выҫлӑх,gana
59,Träne::N,куҫҫуль,llàgrima
60,Geschmack::N,техӗм,gust
61,Geschmack::N,техӗм,sabor
62,Geruch::N,шӑршӑ,olor
63,Schlaf::N,ыйхӑ,son
64,Traum::N,тӗлӗк,somni
65,Himmel::N,пӗлӗт,celm
66,Sonne::N,хӗвел,sol
67,Mond::N,уйӑх,lluna
68,Stern::N,ҫӑлтӑр,estel
69,Stern::N,ҫӑлтӑр,estrella
70,Luft::N,сывлӑш,aire
71,Wind::N,ҫил,vent
72,Welle::N,хум,ona
73,Wasser::N,шыв,āigua
74,Wasser::N,шыв-шур,āigua
75,Stein::N,чул,pedra
76,Boden::N,тӑпра,sòl
77,Erde::N,ҫӗр,terra
78,Staub::N,тусан,pols
79,Rauch::N,тӗтӗм,fum
80,Funke::N,хӗм,guspira
81,Funke::N,хӗм,centella
82,Feuer::N,вут,foc
83,Feuer::N,ҫулӑм,foc
84,Licht::N,ҫутӑ,llum
85,Schatten::N,сулхӑн,ombra
86,Wetter::N,ҫанталӑк,temps
87,Nebel::N,тӗтре,boira
88,Wolke::N,пӗлӗт,núvol
89,Regen::N,ҫумӑр,pluja
90,Schnee::N,юр,neu
91,Eis::N,пӑр,gel
92,Eis::N,пӑр,glaç
93,Frost::N,сивӗ,glaçada
94,Kälte::N,сивӗ,fred
95,Hitze::N,вӗри,calor
96,Hitze::N,шӑрӑх,calor
97,Raureif::N,пас,gebre
98,Regenbogen::N,асамат кӗперӗ,arc iris
99,Donner::N,аслати,tro
100,Strömung::N,юхӑ,corrent
101,Tropfen::N,тумлам,gota
102,Schaum::N,кӑпӑк,escuma
103,Schmutz::N,пылчӑк,brutícia
104,See::N,кӳлӗ,llac
105,Sumpf::N,шур,pantà
106,Sumpf::N,шурлӑх,pantà
107,Moor::N,торфлӑ шурлӑх,pantà
108,Wiese::N,улӑх,prat
109,Wiese::N,улӑх,prada
110,Wiese::N,ҫаран,prat
111,Wiese::N,ҫаран,prada
112,Wald::N,вӑрман,bosc
113,Hügel::N,сӑрт,puig
114,Hügel::N,сӑрт,pujol
115,Hügel::N,тӗмеске,puig
116,Hügel::N,тӗмеске,pujol
117,Anhöhe::N,сӑрт,turó
118,Berg::N,ту,muntanya
119,Gipfel::N,тӳпе,cim
120,Höhle::N,ҫӗр хӑвӑлӗ,cova
121,Abhang::N,тӑвайкки,coster
122,Quelle::N,ҫӑл куҫ,font
123,Bach::N,пӗчӗк шыв,riera
124,Fluss::N,юхан шыв,riu
125,Ufer::N,ҫыран,riba
126,Küste::N,тинӗс ҫыранӗ,costa
127,Festland::N,тип ҫӗр,terra ferma
128,Meer::N,тинӗс,mar
129,Bucht::N,тинӗс кукӑрӗ,cala
130,Bucht::N,тинӗс кукӑрӗ,badia
131,Insel::N,утрав,illa
132,Blume::N,чечек,flor
133,Gras::N,курӑк,herba
134,Wurzel::N,тымар,rel
135,Wurzel::N,тымар,arrel
136,Baum::N,йывӑҫ,arbre
137,Stamm::N,вулӑ,tronc
138,Rinde::N,хуйӑр,escorça
139,Ast::N,турат,branca
140,Zweig::N,турат,ram
141,Blatt::N,ҫулҫӑ,fulla
142,Birke::N,хурӑн,bedoll
143,Kiefer[Baum]::N,хыр,pi
144,Weide[Baum]::N,хӑва,salze
145,Tanne::N,чӑрӑш,avet
146,Horn::N,мӑйрака,corn
147,Horn::N,мӑйрака,banya
148,Feder::N,тӗк,ploma
149,Fell::N,ҫӑм,pell
150,Flügel::N,ҫунат,ala
151,Klaue::N,чӗрне,urpa
152,Kralle::N,ура,grapa
153,Schwanz::N,хӳре,cua
154,Ei::N,ҫӑмарта,ou
155,Nest::N,йӑва,niu
156,Bau::N,йӗнӗ,cau
157,Tier::N,выльӑх,animāl
158,Herde::N,кӗтӳ,ramat
159,Kuh::N,ӗне,vaca
160,Bulle::N,вӑкӑр,toro
161,Pferd::N,лаша,cavāll
162,Schaf::N,сурӑх,be
163,Schaf::N,сурӑх,ovella
164,Schwein::N,сысна,bacó
165,Hund::N,йытӑ,ca
166,Hund::N,йытӑ,gos
167,Katze::N,кушак,gat
168,Bär::N,упа,ós
169,Eichhörnchen::N,пакша,esquirol
170,Elch::N,пӑши,ant
171,Fuchs::N,тилӗ,guilla
172,Hase::N,куян,llebre
173,Hase::N,мулкач,llebre
174,Maus::N,шӑши,ratolí
175,Wolf::N,кашкӑр,llop
176,Vogel::N,кайӑк,au
177,Vogel::N,кайӑк,ocēll
178,Vogel::N,вӗҫен кайӑк,au
179,Vogel::N,вӗҫен кайӑк,ocēll
180,Schwarm::N,ушкӑн,bandada
181,Huhn::N,чӑх,gallina
182,Huhn::N,чӑхӑ,gallina
183,Hahn::N,автан,gall
184,Gans::N,хур,oca
185,Adler::N,ӑмӑрт кайӑк,àguila
186,Ente::N,кӑвакал,ànec
187,Eule::N,тӑмана,òliba
188,Eule::N,тӑмана,mussol
189,Kranich::N,тӑрна,grua
190,Krähe::N,ула курак,cornella
191,Kuckuck::N,куккук,cucut
192,Schwan::N,акӑш,cigne
193,Fisch::N,пулӑ,peix
194,Barsch::N,уланкӑ,perca
195,Hecht::N,ҫӑрттан,lluç
196,Schlange[Tier]::N,ҫӗлен,serp
197,Wurm::N,ӑман,cuc
198,Spinne::N,эрешмен,aranya
199,Ameise::N,кӑткӑ,formiga
200,Laus::N,пыйтӑ,poll
201,Mücke::N,вӑрӑм туна,mosquit
202,Fliege::N,шӑна,mosca
203,Schmetterling::N,лӗпӗш,papallona
204,Beere::N,ҫырла,baia
205,Apfel::N,улма,poma
206,Apfel::N,пан улми,poma
207,Pilz::N,кӑмпа,bolet
208,Zwiebel::N,сухан,ceba
209,Saat::N,вӑрӑ,sembra
210,Korn::N,тӗшӗ,gra
211,Korn::N,пӗрчӗ,gra
212,Heu::N,утӑ,fenc
213,Schale::N,хупӑ,closca
214,Grube::N,шӑтӑк,sot
215,Grube::N,шӑтӑк,clot
216,Falle::N,тапӑ,trampa
217,Falle::N,капкӑн,trampa
218,Schlinge::N,йӑлӑ,baga
219,Spur::N,йӗр,traça
220,Asche::N,кӗл,cendra
221,Dreck::N,пылчӑк,llot
222,Eisen::N,тимӗр,ferro
223,Gold::N,ылтӑн,or
224,Silber::N,кӗмӗл,plata
225,Kohle::N,кӑмрӑк,carbó
226,Glas::N,кӗленче,vidre
227,Lehm::N,тӑм,fang
228,Lehm::N,тӑм,argila
229,Sand::N,хӑйӑр,arena
230,Mensch::N,ҫын,humà
231,Mensch::N,ҫын,persona
232,Mensch::N,этем,humà
233,Mensch::N,этем,persona
234,Mann::N,ар,home
235,Frau::N,хӗрарӑм,dona
236,Kind::N,ача,nen
237,Junge::N,ача,noi
238,Junge::N,ар ҫын ача,noi
239,Mädchen::N,хӗр ача,noia
240,Familie::N,ҫемье,família
241,Familie::N,кил-йыш,família
242,Großvater::N,кукаҫи,avi
243,Großmutter::N,кукамай,àvia
244,Eltern::N,аҫа-ама,pares
245,Vater::N,атте,pare
246,Mutter::N,анне,mare
247,Sohn::N,ывӑл,fill
248,Tochter::N,хӗр,filla
249,Bruder::N,ар тӑван,germà
250,Schwester::N,аппа,germana
251,Schwester::N,йӑмӑк,germana
252,Onkel::N,мучи,oncle
253,Onkel::N,пичче,oncle
254,Tante::N,аппа,tia
255,Ehemann::N,упӑшка,espòs
256,Ehefrau::N,арӑм,muller
257,Freude::N,савӑнӑҫ,goig
258,Freude::N,савӑнӑҫ,alegria
259,Freude::N,хаваслӑх,goig
260,Freude::N,хаваслӑх,alegria
261,Gelächter::N,кулӑ,riallada
262,Glück::N,телей,felicitat
263,Glück::N,ӑраскал,felicitat
264,Kummer::N,хурлӑх,pena
265,Wunsch::N,ӗмӗт,desig
266,Wunsch::N,кӑмӑл,desig
267,Lust::N,кӑмӑл,ganes
268,Geist::N,чун-чӗм,ment
269,Geist::N,чун-чӗм,esperit
270,Geist::N,ыр-усал,ment
271,Geist::N,ыр-усал,esperit
272,Geist::N,чун хавалӗ,ment
273,Geist::N,чун хавалӗ,esperit
274,Gedanke::N,шухӑш,pensament
275,Gedächtnis::N,ас,memòria
276,Verstand::N,ӑс,raó
277,Verstand::N,ӑс,seny
278,Verstand::N,ӑс-тӑн,raó
279,Verstand::N,ӑс-тӑн,seny
280,Verstand::N,ӑс-хакӑл,raó
281,Verstand::N,ӑс-хакӑл,seny
282,Sinn::N,тупсӑм,solta
283,Sinn::N,тупсӑм,sentit
284,Sinn::N,пӗлтерӗш,solta
285,Sinn::N,пӗлтерӗш,sentit
286,Grund::N,сӑлтав,raó
287,Grund::N,сӑлтав,causa
288,Wahrheit::N,чӑнлӑх,veritāt
289,Gespräch::N,калаҫу,conversa
290,Märchen::N,юмах,conte
291,Erzählung::N,акалав,narració
292,Erzählung::N,каласа пани,narració
293,Nachricht::N,хыпар,missatge
294,Neuigkeit::N,ҫӗнӗ хыпар,novetat
295,Name::N,ят,nom
296,Rätsel::N,сутмалли юмах,endevinalla
297,Rede::N,сӑмах,discurs
298,Sprache::N,чӗлхе,llēngua
299,Stimme::N,сасӑ,veu
300,Wort::N,сӑмах,mot
301,Wort::N,сӑмах,paraula
302,Zeichen::N,паллӑ,signe
303,Zeichen::N,паллӑ,senyal
304,Ruf::N,йыхрав,crida
305,Ruf::N,чӗнӳ,crida
306,Lärm::N,шав,sorōll
307,Laut::N,сасӑ,so
308,Ton::N,сасӑ,to
309,Lied::N,юрӑ,cançó
310,Ruhe::N,канӑҫлӑх,calma
311,Ruhe::N,канӑҫлӑх,silenci
312,Ruhe::N,лӑпкӑлӑх,calma
313,Ruhe::N,лӑпкӑлӑх,silenci
314,Leute::N,ҫамрӑксем,gent
315,Leute::N,ҫамрӑк ҫынсем,gent
316,Volk::N,халӑх,poble
317,Arbeit::N,ӗҫхӗл,labor
318,Arbeit::N,ӗҫхӗл,treball
319,Arbeit::N,ӗҫлев,labor
320,Arbeit::N,ӗҫлев,treball
321,Gast::N,хӑна,hoste
322,Geschenk::N,парне,regal
323,Geschenk::N,парне,obsequi
324,Geschenk::N,кучченеҫ,regal
325,Geschenk::N,кучченеҫ,obsequi
326,Spiel::N,вӑйӑ,joc
327,Gesellschaft::N,общество,companyia
328,Hilfe::N,пулӑшу,ajut
329,Freund::N,тус,amīc
330,Kamerad::N,юлташ,company
331,Kamerad::N,юлташ,camarada
332,Kamerad::N,тус,company
333,Kamerad::N,тус,camarada
334,Angelegenheit::N,ӗҫ,afer
335,Angelegenheit::N,ӗҫ,assumpte
336,Anzahl::N,йыш,nombre
337,Anzahl::N,йыш,quantitat
338,Anzahl::N,хисеп,nombre
339,Anzahl::N,хисеп,quantitat
340,Art::N,тӗс,tipus
341,Art::N,тӗс,classe
342,Stück::N,татӑк,peça
343,Teil::N,пай,part
344,Hälfte::N,ҫурӑ,meitat
345,Kreis::N,ункӑ,cercle
346,Kreis::N,ҫавракӑш,cercle
347,Kreuz::N,хӗрес,creu
348,Linie::N,йӗр,línia
349,Strich::N,йӗр,traç
