,Concept_ID,sq,he
0,Auge::N,sy,עין
1,Ohr::N,vesh,אזן
2,Nase::N,hundë,אף
3,Nase::N,hundë,חטם
4,Mund::N,gojë,פה
5,Zahn::N,dhëmb,שן
6,Zunge::N,gjuhë,לשון
7,Lippe::N,buzë,שפה
8,Wange::N,faqe,לחי
9,Wange::N,mollëz,לחי
10,Gesicht::N,fytyrë,פנים
11,Stirn::N,ballë,מצח
12,Haar::N,flokë,שערה
13,Schnurrbart::N,mustaqe,שפם
14,Bart::N,mjekër,זקן
15,Kinn::N,mjekër,סנטר
16,Kiefer[Anatomie]::N,nofull,לסת
17,Kehle::N,fyt,גרון
18,Kehle::N,grykë,גרון
19,Hals::N,qafë,צואר
20,Genick::N,arrëz,ערף
21,Kopf::N,kokë,ראש
22,Rücken::N,kurriz,גב
23,Bauch::N,bark,בטן
24,Nabel::N,kërthizë,טבור
25,Busen::N,gji,שד
26,Brust::N,gjoks,חזה
27,Brust::N,kraharor,חזה
28,Schulter::N,sup,כתף
29,Schulter::N,krah,כתף
30,Arm::N,krah,זרוע
31,Ellenbogen::N,bërryl,מרפק
32,Hand::N,dorë,יד
33,Handfläche::N,pëllëmbë,כף יד
34,Finger::N,gisht,אצבע
35,Fingernagel::N,thua,צפרן
36,Nagel[Anatomie]::N,thua,צפרן
37,Zeh::N,gisht i këmbës,אצבע
38,Fuß::N,këmbë,רגל
39,Ferse::N,thembër,עקב
40,Knie::N,gju,ברך
41,Oberschenkel::N,kofshë,ירך
42,Bein::N,këmbë,רגל
43,Körper::N,trup,גוף
44,Haut::N,lëkurë,עור
45,Blut::N,gjak,דם
46,Ader::N,venë,וריד
47,Sehne::N,dell,גיד
48,Knochen::N,asht,עצם
49,Knochen::N,kockë,עצם
50,Gehirn::N,tru,מוח
51,Herz::N,zemër,לב
52,Magen::N,stomak,קבה
53,Leber::N,mëlçi,כבד
54,Atem::N,frymë,נשימה
55,Hunger::N,uri,רעב
56,Träne::N,lot,דמעה
57,Geschmack::N,shije,טעם
58,Geruch::N,erë,ריח
59,Schlaf::N,gjumë,שנה
60,Traum::N,ëndërr,חלום
61,Himmel::N,qiell,שמים
62,Sonne::N,diell,שמש
63,Mond::N,hënë,ירח
64,Stern::N,yll,כוכב
65,Luft::N,ajër,אויר
66,Wind::N,erë,רוח
67,Welle::N,valë,גל
68,Welle::N,dallgë,גל
69,Wasser::N,ujë,מים
70,Stein::N,gur,אבן
71,Boden::N,tokë,קרקע
72,Boden::N,truall,קרקע
73,Erde::N,dhe,אדמה
74,Erde::N,baltë,אדמה
75,Staub::N,pluhur,אבק
76,Rauch::N,tym,עשן
77,Funke::N,xixë,ניצוץ
78,Funke::N,shkëndijë,ניצוץ
79,Feuer::N,zjarr,אש
80,Licht::N,dritë,אור
81,Schatten::N,hije,צל
82,Wetter::N,mot,מזג אויר
83,Nebel::N,mjegull,ערפל
84,Wolke::N,re,ענן
85,Regen::N,shi,גשם
86,Schnee::N,borë,שלג
87,Eis::N,akull,קרח
88,Frost::N,ngricë,צנה
89,Kälte::N,të ftohtë,קר
90,Hitze::N,vapë,חם
91,Hitze::N,nxehtësi,חם
92,Raureif::N,cikmë,כפור
93,Regenbogen::N,ylber,קשת
94,Donner::N,gjëmim,רעם
95,Donner::N,bubullimë,רעם
96,Strömung::N,rrymë,זרימה
97,Tropfen::N,pikë,טפה
98,Schaum::N,shkumë,קצף
99,Schmutz::N,baltë,לכלוך
100,See::N,liqen,אגם
101,Sumpf::N,batak,בצה
102,Moor::N,kënetë,בצה
103,Wiese::N,livadh,מרעה
104,Wald::N,pyll,יער
105,Hügel::N,kodër,תל
106,Anhöhe::N,bregore,מעלה
107,Berg::N,mal,הר
108,Gipfel::N,kulm,פסגה
109,Höhle::N,shpellë,מערה
110,Höhle::N,zgafelle,מערה
111,Abhang::N,shpat,מדרון
112,Abhang::N,shpat,שפוע
113,Abhang::N,tatëpjetë,מדרון
114,Abhang::N,tatëpjetë,שפוע
115,Quelle::N,krua,מעין
116,Quelle::N,burim,מעין
117,Bach::N,virua,נחל
118,Fluss::N,lumë,נהר
119,Ufer::N,breg,גדה
120,Küste::N,anëdet,חוף
121,Küste::N,bregdet,חוף
122,Festland::N,kontinent,יבשה
123,Meer::N,det,ים
124,Bucht::N,gji deti,מפרץ
125,Insel::N,ishull,אי
126,Insel::N,ujdhesë,אי
127,Blume::N,lule,פרח
128,Gras::N,bar,דשא
129,Wurzel::N,rrënjë,שרש
130,Baum::N,pemë,עץ
131,Stamm::N,trung,גזע
132,Rinde::N,lëvore,קלפת עץ
133,Ast::N,degë,ענף
134,Zweig::N,bisk,ענף
135,Blatt::N,fletë,עלה
136,Blatt::N,gjethe,עלה
137,Birke::N,mështekën,שדר
138,Kiefer[Baum]::N,pishë,ארן
139,Weide[Baum]::N,shelg,ערבה
140,Tanne::N,bredh,אשוח
141,Horn::N,bri,קרן
142,Feder::N,pupël,נוצה
143,Fell::N,lëkurë,פרוה
144,Flügel::N,krah,כנף
145,Flügel::N,fletë,כנף
146,Klaue::N,kthetër,טלף
147,Kralle::N,thua,טפר
148,Kralle::N,kthetër,טפר
149,Schwanz::N,bisht,זנב
150,Ei::N,vezë,ביצה
151,Nest::N,fole,קן
152,Bau::N,strofkë,מחלה
153,Tier::N,kafshë,חיה
154,Herde::N,kope,עדר
155,Herde::N,grigjë,עדר
156,Kuh::N,lopë,פרה
157,Bulle::N,dem,פר
