,Concept_ID,tr,ab
0,Auge::N,göz,ала
1,Ohr::N,kulak,алымҳа
2,Nase::N,burun,аҧынҵа
3,Mund::N,ağız,аҧышə
4,Zahn::N,diş,ахаҧыц
5,Zunge::N,dil,абз
6,Lippe::N,dudak,ақьышə
7,Wange::N,yanak,аӡамҩа
8,Gesicht::N,yüz,аҿы
9,Stirn::N,alın,алахь
10,Haar::N,saç,ахəыц
11,Schnurrbart::N,bıyık,аҧаҵа
12,Bart::N,sakal,ажакьа
13,Kinn::N,çene,ацламкəыгə
14,Kiefer[Anatomie]::N,çene,ацламҳəа
15,Kehle::N,boğaz,ахəда
16,Hals::N,boyun,ахəда
17,Hals::N,gerdan,ахəда
18,Genick::N,ense,ахəдаџьал
19,Kopf::N,baş,ахы
20,Kopf::N,kafa,ахы
21,Rücken::N,arka,азқəа
22,Bauch::N,karın,амгəа
23,Nabel::N,göbek,аҷапан
24,Busen::N,koyun,агəыҧҳəы
25,Brust::N,göğüs,агəышҧы
26,Schulter::N,omuz,ажəҩахыр
27,Arm::N,kol,амахəар
28,Ellenbogen::N,dirsek,амашьхəылҵ
29,Hand::N,el,анапы
30,Handfläche::N,avuç,анапсаргəыҵа
31,Handfläche::N,el ayası,анапсаргəыҵа
32,Finger::N,parmak,анацəа
33,Fingernagel::N,el tırnağı,анапхыц
34,Nagel[Anatomie]::N,tırnak,ашьапхыц
35,Zeh::N,ayak parmağı,ашьацəа
36,Fuß::N,ayak,ашьапсыргəыҵа
37,Ferse::N,topuk,ашьхəа
38,Knie::N,diz,ашьамхы
39,Oberschenkel::N,uyluk,ауаҭəа
40,Bein::N,bacak,ашьапы
41,Körper::N,vücut,ацəеижь
42,Haut::N,cilt,ацəа
43,Blut::N,kan,ашьа
44,Ader::N,damar,ада
45,Sehne::N,kiriş,адаш
46,Knochen::N,kemik,абаҩ
47,Gehirn::N,beyin,ахшлыбаҩ
48,Gehirn::N,beyin,ахшыбаҩ
49,Herz::N,kalp,агəы
50,Herz::N,yürek,агəы
51,Magen::N,mide,аца
52,Magen::N,mide,ацар
53,Leber::N,karaciğer,агəаҵəа
54,Atem::N,nefes,аҧсыҧлагаҩгара
55,Hunger::N,açlık,амла
56,Träne::N,gözyaşı,алабжыш
57,Geschmack::N,tat,агьама
58,Geschmack::N,lezzet,агьама
59,Geruch::N,koku,афҩы
60,Schlaf::N,uyku,ацəа
61,Traum::N,düş,аҧхыӡ
62,Traum::N,rüya,аҧхыӡ
63,Himmel::N,gök,ажəҩан
64,Sonne::N,güneş,амра
65,Mond::N,ay,амза
66,Stern::N,yıldız,аеҵəа
67,Luft::N,hava,аҳаир
68,Wind::N,yel,аҧша
69,Wind::N,rüzgâr,аҧша
70,Welle::N,dalga,ацəқəырҧа
71,Wasser::N,su,аӡы
72,Stein::N,taş,ахаҳə
73,Boden::N,yer,адгьыл
74,Boden::N,zemin,адгьыл
75,Erde::N,toprak,адгьыл
76,Staub::N,toz,асаба
77,Rauch::N,duman,алҩа
78,Funke::N,kıvılcım,акəиц
79,Funke::N,kıvılcım,ацҧхь
80,Feuer::N,ateş,амца
81,Licht::N,ışık,алашара
82,Schatten::N,gölge,ашəшьыра
83,Wetter::N,hava,амш
84,Nebel::N,pus,анаҟəа
85,Wolke::N,bulut,аҧсҭҳəа
86,Regen::N,yağmur,ақəа
87,Schnee::N,kar,асы
88,Eis::N,buz,аҵаа
89,Frost::N,don,аҵаа
90,Kälte::N,soğukluk,ахьҭа
91,Hitze::N,sıcaklık,ашоура
92,Raureif::N,kırç,аҵааҧшқа
93,Regenbogen::N,gökkuşağı,ацəаҟəа
94,Donner::N,gök gürlemesi,адыд
95,Strömung::N,akıntı,аиасра
96,Strömung::N,akıntı,амҩасра
97,Strömung::N,cereyan,аиасра
98,Strömung::N,cereyan,амҩасра
99,Tropfen::N,damla,ацəыкəбар
100,Schaum::N,köpük,ашəах
101,Schmutz::N,çamur,алымт
102,Schmutz::N,pislik,алымт
103,See::N,göl,аӡиа
104,Sumpf::N,batak,аӡмах
105,Moor::N,cılgıt,
106,Wiese::N,çimen,адəы
107,Wald::N,koru,абна
108,Wald::N,orman,абна
109,Hügel::N,tepe,ахəы
110,Anhöhe::N,tümsek,аҳаракыра
111,Anhöhe::N,yükseklik,аҳаракыра
112,Berg::N,dağ,ашьха
113,Gipfel::N,zirve,ацəқəа
114,Höhle::N,in,аҳаҧы
115,Höhle::N,mağara,аҳаҧы
116,Abhang::N,bayır,анаара
117,Quelle::N,pınar,аҵҵырҭа
118,Quelle::N,kaynak,аҵҵырҭа
119,Bach::N,çay,акəараҷҷа
120,Bach::N,dere,акəараҷҷа
121,Fluss::N,nehir,аӡиас
122,Ufer::N,kıyı,ахықə
123,Ufer::N,sahil,ахықə
124,Küste::N,kıyı,ахықə
125,Küste::N,sahil,ахықə
126,Festland::N,kara,абарра
127,Meer::N,deniz,амшын
128,Bucht::N,koy,аӡбжьахала
129,Bucht::N,körfez,аӡбжьахала
130,Insel::N,ada,адгьылбжьаха
131,Blume::N,çiçek,ашəҭ
132,Gras::N,ot,аҳасакьын
133,Gras::N,çim,аҳасакьын
134,Wurzel::N,kök,адац
135,Baum::N,ağaç,аҵла
136,Stamm::N,gövde,ашьапы
137,Rinde::N,kabuk,ацəа
138,Ast::N,dal,амахə
139,Ast::N,dal,амахəҭа
140,Ast::N,budak,амахə
141,Ast::N,budak,амахəҭа
