,Concept_ID,ar,br
0,Auge::N,عين,lagad
1,Ohr::N,أذن,skouarn
2,Nase::N,أنف,fri
3,Mund::N,فم,genoù
4,Zahn::N,سن,dant
5,Zunge::N,لسان,teod
6,Lippe::N,شفة,muzell
7,Wange::N,خد,chot
8,Wange::N,وجنة,chot
9,Gesicht::N,وجه,dremm
10,Stirn::N,جبين,tal
11,Haar::N,شعر,blev
12,Schnurrbart::N,شارب,mourenn
13,Bart::N,لحية,barv
14,Kinn::N,ذقن,groñj
15,Kiefer[Anatomie]::N,فك,javed
16,Kehle::N,حلق,gouzoug
17,Hals::N,عنق,gouzoug
18,Hals::N,رقبة,gouzoug
19,Genick::N,قفا,choug
20,Kopf::N,رأس,penn
21,Rücken::N,ظهر,kein
22,Bauch::N,بطن,kof
23,Nabel::N,سرة,begel
24,Busen::N,ثدي,bronn
25,Brust::N,صدر,bruched
26,Schulter::N,كتف,skoaz
27,Arm::N,ذراع,brec'h
28,Ellenbogen::N,كوع,ilin
29,Hand::N,يد,dorn
30,Handfläche::N,كف,palv
31,Finger::N,إصبع,biz
32,Fingernagel::N,ظفر,ivin
33,Nagel[Anatomie]::N,ظفر,ivin
34,Zeh::N,إصبع القدم,biz-troad
35,Fuß::N,قدم,troad
36,Ferse::N,كعب,seul
37,Knie::N,ركبة,glin
38,Oberschenkel::N,فخذ,morzhed
39,Bein::N,ساق,gar
40,Körper::N,جسم,korf
41,Haut::N,بشرة,kroc'hen
42,Blut::N,دم,gwad
43,Ader::N,عرق,gwazhi
44,Sehne::N,طنب,stir
45,Knochen::N,عظم,askorn
46,Gehirn::N,دماغ,empenn
47,Herz::N,قلب,kalon
48,Magen::N,معدة,stomog
49,Leber::N,كبد,avu
50,Atem::N,نفس,anal
51,Hunger::N,جوع,naon
52,Träne::N,دمعة,daer
53,Geschmack::N,طعم,blaz
54,Geschmack::N,مذاق,blaz
55,Geruch::N,رائحة,c'hwezh
56,Schlaf::N,نوم,kousked
57,Schlaf::N,منام,kousked
58,Traum::N,حلم,hune
59,Himmel::N,سماء,oabl
60,Sonne::N,شمس,heol
61,Mond::N,قمر,loar
62,Stern::N,نجم,steredenn
63,Stern::N,كوكب,steredenn
64,Luft::N,هواء,aer
65,Wind::N,ريح,avel
66,Welle::N,موجة,houlenn
67,Wasser::N,ماء,dour
68,Stein::N,حجر,maen
69,Boden::N,تراب,tachenn
70,Erde::N,أرض,douar
71,Staub::N,غبار,poultr
72,Rauch::N,دخان,moged
73,Funke::N,شرارة,ful
74,Feuer::N,نار,tan
75,Licht::N,نور,gouloù
76,Licht::N,ضوء,gouloù
77,Schatten::N,ظل,disheol
78,Schatten::N,فيء,disheol
79,Wetter::N,جو,amzer
80,Wetter::N,طقس,amzer
81,Nebel::N,ضباب,brumenn
82,Wolke::N,غيمة,koumoulenn
83,Wolke::N,سحابة,koumoulenn
84,Regen::N,مطر,glav
85,Schnee::N,ثلج,erc'h
86,Eis::N,جليد,skorn
87,Frost::N,صقيع,rev
88,Kälte::N,برد,yen
89,Hitze::N,حر,tommder
90,Hitze::N,حرارة,tommder
91,Raureif::N,صقيع,frim
92,Regenbogen::N,قوس قزح,gwareg-ar-glav
93,Donner::N,رعد,kurun
94,Strömung::N,تيار,red
95,Tropfen::N,قطرة,bannac'h
96,Tropfen::N,قطرة,takenn
97,Schaum::N,زبد,spoum
98,Schaum::N,رغوة,spoum
99,Schmutz::N,وسخ,fank
100,See::N,بحيرة,lenn
