,Concept_ID,ta,mdf
162,Vogel::N,பறவை,нармонь
163,Schwarm::N,தொகுதி,ко́вол
164,Schwarm::N,தொகுதி,ме́швеле
165,Huhn::N,கோழிக்குஞசு,сараз
166,Hahn::N,சேவல்,а́тякш
167,Gans::N,பெண் வாத்து,маци
168,Adler::N,பருநது,куцькан
169,Ente::N,வாத்து,яксярга
170,Eule::N,ஆந்தை,ко́рож
171,Kranich::N,நாரை,ка́рга
172,Krähe::N,காகம்,ва́рси
173,Kuckuck::N,குயில்,ку́ку
174,Schwan::N,அன்னம்,ло́ксти
175,Fisch::N,மீன்,кал
176,Barsch::N,பேர்ச்,о́кунь
177,Hecht::N,கோலாச்சி மீன்,щу́ка
178,Schlange[Tier]::N,பாம்பு,куй
179,Wurm::N,புழு,сукс
180,Spinne::N,சிலந்தி,унжа́
181,Ameise::N,எறும்பு,панжам
182,Laus::N,பேன்,си
183,Mücke::N,கொசுவினப்பூச்சி,ся́ське
184,Fliege::N,ஈ,кару
185,Schmetterling::N,வண்ணத்துப்பூச்சி,ме́лав
186,Beere::N,சதைப்பழம்,и́мож
187,Apfel::N,ஆப்பிள பழம்,марь
188,Pilz::N,காளான்,панга
189,Zwiebel::N,வெங்காயம்,шурьхкя́
190,Saat::N,விதை,видьмот
191,Korn::N,தானியம்,сёра
192,Heu::N,வைக்கோல்,тише
193,Schale::N,தோல்,кедь
194,Grube::N,குழி,лотка
195,Falle::N,பொறி,туфкс
196,Falle::N,பொறி,кунда́ма
197,Schlinge::N,கண்ணி,килькш
198,Spur::N,சுவடு,пильгоки́
199,Asche::N,சாம்பல்,кулу
200,Dreck::N,அழுக்கு,ърда́з
201,Eisen::N,இரும்பு,кшни
202,Gold::N,தங்கம்,ока
203,Gold::N,தங்கம்,золота
204,Silber::N,வெள்ளி,сия́
205,Kohle::N,நிலக்கரி,седь
206,Kohle::N,நிலக்கரி,седьвальмя
207,Glas::N,கண்ணாடி,кля́нцек
208,Lehm::N,களிமண்,сёвонь
209,Sand::N,மணல்,шува́р
210,Mensch::N,மனிதர்கள்,ломань
211,Mann::N,மனிதன்,аля
212,Mann::N,மனிதன்,цёраломань
213,Frau::N,பெண்,ава
214,Kind::N,குழந்தை,идь
215,Kind::N,குழந்தை,шаба
216,Junge::N,பையன்,цёраня
217,Mädchen::N,சிறுமி,стирня́
218,Familie::N,குடும்பம்,тнал
219,Familie::N,குடும்பம்,семья
220,Großvater::N,தாத்தா,атя
221,Großvater::N,தாத்தா,щя́тя
222,Großmutter::N,பாட்டி,баба
223,Eltern::N,பெற்றோர்,тя́дят-а́лят
224,Vater::N,தந்தை,аля
225,Mutter::N,தாய்,ава
226,Mutter::N,தாய்,тядя
227,Sohn::N,மகன்,цёра
228,Tochter::N,மகள்,стирь
229,Bruder::N,சகோதரன்,дуган
230,Bruder::N,சகோதரன்,пяльне
231,Schwester::N,அக்கா,ака
232,Schwester::N,அக்கா,сазор
233,Onkel::N,தாய் மாமன்,оця
234,Onkel::N,தாய் மாமன்,патя
235,Onkel::N,தாய் மாமன்,щеня́
236,Tante::N,அத்தை,ака
237,Tante::N,அத்தை,щака
238,Ehemann::N,கணவன்,мирде
239,Ehefrau::N,மனைவி,ърьвя́
240,Freude::N,கொண்டாட்டம்,ке́нярдема
241,Gelächter::N,சிரிப்பு,рахсема
242,Glück::N,மகிழ்ச்சி,паваз
243,Kummer::N,துயரம்,ризф
244,Kummer::N,துயரம்,пичефкс
245,Wunsch::N,விருப்பம்,мяль
246,Wunsch::N,விருப்பம்,таколдома
247,Lust::N,விருப்பம்,таколдома
248,Geist::N,ஆன்மா,вайме
249,Gedanke::N,எண்ணம்,мяль
250,Gedächtnis::N,ஞாபகம்,прявий
251,Verstand::N,மனம்,прявий
252,Sinn::N,அர்த்தம்,ён
253,Grund::N,காரணம்,туфта́л
254,Wahrheit::N,உண்நை,ви́де
255,Wahrheit::N,உண்நை,видеши́
256,Gespräch::N,பெசு,корхтама
257,Märchen::N,நம்பத்தகாத கதை,ёфкс
258,Erzählung::N,கதை,азкс
259,Nachricht::N,செய்தி,куля́
260,Neuigkeit::N,செய்தி,куля́
261,Name::N,பெயர்,лем
262,Rätsel::N,புதிர்,со́дама ёфкс
263,Rede::N,பேச்சு,вал
264,Rede::N,பேச்சு,корхтама
265,Sprache::N,மொழி,кяль
266,Stimme::N,குரல்,вайгяль
267,Wort::N,வார்த்தை,вал
268,Zeichen::N,குறி,тя́ште
269,Zeichen::N,குறி,тя́штькс
270,Ruf::N,அழைப்பு,тердема
271,Lärm::N,சத்தம்,гайф
272,Lärm::N,சத்தம்,жалакодома
273,Laut::N,ஒலி,вайгяль
274,Ton::N,குரல்,вайгяль
275,Lied::N,பாட்டு,мора
276,Ruhe::N,அமைதி,сетьме
277,Leute::N,மக்கள்,ломатть
278,Volk::N,மக்கள்,наро́д
279,Arbeit::N,வேலை,тев
280,Gast::N,விருந்தாளி,и́нжи
281,Gast::N,விருந்தாளி,ко́нак
282,Geschenk::N,பரிசுப் பொருள்,казне
283,Spiel::N,விளையாட்டு,налхкома
284,Spiel::N,விளையாட்டு,налхксема
285,Gesellschaft::N,சமுதாயம்,кружок
286,Hilfe::N,உதவி,лездома
287,Freund::N,நண்பன்,я́лга
288,Kamerad::N,உடனிருப்பவன்,я́лга
289,Angelegenheit::N,செய்தி,тев
290,Anzahl::N,எண்ணிக்கை,лувкс
291,Art::N,வகை,вид
292,Stück::N,துண்டம்,пакш
293,Teil::N,பகுதி,часть
294,Teil::N,பகுதி,пялькс
295,Hälfte::N,பாதி,пяле
296,Kreis::N,வட்டம்,шаркс
297,Kreuz::N,சிலுவை,крёз
298,Linie::N,கோடு,межа
299,Linie::N,கோடு,китькс
300,Strich::N,வாத நோய்,межа
301,Abstand::N,இடைவெளி,ётка
302,Entfernung::N,தூரம்,ётка
303,Gegend::N,வட்டாரம்,ва́ста
304,Gegend::N,வட்டாரம்,перьфпя́ль
305,Platz::N,வெற்றிடம்,ва́ста
306,Ort::N,இடம்,ва́ста
307,Seite::N,பக்கம்,пяле
308,Mitte::N,இடைப்பகுதி,кучка́
309,Gegenstand::N,உருப்படி,веща
310,Sache::N,பொருள்,тев
311,Sache::N,பொருள்,веща
312,Rand::N,தொங்கு,пе
313,Kante::N,விளிம்பு,и́рдез
314,Ecke::N,மூலை,ужа
315,Spitze::N,முனை,пря
316,Ende::N,முடிவு,пе
317,Loch::N,துளை,варя
318,Winkel::N,கோணம்,ужа
319,Muster::N,பாங்கு,сёрма
320,Größe::N,அளவு,серь
321,Länge::N,நீளம்,кува́лма
322,Höhe::N,உயரம்,серь
323,Gewicht::N,எடை,сталма
324,Menge::N,தொகை,лувкс
325,Haufen::N,குவியல்,мар
326,Reihe::N,வரிசை,ряд
327,Boot::N,படகு,венеж
328,Ruder::N,துடுப்பு,миле
329,Schlitten::N,சகடையிலா வண்டி,ну́рда
330,Ski::N,பனிச் சறுக்கல்,сокс
331,Lagerfeuer::N,மூட்டம்,то́лмар
332,Last::N,பாரம்,канкс
333,Last::N,பாரம்,сталма
334,Gang::N,நடை,молема
335,Schritt::N,காலடி,аськолкс
336,Norden::N,வடக்கு,якшама шире
337,Süden::N,தெற்கு,ля́мбе ши́ре
338,Westen::N,மேற்கு திசை,ши валгома шире
339,Osten::N,கிழக்கு,шинь стяма шире
340,Holz::N,மரக்கட்டை,вирь
341,Holz::N,மரக்கட்டை,шуфта
342,Brett::N,பலகை,лавця
343,Platte::N,பலகம்,плита́
344,Stütze::N,அடைப்புகன்,неже
345,Stange::N,கம்பம்,олга
346,Stock::N,குச்சி,байдек
347,Stab::N,கம்பு,олгоня
348,Rohr::N,குழாய்,турама
349,Haus::N,வீடு,куд
350,Heim::N,வீடு,куд
351,Ofen::N,அடுப்பு,пянакуд
352,Fußboden::N,தரை,кия́кс
353,Tisch::N,மேசை,шра
354,Tisch::N,மேசை,моркш
355,Stuhl::N,நாற்காலி,стул
356,Wiege::N,தொட்டில்,нюря́м
357,Bett::N,படுக்கை,ацам
358,Regal::N,அலமாரி,лавцяланга
359,Kiste::N,பெட்டி,парга
360,Fenster::N,சாளரம்,валмья
361,Tür::N,கதவு,кенкш
362,Tor::N,வாசற்கதவு,ортат
363,Zaun::N,வேலி,перяфкс
364,Dach::N,கூரை,кудпря
365,Leiter::N,ஏணி,куцема
366,Besen::N,விளக்குமாறு,тяльме
367,Spaten::N,மண்வெட்டி,ка́йме
368,Schaufel::N,அடிதண்டா,ко́поня
369,Schaufel::N,அடிதண்டா,ця́рдом
370,Gabel::N,முட்கரண்டி,ця́нгоня
371,Löffel::N,கரண்டி,куцю
372,Messer::N,கத்தி,пеель
373,Nagel::N,ஆணி,эска
374,Netz::N,வலை,
375,Haken::N,கொக்கி,кя́чказ
376,Griff::N,கைப்பிடி,недь
377,Griff::N,கைப்பிடி,кунда́мка
378,Schloss::N,பூட்டு,замо́к
379,Bild::N,படம்,карти́на
380,Figur::N,எண்ணிக்கை,ронга-понда
381,Puppe::N,பொம்மை,ня́ка
382,Beutel::N,பை,кяскав
383,Bündel::N,பொதி,кярьме
384,Tasche::N,பை,кошяльня
385,Eimer::N,வாளி,ве́дарка
386,Deckel::N,உறை,тавадкс
387,Deckel::N,உறை,вельхкс
388,Geschirr::N,பாத்திரம்,кядьге
389,Sack::N,பை,кяскав
390,Tasse::N,கிண்ணம்,ша́ваня
391,Topf::N,பானை,кавозь
392,Kessel::N,கெண்டி,сргавозь
393,Essen::N,உணவருந்துதல்,ярхцама
394,Nahrung::N,உணவு,ярхцампяль
395,Speise::N,உணவு வகை,ярхцама
396,Fleisch::N,இறைச்சி,пал
397,Fleisch::N,இறைச்சி,сиволь
398,Getreide::N,மக்காச்சோளம்,сёра
399,Brei::N,கஞ்சி,ям
400,Brot::N,ரொட்டி,кши
401,Scheibe::N,துண்டு,кочам
402,Fett::N,கொழுப்பு,куя́
403,Butter::N,வெண்ணெய்,вай
404,Öl::N,எண்ணெய்,вай
405,Salz::N,உப்பு,сал
406,Suppe::N,ரசம்,шонгарям
407,Suppe::N,ரசம்,коршампяль
408,Honig::N,தேன்,медь
409,Milch::N,பால்,лофца
410,Tee::N,தெனீர்,чай
411,Leder::N,பதம் செய்யப்பட்ட தோல்,кедь
412,Wolle::N,கம்பளி,пона
413,Stoff::N,துணி,котф
414,Nadel::N,ஊசி,салмокс
415,Faden::N,நூல்,сюре
416,Knopf::N,பொத்தான்,пуня
417,Knoten::N,முடிச்சு,сюлма
418,Farbe::N,வண்ணக் குழம்பு,архтомбяль
419,Kleidung::N,ஆடைகள்,щам
420,Hemd::N,சட்டை,па́нар
421,Kragen::N,கழுத்துப் பட்டை,сиве
422,Ärmel::N,சட்டைக்கை,ожа
423,Hose::N,கால்சட்டை,понкст
424,Gürtel::N,பெல்ட்,каркс
425,Mütze::N,தொப்பி,вазь
426,Schuh::N,காலணி,башма́к
427,Stiefel::N,காலணி,кя́ме
428,Ring::N,மோதிரம்,суркс
429,Band::N,நாடா,керькс
430,Band::N,நாடா,лента
431,Kamm::N,கீப்பு,сюрьхцем
432,Spiegel::N,ஆடி,ванома
433,Spiegel::N,கண்ணாடி,ванома
434,Riemen::N,வார்,шнань каркс
435,Schnur::N,கயிறு,пикс
436,Schnur::N,கயிறு,карькскя
437,Leine::N,தோல்வார்,вядьме
438,Decke::N,போர்வை,вельхкс
439,Kissen::N,தலையணை,тоду
440,Tuch::N,துணி,руця́
441,Handtuch::N,தண்டு,на́рдама
442,Kraft::N,நிர்பந்தம்,вий
443,Stärke::N,பலம்,вииши
444,Gesundheit::N,ஆரோக்கியம்,шумбраши́
445,Krankheit::N,நோய்,урма́
446,Krankheit::N,நோய்,сярядема
447,Schmerz::N,வலி,маряма
448,Wunde::N,காயம்,керф
449,Fieber::N,காய்ச்சல்,маштыкс
450,Arznei::N,மருந்து,надо́бья
451,Arznei::N,மருந்து,пъчка́фтома
452,Brücke::N,பாலம்,седь
453,Brunnen::N,கேணி,эши
454,Weide::N,மேய்ச்சல் நிலம்,ванома васта
455,Pfad::N,நடை வழி,ян
456,Pfad::N,நடை வழி,киня́
457,Weg::N,வழி,ки
458,Straße::N,சாலை,ки
459,Dorf::N,கிராமம்,веле
460,Stadt::N,நகரம்,ош
461,Brief::N,கடிதம்,сёрма
462,Buch::N,புத்தகம்,книга
463,Buchstabe::N,எழத்து,бу́ква
464,Zeitung::N,செய்தித்தாள்,газе́та
465,Leben::N,வாழ்க்கை,эряф
466,Leben::N,வாழ்க்கை,эряма
467,Tod::N,மரணம்,кулома́
468,Grab::N,சமாதி,калма
469,Kirche::N,தேவாலயம்,це́рькав
470,Sünde::N,பாவம்,пежеть
471,Sünde::N,பாவம்,муворкс
472,Gott::N,கடவுள்,шкай
473,Arbeiter::N,தொழிலாளி,трудендай
474,Arbeiter::N,தொழிலாளி,работник
475,Chef::N,மேலாளர்,азор
476,Chef::N,மேலாளர்,оцюня
477,Meister::N,தலைவன்,мастяр
478,Arzt::N,மருத்துவர்,врач
479,Arzt::N,மருத்துவர்,доктор
480,Lehrer::N,ஆசிரியர்,учи́тель
481,Geld::N,பணம்,ярмакт
482,Geschäft::N,வாணிபம்,ладяфкс
483,Geschäft::N,வாணிபம்,ладяф тев
484,Laden::N,கடை,ла́вка
485,Preis::N,விலை,питне
486,Ware::N,சாமன்கள்,миф
487,Ware::N,சாமன்கள்,ра́маф
488,Nutzen::N,இலாபம்,пара
489,Nutzen::N,இலாபம்,лезкс
490,Reichtum::N,சொத்து,ко́зяши
491,Welt::N,உலகம்,свет
492,Land::N,நாடு,мастор
493,Staat::N,நாடு,государства
494,König::N,அரசன்,король
495,Macht::N,அதிகாரம்,азорондама
496,Macht::N,அதிகாரம்,азорксши
497,Grenze::N,எல்லை,ёткаян
498,Krieg::N,போர்,война́
499,Feind::N,எதிரி,душман
500,Feind::N,எதிரி,каршек тюри
501,Gewalt::N,வன்முறை,наругама
502,Kampf::N,போராட்டம்,тюрема́
503,Bogen[Waffe]::N,வில்,нал
504,Pfeil::N,அம்பு,нал
505,Gewehr::N,துப்பாக்கி,винто́вка
506,Fehler::N,தவறு,эльбядькс
507,Lüge::N,பொய்,васькафнема
508,Schaden::N,சேதாரம்,зия́н
509,Unglück::N,இடையூறு,зия́н
510,Schuld::N,குற்றம்,муворши
511,Alter::N,வயது,эряф кизот
512,Alter::N,வயது,эряфонь пинге
513,Schluss::N,முடிவு,пе
514,Zeit::N,காலம்,пинге
515,Tag::N,நாள்,ши
516,Morgen::N,காலை நேரம்,шобдава
517,Mittag::N,மதியம்,шикучка
518,Abend::N,மாலைப் பொழுது,иля́дь
519,Nacht::N,இரவு,ве
520,Woche::N,வாரம்,недя́ля
521,Monat::N,மாதம்,ков
522,Jahr::N,வருடம்,киза
523,Frühling::N,வசந்தம்,тунда́
524,Sommer::N,கோடை,киза
525,Herbst::N,இலையுதிர் காலம்,сёксе
526,Winter::N,குளிர்காலம்,тяла
527,Januar::N,ஜனவரி,кельмеков
528,Februar::N,பிபரவரி மாதம்,уфайков
529,März::N,மார்ச் மாதம்,марайков
530,April::N,ஏப்ரல் மாதம்,шудиков
531,Mai::N,மே மாதம்,панжиков
532,Juni::N,ஜூன் மாதம்,лямбеков
533,Juli::N,ஜூலை மாதம்,псиков
534,August::N,ஆகஸ்ட் மாதம்,сёроньков
535,September::N,செப்டம்பர் மாதம்,тюжягов
536,Oktober::N,அக்டோபர் மாதம்,кельмазаков
