,Concept_ID,no,sl
190,Fisch::N,fisk,ríba
191,Barsch::N,abbor,ostríž
192,Hecht::N,gjedde,ščúka
193,Schlange[Tier]::N,orm,káča
194,Schlange[Tier]::N,slange,káča
195,Wurm::N,orm,čr̀v
196,Wurm::N,orm,glísta
197,Wurm::N,mark,čr̀v
198,Wurm::N,mark,glísta
199,Spinne::N,edderkopp,pájek
200,Ameise::N,maur,mrávlja
201,Laus::N,lus,úš
202,Mücke::N,mygg,komár
203,Fliege::N,flue,múha
204,Schmetterling::N,sommerfugl,metúlj
205,Beere::N,bær,jágoda
206,Apfel::N,eple,jábolko
207,Pilz::N,sopp,góba
208,Zwiebel::N,løk,čebúla
209,Saat::N,sæd,séme
210,Korn::N,korn,zŕno
211,Heu::N,høy,senó
212,Schale::N,skall,lupína
213,Grube::N,grop,jáma
214,Falle::N,felle,pást
215,Schlinge::N,snare,zánka
216,Schlinge::N,snare,pêtlja
217,Spur::N,spor,sléd
218,Asche::N,aske,pepél
219,Dreck::N,møkk,bláto
220,Dreck::N,skitt,bláto
221,Eisen::N,jern,želézo
222,Gold::N,gull,zlató
223,Silber::N,sølv,srebró
224,Kohle::N,kol,ógel
225,Kohle::N,kull,ógel
226,Glas::N,glass,stêklo
227,Lehm::N,leire,ílo
228,Sand::N,sand,pések
229,Mensch::N,menneske,člôvek
230,Mann::N,mann,móž
231,Mann::N,mann,môški
232,Frau::N,kvinne,gospá
233,Frau::N,kvinne,žénska
234,Kind::N,barn,déte
235,Kind::N,barn,otròk
236,Junge::N,gutt,fànt
237,Junge::N,gutt,déček
238,Mädchen::N,pike,deklè
239,Mädchen::N,pike,déklica
240,Mädchen::N,jente,deklè
241,Mädchen::N,jente,déklica
242,Familie::N,familie,družína
243,Großvater::N,bestefar,dèd
244,Großvater::N,bestefar,dédek
245,Großmutter::N,bestemor,bábica
246,Eltern::N,foreldre,stárši
247,Vater::N,far,ôče
248,Mutter::N,mor,máma
249,Sohn::N,sønn,sín
250,Tochter::N,datter,hčí
251,Tochter::N,datter,hčérka
252,Bruder::N,bror,bràt
253,Schwester::N,søster,sêstra
254,Onkel::N,onkel,újec
255,Onkel::N,onkel,stríc
256,Tante::N,tante,têta
257,Tante::N,tante,strína
258,Ehemann::N,ektemann,móž
259,Ehemann::N,ektemann,sopróg
260,Ehefrau::N,hustru,žêna
261,Ehefrau::N,hustru,sopróga
262,Freude::N,glede,rádost
263,Freude::N,glede,vesêlje
264,Gelächter::N,latter,sméh
265,Gelächter::N,latter,grohòt
266,Glück::N,lykke,sréča
267,Kummer::N,sorg,gorjé
268,Wunsch::N,ønske,žêlja
269,Lust::N,lyst,poželênje
270,Geist::N,ånd,dúša
271,Gedanke::N,tanke,mísel
272,Gedächtnis::N,minne,pámet
273,Gedächtnis::N,hukommelse,pámet
274,Verstand::N,forstand,
275,Sinn::N,mening,pomèn
276,Sinn::N,mening,smísel
277,Sinn::N,betydning,pomèn
278,Sinn::N,betydning,smísel
279,Grund::N,grunn,vzròk
280,Wahrheit::N,sannhet,resníca
281,Gespräch::N,samtale,pogóvor
282,Märchen::N,eventyr,právljica
283,Erzählung::N,fortelling,povést
284,Nachricht::N,melding,sporočílo
285,Neuigkeit::N,nyhet,novóst
286,Name::N,navn,imé
287,Rätsel::N,gåte,ugánka
288,Rede::N,tale,góvor
289,Sprache::N,språk,jêzik
290,Stimme::N,stemme,glás
291,Wort::N,ord,beséda
292,Zeichen::N,tegn,znák
293,Ruf::N,rop,klíc
294,Lärm::N,bråk,hrúp
295,Lärm::N,bråk,trúšč
296,Laut::N,lyd,glás
297,Ton::N,tone,tón
298,Lied::N,vise,pésem
299,Ruhe::N,ro,pokòj
300,Leute::N,folk,ljudjé
301,Volk::N,folk,národ
302,Arbeit::N,arbeid,délo
303,Gast::N,gjest,gòst
304,Geschenk::N,gave,darílo
305,Spiel::N,lek,ígra
306,Spiel::N,spill,ígra
307,Gesellschaft::N,selskap,drúžba
308,Hilfe::N,hjelp,pomóč
309,Freund::N,venn,prijátelj
310,Kamerad::N,kamerat,továriš
311,Angelegenheit::N,sak,zadéva
312,Angelegenheit::N,anliggende,zadéva
313,Anzahl::N,antall,števílo
314,Art::N,art,vŕsta
315,Art::N,slag,vŕsta
316,Stück::N,stykke,kós
317,Teil::N,del,dél
318,Hälfte::N,halvdel,polovíca
319,Kreis::N,ring,króg
