,Concept_ID,se,kk
0,Auge::N,tjelmie,көз
1,Auge::N,tjalmme,көз
2,Auge::N,čalbmi,көз
3,Auge::N,čalme,көз
4,Auge::N,čâ´lmm,көз
5,Auge::N,ча̄лльм,көз
6,Ohr::N,bieljie,құлақ
7,Ohr::N,biellje,құлақ
8,Ohr::N,beallji,құлақ
9,Ohr::N,pelji,құлақ
10,Ohr::N,pe´llj,құлақ
11,Ohr::N,пе̄лльй,құлақ
12,Nase::N,njuenie,мұрын
13,Nase::N,njunnje,мұрын
14,Nase::N,njunni,мұрын
15,Nase::N,njuṇe,мұрын
16,Nase::N,njuu´nn,мұрын
17,Nase::N,нюннҍ,мұрын
18,Mund::N,njaelmie,ауыз
19,Mund::N,njálmme,ауыз
20,Mund::N,njálbmi,ауыз
21,Mund::N,njälmi,ауыз
22,Mund::N,njä´lmm,ауыз
23,Mund::N,ня̄лльм,ауыз
24,Zahn::N,baenie,тіс
25,Zahn::N,bádne,тіс
26,Zahn::N,bátni,тіс
27,Zahn::N,pääṇi,тіс
28,Zahn::N,pää´nn,тіс
29,Zahn::N,па̄ннҍ,тіс
30,Zunge::N,njoektjeme,тіл
31,Zunge::N,njuovtjav,тіл
32,Zunge::N,njuovčča,тіл
33,Zunge::N,njuovčâ,тіл
34,Zunge::N,njuhččâm,тіл
35,Zunge::N,нюхчем,тіл
36,Lippe::N,bangseme,ерін
37,Lippe::N,njálmmerabdda,ерін
38,Lippe::N,bavssa,ерін
39,Lippe::N,poovsâ,ерін
40,Lippe::N,põõus,ерін
41,Lippe::N,пэ̄кс,ерін
42,Wange::N,skiehrie,ұрт
43,Wange::N,nierra,ұрт
44,Wange::N,muohtu,ұрт
45,Wange::N,nieṛâ,ұрт
46,Wange::N,njiõrr,ұрт
47,Wange::N,нӣрр,ұрт
48,Gesicht::N,ååredæjja,бет-аузы
49,Gesicht::N,muohto,бет-аузы
50,Gesicht::N,muođut,бет-аузы
51,Gesicht::N,ámadadju,бет-аузы
52,Gesicht::N,muáđuh,бет-аузы
53,Gesicht::N,muâđ,бет-аузы
54,Gesicht::N,ка̄ссв,бет-аузы
55,Stirn::N,gaalloe,маңдай
56,Stirn::N,gállo,маңдай
57,Stirn::N,gállu,маңдай
58,Stirn::N,kállu,маңдай
59,Stirn::N,käll,маңдай
60,Stirn::N,вуэххьц,маңдай
61,Haar::N,voepte,қыл
62,Haar::N,vuoppta,қыл
63,Haar::N,vuokta,қыл
64,Haar::N,vuop'tâ,қыл
65,Haar::N,vuõpt,қыл
66,Haar::N,вӯппт,қыл
67,Schnurrbart::N,bijjie-skaavtjoe,мұрт
68,Schnurrbart::N,njunjevuolskávttjá,мұрт
69,Schnurrbart::N,seamu,мұрт
70,Schnurrbart::N,siämu,мұрт
71,Schnurrbart::N,ää´bben,мұрт
72,Schnurrbart::N,о̄а̄бпан,мұрт
73,Bart::N,skaavtja,сақал
74,Bart::N,skaavtjoe,сақал
75,Bart::N,skávttjá,сақал
76,Bart::N,seamu,сақал
77,Bart::N,siämu,сақал
78,Bart::N,seäm,сақал
79,Bart::N,ся̄м,сақал
80,Kinn::N,gaejpie,иек
81,Kinn::N,gájbbe,иек
82,Kinn::N,gáibi,иек
83,Kinn::N,käibi,иек
84,Kinn::N,käi´bb,иек
85,Kinn::N,ка̄ййп,иек
86,Kiefer[Anatomie]::N,gaejpie,жақ
87,Kiefer[Anatomie]::N,oalol,жақ
88,Kiefer[Anatomie]::N,oaloldákte,жақ
89,Kiefer[Anatomie]::N,gáibi,жақ
90,Kiefer[Anatomie]::N,uá'lultähti,жақ
91,Kiefer[Anatomie]::N,vuâl'lõš,жақ
92,Kiefer[Anatomie]::N,вуаллнешш,жақ
93,Kehle::N,gealoe,алқым
94,Kehle::N,tjåttå,алқым
95,Kehle::N,njiello,алқым
96,Kehle::N,čotta,алқым
97,Kehle::N,čuudâ,алқым
98,Kehle::N,čoodd,алқым
99,Kehle::N,чонт,алқым
