,Concept_ID,lbe,mdf
0,Auge::N,я,сельме
1,Ohr::N,вичӏи,пиле
2,Nase::N,май,шалхка
3,Mund::N,кьацӏ,курга
4,Zahn::N,ккарччи,пей
5,Zunge::N,маз,кяль
6,Lippe::N,мурччи,търва́
7,Wange::N,чӏав,щёка
8,Gesicht::N,лажин,шама
9,Stirn::N,ненттабакӏ,коня
10,Haar::N,чӏара,шя́ярь
11,Schnurrbart::N,ссирссилтту,уса́
12,Bart::N,чӏири,сакал
13,Kinn::N,лунттубакӏ,ула
14,Kiefer[Anatomie]::N,ххинчулул,саласка
15,Kehle::N,кьакьари,кълдома
16,Kehle::N,кьакьари,кърга́парь
17,Hals::N,ссурссу,сялдаз
18,Genick::N,махъабакӏ,шовонь
19,Kopf::N,бакӏ,пря
20,Rücken::N,ттиликӏ,копорь
21,Bauch::N,лякьа,пеке
22,Nabel::N,цӏумуккутӏ,по́кон
23,Busen::N,ккукку,потя
24,Brust::N,хъазам,мяште
25,Schulter::N,хъачӏ,лафту
26,Arm::N,ка,кядь
27,Ellenbogen::N,ссюрхъ,кенерьба́карь
28,Hand::N,бартка,кядь
29,Handfläche::N,хъат,кядьлапш
30,Handfläche::N,битӏянхъ,кядьлапш
31,Finger::N,кӏисса,сур
32,Fingernagel::N,михь,кенже
33,Nagel[Anatomie]::N,михь,кенже
34,Zeh::N,кӏисса,пильгосу́р
35,Fuß::N,чӏанччан,пильге
36,Fuß::N,чӏанччан,пильгелапа
37,Ferse::N,никъа,кочкяря
38,Knie::N,ник,эль
39,Knie::N,ник,пълма́нжа
40,Oberschenkel::N,жира,пильгепукша
41,Bein::N,ччан,пильге
42,Körper::N,чурх,ро́нга
43,Körper::N,чурх,по́нда
44,Haut::N,бурчу,киське
45,Blut::N,оь,вер
46,Ader::N,тунну,сан
47,Ader::N,тунну,верза́н
48,Sehne::N,хьхьа,коське сан
49,Knochen::N,ттаркӏ,пакарь
50,Gehirn::N,ня,уй
51,Herz::N,дакӏ,седи
52,Herz::N,къюкӏ,седи
53,Magen::N,лякьа,коткърдазь
54,Atem::N,ссихӏ ласаву,лекома
55,Atem::N,ссихӏ ласаву,ваймонь тарксема
56,Atem::N,ссихӏ бигьаву,лекома
57,Atem::N,ссихӏ бигьаву,ваймонь тарксема
58,Hunger::N,ккаши,вачеши
59,Träne::N,макь,сельмове́дь
60,Geschmack::N,тӏин,таньф
61,Geschmack::N,тӏааьн,таньф
62,Geruch::N,кьанкь,шине
63,Schlaf::N,шану,удома́
64,Traum::N,макӏру,он
65,Himmel::N,ссав,менель
66,Sonne::N,баргъ,ши
67,Mond::N,барз,ков
68,Stern::N,цӏуку,тяште
69,Luft::N,гьава,кожф
70,Wind::N,марч,варма
71,Welle::N,щатӏи,тавла
72,Wasser::N,щин,ведь
73,Stein::N,чару,кев
74,Boden::N,аьрщи,мода
75,Boden::N,аьрщи,потмакс
76,Erde::N,аьрщи,мода
77,Erde::N,аьрщи,мастор
78,Staub::N,ххит,пуль
79,Rauch::N,пуркӏу,качам
80,Funke::N,пиягь,ця́тка
81,Feuer::N,цӏу,тол
82,Licht::N,чани,ва́лда
83,Schatten::N,ххют,цильф
84,Wetter::N,гьава,уша
85,Nebel::N,шархь ттурлу,тума́н
86,Wolke::N,ттурлу,ковол
87,Regen::N,гъарал,пизем
88,Schnee::N,марххала,лов
89,Eis::N,микӏ,эй
90,Frost::N,дяркъу,ке́льме
91,Frost::N,замгьар,ке́льме
92,Kälte::N,дяркъу,якшама
93,Hitze::N,кӏиришиву,пси
94,Raureif::N,сил,леш
95,Raureif::N,бурса,леш
96,Regenbogen::N,ссурул ккуртта,а́тямъёнга
97,Donner::N,къув,атям
98,Strömung::N,экьинанаву,шудема́
99,Tropfen::N,кӏунтӏ,путькс
100,Tropfen::N,кӏунтӏ,пътняфкс
101,Schaum::N,хьама,шов
102,Schmutz::N,кьяркьи,ърда́з
103,See::N,бяр,эрьхке
104,Sumpf::N,кунцӏа,шяй
105,Wiese::N,кьан,луга
106,Wald::N,вацӏа,вирь
107,Hügel::N,бакӏу,губо́р
108,Hügel::N,бакӏу,пандоня
109,Berg::N,зунтту,панда
110,Gipfel::N,мицӏ,пря
111,Höhle::N,нух,у́нда
112,Abhang::N,сун,па́нда ша́ма
113,Quelle::N,дайдихьу,эшиня
114,Quelle::N,бакӏ,эшиня
115,Bach::N,чӏрир нех,шудерькс
116,Fluss::N,нех,ляй
117,Ufer::N,зума,търва́
118,Küste::N,зумаинхалу,ляйтърва́
