,Concept_ID,ta,bg
0,Auge::N,கண்,око
1,Ohr::N,காது,ухо
2,Nase::N,மூக்கு,нос
3,Mund::N,வாய்,уста
4,Zahn::N,பல்,зъб
5,Zunge::N,நாக்கு,език
6,Lippe::N,உதடு,устна
7,Wange::N,கன்னம்,буза
8,Gesicht::N,முகம்,лице
9,Gesicht::N,முகம்,образ
10,Stirn::N,முன்னெற்றி,чело
11,Haar::N,முடி,коса
12,Haar::N,முடி,косъм
13,Schnurrbart::N,மீசை,мустаци
14,Bart::N,தாடி,брада
15,Kinn::N,கீழதாடை,брада
16,Kinn::N,கீழதாடை,брадичка
17,Kiefer[Anatomie]::N,தாடை,челюст
18,Kehle::N,தொண்டை,гърло
19,Hals::N,கழுத்து,врат
20,Genick::N,கழுத்து,тил
21,Kopf::N,தலை,глава
22,Rücken::N,முதுகு,гръб
23,Bauch::N,வயிறு,корем
24,Nabel::N,தொப்புள்,пъп
25,Busen::N,மார்பகம்,бозка
26,Brust::N, மார்பு,гръд
27,Schulter::N,தோள்பட்டை,рамо
28,Schulter::N,தோள்பட்டை,плещи
29,Arm::N,கரம்,ръка
30,Ellenbogen::N,முழங்கை,лакът
31,Hand::N,கை,ръка
32,Hand::N,கை,китка
33,Handfläche::N,உள்ளங்கை,длан
34,Finger::N,விரல்,пръст
35,Fingernagel::N,விரல் நகம்,нокът
36,Nagel[Anatomie]::N,நகம்,нокът
37,Zeh::N,கால்விரல்,пръст на крак
38,Fuß::N,கால்,крак
39,Fuß::N,கால்,нога
40,Ferse::N,குதிகால்,пета
41,Knie::N,முழங்கால்,коляно
42,Oberschenkel::N,தொடை,бедро
43,Bein::N,கால்,крак
44,Bein::N,கால்,нога
45,Körper::N,உடல்,тяло
46,Haut::N,சருமம்,кожа
47,Blut::N,இரத்தம்,кръв
48,Ader::N,நாளம்,вена
49,Ader::N,நாளம்,артерия
50,Sehne::N,தசைநார்,жила
51,Sehne::N,தசைநார்,сухожилие
52,Knochen::N,எலுமபு,кост
53,Gehirn::N,மூனை,мозък
54,Herz::N,இதயம,сърце
55,Magen::N,வயிறு,стомах
56,Leber::N,கல்லீரல்,черен дроб
57,Atem::N,மூச்சு,дишане
58,Hunger::N,பசி,глад
59,Träne::N,கண்ணீர்,сълза
60,Geschmack::N,நறுமணம்,вкус
61,Geruch::N,துர்நாற்றம்,миризма
62,Schlaf::N,தூக்கம்,сън
63,Traum::N,கனவு,сън
64,Himmel::N,வானம்,небе
65,Sonne::N,சூரியன்,слънце
66,Mond::N,சந்திரன்,луна
67,Mond::N,சந்திரன்,месец
68,Stern::N,நட்சத்திரம்,звезда
69,Luft::N,காறறு,въздух
70,Wind::N,காற்று,вятър
71,Welle::N,அலை,вълна
72,Wasser::N,நீர்,вода
73,Stein::N,கல்,камък
74,Boden::N,தரை,земя
75,Boden::N,தரை,почва
76,Erde::N,மண்,земя
77,Erde::N,மண்,почва
78,Staub::N,தூசி,прах
79,Rauch::N,புகை,дим
80,Rauch::N,புகை,пушек
81,Funke::N,தீப்பொறி,искра
82,Feuer::N,தீ,огън
83,Licht::N,வெளிச்சம்,светлина
84,Schatten::N,நிழல்,сянка
85,Wetter::N,வானிலை,време
86,Nebel::N,பனிமூட்டம்,мъгла
87,Wolke::N,மேகம்,облак
88,Regen::N,மழை,дъжд
89,Schnee::N,உறைபனி,сняг
90,Eis::N,பனிக்கட்டி,лед
91,Frost::N,உறைபனி,мраз
92,Kälte::N,குளிர்ந்த,студ
93,Hitze::N,சூடு,жега
94,Hitze::N,சூடு,горещина
95,Raureif::N,உறைபனி வெண்திரை,скреж
96,Raureif::N,உறைபனி வெண்திரை,слана
97,Regenbogen::N,வானவில்,дъга
98,Donner::N,இடி,гръм
99,Strömung::N,நீரோட்டம்,течение
100,Tropfen::N,துளி,капка
101,Schaum::N,நுரை,пяна
102,Schmutz::N,அழுக்கு,кал
103,Schmutz::N,அழுக்கு,мръсотия
104,See::N,ஏரி,езеро
105,Sumpf::N,சதுப்பு நிலம்,блато
106,Moor::N,முட்புதற்காடு,мочурище
107,Wiese::N,பசும் புல்தரை,ливада
108,Wald::N,காடு,гора
109,Hügel::N,குன்று,рид
110,Hügel::N,குன்று,хълм
111,Anhöhe::N,பதுக்கை,могила
112,Anhöhe::N,பதுக்கை,възвишение
113,Berg::N,மலை,планина
114,Gipfel::N,உச்சி மாநாடு,връх
115,Höhle::N,குகை,пещера
116,Abhang::N,சரிவு,склон
117,Abhang::N,சரிவு,стръмнина
118,Quelle::N,மூலம்,извор
119,Bach::N,ஓடை,поток
120,Fluss::N,ஆறு,река
121,Ufer::N,நீர்க்கரை,бряг
122,Küste::N,கடற்கரை,бряг
123,Küste::N,கடற்கரை,крайбрежие
124,Festland::N,நிலம்,суша
125,Meer::N,கடல்,море
126,Bucht::N,சிறுகுடா,залив
127,Insel::N,தீவு,остров
