,Concept_ID,,sk
0,Auge::N,,oko
1,Ohr::N,,ucho
2,Nase::N,,nos
3,Mund::N,,ústa
4,Zahn::N,,zub
5,Zunge::N,,jazyk
6,Lippe::N,,pera
7,Wange::N,,líce
8,Gesicht::N,,tvár
9,Gesicht::N,,obličaj
10,Stirn::N,,čelo
11,Haar::N,,vlas
12,Schnurrbart::N,,fúzy
13,Bart::N,,brada
14,Kinn::N,,brada
15,Kiefer[Anatomie]::N,,čeľusť
16,Kehle::N,,hrdlo
17,Hals::N,,krk
18,Genick::N,,väzy
19,Kopf::N,,hlava
20,Rücken::N,,chrbát
21,Bauch::N,,brucho
22,Nabel::N,,pupok
23,Busen::N,,prsia
24,Brust::N,,hruď
25,Schulter::N,,plece
26,Arm::N,,rameno
27,Ellenbogen::N,,lakeť
28,Hand::N,,ruka
29,Handfläche::N,,dlaň
30,Finger::N,,prst
31,Fingernagel::N,,necht
32,Nagel[Anatomie]::N,,necht
33,Zeh::N,,prst na nohe
34,Fuß::N,,noha
35,Ferse::N,,päta
36,Knie::N,,koleno
37,Oberschenkel::N,,stehno
38,Bein::N,,noha
39,Körper::N,,telo
40,Haut::N,,koža
41,Blut::N,,krv
42,Ader::N,,žila
43,Sehne::N,,šľacha
44,Knochen::N,,kosť
45,Gehirn::N,,mozog
46,Herz::N,,srdce
47,Magen::N,,žalúdok
48,Leber::N,,pečeň
49,Atem::N,,dych
50,Hunger::N,,hlad
51,Träne::N,,slza
52,Geschmack::N,,chuť
53,Geruch::N,,pach
54,Schlaf::N,,spánok
55,Traum::N,,sen
56,Himmel::N,,nebo
57,Sonne::N,,slnko
58,Mond::N,,mesiac
59,Stern::N,,hviezda
60,Luft::N,,vzduch
61,Wind::N,,vietor
62,Welle::N,,vlna
63,Wasser::N,,voda
64,Stein::N,,kameň
65,Boden::N,,zem
66,Boden::N,,pôda
67,Erde::N,,zem
68,Staub::N,,prach
69,Rauch::N,,dym
70,Funke::N,,iskra
71,Feuer::N,,oheň
72,Licht::N,,svetlo
73,Schatten::N,,tieň
