,Concept_ID,kn,sl
0,Auge::N,ಕಣ್ಣು,okó
1,Ohr::N,ಕಿವಿ,uhó
2,Nase::N,ಮೂಗು,nós
3,Mund::N,ಬಾಯಿ,ústa
4,Zahn::N,ಹಲ್ಲು,zób
5,Zunge::N,ನಾಲಿಗೆ,jêzik
6,Lippe::N,ತುಟಿ,ústnica
7,Wange::N,ಗಲ್ಲ,líce
8,Gesicht::N,ಮುಖ,oblíčje
9,Stirn::N,ಹಣೆ,čêlo
10,Haar::N,ಕೂದಲು,lás
11,Schnurrbart::N,ಮೀಸೆ,bŕki
12,Bart::N,ಗಡ್ಡ,bráda
13,Kinn::N,ಗದ್ದ,bráda
14,Kiefer[Anatomie]::N,ದವಡೆ,čeljúst
15,Kehle::N,ಗಂಟಲು,gŕlo
16,Hals::N,ಕೊರಳು,vrát
17,Genick::N,ಹಿಂಗತ್ತು,zatílnik
18,Kopf::N,ತಲೆ,gláva
19,Rücken::N,ಬೆನ್ನು,hrbèt
20,Bauch::N,ಹೊಟ್ಟೆ,trébuh
21,Nabel::N,ಹೊಕ್ಕುಳು,pópek
22,Busen::N,ಸ್ತನ,nédrja
23,Brust::N,ಎದೆ,pŕsi
24,Schulter::N,ಭುಜ,ráma
25,Schulter::N,ಭುಜ,plêče
26,Arm::N,ತೋಳು,rôka
27,Ellenbogen::N,ಮೊಣಕೈ,komólec
28,Hand::N,ಕೈ,rôka
29,Handfläche::N,ಅಂಗೈ,dlán
30,Finger::N,ಕೈಬೆರಳು,pŕst
31,Fingernagel::N,ಉಗುರು,nóht na rôki
32,Nagel[Anatomie]::N,ಉಗುರು,nóht
33,Zeh::N,ಕಾಲ್ಬೆರಳು,pŕst na nôgi
34,Fuß::N,ಪಾದ,nôga
35,Ferse::N,ಹಿಮ್ಮಡಿ,pêta
36,Knie::N,ಮಂಡಿ,koléno
37,Oberschenkel::N,ತೊಡೆ,stêgno
38,Bein::N,ಕಾಲು,nôga
39,Körper::N,ದೇಹ,teló
40,Haut::N,ಚರ್ಮ,kóža
41,Blut::N,ರಕ್ತ,krí
42,Ader::N,ನರ,žíla
43,Sehne::N,ನರ,kíta
44,Knochen::N,ಮೂಳೆ,kóst
45,Gehirn::N,ಮಿದುಳು,možgáni
46,Herz::N,ಹೃದಯ,srcé
47,Magen::N,ಉದರ,želódec
48,Leber::N,ಯಕೃತ್ತು,jétra
49,Atem::N,ಉಸಿರು,díh
50,Hunger::N,ಹಸಿವು,glád
51,Träne::N,ಕಣ್ಣೀರು,sólza
52,Geschmack::N,ರುಚಿ,okús
53,Geruch::N,ವಾಸನೆ,vónj
54,Schlaf::N,ನಿದ್ರೆ,sèn
55,Schlaf::N,ನಿದ್ರೆ,spánec
56,Traum::N,ಕನಸು,sánje
57,Himmel::N,ಬಾನು,nebó
58,Sonne::N,ಸೂರ್ಯ,sónce
59,Mond::N,ಚಂದ್ರ,lúna
60,Mond::N,ಚಂದ್ರ,mésec
61,Stern::N,ಚುಕ್ಕಿ,zvézda
62,Luft::N,ವಾಯು,zràk
63,Wind::N,ಗಾಳಿ,véter
64,Welle::N,ಅಲೆ,vál
65,Wasser::N,ನೀರು,vôda
66,Stein::N,ಕಲ್ಲು,kámen
67,Boden::N,ನೆಲ,tlà
68,Erde::N,ಭೂಮಿ,pŕst
69,Erde::N,ಭೂಮಿ,zêmlja
70,Staub::N,ದೂಳು,práh
71,Rauch::N,ಹೊಗೆ,dìm
72,Funke::N,ಕಿಡಿ,ískra
73,Feuer::N,ಬೆಂಕಿ,ôgenj
74,Licht::N,ಬೆಳಕು,lúč
75,Schatten::N,ನೆರಳು,sénca
76,Wetter::N,ಹವ,vrême
77,Nebel::N,ಮಂಜು,meglà
78,Wolke::N,ಮೋಡ,oblák
79,Regen::N,ಮಳೆ,dèž
80,Schnee::N,ಹಿಮ,snég
81,Eis::N,ಮಂಜುಗಡ್ಡೆ,léd
82,Frost::N,ಮಂಜು,zmrzál
83,Kälte::N,ಹಿಮ,mràz
84,Hitze::N,ಉಷ್ಣ,pripéka
85,Raureif::N,ಇಬ್ಬನಿ,ívje
86,Raureif::N,ಇಬ್ಬನಿ,slána
87,Regenbogen::N,ಇಂದ್ರಚಾಪ,mávrica
88,Donner::N,ಗುಡುಗು,gròm
89,Strömung::N,ಪ್ರವಾಹ,strúja
90,Tropfen::N,ತೊಟ್ಟು,káplja
91,Schaum::N,ನೊರೆ,péna
92,Schmutz::N,ಕಸ,nesnága
93,See::N,ಸರೋವರ,jézero
94,Sumpf::N,ಜೌಗುಸ್ಥಳ,močvírje
95,Moor::N,ಬಂಜರು ಭೂಮಿ,bárje
96,Wiese::N,ಹುಲ್ಲುಗಾವಲು,trávnik
97,Wald::N,ಕಾಡು,lés
98,Wald::N,ಕಾಡು,gòzd
99,Hügel::N,ಗುಡ್ಡೆ,brég
100,Hügel::N,ಗುಡ್ಡೆ,goríca
101,Anhöhe::N,ದಿಬ್ಬ,gríč
102,Anhöhe::N,ದಿಬ್ಬ,višína
103,Berg::N,ಮಲೆ,gôra
104,Berg::N,ಮಲೆ,planína
105,Berg::N,ಪರ್ವತ,gôra
106,Berg::N,ಪರ್ವತ,planína
107,Gipfel::N,ಶೃಂಗ,vŕh
108,Höhle::N,ಗುಹೆ,jáma
109,Höhle::N,ಗುಹೆ,votlína
110,Abhang::N,ಇಳಿಜಾರು,pobóčje
111,Quelle::N,ಮೂಲ,izvír
112,Bach::N,ತೊರೆ,pôtok
113,Fluss::N,ನದಿ,réka
114,Ufer::N,ತೀರ,brég
