,Concept_ID,da,ce
0,Auge::N,øje,бӏаьрг
1,Ohr::N,øre,лерг
2,Nase::N,næse,мара
3,Mund::N,mund,бага
4,Zahn::N,tand,церг
5,Zunge::N,tunge,мотт
6,Lippe::N,læbe,балда
7,Wange::N,kind,бесни
8,Gesicht::N,ansigt,юьхь
9,Stirn::N,pande,хьаж
10,Haar::N,hår,мас
11,Schnurrbart::N,overskæg,мекх
12,Bart::N,skæg,маж
13,Kinn::N,hage,чӏениг
14,Kiefer[Anatomie]::N,kæbe,мочхал
15,Kehle::N,strube,къамкъарг
16,Hals::N,hals,ворта
17,Genick::N,nakke,кӏесаркӏаг
18,Kopf::N,hoved,корта
19,Rücken::N,ryg,букъ
20,Bauch::N,mave,кийра
21,Nabel::N,navle,цӏонга
22,Busen::N,barm,зударийн накха
23,Brust::N,bryst,накха
24,Schulter::N,skulder,белш
25,Arm::N,arm,пхьарс
26,Ellenbogen::N,albue,пхьаьрсан гола
27,Hand::N,hånd,куьг
28,Handfläche::N,håndflade,кераюкъ
29,Finger::N,finger,пӏелг
30,Fingernagel::N,fingernegl,мӏара
31,Nagel[Anatomie]::N,negl,мӏара
32,Zeh::N,tå,кога пӏелг
33,Fuß::N,fod,ког
34,Ferse::N,hæl,кӏажа
35,Knie::N,knæ,гола
36,Oberschenkel::N,lår,варе
37,Bein::N,ben,ког
38,Körper::N,krop,хӏума
39,Körper::N,legeme,хӏума
40,Haut::N,hud,чкъор
41,Blut::N,blod,цӏий
42,Ader::N,åre,пха
43,Sehne::N,sene,хьорзам
44,Knochen::N,ben,даьӏахк
45,Gehirn::N,hjerne,хье
46,Herz::N,hjerte,дог
47,Magen::N,mave,зорх
48,Leber::N,lever,доӏах
49,Atem::N,ånde,садеӏар
50,Hunger::N,sult,мацалла
51,Träne::N,tåre,бӏаьрхи
52,Geschmack::N,smag,чам
53,Geruch::N,lugt,хьожа
54,Schlaf::N,søvn,наб
55,Traum::N,drøm,гӏан
56,Himmel::N,himmel,стигал
57,Sonne::N,sol,малх
58,Mond::N,måne,бутт
59,Stern::N,stjerne,седа
60,Luft::N,luft,xӏаваъ
61,Wind::N,vind,мох
62,Welle::N,bølge,тулгӏе
63,Wasser::N,vand,хи
64,Stein::N,sten,тӏулг
