,Concept_ID,ku,lez
0,Auge::N,çav,вил
1,Ohr::N,guh,яб
2,Nase::N,bêvil,нер
3,Mund::N,dev,сив
4,Zahn::N,didan,сас
5,Zahn::N,didan,свах
6,Zunge::N,ziman,мез
7,Lippe::N,lêv,пӏуз
8,Wange::N,dêm,хъвехъ
9,Wange::N,hinarik,хъвехъ
10,Gesicht::N,rû,ччин
11,Stirn::N,enî,пел
12,Haar::N,por,чӏар
13,Schnurrbart::N,simbêl,спел
14,Schnurrbart::N,simbêl,спелар
15,Bart::N,rih,ччуру
16,Kinn::N,zenî,чене
17,Kiefer[Anatomie]::N,arguşk,чене
18,Kehle::N,qirik,туьд
19,Hals::N,stû,гардан
20,Hals::N,qirik,гардан
21,Genick::N,stû,кьам
22,Kopf::N,serî,кьил
23,Rücken::N,pişt,далу
24,Bauch::N,ûr,руфун
25,Bauch::N,zik,руфун
26,Nabel::N,navik,пицӏ
27,Busen::N,sîng,мам
28,Brust::N,sîng,хур
29,Schulter::N,mil,къуьн
30,Arm::N,çepil,гъил
31,Ellenbogen::N,enîşk,кьуьнт
32,Hand::N,dest,капаш
33,Handfläche::N,kefadest,капан юкь
34,Finger::N,tilî,тӏуб
35,Fingernagel::N,neynuk,кек
36,Nagel[Anatomie]::N,bizmar,кек
37,Zeh::N,tilî linga,кул
38,Fuß::N,ling,кӏвач
39,Ferse::N,pahnî,дабан
40,Knie::N,kabok,мет
41,Oberschenkel::N,rahn,
42,Bein::N,çip,кӏвач
43,Körper::N,laş,беден
44,Körper::N,gowde,беден
45,Haut::N,çerm,хам
46,Blut::N,xwîn,иви
47,Ader::N,reh,дамар
48,Sehne::N,reh,кьуру дамар
49,Knochen::N,hestî,кӏараб
50,Gehirn::N,mêjî,мефт
51,Herz::N,dil,рикӏ
52,Magen::N,navêş,хук
53,Leber::N,kezeb,лекь
54,Atem::N,hilm,ял
55,Atem::N,hilm,нефес
56,Hunger::N,birçîtî,каш
57,Träne::N,hêstir,вилин нагъв
58,Geschmack::N,tam,дад
59,Geschmack::N,tam,тӏям
60,Geruch::N,bêhn,ни
61,Schlaf::N,xew,ахвар
62,Traum::N,xewn,ахвар
63,Himmel::N,ezman,цав
64,Sonne::N,roj,рагъ
65,Mond::N,heyv,варз
66,Stern::N,stêrk,гъед
67,Luft::N,ba,гьава
68,Wind::N,ba,гар
69,Welle::N,şewl,лепе
70,Wasser::N,av,яд
71,Stein::N,kevir,къван
72,Boden::N,herd,накьв
73,Erde::N,ax,ччил
74,Staub::N,toz,руг
75,Rauch::N,dû,гум
76,Funke::N,çirûşk,цӏелхем
77,Feuer::N,agir,цӏай
78,Licht::N,ronahî,экв
79,Schatten::N,sî,серин
80,Wetter::N,hewa,гьава
81,Nebel::N,mij,ччилин циф
82,Wolke::N,ewr,циф
83,Regen::N,baran,марф
84,Schnee::N,berf,жив
85,Eis::N,qeşa,мурк
86,Frost::N,xûsik,аяз
87,Kälte::N,serma,мекь
88,Kälte::N,serma,мекьивал
89,Hitze::N,germayî,зегьем
90,Raureif::N,şext,къирав
91,Regenbogen::N,heftreng,яргъируш
92,Donner::N,gire-gir,цавун ван
93,Strömung::N,şewl,
94,Tropfen::N,dilop,стӏал
95,Schaum::N,kef,каф
96,Schmutz::N,gemar,чирк
97,Schmutz::N,gemar,кьуруш
98,See::N,gol,вир
99,Sumpf::N,hezek,уьлен
100,Moor::N,mafêl,
101,Wiese::N,sûrik,векь
102,Wald::N,çiya,там
103,Wald::N,daristan,там
104,Hügel::N,gir,кӏунтӏ
105,Anhöhe::N,sere gir,тепе
106,Anhöhe::N,sere gir,гьуьндуьрвал
107,Berg::N,kaş,дагъ
108,Gipfel::N,sere gir,кӏукӏ
109,Höhle::N,şikeft,кьветӏ
110,Abhang::N,kaş,гуьне
111,Quelle::N,kanî,чешме
112,Bach::N,çem,булах
113,Fluss::N,çem,вацӏ
114,Fluss::N,rûbar,вацӏ
115,Ufer::N,kevî,къерех
116,Küste::N,berav,къерех
117,Festland::N,bejahî,кьурамат
118,Meer::N,behr,гьуьл
119,Bucht::N,derav,бухта
120,Insel::N,girav,остров
121,Blume::N,kulînk,цуьк
122,Gras::N,giha,хъач
123,Wurzel::N,reh,дувул
124,Baum::N,dar,ттар
125,Stamm::N,bavik,тан
126,Rinde::N,qaqil,чкал
127,Ast::N,gulî,тӏур
128,Zweig::N,şax,хел
129,Blatt::N,pel,пеш
130,Birke::N,dara sipî,верх
131,Kiefer[Baum]::N,dara bî,шамагъаж
132,Weide[Baum]::N,dara belalûk,цӏвелин ттар
133,Tanne::N,merx,ель
134,Horn::N,strô,карч
135,Feder::N,pîrtîk,цӏакул
136,Fell::N,heyar,хам
137,Flügel::N,per,лув
138,Klaue::N,napîk,къармах
139,Kralle::N,dinik,пац
140,Kralle::N,dinik,тапас
141,Kralle::N,dirnax,пац
142,Kralle::N,dirnax,тапас
143,Schwanz::N,dûv,ттум
144,Ei::N,hêk,кака
145,Nest::N,hêlîn,муг
146,Bau::N,avahî,тӏеквен
147,Tier::N,heywan,гьайван
148,Herde::N,hoz,суьруь
149,Kuh::N,çêlek,ккал
150,Bulle::N,ga,яц
151,Bulle::N,ga,бугъа
152,Pferd::N,hesp,балкӏан
153,Schaf::N,mîh,хеб
154,Schwein::N,beraz,вак
155,Hund::N,seh,кицӏ
156,Katze::N,pişîk,кац
157,Bär::N,hirç,сев
158,Eichhörnchen::N,pilûr,белка
159,Elch::N,pazkovî,лось
160,Fuchs::N,rovî,сикӏ
161,Hase::N,kîroşk,къуьр
162,Maus::N,mişk,кьиф
163,Wolf::N,gur,жанавур
164,Vogel::N,çûk,луван ничхир
165,Schwarm::N,lufik,луж
166,Huhn::N,mirîşk,верч
167,Hahn::N,dîk,кӏек
168,Gans::N,qaz,къаз
169,Adler::N,eylo,лекь
170,Ente::N,werdek,пӏатӏ
171,Eule::N,bûm,тӏиб
172,Eule::N,kund,тӏиб
173,Kranich::N,quling,дурна
174,Krähe::N,qijik,къаргъа
175,Kuckuck::N,pepûk,кукупӏ
176,Schwan::N,qû,къугь
177,Fisch::N,masî,гъед
178,Barsch::N,okûn,окунь
179,Hecht::N,mesîyê lûf,щука
180,Schlange[Tier]::N,mar,илан
181,Schlange[Tier]::N,mar,гъуьлягъ
182,Wurm::N,kurm,квак
183,Spinne::N,pîrê,хуьшрекан
184,Ameise::N,mîro,цегв
185,Ameise::N,gêrîk,цегв
186,Laus::N,spi,нет
187,Mücke::N,mêş,ветӏ
188,Fliege::N,mêş,тӏветӏ
189,Schmetterling::N,perperîk,чепелукь
190,Beere::N,hirç,куьлуь емиш
191,Apfel::N,sêv,ич
192,Pilz::N,bîrov,къарникъуз
193,Zwiebel::N,pîvaz,чичӏек
194,Saat::N,tov,тумар
195,Korn::N,dexl,твар
196,Heu::N,sap,векь
197,Heu::N,sap,векьер
198,Schale::N,qaşik,пириш
199,Schale::N,qaşik,хъуьруьш
200,Grube::N,çahl,фур
201,Falle::N,dafik,ракьар
202,Schlinge::N,dahf,гьалкъа
203,Spur::N,rêç,гел
204,Asche::N,xweli,руьхъ
205,Dreck::N,gemarî,чирк
206,Dreck::N,gemarî,кьуруш
207,Eisen::N,hesing,ракь
208,Gold::N,zêr,алтун
209,Silber::N,zîv,гимиш
210,Kohle::N,komir,цӏивин
211,Glas::N,qedeh,шуьше
212,Lehm::N,kelpîç,ччеб
213,Sand::N,qûm,къум
214,Mensch::N,mirov,инсан
215,Mann::N,mêr,итим
216,Frau::N,jin,паб
217,Frau::N,jin,дишегьли
218,Kind::N,zarok,аял
219,Junge::N,kur,гада
220,Mädchen::N,keç,руш
221,Mädchen::N,keçik,руш
222,Familie::N,malbat,хзан
223,Familie::N,malbat,килфет
224,Großvater::N,bapîr,чӏехи буба
225,Großmutter::N,pîrik,чӏехи диде
226,Eltern::N,bavudê,диде-буба
227,Vater::N,bav,буба
228,Mutter::N,dê,диде
229,Mutter::N,dayik,диде
230,Sohn::N,kur,хва
231,Tochter::N,keç,руш
232,Bruder::N,bira,стха
233,Schwester::N,xweh,вах
234,Onkel::N,am,ими
235,Onkel::N,am,халу
236,Onkel::N,xal,ими
237,Onkel::N,xal,халу
238,Tante::N,metik,эме
239,Tante::N,metik,хала
240,Tante::N,xaltîk,эме
241,Tante::N,xaltîk,хала
242,Ehemann::N,mêr,гъуьл
243,Ehefrau::N,kulfet,паб
244,Freude::N,kêfxweşî,шадвал
245,Gelächter::N,pîrqînî,хъвер
246,Glück::N,bext,бахт
247,Kummer::N,derd,дерт
248,Kummer::N,derd,хажалат
249,Wunsch::N,daxwaz,мурад
250,Wunsch::N,xwestek,мурад
251,Lust::N,şewq,гьевес
252,Geist::N,aqil,руьгь
253,Gedanke::N,fikir,фикир
254,Gedächtnis::N,aqil,
255,Verstand::N,fêm,акьул
256,Sinn::N,aqil,мана
257,Grund::N,asas,себеб
258,Wahrheit::N,rastî,керчек
259,Wahrheit::N,rastî,гьакъикъат
260,Gespräch::N,guftûgo,ихтилат
261,Märchen::N,çirok,мах
262,Erzählung::N,çirok,кьиса
263,Erzählung::N,vegotin,кьиса
264,Nachricht::N,nûçe,хабар
265,Neuigkeit::N,hewal,цӏийи хабар
266,Name::N,nav,тӏвар
267,Name::N,paşnav,тӏвар
268,Rätsel::N,tiştonek,мискӏал
269,Rede::N,gotar,рахун
270,Rede::N,axavtin,рахун
271,Sprache::N,ziman,чӏал
272,Stimme::N,pejn,ван
273,Wort::N,gotin,гаф
274,Zeichen::N,şanek,ишара
275,Ruf::N,hawar,эвер
276,Lärm::N,xarbalix,ван-сес
