,Concept_ID,pl,zh
0,Auge::N,oko,眼睛
1,Ohr::N,ucho,耳朵
2,Nase::N,nos,鼻子
3,Mund::N,usta,嘴
4,Zahn::N,ząb,牙齿
5,Zunge::N,język,舌头
6,Lippe::N,warga,嘴唇
7,Wange::N,policzek,面颊
8,Gesicht::N,twarz,脸
9,Stirn::N,czoło,额
10,Haar::N,włos,头发
11,Haar::N,włosy,头发
12,Schnurrbart::N,wąsy,髭须
13,Bart::N,broda,胡子
14,Kinn::N,podbródek,下巴
15,Kiefer[Anatomie]::N,czeluść,颌
16,Kehle::N,gardło,嗓子
17,Hals::N,szyja,颈
18,Genick::N,kark,后颈
19,Kopf::N,głowa,头
20,Rücken::N,plecy,背
21,Rücken::N,grzbiet,背
22,Bauch::N,brzuch,肚子
23,Nabel::N,pępek,肚脐
24,Busen::N,biust,胸脯
25,Brust::N,pierś,胸
26,Schulter::N,bark,肩膀
27,Schulter::N,ramię,肩膀
28,Arm::N,ręka,臂膀
29,Arm::N,ramię,臂膀
30,Ellenbogen::N,łokieć,肘
31,Hand::N,dłoń,手
32,Handfläche::N,dłoń,手掌
33,Finger::N,palec,手指
34,Fingernagel::N,paznokieć,指甲
35,Nagel[Anatomie]::N,paznokieć,指甲
36,Zeh::N,palec,脚趾
37,Fuß::N,stopa,脚
38,Ferse::N,pięta,后跟
39,Knie::N,kolano,膝
40,Oberschenkel::N,udo,大腿
41,Bein::N,noga,腿
42,Körper::N,ciało,身体
43,Haut::N,skóra,皮肤
44,Blut::N,krew,血
45,Ader::N,żyła,血管
46,Sehne::N,ścięgno,腱
47,Knochen::N,kość,骨
48,Gehirn::N,mózg,脑
49,Herz::N,serce,心
50,Magen::N,żołądek,胃
51,Leber::N,wątroba,肝
52,Atem::N,dech,呼吸
53,Atem::N,oddech,呼吸
54,Hunger::N,głód,饿
55,Träne::N,łza,眼泪
56,Geschmack::N,smak,味道
57,Geruch::N,woń,气味
58,Geruch::N,zapach,气味
59,Schlaf::N,sen,睡眠
60,Traum::N,sen,梦
61,Himmel::N,niebo,天空
62,Sonne::N,słońce,太阳
63,Mond::N,księżyc,月亮
64,Stern::N,gwiazda,星
65,Luft::N,powietrze,空气
66,Wind::N,wiatr,风
67,Welle::N,fala,波
68,Wasser::N,woda,水
69,Stein::N,kamień,石头
70,Boden::N,grunt,地面
71,Erde::N,ziemia,地
72,Staub::N,pył,灰尘
73,Staub::N,kurz,灰尘
74,Rauch::N,dym,烟
75,Funke::N,iskra,火花
76,Feuer::N,ogień,火
77,Licht::N,światło,光
78,Schatten::N,cień,影子
79,Wetter::N,pogoda,天气
80,Nebel::N,mgła,雾
81,Wolke::N,obłok,云
82,Wolke::N,chmura,云
83,Regen::N,deszcz,雨
84,Schnee::N,śnieg,雪
85,Eis::N,lód,冰
86,Frost::N,mróz,霜冻
87,Kälte::N,chłód,寒冷
88,Hitze::N,gorąco,炎热
89,Raureif::N,szron,霜
90,Regenbogen::N,tęcza,虹
91,Donner::N,grzmot,雷
92,Strömung::N,nurt,水流
93,Tropfen::N,kropla,滴
94,Schaum::N,piana,泡沫
95,Schmutz::N,brud,赃物
96,See::N,jezioro,湖
97,Sumpf::N,bagno,沼泽
98,Moor::N,bagno,沼泽
99,Wiese::N,łąka,草地
100,Wald::N,las,森林
101,Hügel::N,pagórek,丘陵
102,Anhöhe::N,wzgórze,山丘
103,Berg::N,góra,山
104,Gipfel::N,szczyt,峰
105,Gipfel::N,wierzchołek,峰
106,Höhle::N,pieczara,洞穴
107,Abhang::N,stok,斜坡
108,Abhang::N,zbocze,斜坡
109,Quelle::N,zdrój,泉
110,Quelle::N,źródło,泉
111,Bach::N,potok,溪
112,Bach::N,strumień,溪
113,Fluss::N,rzeka,河流
114,Ufer::N,brzeg,岸
115,Küste::N,wybrzeże,海岸
116,Festland::N,ląd,大陆
117,Meer::N,morze,海
118,Bucht::N,zatoka,海湾
119,Insel::N,wyspa,岛
120,Blume::N,kwiat,花
121,Gras::N,trawa,草
122,Wurzel::N,korzeń,根
123,Baum::N,drzewo,树
124,Stamm::N,pień,树干
125,Rinde::N,kora,树皮
126,Ast::N,gałąź,树枝
127,Zweig::N,gałąź,树枝
128,Blatt::N,liść,叶子
129,Birke::N,brzoza,桦木
130,Kiefer[Baum]::N,sosna,松树
131,Weide[Baum]::N,wierzba,柳树
132,Tanne::N,jodła,冷杉
133,Horn::N,róg,角
134,Feder::N,pióro,羽毛
135,Fell::N,futro,皮毛
136,Flügel::N,skrzydło,翅膀
137,Klaue::N,szpon,爪子
138,Kralle::N,pazur,爪子
139,Schwanz::N,ogon,尾巴
140,Ei::N,jajko,蛋
141,Nest::N,gniazdo,巢
142,Bau::N,nora,穴
143,Tier::N,zwierzę,动物
144,Herde::N,stado,群
145,Herde::N,trzoda,群
146,Kuh::N,krowa,母牛
147,Bulle::N,byk,公牛
148,Pferd::N,koń,马
149,Schaf::N,owca,羊
150,Schwein::N,świnia,猪
151,Hund::N,pies,狗
152,Katze::N,kot,猫
153,Katze::N,kotka,猫
154,Bär::N,niedźwiedż,熊
155,Eichhörnchen::N,wiewiórka,松鼠
156,Elch::N,łóś,麋鹿
157,Fuchs::N,lis,狐狸
158,Hase::N,zając,兔子
159,Maus::N,mysz,老鼠
160,Wolf::N,wilk,狼
161,Vogel::N,ptak,鸟
162,Schwarm::N,stado,群
163,Huhn::N,kura,鸡
164,Hahn::N,kogut,公鸡
165,Gans::N,gęś,鹅
166,Adler::N,orzeł,鹰
167,Ente::N,kaczka,鸭
168,Eule::N,sowa,猫头鹰
169,Kranich::N,żuraw,鹤
170,Krähe::N,wrona,乌鸦
171,Kuckuck::N,kukułka,布谷鸟
172,Schwan::N,łabędż,天鹅
173,Fisch::N,ryba,鱼
174,Barsch::N,okoń,鲈鱼
175,Hecht::N,szczupak,狗鱼
176,Schlange[Tier]::N,wąż,蛇
177,Schlange[Tier]::N,żmija,蛇
178,Wurm::N,robak,蠕虫
179,Spinne::N,pająk,蜘蛛
180,Ameise::N,mrówka,蚂蚁
181,Laus::N,wesz,虱子
182,Mücke::N,komar,蚊子
183,Fliege::N,mucha,苍蝇
184,Schmetterling::N,motyl,蝴蝶
185,Beere::N,jagoda,将果
186,Apfel::N,jabłko,苹果
187,Pilz::N,grzyb,蘑菇
188,Zwiebel::N,cebula,洋葱
189,Saat::N,siew,种子
190,Korn::N,ziarno,谷粒
191,Heu::N,siano,干草
192,Schale::N,łupina,壳
193,Grube::N,dół,坑
194,Grube::N,jama,坑
195,Falle::N,pułapka,圈套
196,Schlinge::N,sidła,活扣
197,Spur::N,ślad,踪迹
198,Asche::N,popiół,灰烬
199,Dreck::N,brud,污垢
200,Eisen::N,żelazo,铁
201,Gold::N,złoto,金子
202,Silber::N,srebro,银
203,Kohle::N,węgiel,煤
204,Glas::N,szkło,玻璃
205,Lehm::N,glina,粘土
206,Sand::N,piasek,沙
207,Mensch::N,człowiek,人
208,Mann::N,mężczyzna,男子
209,Frau::N,kobieta,妇女
210,Kind::N,dziecko,小孩
211,Junge::N,chłopak,男孩
212,Junge::N,chłopiec,男孩
213,Mädchen::N,dziewczynka,女孩
214,Familie::N,rodzina,家庭
215,Großvater::N,dziadek,祖父
216,Großmutter::N,babka,祖母
217,Eltern::N,rodzice,父母
218,Vater::N,ojciec,父亲
219,Mutter::N,matka,母亲
220,Sohn::N,syn,儿子
