,Concept_ID,ro,os
0,Auge::N,ochi,цӕст
1,Ohr::N,ureche,хъус
2,Nase::N,nas,фындз
3,Mund::N,gură,дзых
4,Zahn::N,dinte,дӕндаг
5,Zunge::N,limbă,ӕвзаг
6,Lippe::N,buză,был
7,Wange::N,bucă,рус
8,Wange::N,bucă,уадул
9,Wange::N,bucă,ӕхсӕрфарс
10,Wange::N,obraz,рус
11,Wange::N,obraz,уадул
12,Wange::N,obraz,ӕхсӕрфарс
13,Gesicht::N,față,цӕсгом
14,Gesicht::N,figură,цӕсгом
15,Stirn::N,frunte,ных
16,Haar::N,păr,хил
17,Schnurrbart::N,mustață,рихи
18,Bart::N,barbă,зачъе
19,Kinn::N,bărbie,роцъо
20,Kiefer[Anatomie]::N,falcă,ӕфсӕр
21,Kehle::N,beregată,хъуыр
22,Hals::N,gât,къубал
23,Genick::N,ceafă,къӕбут
24,Kopf::N,cap,сӕр
25,Rücken::N,dos,фӕсонтӕ
26,Rücken::N,spate,фӕсонтӕ
27,Rücken::N,spinare,фӕсонтӕ
28,Bauch::N,burtă,гуыбын
29,Bauch::N,pântece,гуыбын
30,Nabel::N,buric,бикъ
31,Busen::N,sân,дзидзи
32,Brust::N,piept,риу
33,Schulter::N,umăr,уӕхск
34,Schulter::N,spate,уӕхск
35,Arm::N,braț,цонг
36,Ellenbogen::N,cot,рæмбын
37,Hand::N,mână,къух
38,Handfläche::N,palmă,армытъӕпӕн
39,Finger::N,deget,ӕнруылдз
40,Fingernagel::N,unghie,ных
41,Nagel[Anatomie]::N,unghie,ных
42,Zeh::N,deget de la picior,къух
43,Fuß::N,picior,фад
44,Ferse::N,călcâi,зӕвӕт
45,Knie::N,genunchi,уӕраг
46,Oberschenkel::N,coapsă,агъд
47,Bein::N,picior,зӕнг
48,Körper::N,corp,буар
49,Haut::N,piele,царм
50,Blut::N,sânge,туг
51,Ader::N,vână,дадзин
52,Ader::N,vână,тугдадзин
53,Ader::N,arteră,дадзин
54,Ader::N,arteră,тугдадзин
55,Sehne::N,tendon,хъиутæ
56,Sehne::N,tendon,нуар
57,Knochen::N,os,стӕг
58,Gehirn::N,creier,магъз
59,Herz::N,inimă,зӕрдӕ
60,Magen::N,stomac,ахсӕн
61,Leber::N,ficat,игæр
62,Atem::N,răsuflare,улӕфт
63,Atem::N,respirație,улӕфт
64,Hunger::N,foame,стонг
65,Träne::N,lacrimă,цæссыг
66,Geschmack::N,gust,ад
67,Geruch::N,miros,смаг
68,Schlaf::N,somn,хуыссӕг
69,Traum::N,vis,фын
70,Himmel::N,cer,арв
71,Himmel::N,cer,уӕларв
72,Sonne::N,soare,хур
73,Mond::N,lună,мӕй
74,Stern::N,stea,стъалы
75,Luft::N,aer,уӕлдӕф
76,Wind::N,vânt,дымгӕ
77,Welle::N,val,уылӕн
78,Welle::N,undă,уылӕн
79,Wasser::N,apă,дон
80,Stein::N,piatră,дур
81,Boden::N,sol,зӕхх
82,Boden::N,pământ,зӕхх
83,Erde::N,pământ,сыджыт
84,Staub::N,praf,рыг
85,Rauch::N,fum,фӕздӕг
86,Funke::N,scânteie,цӕхӕр
87,Feuer::N,foc,зынг
88,Licht::N,lumină,рухс
89,Schatten::N,umbră,аууон
90,Wetter::N,timp,боныхъӕд
91,Wetter::N,vreme,боныхъӕд
92,Nebel::N,ceață,мигъ
93,Nebel::N,negură,мигъ
94,Wolke::N,nor,ӕврагъ
95,Regen::N,ploaie,уарын
96,Schnee::N,zăpadă,мит
97,Eis::N,gheață,их
98,Frost::N,ger,ихæн
99,Kälte::N,frig,уазал
100,Hitze::N,arșiță,ӕнтӕф
101,Hitze::N,căldură,ӕнтӕф
102,Raureif::N,chiciură,халас
103,Regenbogen::N,curcubeu,арвырон
104,Regenbogen::N,curcubeu,арвырдын
105,Donner::N,tunet,æрвнæрын
106,Strömung::N,curent,цыд
107,Tropfen::N,picătură,æртах
108,Schaum::N,spumă,фынк
109,Schmutz::N,murdărie,цъыф
110,See::N,lac,цад
111,Sumpf::N,mlaștină,цъыфдзаст
112,Moor::N,bărăgan,цъыфдзаст
113,Wiese::N,fânaț,уыгӕрдӕн
114,Wiese::N,livadă,уыгӕрдӕн
115,Wald::N,codru,хъӕд
116,Wald::N,pădure,хъӕд
117,Hügel::N,deal,обау
118,Hügel::N,deal,къуыбыр
119,Hügel::N,movilă,обау
120,Hügel::N,movilă,къуыбыр
121,Anhöhe::N,deal,уæлвæз
122,Anhöhe::N,deal,уæлхох
123,Anhöhe::N,ridicătură,уæлвæз
124,Anhöhe::N,ridicătură,уæлхох
125,Berg::N,munte,хох
126,Gipfel::N,pisc,цъупп
127,Höhle::N,peșteră,лӕгӕт
128,Abhang::N,pantă,къул
129,Abhang::N,versant,къул
130,Quelle::N,izvor,суадон
131,Bach::N,gârlă,мӕсчъыдон
132,Fluss::N,râu,дон
133,Fluss::N,râu,цӕугӕдон
134,Fluss::N,fluviu,дон
135,Fluss::N,fluviu,цӕугӕдон
136,Ufer::N,mal,был
137,Ufer::N,țărm,был
138,Küste::N,coastă,донбыл
139,Festland::N,uscat,сурзæхх
140,Meer::N,mare,денджыз
141,Bucht::N,golf,донбакæлæн
142,Insel::N,insulă,сакъадах
143,Blume::N,floare,дидинӕг
144,Gras::N,iarbă,кӕрдӕг
145,Wurzel::N,rădăcină,уидаг
146,Baum::N,copac,бӕлас
147,Baum::N,arbore,бӕлас
148,Stamm::N,tulpină,хӕтӕл
149,Rinde::N,scoarță,цъар
150,Ast::N,cracă,арх
151,Ast::N,creangă,арх
152,Zweig::N,ramură,къалиу
153,Zweig::N,creangă,къалиу
154,Blatt::N,frunză,сыф
155,Birke::N,mesteacăn,бæрз
156,Kiefer[Baum]::N,pin,нӕзы
157,Weide[Baum]::N,salcie,хӕрис
158,Weide[Baum]::N,răchită,хӕрис
159,Tanne::N,brad,наз
160,Horn::N,corn,сыкъа
161,Feder::N,pană,сис
162,Fell::N,piele,царм
163,Flügel::N,aripă,базыр
164,Klaue::N,gheară,ных
165,Kralle::N,labă,дзӕмбы
166,Kralle::N,gheară,дзӕмбы
167,Schwanz::N,coadă,къӕдзил
168,Ei::N,ou,айк
169,Nest::N,cuib,ахстон
170,Bau::N,bârlog,хуынкъ
171,Bau::N,vizuină,хуынкъ
172,Tier::N,animal,сырд
173,Tier::N,animal,цӕрӕгой
174,Herde::N,turmă,дзуг
175,Herde::N,turmă,рӕгъау
176,Herde::N,cireadă,дзуг
177,Herde::N,cireadă,рӕгъау
178,Kuh::N,vacă,хъуг
179,Bulle::N,taur,гал
180,Pferd::N,cal,бӕх
181,Schaf::N,oaie,фыс
182,Schwein::N,porc,хуы
183,Hund::N,câine,куыдз
184,Katze::N,pisică,гӕды
185,Bär::N,urs,арс
186,Eichhörnchen::N,veveriță,æхсæрæг
187,Elch::N,elan,цæгатаг саг
188,Fuchs::N,vulpe,рувас
189,Hase::N,iepure,тæрхъус
190,Maus::N,șoarece,мыст
191,Wolf::N,lup,бирӕгъ
192,Vogel::N,pasăre,цъиу
193,Vogel::N,pasăre,маргъ
194,Schwarm::N,cârd,бал
195,Huhn::N,găină,карк
196,Hahn::N,cocoș,уасӕг
197,Gans::N,gâscă,хъаз
198,Adler::N,vultur,цӕргӕс
199,Ente::N,rață,ацц
200,Eule::N,bufniță, уыг
201,Eule::N,bufniță,сидахъ
202,Kranich::N,cocor,зырнæг
203,Kranich::N,cocor,хърихъупп
204,Krähe::N,cioară,халон
