,Concept_ID,ku,tr
0,Auge::N,çav,göz
1,Ohr::N,guh,kulak
2,Nase::N,bêvil,burun
3,Mund::N,dev,ağız
4,Zahn::N,didan,diş
5,Zunge::N,ziman,dil
6,Lippe::N,lêv,dudak
7,Wange::N,dêm,yanak
8,Wange::N,hinarik,yanak
9,Gesicht::N,rû,yüz
10,Stirn::N,enî,alın
11,Haar::N,por,saç
12,Schnurrbart::N,simbêl,bıyık
13,Bart::N,rih,sakal
14,Kinn::N,zenî,çene
15,Kiefer[Anatomie]::N,arguşk,çene
16,Kehle::N,qirik,boğaz
17,Hals::N,stû,boyun
18,Hals::N,stû,gerdan
19,Hals::N,qirik,boyun
20,Hals::N,qirik,gerdan
21,Genick::N,stû,ense
22,Kopf::N,serî,baş
23,Kopf::N,serî,kafa
24,Rücken::N,pişt,arka
25,Bauch::N,ûr,karın
26,Bauch::N,zik,karın
27,Nabel::N,navik,göbek
28,Busen::N,sîng,koyun
29,Brust::N,sîng,göğüs
30,Schulter::N,mil,omuz
31,Arm::N,çepil,kol
32,Ellenbogen::N,enîşk,dirsek
33,Hand::N,dest,el
34,Handfläche::N,kefadest,avuç
35,Handfläche::N,kefadest,el ayası
36,Finger::N,tilî,parmak
37,Fingernagel::N,neynuk,el tırnağı
38,Nagel[Anatomie]::N,bizmar,tırnak
39,Zeh::N,tilî linga,ayak parmağı
40,Fuß::N,ling,ayak
41,Ferse::N,pahnî,topuk
42,Knie::N,kabok,diz
43,Oberschenkel::N,rahn,uyluk
44,Bein::N,çip,bacak
45,Körper::N,laş,vücut
46,Körper::N,gowde,vücut
47,Haut::N,çerm,cilt
48,Blut::N,xwîn,kan
49,Ader::N,reh,damar
50,Sehne::N,reh,kiriş
51,Knochen::N,hestî,kemik
52,Gehirn::N,mêjî,beyin
53,Herz::N,dil,kalp
54,Herz::N,dil,yürek
55,Magen::N,navêş,mide
56,Leber::N,kezeb,karaciğer
57,Atem::N,hilm,nefes
58,Hunger::N,birçîtî,açlık
59,Träne::N,hêstir,gözyaşı
60,Geschmack::N,tam,tat
61,Geschmack::N,tam,lezzet
62,Geruch::N,bêhn,koku
63,Schlaf::N,xew,uyku
64,Traum::N,xewn,düş
65,Traum::N,xewn,rüya
66,Himmel::N,ezman,gök
67,Sonne::N,roj,güneş
68,Mond::N,heyv,ay
69,Stern::N,stêrk,yıldız
70,Luft::N,ba,hava
71,Wind::N,ba,yel
72,Wind::N,ba,rüzgâr
73,Welle::N,şewl,dalga
74,Wasser::N,av,su
75,Stein::N,kevir,taş
76,Boden::N,herd,yer
77,Boden::N,herd,zemin
78,Erde::N,ax,toprak
79,Staub::N,toz,toz
80,Rauch::N,dû,duman
81,Funke::N,çirûşk,kıvılcım
82,Feuer::N,agir,ateş
83,Licht::N,ronahî,ışık
84,Schatten::N,sî,gölge
85,Wetter::N,hewa,hava
86,Nebel::N,mij,pus
87,Wolke::N,ewr,bulut
88,Regen::N,baran,yağmur
89,Schnee::N,berf,kar
90,Eis::N,qeşa,buz
91,Frost::N,xûsik,don
92,Kälte::N,serma,soğukluk
93,Hitze::N,germayî,sıcaklık
94,Raureif::N,şext,kırç
95,Regenbogen::N,heftreng,gökkuşağı
96,Donner::N,gire-gir,gök gürlemesi
97,Strömung::N,şewl,akıntı
98,Strömung::N,şewl,cereyan
99,Tropfen::N,dilop,damla
100,Schaum::N,kef,köpük
101,Schmutz::N,gemar,çamur
102,Schmutz::N,gemar,pislik
103,See::N,gol,göl
104,Sumpf::N,hezek,batak
105,Moor::N,mafêl,cılgıt
106,Wiese::N,sûrik,çimen
107,Wald::N,çiya,koru
108,Wald::N,çiya,orman
109,Wald::N,daristan,koru
110,Wald::N,daristan,orman
111,Hügel::N,gir,tepe
112,Anhöhe::N,sere gir,tümsek
113,Anhöhe::N,sere gir,yükseklik
114,Berg::N,kaş,dağ
115,Gipfel::N,sere gir,zirve
116,Höhle::N,şikeft,in
117,Höhle::N,şikeft,mağara
118,Abhang::N,kaş,bayır
119,Quelle::N,kanî,pınar
120,Quelle::N,kanî,kaynak
121,Bach::N,çem,çay
122,Bach::N,çem,dere
123,Fluss::N,çem,nehir
124,Fluss::N,rûbar,nehir
125,Ufer::N,kevî,kıyı
126,Ufer::N,kevî,sahil
127,Küste::N,berav,kıyı
128,Küste::N,berav,sahil
129,Festland::N,bejahî,kara
130,Meer::N,behr,deniz
131,Bucht::N,derav,koy
132,Bucht::N,derav,körfez
133,Insel::N,girav,ada
134,Blume::N,kulînk,çiçek
135,Gras::N,giha,ot
136,Gras::N,giha,çim
137,Wurzel::N,reh,kök
138,Baum::N,dar,ağaç
139,Stamm::N,bavik,gövde
140,Rinde::N,qaqil,kabuk
141,Ast::N,gulî,dal
142,Ast::N,gulî,budak
143,Zweig::N,şax,dal
144,Blatt::N,pel,yaprak
145,Birke::N,dara sipî,huş
146,Kiefer[Baum]::N,dara bî,çam
147,Weide[Baum]::N,dara belalûk,söğüt
148,Tanne::N,merx,çam
149,Tanne::N,merx,köknar
150,Horn::N,strô,boynuz
151,Feder::N,pîrtîk,tüy
152,Fell::N,heyar,post
153,Flügel::N,per,kanat
154,Klaue::N,napîk,pençe
155,Kralle::N,dinik,tırnak
156,Kralle::N,dirnax,tırnak
157,Schwanz::N,dûv,kuyruk
158,Ei::N,hêk,yumurta
159,Nest::N,hêlîn,yuva
160,Bau::N,avahî,in
161,Tier::N,heywan,hayvan
162,Herde::N,hoz,sürü
163,Kuh::N,çêlek,inek
164,Bulle::N,ga,boğa
165,Pferd::N,hesp,at
166,Pferd::N,hesp,beygir
167,Schaf::N,mîh,koyun
168,Schwein::N,beraz,domuz
169,Hund::N,seh,it
170,Hund::N,seh,köpek
171,Katze::N,pişîk,kedi
172,Bär::N,hirç,ayı
173,Eichhörnchen::N,pilûr,sincap
174,Elch::N,pazkovî,büyük kuzey geyiği
175,Fuchs::N,rovî,tilki
