,Concept_ID,cy,pt
0,Auge::N,llygad,olho
1,Ohr::N,clust,orelha
2,Nase::N,trwyn,nariz
3,Mund::N,ceg,boca
4,Zahn::N,dant,dente
5,Zunge::N,tafod,língua
6,Lippe::N,gwefus,lábio
7,Wange::N,boch,face
8,Gesicht::N,wyneb,cara
9,Gesicht::N,wyneb,rosto
10,Stirn::N,talcen,testa
11,Haar::N,blew,cabelo
12,Schnurrbart::N,mwstas,bigode
13,Bart::N,barf,barba
14,Kinn::N,gên,queixo
15,Kiefer[Anatomie]::N,gên,maxila
16,Kiefer[Anatomie]::N,gên,mandíbula
17,Kehle::N,gwddf,garganta
18,Hals::N,gwddf,colo
19,Hals::N,gwddf,pescoço
20,Genick::N,gwar,nuca
21,Genick::N,gwegil,nuca
22,Kopf::N,pen,cabeça
23,Rücken::N,cefn,dorso
24,Rücken::N,cefn,costas
25,Bauch::N,bol,ventre
26,Bauch::N,bol,barriga
27,Nabel::N,bogail,umbigo
28,Busen::N,bron,seio
29,Brust::N,brest,peito
30,Schulter::N,ysgwydd,ombro
31,Arm::N,braich,braço
32,Ellenbogen::N,penelin,cotovelo
33,Hand::N,llaw,mão
34,Handfläche::N,palf,palma
35,Handfläche::N,palf,palma da mão
36,Finger::N,bys,dedo
37,Fingernagel::N,ewin,unha
38,Nagel[Anatomie]::N,ewin,unha
39,Zeh::N,bys troed,dedo do pé
40,Fuß::N,troed,pé
41,Ferse::N,sawdl,calcanhar
42,Knie::N,glin,joelho
43,Oberschenkel::N,clun,coxa
44,Bein::N,coes,perna
45,Körper::N,corff,corpo
46,Haut::N,croen,pele
47,Blut::N,gwaed,sangue
48,Ader::N,gwythïen,veia
49,Sehne::N,gewyn,tendão
50,Knochen::N,asgwrn,osso
51,Gehirn::N,ymennydd,cérebro
52,Herz::N,calon,coração
53,Magen::N,cylla,estômago
54,Magen::N,stumog,estômago
55,Leber::N,iau,fígado
56,Atem::N,anadl,fôlego
57,Hunger::N,newyn,fome
58,Träne::N,deigryn,lágrima
59,Geschmack::N,cyflas,gosto
60,Geruch::N,aroglau,odor
61,Geruch::N,aroglau,cheiro
62,Schlaf::N,cwsg,sono
63,Traum::N,breuddwyd,sonho
64,Himmel::N,awyr,céu
65,Sonne::N,haul,sol
66,Mond::N,lleuad,lua
67,Stern::N,seren,estrela
68,Luft::N,awyr,ar
69,Wind::N,gwynt,vento
70,Welle::N,ton,onda
71,Wasser::N,dŵr,água
72,Stein::N,carreg,pedra
73,Boden::N,llawr,solo
74,Erde::N,pridd,terra
75,Staub::N,llwch,pó
76,Rauch::N,mwg,fumo
77,Funke::N,gwreichioni,faísca
78,Funke::N,gwreichioni,centelha
79,Feuer::N,tân,fogo
80,Licht::N,golau,luz
81,Schatten::N,cysgod,sombra
82,Wetter::N,tywydd,tempo
83,Nebel::N,niwl,nevoeiro
84,Wolke::N,cwmwl,nuvem
85,Regen::N,glaw,chuva
86,Schnee::N,ôd,neve
87,Schnee::N,eira,neve
88,Eis::N,iâ,gelo
89,Frost::N,rhew,gelo
90,Frost::N,rhew,geada
91,Kälte::N,oerni,frio
92,Kälte::N,annwyd,frio
93,Hitze::N,gwres,ardor
94,Raureif::N,barrug,geada
95,Regenbogen::N,enfys,arco-iris
96,Donner::N,tyrfau,trovão
97,Strömung::N,cerrynt,corrente
98,Tropfen::N,dafn,gota
99,Tropfen::N,diferyn,gota
100,Schaum::N,ewyn,espuma
101,Schmutz::N,baw,sujidade
102,Schmutz::N,baw,imundície
103,Schmutz::N,budreddi,sujidade
104,Schmutz::N,budreddi,imundície
105,See::N,llyn,lago
106,Sumpf::N,cors,charco
107,Sumpf::N,cors,pântano
108,Moor::N,rhos,pântano
109,Wiese::N,dôl,prado
110,Wald::N,coedwig,bosque
111,Wald::N,coedwig,floresta
112,Hügel::N,bryn,colina
113,Anhöhe::N,bryn,alto
114,Anhöhe::N,bryn,outeiro
115,Berg::N,mynydd,monte
116,Berg::N,mynydd,montanha
117,Gipfel::N,copa,pico
118,Höhle::N,ogof,caverna
119,Abhang::N,llethr,encosta
120,Quelle::N,tarddiad,fonte
121,Quelle::N,ffynhonnell,fonte
122,Bach::N,nant,regato
123,Bach::N,nant,ribeiro
124,Bach::N,afonig,regato
125,Bach::N,afonig,ribeiro
126,Bach::N,cornant,regato
127,Bach::N,cornant,ribeiro
128,Fluss::N,afon,rio
129,Ufer::N,glan,beira
130,Küste::N,traeth,costa
131,Küste::N,arfordir,costa
