,Concept_ID,fa,uk
0,Auge::N,چشم,око
1,Ohr::N,گوش,вухо
2,Nase::N,بینی,ніс
3,Mund::N,دهان,рот
4,Zahn::N,دندان,зуб
5,Zunge::N,زبان,язик
6,Lippe::N,لب,губа
7,Wange::N,لپ,щока
8,Gesicht::N,رو,обличчя
9,Gesicht::N,چهره,обличчя
10,Stirn::N,پیشانی,лоб
11,Haar::N,مو,волосся
12,Schnurrbart::N,سبیل,вуса
13,Bart::N,ریش,борода
14,Kinn::N,چانه,підборіддя
15,Kiefer[Anatomie]::N,فک,щелепа
16,Kiefer[Anatomie]::N,آرواره,щелепа
17,Kehle::N,حلق,горло
18,Hals::N,گردن,шия
19,Genick::N,پشت گردن,потилиця
20,Kopf::N,سر,голова
21,Kopf::N,کله,голова
22,Rücken::N,پشت,спина
23,Bauch::N,شکم,живіт
24,Nabel::N,ناف,пупок
25,Busen::N,پستان,груди
26,Brust::N,سینه,груди
27,Schulter::N,دوش,плече
28,Schulter::N,شانه,плече
29,Arm::N,بازو,рука
30,Ellenbogen::N,آرنج,лікоть
31,Hand::N,دست,рука
32,Handfläche::N,کف دست,долоня
33,Finger::N,انگشت,палець
34,Fingernagel::N,ناخن دست,ніготь
35,Nagel[Anatomie]::N,ناخن,ніготь
36,Zeh::N,انگشت پا,палець на нозі
37,Fuß::N,پا,нога
38,Ferse::N,پاشنه,п’ятка
39,Knie::N,زانو,коліно
40,Oberschenkel::N,ران,стегно
41,Bein::N,پا,нога
42,Bein::N,لنگ,нога
43,Körper::N,تن,тіло
44,Körper::N,بدن,тіло
45,Haut::N,پوست,шкіра
46,Blut::N,خون,кров
47,Ader::N,رگ,вена
48,Sehne::N,زردپی,сухожилля
49,Knochen::N,استخوان,кістка
50,Gehirn::N,مخ,мозок
51,Gehirn::N,مغز,мозок
52,Herz::N,دل,серце
53,Herz::N,قلب,серце
54,Magen::N,معده,шлунок
55,Leber::N,کبد,печінка
56,Atem::N,نفس,дихання
57,Hunger::N,گرسنگی,голод
58,Träne::N,اشک,сльоза
59,Geschmack::N,مزه,смак
60,Geruch::N,بو,запах
61,Schlaf::N,خواب,сон
62,Schlaf::N,خواب,сплячка
63,Traum::N,رؤیا,сон
64,Himmel::N,فلک,небо
65,Himmel::N,آسمان,небо
66,Sonne::N,آفتاب,сонце
67,Sonne::N,خورشید,сонце
68,Mond::N,ماه,місяць
69,Stern::N,ستاره,зірка
70,Luft::N,هوا,повітря
71,Wind::N,باد,вітер
72,Welle::N,موج,хвиля
73,Wasser::N,آب,вода
74,Stein::N,سنگ,камінь
75,Boden::N,زمین,ґрунт
76,Erde::N,خاک,земля
77,Erde::N,زمین,земля
78,Staub::N,گرد,пил
79,Staub::N,غبار,пил
80,Rauch::N,دود,дим
81,Funke::N,جرقه,іскра
82,Feuer::N,آتش,вогонь
83,Licht::N,نور,світло
84,Licht::N,روشنی,світло
85,Schatten::N,سایه,тінь
86,Wetter::N,هوا,погода
87,Nebel::N,مه,туман
88,Wolke::N,ابر,хмара
89,Regen::N,باران,дощ
90,Schnee::N,برف,сніг
91,Eis::N,یخ,лід
92,Frost::N,یخبندان,мороз
93,Kälte::N,سرما,холод
