,Concept_ID,mhr,av
0,Auge::N,шинча́,
1,Ohr::N,пы́лыш,гӏин
2,Nase::N,нер,мегӏер
3,Mund::N,умша́,кӏал
4,Zahn::N,пӱй,гӏус
5,Zunge::N,йы́лме,мацӏ
6,Lippe::N,тӱ́рвӧ,кӏветӏ
7,Wange::N,шӱ́ргӧ,гӏоно
8,Gesicht::N,чури́й,гьумер
9,Stirn::N,саҥга́,нодо
10,Haar::N,ӱп,рас
11,Schnurrbart::N,ӧ́рыш,михъ
12,Bart::N,понда́ш,мегеж
13,Kinn::N,оҥыла́ш,нилъу
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,чанагъ
15,Kiefer[Anatomie]::N,пӱйората́,чанагъ
16,Kehle::N,лога́р,щекъер
17,Hals::N,шӱй,габур
18,Genick::N,шӱйло́дыш,гъванща
19,Kopf::N,вуй,бетӏер
20,Rücken::N,туп,мугъ
21,Bauch::N,мӱ́шкыр,чехь
22,Nabel::N,кы́лымде,цӏину
23,Busen::N,чы́зе,керен
24,Brust::N,оҥ,керен
25,Schulter::N,ва́че,гъажазубетӏер
26,Arm::N,кид,гъеж
27,Ellenbogen::N,кынерву́й,гӏункӏрукь
28,Hand::N,кид,квер
29,Hand::N,копа́,квер
30,Handfläche::N,со́во,огъохъат
31,Handfläche::N,со́во,жанисахъат
32,Finger::N,парня́,килищ
33,Fingernagel::N,кидкӱ́ч,малъ
34,Fingernagel::N,парнягӱ́ч,малъ
35,Nagel[Anatomie]::N,кӱч,малъ
36,Zeh::N,йолварня́,килищ
37,Fuß::N,йол,хӏетӏ
38,Fuß::N,йол,хӏетӏе
39,Fuß::N,йолкопа́,хӏетӏ
40,Fuß::N,йолкопа́,хӏетӏе
41,Ferse::N,тага́н,эгъе
42,Knie::N,пулву́й,наку
43,Oberschenkel::N,э́рде,мачӏ
44,Bein::N,йол,бох
45,Körper::N,кап,къаркъала
46,Haut::N,кова́ште,тӏом
47,Blut::N,вӱр,би
48,Ader::N,шӧн,бидурихь
49,Sehne::N,шӧн,
50,Sehne::N,кӱсе́н,
51,Knochen::N,лу,ракьа
52,Gehirn::N,вем,гӏадалнах
53,Gehirn::N,вуйве́м,гӏадалнах
54,Herz::N,шӱм,ракӏ
55,Magen::N,пага́р,кванирукъ
56,Leber::N,мокш,тӏул
57,Atem::N,шӱ́лыш,хӏухь
58,Hunger::N,шужыма́ш,ракъи
59,Träne::N,шинчавӱ́д,магӏу
60,Geschmack::N,там,тату
61,Geruch::N,пуш,махӏ
62,Schlaf::N,о́мо,макьу
63,Traum::N,йӱдо́мо,макьу
64,Himmel::N,кава́,зоб
65,Sonne::N,ке́че,бакъ
66,Mond::N,ты́лзе,моцӏ
67,Stern::N,шӱ́дыр,цӏва
68,Luft::N,юж,гьава
69,Wind::N,марде́ж,гьури
70,Welle::N,то́лкын,карачел
71,Wasser::N,вӱд,лъим
72,Stein::N,кӱ,гьецӏо
73,Boden::N,рок,ракь
74,Erde::N,мла́нде,ракь
75,Erde::N,мла́нде,дуниял
76,Staub::N,пура́к,хӏур
77,Rauch::N,шикш,кӏкӏуй
78,Funke::N,сеске́м,
79,Funke::N,тулйы́п,
80,Feuer::N,тул,цӏа
81,Licht::N,со́то,канлъи
82,Schatten::N,ӱ́мыл,рагӏад
83,Wetter::N,иге́че,гьава-бакъ
84,Nebel::N,тӱтыра́,гӏодобнакӏкӏ
85,Wolke::N,пыл,накӏкӏ
86,Regen::N,йӱр,цӏад
87,Schnee::N,лум,гӏазу
88,Eis::N,ий,цӏер
89,Frost::N,чатлама́,замгьари
90,Kälte::N,йӱ́штӧ,квач
91,Hitze::N,шо́кшо,багӏари
92,Raureif::N,пӧрш,мартӏ
93,Raureif::N,по́кшым,мартӏ
94,Regenbogen::N,шонанпы́л,нур
95,Regenbogen::N,шонанпы́л,чамбара
96,Donner::N,кӱ́дырчӧ,гъугъай
97,Donner::N,кӱ́дырчӧ,гъугъади
98,Strömung::N,йо́гын,чвахи
99,Tropfen::N,чӱча́лтыш,резел
100,Tropfen::N,чӱча́лтыш,тӏинкӏ
101,Tropfen::N,чӱча́лтыш,къатӏра
102,Tropfen::N,чӱча́лтыш,тӏенкӏел
103,Schaum::N,шоҥ,полоп
104,Schmutz::N,лавыра́,чороклъи
105,See::N,ер,хӏор
106,Sumpf::N,лӱ́кӧ,хьуцӏ
107,Moor::N,куп,
108,Wiese::N,о́лык,мегъ
109,Wiese::N,о́лык,гӏурдаллъи
110,Wald::N,чодыра́,рохь
111,Hügel::N,арка́,гохӏ
112,Anhöhe::N,тӧва́,сийитма
113,Anhöhe::N,кӱкшака́,сийитма
114,Berg::N,ку́рык,мегӏер
115,Gipfel::N,чаҥга́,тӏогь
116,Gipfel::N,курыкву́й,тӏогь
117,Höhle::N,пеще́р,нохъо
118,Höhle::N,курыкпо́мыш,нохъо
119,Abhang::N,та́йыл,лабаллъи
120,Quelle::N,важ,ицц
121,Quelle::N,вӱдшинча́,ицц
122,Bach::N,изэҥе́р,лъар
123,Fluss::N,эҥе́р,гӏор
124,Ufer::N,сер,рагӏал
125,Küste::N,вӱдтӱ́р,рагӏал
126,Festland::N,мла́нде,ракь
127,Festland::N,мла́нде,ракъдаллъи
128,Meer::N,те́ҥыз,ралъад
129,Bucht::N,икса́,кӏветӏ
130,Insel::N,отро́,чӏинкӏиллъи
131,Blume::N,пеле́дыш,тӏегь
132,Gras::N,шу́до,хер
