,Concept_ID,eu,kl
0,Auge::N,begi,isi
1,Ohr::N,belarri,siut
2,Nase::N,sudur,
3,Mund::N,aho,paaq
4,Mund::N,aho,qaneq
5,Zahn::N,hortz,kigut
6,Zunge::N,mihi,oqaq
7,Lippe::N,ezpain,qarloq
8,Wange::N,masail,ersaq
9,Gesicht::N,aurpegi,kiinaq
10,Stirn::N,bekoki,qaaq
11,Haar::N,ile,meqqoq
12,Haar::N,bilo,meqqoq
13,Schnurrbart::N,bibote,
14,Schnurrbart::N,sudurpeko,
15,Bart::N,bizar,umik
16,Kinn::N,kokots,talloq
17,Kiefer[Anatomie]::N,masailezur,alleroq
18,Kehle::N,eztarri,malaq
19,Hals::N,sama,qungaseq
20,Genick::N,garondo,pukusuk
21,Kopf::N,buru,niaqoq
22,Rücken::N,bizkar,qimerlut
23,Bauch::N,sabel,naaq
24,Nabel::N,zilbor,qalaseq
25,Busen::N,titi,iviangeq
26,Busen::N,ugatz,iviangeq
27,Brust::N,bular,iviangeq
28,Schulter::N,besaburu,ersik
29,Schulter::N,besaburu,assaqqoq
30,Arm::N,beso,taleq
31,Ellenbogen::N,ukondo,ikusik
32,Hand::N,esku,assak
33,Handfläche::N,ahur,itumak
34,Finger::N,hatz,inuak
35,Fingernagel::N,azazkal,kikiak
36,Nagel[Anatomie]::N,azazkal,kukik
37,Zeh::N,behatz,isigak
38,Fuß::N,oin,
39,Ferse::N,orpo,kimmik
40,Ferse::N,oinburu,kimmik
41,Knie::N,belaun,seeqqoq
42,Oberschenkel::N,izter,uppat
43,Oberschenkel::N,izter,quttoraq
44,Bein::N,zango,isigak
45,Körper::N,soin,timi
46,Haut::N,azal,mattak
47,Blut::N,odol,aak
48,Ader::N,zain,taqaq
49,Sehne::N,gihar-zain,ujalu
50,Sehne::N,gihar-zain,ujaloq
51,Knochen::N,hezur,saanikut
52,Gehirn::N,garun,qarasaq
53,Gehirn::N,burmuin,qarasaq
54,Herz::N,bihotz,uummat
55,Magen::N,urdail,aqajaroq
56,Leber::N,gibel,tinguk
57,Atem::N,hats,anerneq
58,Atem::N,arnasa,anerneq
59,Hunger::N,gose,kaanneq
60,Träne::N,malko,qia
61,Träne::N,malko,qiak
62,Geschmack::N,dasta,qilanaartuut
63,Geruch::N,usain,tipi
64,Geruch::N,usain,tipik
65,Schlaf::N,lo,
66,Traum::N,amets,sinnattoq
67,Traum::N,amets,sinnattugaq
68,Himmel::N,zeru,qilak
69,Sonne::N,eguzki,seqineq
70,Mond::N,ilargi,qaammat
71,Stern::N,izar,ulloriaq
72,Luft::N,aire,silaannaq
73,Wind::N,haize,anori
74,Wind::N,haize,anorsarik
75,Welle::N,uhin,aalappaa
76,Welle::N,olatu,aalappaa
77,Wasser::N,ur,imeq
78,Stein::N,harri,ujarak
79,Boden::N,lur,nateq
80,Boden::N,zoru,nateq
81,Erde::N,lur,issoq
82,Staub::N,hauts,pujualanerit
83,Staub::N,hauts,pujoralanerit
84,Rauch::N,ke,iseq
85,Rauch::N,ke,pujoq
86,Funke::N,zirta,illoorneq
87,Funke::N,txinparta,illoorneq
88,Feuer::N,su,inneq
89,Licht::N,argi,qaamaneq
90,Schatten::N,itzal,tarraq
91,Schatten::N,geriza,tarraq
92,Wetter::N,eguraldi,sila
93,Nebel::N,laino,pujoq
94,Wolke::N,hodei,nuia
95,Regen::N,euri,sialuk
96,Schnee::N,elur,aput
97,Eis::N,horma,siku
98,Frost::N,izotzaldi,issi
99,Frost::N,izotzaldi,issik
100,Kälte::N,hotz,issi
101,Hitze::N,bero,kianneq
102,Hitze::N,bero,kiassuseq
103,Raureif::N,antzigar,kaneq
104,Regenbogen::N,ostadar,neriusaaq
105,Regenbogen::N,ortzadar,neriusaaq
106,Donner::N,ostots,kalleq
107,Donner::N,ihurtzuri,kalleq
108,Strömung::N,laster,
109,Tropfen::N,xorta,kuseriarneq
110,Schaum::N,bits,qapuk
111,Schmutz::N,lohi,minguk
112,Schmutz::N,zikin,minguk
113,See::N,laku,taseq
114,See::N,aintzira,taseq
115,Sumpf::N,zingira,maqulluk
116,Moor::N,zohikaztegi,
117,Wiese::N,larre,masarsuk
118,Wiese::N,belardi,masarsuk
119,Wald::N,baso,
120,Wald::N,oihan,
121,Hügel::N,muino,qattuneq
122,Hügel::N,muino,majuariaq
123,Hügel::N,muino,majorajaaq
124,Hügel::N,muino,qaqqannguaq
125,Hügel::N,pentoka,qattuneq
126,Hügel::N,pentoka,majuariaq
127,Hügel::N,pentoka,majorajaaq
128,Hügel::N,pentoka,qaqqannguaq
129,Anhöhe::N,garai,
130,Anhöhe::N,goragune,
131,Berg::N,mendi,qaqqaq
132,Gipfel::N,gain,
133,Gipfel::N,tontor,
134,Höhle::N,kobazulo,qaarusuk
135,Abhang::N,aldapa,ippik
136,Abhang::N,aldapa,sivinganeq
137,Abhang::N,aldapa,sivingajaaq
138,Abhang::N,aldapa,kussangajaaq
139,Quelle::N,iturri,
140,Quelle::N,iturbegi,
141,Bach::N,lats,kuunnguaq
142,Bach::N,erreka,kuunnguaq
143,Fluss::N,ibai,kuuk
144,Fluss::N,uhaitz,kuuk
145,Ufer::N,bazter,sissap sinaa
146,Küste::N,itsasalde,sineriak
147,Festland::N,lehor,
148,Meer::N,itsaso,imaq
149,Bucht::N,golko,ikeq
150,Bucht::N,golko,kangerluk
151,Bucht::N,golko,kangerliumaneq
152,Insel::N,irla,qeqertaq
