,Concept_ID,,hy
0,Auge::N,,աչք
1,Ohr::N,,ականջ
2,Nase::N,,քիթ
3,Mund::N,,բերան
4,Zahn::N,,ատամ
5,Zunge::N,,լեզու
6,Lippe::N,,շրթունք
7,Wange::N,,այտ
8,Wange::N,,թուշ
9,Gesicht::N,,դեմք
10,Stirn::N,,ճակատ
11,Haar::N,,մազ
12,Schnurrbart::N,,բեղ
13,Bart::N,,մորուք
14,Kinn::N,,կզակ
15,Kiefer[Anatomie]::N,,ծնոտ
16,Kehle::N,,կոկորդ
17,Hals::N,,վիզ
18,Hals::N,,պարանոց
19,Genick::N,,ծոծրակ
20,Kopf::N,,գլուխ
21,Rücken::N,,մեջք
22,Bauch::N,,փոր
23,Bauch::N,,որովայն
24,Nabel::N,,պորտ
25,Busen::N,,ծոց
26,Brust::N,,կուրծք
27,Schulter::N,,ուս
28,Arm::N,,թեւ
29,Arm::N,,բազուկ
30,Ellenbogen::N,,արմունկ
31,Hand::N,,ձեռք
32,Handfläche::N,,ափ
33,Finger::N,,մատ
34,Fingernagel::N,,եղունգ
35,Nagel[Anatomie]::N,,եղունգ
36,Zeh::N,,ոտքի մատ
37,Fuß::N,,ոտք
38,Ferse::N,,գարշապար
39,Knie::N,,ծունկ
40,Oberschenkel::N,,ազդր
41,Bein::N,,ոտք
42,Körper::N,,մարմին
43,Haut::N,,մաշկ
44,Blut::N,,արյուն
45,Ader::N,,երակ
46,Sehne::N,,ջիղ
47,Sehne::N,,ձգտան
48,Knochen::N,,ոսկոր
49,Gehirn::N,,խելք
50,Herz::N,,սիրտ
51,Magen::N,,ստամոքս
52,Leber::N,,լյարդ
53,Atem::N,,շունչ
54,Hunger::N,,քաղց
55,Träne::N,,արտասուք
56,Geschmack::N,,համ
57,Geschmack::N,,բուրմունք
58,Geruch::N,,հոտ
59,Geruch::N,,բուրում
60,Schlaf::N,,քուն
61,Traum::N,,երազ
62,Himmel::N,,երկինք
63,Sonne::N,,արեւ
64,Mond::N,,լուսին
65,Stern::N,,աստղ
66,Luft::N,,օդ
67,Wind::N,,քամի
68,Welle::N,,ալիք
69,Wasser::N,,ջուր
70,Stein::N,,քար
71,Boden::N,,գետին
72,Erde::N,,հող
73,Staub::N,,փոշի
74,Rauch::N,,ծուխ
75,Funke::N,,կայծ
76,Feuer::N,,կրակ
77,Feuer::N,,հրդեհ
78,Licht::N,,լույս
79,Schatten::N,,ստվեր
80,Wetter::N,,եղանակ
81,Nebel::N,,մեգ
82,Nebel::N,,մառախուղ
83,Wolke::N,,ամպ
84,Regen::N,,անձրև
85,Schnee::N,,ձյուն
86,Eis::N,,սառույց
87,Frost::N,,սառնամանիք
88,Kälte::N,,դող
89,Hitze::N,,շոգ
90,Raureif::N,,ցօղեղեամ
91,Regenbogen::N,,ծիածան
92,Donner::N,,որոտ
93,Strömung::N,,հոսանք
94,Tropfen::N,,կաթիլ
95,Schaum::N,,փրփուր
96,Schmutz::N,,կեղտ
97,See::N,,լիճ
98,Sumpf::N,,ճահիճ
99,Moor::N,,ճահիճ
100,Wiese::N,,մարգագետին
101,Wald::N,,անտառ
102,Hügel::N,,բլուր
103,Anhöhe::N,,բարձունք
104,Berg::N,,լեռ
105,Gipfel::N,,գագաթ
106,Gipfel::N,,կատար
107,Höhle::N,,քարայր
108,Abhang::N,,լանջ
109,Abhang::N,,զառիվայր
110,Quelle::N,,աղբյուր
111,Bach::N,,վտակ
112,Fluss::N,,գետ
113,Ufer::N,,ծովափ
114,Küste::N,,ափ
115,Küste::N,,ծովափ
116,Festland::N,,ցամաք
117,Meer::N,,ծով
118,Bucht::N,,հաչիւն
119,Insel::N,,վղզի
120,Blume::N,,ծաղիկ
121,Gras::N,,խոտ
122,Wurzel::N,,արմատ
123,Baum::N,,ծառ
124,Stamm::N,,իրան
125,Rinde::N,,կեղեւ
126,Rinde::N,,հաչոց
127,Ast::N,,ճյուղ
128,Zweig::N,,ճյուղ
129,Blatt::N,,տերեւ
130,Birke::N,,ցարասի
131,Kiefer[Baum]::N,,սոճի
132,Weide[Baum]::N,,ուռենի
133,Tanne::N,,եղեւին
134,Feder::N,,փետուր
135,Fell::N,,մորթի
136,Flügel::N,,թեւ
137,Klaue::N,,չանչ
138,Kralle::N,,ճանկ
139,Schwanz::N,,պոչ
140,Ei::N,,ձու
141,Nest::N,,բույն
142,Bau::N,,որջ
143,Bau::N,,բայոց
144,Tier::N,,կենդանի
145,Herde::N,,հոտ
146,Kuh::N,,կով
147,Bulle::N,,ցուլ
148,Pferd::N,,ձի
149,Schaf::N,,ոչխար
150,Schwein::N,,խոզ
151,Hund::N,,շուն
152,Katze::N,,կատու
153,Bär::N,,արջ
154,Eichhörnchen::N,,սկյուռ
155,Elch::N,,հիւսիսային եղջերու
156,Fuchs::N,,աղվես
157,Hase::N,,նապաստակ
158,Maus::N,,մուկ
159,Wolf::N,,գայլ
160,Vogel::N,,թռչուն
161,Schwarm::N,,երամ
162,Huhn::N,,հավ
163,Hahn::N,,աքաղաղ
164,Gans::N,,սագ
165,Adler::N,,արծիվ
166,Ente::N,,բադ
167,Eule::N,,բու
168,Kranich::N,,կռունկ
169,Krähe::N,,ագռավ
170,Kuckuck::N,,կուկու
171,Schwan::N,,կարապ
172,Fisch::N,,ձուկ
173,Barsch::N,,պերկես
174,Hecht::N,,գայլաձուկ
175,Schlange[Tier]::N,,օձ
176,Wurm::N,,որդ
177,Wurm::N,,ճիճու
178,Spinne::N,,սարդ
179,Ameise::N,,միջյուն
180,Laus::N,,ոջիլ
181,Mücke::N,,մժղուկ
182,Fliege::N,,ճանճ
183,Schmetterling::N,,թիթեռ
184,Beere::N,,հատապտուղ
185,Apfel::N,,խնձոր
186,Pilz::N,,սունկ
187,Zwiebel::N,,սոխ
188,Saat::N,,սերմ
189,Korn::N,,հատիկ
190,Heu::N,,խոտ
191,Schale::N,,կեղեւ
192,Grube::N,,փոս
193,Falle::N,,ծուղակ
194,Schlinge::N,,խեղդան
195,Spur::N,,հետք
196,Asche::N,,մոխիր
197,Dreck::N,,աղտ
198,Eisen::N,,երկաթ
199,Gold::N,,ոսկի
200,Silber::N,,արծաթ
201,Kohle::N,,քարածուխ
202,Glas::N,,ապակի
203,Lehm::N,,կավ
204,Sand::N,,ավազ
205,Mensch::N,,մարդ
206,Mann::N,,մարդ
207,Mann::N,,տղամարդ
208,Frau::N,,կին
209,Kind::N,,զավակ
210,Junge::N,,տղա
211,Mädchen::N,,աղջիկ
212,Familie::N,,ընտանիք
213,Großvater::N,,պապ
214,Großmutter::N,,տատ
215,Eltern::N,,ծնողներ
216,Vater::N,,հայր
217,Mutter::N,,մայր
218,Sohn::N,,որդի
219,Tochter::N,,աղջիկ
220,Tochter::N,,դուստր
221,Bruder::N,,եղբայր
222,Schwester::N,,քույր
223,Onkel::N,,քեռի
224,Onkel::N,,հորեղբայր
225,Tante::N,,մորաքույր
226,Ehemann::N,,մարդ
227,Ehemann::N,,ամուսին
228,Ehefrau::N,,կին ամուսին
229,Freude::N,,ուրախություն
230,Gelächter::N,,ծիծաղ
231,Glück::N,,երջանկություն
232,Kummer::N,,վիշտ
233,Wunsch::N,,ցանկություն
234,Lust::N,,փափագ
235,Lust::N,,իղձ
236,Geist::N,,ոգի
237,Gedanke::N,,միտք
238,Gedächtnis::N,,հիշողություն
239,Verstand::N,,խելք
240,Sinn::N,,իմաստ
241,Grund::N,,պատճառ
242,Wahrheit::N,,ճշմարտություն
243,Gespräch::N,,զրույց
244,Märchen::N,,պայիկի պատմություն
245,Erzählung::N,,պատմվածք
246,Erzählung::N,,պատմություն
247,Nachricht::N,,հաղորդագրություն
248,Neuigkeit::N,,լուր
249,Neuigkeit::N,,նորություն
250,Name::N,,անուն
251,Rätsel::N,,բարդ խնդիր
252,Rede::N,,ճառ
253,Rede::N,,ելույթ
254,Sprache::N,,լեզու
255,Stimme::N,,ձայն
256,Wort::N,,բառ
257,Zeichen::N,,նշան
258,Ruf::N,,կոչ
259,Ruf::N,,կանչ
260,Lärm::N,,աղմուկ
261,Laut::N,,հնչյուն
262,Laut::N,,ձայն
263,Ton::N,,տոն
264,Lied::N,,երգ
265,Ruhe::N,,անդորրություն
266,Leute::N,,մարդիկ
267,Volk::N,,ազգ
268,Arbeit::N,,գործ
269,Arbeit::N,,աշխատանք
270,Gast::N,,հյուր
271,Geschenk::N,,նվեր
272,Spiel::N,,խաղ
273,Gesellschaft::N,,ընկերություն
274,Hilfe::N,,օգնությթուն
275,Freund::N,,ընկեր
276,Freund::N,,բարեկամ
277,Kamerad::N,,ուղեկից
278,Angelegenheit::N,,բան
279,Angelegenheit::N,,գործ
280,Anzahl::N,,քանակ
281,Anzahl::N,,գումար
282,Art::N,,տեսակ
283,Stück::N,,կտոր
284,Teil::N,,մաս
285,Hälfte::N,,կես
286,Kreis::N,,շիջանակ
287,Kreuz::N,,խաչ
288,Linie::N,,գիծ
289,Strich::N,,գիծ
290,Abstand::N,,անջրպետ
291,Entfernung::N,,հեռավորություն
292,Gegend::N,,շրջան
293,Platz::N,,տարածություն
294,Ort::N,,տեղ
295,Ort::N,,վայր
296,Seite::N,,կողմ
297,Mitte::N,,մեջտեղ
298,Gegenstand::N,,առարկա
299,Sache::N,,բան
300,Rand::N,,վերջք
301,Kante::N,,եզր
302,Ecke::N,,անկյուն
303,Spitze::N,,ծայր
304,Ende::N,,ծայր
305,Loch::N,,անցք
306,Winkel::N,,անկյուն
307,Muster::N,,օրինակ
308,Größe::N,,մեծություն
309,Länge::N,,երկարություն
310,Höhe::N,,բարձրություն
311,Gewicht::N,,կշիռ
312,Menge::N,,քանակ
313,Haufen::N,,դեզ
314,Haufen::N,,կույտ
315,Reihe::N,,շարք
316,Reihe::N,,կարգ
317,Boot::N,,նավակ
318,Ruder::N,,թի
319,Ruder::N,,թիակ
320,Schlitten::N,,բալխիր
321,Ski::N,,դահուկ
322,Lagerfeuer::N,,բացօդեայ կրակ
323,Last::N,,բեռ
324,Gang::N,,զբոսանք
325,Schritt::N,,քայլ
326,Norden::N,,հյուսիս
327,Süden::N,,հարավ
328,Westen::N,,արեւմուտք
329,Osten::N,,արեւելք
330,Holz::N,,փայտ
331,Brett::N,,տախտակ
332,Platte::N,,թիթեղ
333,Stütze::N,,նեցուկ
334,Stange::N,,ձող
335,Stock::N,,փայտ
336,Stab::N,,ցուպ
337,Stab::N,,գավազան
338,Rohr::N,,խողովակ
339,Haus::N,,տուն
340,Heim::N,,տուն
341,Ofen::N,,վառարան
342,Fußboden::N,,հատակ
343,Tisch::N,,սեղան
344,Stuhl::N,,աթոռ
345,Wiege::N,,օրորոց
346,Bett::N,,անկողին
347,Regal::N,,դարակ
348,Kiste::N,,տուփ
349,Fenster::N,,պատուհան
350,Tür::N,,դուռ
351,Tor::N,,դարպաս
352,Zaun::N,,ցանկապատ
353,Dach::N,,տանիք
354,Dach::N,,կտուր
355,Leiter::N,,սանդուղք
356,Besen::N,,ավել
357,Spaten::N,,բահ
358,Schaufel::N,,թի
359,Gabel::N,,պատառաքաղ
360,Löffel::N,,գդալ
361,Messer::N,,դանակ
362,Nagel::N,,մեխ
363,Netz::N,,ցանց
364,Haken::N,,կարթ
365,Griff::N,,կոթ
366,Griff::N,,բռնակ
367,Schloss::N,,կողպեք
368,Bild::N,,նկար
369,Bild::N,,պատկեր
370,Figur::N,,քանդակ
371,Figur::N,,պատկեր
372,Puppe::N,,տիկնիկ
373,Beutel::N,,տոպրակ
374,Bündel::N,,կապոց
375,Tasche::N,,պայուսակ
376,Eimer::N,,դույլ
377,Deckel::N,,կափարիչ
378,Geschirr::N,,ամանեղեն
379,Sack::N,,պարկ
380,Sack::N,,տոպրակ
381,Tasse::N,,թաս
382,Tasse::N,,գավաթ
383,Topf::N,,անոթ
384,Kessel::N,,կաթսա
385,Essen::N,,կերակուր
386,Nahrung::N,,ուտելիք
387,Speise::N,,խորտիկ
388,Speise::N,,կերակուր
389,Fleisch::N,,միս
390,Getreide::N,,հացահատիկ
391,Brei::N,,լանդակ
392,Brot::N,,հաց
393,Scheibe::N,,կտոր
394,Scheibe::N,,պատառ
395,Fett::N,,ճարպ
396,Butter::N,,կարագ
397,Öl::N,,ձեթ
398,Salz::N,,աղ
399,Suppe::N,,սուպ
400,Suppe::N,,ապուր
