,Concept_ID,zh,hy
0,Auge::N,眼睛,աչք
1,Ohr::N,耳朵,ականջ
2,Nase::N,鼻子,քիթ
3,Mund::N,嘴,բերան
4,Zahn::N,牙齿,ատամ
5,Zunge::N,舌头,լեզու
6,Lippe::N,嘴唇,շրթունք
7,Wange::N,面颊,այտ
8,Wange::N,面颊,թուշ
9,Gesicht::N,脸,դեմք
10,Stirn::N,额,ճակատ
11,Haar::N,头发,մազ
12,Schnurrbart::N,髭须,բեղ
13,Bart::N,胡子,մորուք
14,Kinn::N,下巴,կզակ
15,Kiefer[Anatomie]::N,颌,ծնոտ
16,Kehle::N,嗓子,կոկորդ
17,Hals::N,颈,վիզ
18,Hals::N,颈,պարանոց
19,Genick::N,后颈,ծոծրակ
20,Kopf::N,头,գլուխ
21,Rücken::N,背,մեջք
22,Bauch::N,肚子,փոր
23,Bauch::N,肚子,որովայն
24,Nabel::N,肚脐,պորտ
25,Busen::N,胸脯,ծոց
26,Brust::N,胸,կուրծք
27,Schulter::N,肩膀,ուս
28,Arm::N,臂膀,թեւ
29,Arm::N,臂膀,բազուկ
30,Ellenbogen::N,肘,արմունկ
31,Hand::N,手,ձեռք
32,Handfläche::N,手掌,ափ
33,Finger::N,手指,մատ
34,Fingernagel::N,指甲,եղունգ
35,Nagel[Anatomie]::N,指甲,եղունգ
36,Zeh::N,脚趾,ոտքի մատ
37,Fuß::N,脚,ոտք
38,Ferse::N,后跟,գարշապար
39,Knie::N,膝,ծունկ
40,Oberschenkel::N,大腿,ազդր
41,Bein::N,腿,ոտք
42,Körper::N,身体,մարմին
43,Haut::N,皮肤,մաշկ
44,Blut::N,血,արյուն
45,Ader::N,血管,երակ
46,Sehne::N,腱,ջիղ
47,Sehne::N,腱,ձգտան
48,Knochen::N,骨,ոսկոր
49,Gehirn::N,脑,խելք
50,Herz::N,心,սիրտ
51,Magen::N,胃,ստամոքս
52,Leber::N,肝,լյարդ
53,Atem::N,呼吸,շունչ
54,Hunger::N,饿,քաղց
55,Träne::N,眼泪,արտասուք
56,Geschmack::N,味道,համ
57,Geschmack::N,味道,բուրմունք
58,Geruch::N,气味,հոտ
59,Geruch::N,气味,բուրում
60,Schlaf::N,睡眠,քուն
61,Traum::N,梦,երազ
62,Himmel::N,天空,երկինք
63,Sonne::N,太阳,արեւ
64,Mond::N,月亮,լուսին
65,Stern::N,星,աստղ
66,Luft::N,空气,օդ
67,Wind::N,风,քամի
68,Welle::N,波,ալիք
69,Wasser::N,水,ջուր
70,Stein::N,石头,քար
71,Boden::N,地面,գետին
72,Erde::N,地,հող
73,Staub::N,灰尘,փոշի
74,Rauch::N,烟,ծուխ
75,Funke::N,火花,կայծ
76,Feuer::N,火,կրակ
77,Feuer::N,火,հրդեհ
78,Licht::N,光,լույս
79,Schatten::N,影子,ստվեր
80,Wetter::N,天气,եղանակ
81,Nebel::N,雾,մեգ
82,Nebel::N,雾,մառախուղ
83,Wolke::N,云,ամպ
84,Regen::N,雨,անձրև
85,Schnee::N,雪,ձյուն
86,Eis::N,冰,սառույց
87,Frost::N,霜冻,սառնամանիք
88,Kälte::N,寒冷,դող
89,Hitze::N,炎热,շոգ
90,Raureif::N,霜,ցօղեղեամ
91,Regenbogen::N,虹,ծիածան
92,Donner::N,雷,որոտ
93,Strömung::N,水流,հոսանք
94,Tropfen::N,滴,կաթիլ
95,Schaum::N,泡沫,փրփուր
96,Schmutz::N,赃物,կեղտ
97,See::N,湖,լիճ
98,Sumpf::N,沼泽,ճահիճ
99,Moor::N,沼泽,ճահիճ
100,Wiese::N,草地,մարգագետին
101,Wald::N,森林,անտառ
102,Hügel::N,丘陵,բլուր
103,Anhöhe::N,山丘,բարձունք
104,Berg::N,山,լեռ
105,Gipfel::N,峰,գագաթ
106,Gipfel::N,峰,կատար
107,Höhle::N,洞穴,քարայր
108,Abhang::N,斜坡,լանջ
109,Abhang::N,斜坡,զառիվայր
110,Quelle::N,泉,աղբյուր
111,Bach::N,溪,վտակ
112,Fluss::N,河流,գետ
113,Ufer::N,岸,ծովափ
114,Küste::N,海岸,ափ
115,Küste::N,海岸,ծովափ
116,Festland::N,大陆,ցամաք
117,Meer::N,海,ծով
118,Bucht::N,海湾,հաչիւն
119,Insel::N,岛,վղզի
120,Blume::N,花,ծաղիկ
121,Gras::N,草,խոտ
122,Wurzel::N,根,արմատ
123,Baum::N,树,ծառ
124,Stamm::N,树干,իրան
125,Rinde::N,树皮,կեղեւ
126,Rinde::N,树皮,հաչոց
127,Ast::N,树枝,ճյուղ
128,Zweig::N,树枝,ճյուղ
129,Blatt::N,叶子,տերեւ
130,Birke::N,桦木,ցարասի
131,Kiefer[Baum]::N,松树,սոճի
132,Weide[Baum]::N,柳树,ուռենի
133,Tanne::N,冷杉,եղեւին
134,Horn::N,角,
135,Feder::N,羽毛,փետուր
136,Fell::N,皮毛,մորթի
137,Flügel::N,翅膀,թեւ
138,Klaue::N,爪子,չանչ
139,Kralle::N,爪子,ճանկ
140,Schwanz::N,尾巴,պոչ
141,Ei::N,蛋,ձու
142,Nest::N,巢,բույն
143,Bau::N,穴,որջ
144,Bau::N,穴,բայոց
145,Tier::N,动物,կենդանի
146,Herde::N,群,հոտ
147,Kuh::N,母牛,կով
148,Bulle::N,公牛,ցուլ
149,Pferd::N,马,ձի
150,Schaf::N,羊,ոչխար
151,Schwein::N,猪,խոզ
152,Hund::N,狗,շուն
153,Katze::N,猫,կատու
154,Bär::N,熊,արջ
155,Eichhörnchen::N,松鼠,սկյուռ
156,Elch::N,麋鹿,հիւսիսային եղջերու
157,Fuchs::N,狐狸,աղվես
158,Hase::N,兔子,նապաստակ
159,Maus::N,老鼠,մուկ
160,Wolf::N,狼,գայլ
161,Vogel::N,鸟,թռչուն
162,Schwarm::N,群,երամ
163,Huhn::N,鸡,հավ
164,Hahn::N,公鸡,աքաղաղ
165,Gans::N,鹅,սագ
166,Adler::N,鹰,արծիվ
167,Ente::N,鸭,բադ
168,Eule::N,猫头鹰,բու
169,Kranich::N,鹤,կռունկ
170,Krähe::N,乌鸦,ագռավ
171,Kuckuck::N,布谷鸟,կուկու
172,Schwan::N,天鹅,կարապ
173,Fisch::N,鱼,ձուկ
174,Barsch::N,鲈鱼,պերկես
175,Hecht::N,狗鱼,գայլաձուկ
176,Schlange[Tier]::N,蛇,օձ
177,Wurm::N,蠕虫,որդ
178,Wurm::N,蠕虫,ճիճու
179,Spinne::N,蜘蛛,սարդ
180,Ameise::N,蚂蚁,միջյուն
181,Laus::N,虱子,ոջիլ
182,Mücke::N,蚊子,մժղուկ
183,Fliege::N,苍蝇,ճանճ
184,Schmetterling::N,蝴蝶,թիթեռ
185,Beere::N,将果,հատապտուղ
186,Apfel::N,苹果,խնձոր
187,Pilz::N,蘑菇,սունկ
188,Zwiebel::N,洋葱,սոխ
189,Saat::N,种子,սերմ
190,Korn::N,谷粒,հատիկ
191,Heu::N,干草,խոտ
192,Schale::N,壳,կեղեւ
193,Grube::N,坑,փոս
194,Falle::N,圈套,ծուղակ
195,Schlinge::N,活扣,խեղդան
196,Spur::N,踪迹,հետք
197,Asche::N,灰烬,մոխիր
198,Dreck::N,污垢,աղտ
199,Eisen::N,铁,երկաթ
200,Gold::N,金子,ոսկի
201,Silber::N,银,արծաթ
202,Kohle::N,煤,քարածուխ
203,Glas::N,玻璃,ապակի
204,Lehm::N,粘土,կավ
205,Sand::N,沙,ավազ
206,Mensch::N,人,մարդ
207,Mann::N,男子,մարդ
208,Mann::N,男子,տղամարդ
209,Frau::N,妇女,կին
210,Kind::N,小孩,զավակ
211,Junge::N,男孩,տղա
212,Mädchen::N,女孩,աղջիկ
213,Familie::N,家庭,ընտանիք
214,Großvater::N,祖父,պապ
215,Großmutter::N,祖母,տատ
216,Eltern::N,父母,ծնողներ
217,Vater::N,父亲,հայր
218,Mutter::N,母亲,մայր
219,Sohn::N,儿子,որդի
220,Tochter::N,女儿,աղջիկ
221,Tochter::N,女儿,դուստր
222,Bruder::N,兄弟,եղբայր
223,Schwester::N,姐妹,քույր
224,Onkel::N,伯父,քեռի
225,Onkel::N,伯父,հորեղբայր
226,Tante::N,阿姨,մորաքույր
227,Ehemann::N,丈夫,մարդ
228,Ehemann::N,丈夫,ամուսին
229,Ehefrau::N,妻子,կին ամուսին
230,Freude::N,愉快,ուրախություն
231,Gelächter::N,大笑,ծիծաղ
232,Glück::N,运气,երջանկություն
233,Kummer::N,苦恼,վիշտ
234,Wunsch::N,愿望,ցանկություն
235,Lust::N,乐趣,փափագ
236,Lust::N,乐趣,իղձ
237,Geist::N,精神,ոգի
238,Gedanke::N,思想,միտք
239,Gedächtnis::N,记性,հիշողություն
240,Verstand::N,理智,խելք
241,Sinn::N,感觉,իմաստ
242,Grund::N,理由,պատճառ
243,Wahrheit::N,真理,ճշմարտություն
244,Gespräch::N,谈话,զրույց
245,Märchen::N,童话,պայիկի պատմություն
246,Erzählung::N,故事,պատմվածք
247,Erzählung::N,故事,պատմություն
248,Nachricht::N,消息,հաղորդագրություն
249,Neuigkeit::N,新闻,լուր
250,Neuigkeit::N,新闻,նորություն
251,Name::N,名字,անուն
252,Rätsel::N,谜语,բարդ խնդիր
253,Rede::N,讲话,ճառ
254,Rede::N,讲话,ելույթ
255,Sprache::N,语言,լեզու
256,Stimme::N,声音,ձայն
257,Wort::N,词,բառ
258,Zeichen::N,标记,նշան
259,Ruf::N,呼喊,կոչ
260,Ruf::N,呼喊,կանչ
261,Lärm::N,噪音,աղմուկ
262,Laut::N,响声,հնչյուն
263,Laut::N,响声,ձայն
264,Ton::N,声音,տոն
265,Lied::N,歌曲,երգ
266,Ruhe::N,安静,անդորրություն
267,Leute::N,人们,մարդիկ
268,Volk::N,人民,ազգ
269,Arbeit::N,劳动,գործ
270,Arbeit::N,劳动,աշխատանք
