,Concept_ID,ady,myv
0,Auge::N,нэ,сельме
1,Ohr::N,тхьакӏу́м,пиле
2,Nase::N,пэ,судо
3,Mund::N,жэ,курго
4,Zahn::N,цэ,пей
5,Zunge::N,бзэгу,кель
6,Lippe::N,ӏупшӏэ́,турва
7,Wange::N,нэкӏу́шъу,чамабока
8,Wange::N,нэкӏу́шъу,чамаумарь
9,Gesicht::N,нэ́гу,чама
10,Stirn::N,натӏэ́,коня
11,Haar::N,шъхьацы́,черь
12,Bart::N,жакӏэ́,сакал
13,Kinn::N,жэкӏэпэпкъ,уло
14,Kiefer[Anatomie]::N,жэпкъы́,пейпакар
15,Kiefer[Anatomie]::N,жэпкъы́,пейловажа
16,Kehle::N,чый,кирьгапарь
17,Hals::N,пшъэ,кирьга
18,Genick::N,шъхьэпхэтыку,човонь
19,Kopf::N,шъхьэ́,пря
20,Rücken::N,кӏыбы́,копорь
21,Bauch::N,ныбэ́,пеке
22,Busen::N,бгъэ́,поте
23,Brust::N,бгъэ́,меште
24,Schulter::N,блыпкъ,лавтов
25,Arm::N,ӏэ,кедь
26,Ellenbogen::N,ӏэнтэ́гъу,кенерепакарь
27,Hand::N,ӏэтхьэцу,кедь
28,Handfläche::N,ӏэ́гу,кедькуншка
29,Handfläche::N,ӏэ́гу,кедьлапушка
30,Finger::N,ӏэхъуа́мб,сур
31,Fingernagel::N,ӏэбжъа́н,кенже
32,Nagel[Anatomie]::N,ӏэбжъа́н,кенже
33,Zeh::N,ӏэхъуа́мб,пильге сур
34,Fuß::N,лъэгу,пильге
35,Ferse::N,лъэдакъэ,кочкаря
36,Knie::N,лъагуа́ндж,эле
37,Knie::N,лъагуа́ндж,эзне
38,Knie::N,лъагуа́ндж,кумажа
39,Oberschenkel::N,ко,качо
40,Bein::N,лъакъо́,пильге
41,Körper::N,пкъышъол,рунго
42,Haut::N,кӏы́шъу,киське
43,Blut::N,лъы,верь
44,Ader::N,льытф,сан
45,Sehne::N,фэ,коське сан
46,Knochen::N,къупшъхьэ́,пакарь
47,Gehirn::N,куцӏы,удем
48,Herz::N,гу,седей
49,Magen::N,мышкӏу,пеке
50,Leber::N,шӏу,максо
51,Atem::N,къэщэныр,лексема
52,Atem::N,къэщэныр,оймень таргсема
53,Hunger::N,гъаблэ́,вачочи
54,Träne::N,нэпсы,селведь
55,Geschmack::N,ӏэшӏугъа́кӏ,тансть
56,Geruch::N,мэ,чине
57,Schlaf::N,пчыхьы́пӏ,удома
58,Traum::N,пчыхьы́пӏ,он
59,Himmel::N,уашъо́,менель
60,Sonne::N,тыгъэ,чи
61,Mond::N,мазэ,ков
62,Stern::N,жъуагъо́,теште
63,Luft::N,жьы,кошт
64,Wind::N,жьыбгъэ́,варма
65,Welle::N,ор,толкун
66,Welle::N,оры,толкун
67,Wasser::N,псы,ведь
68,Stein::N,мыжъо́,кев
69,Boden::N,чӏ́ыгу,мода
70,Erde::N,чӏ́ыгу,мастор
71,Staub::N,сап,пуль
72,Rauch::N,ӏугъо́,качамо
73,Funke::N,мэшӏуа́ч,сятко
74,Feuer::N,машӏо́,тол
75,Licht::N,нэфы,валдо
76,Licht::N,нэфын,валдо
77,Schatten::N,жьау́,сулей
78,Schatten::N,жьау́,сулейкс
79,Schatten::N,ныбжьыкъу,сулей
80,Schatten::N,ныбжьыкъу,сулейкс
81,Nebel::N,пща́гъу,сув
82,Wolke::N,ошъуапщэ,пель
83,Regen::N,ощхы,пиземс
84,Schnee::N,осы́,лов
85,Eis::N,мылы,эй
86,Kälte::N,чъыӏэ́,якшамо
87,Hitze::N,фэба́е,пси
88,Regenbogen::N, лэгъупэкъо́пс,пурьгинечирьке
89,Regenbogen::N, лэгъупэкъо́пс,пурьгинеёнкс
90,Donner::N,шыблэ́,пурьгине
91,Strömung::N,ток,чудема
92,Strömung::N,ток,чудевкс
93,Tropfen::N,ткӏопс,петнявкс
94,Tropfen::N,гъуаткӏу,петнявкс
95,Schaum::N,тхъурбэ,чов
96,Schmutz::N,псынжъы,рудаз
97,See::N,хыку́м,эрьке
98,See::N,псыхъура́й,эрьке
99,Sumpf::N,орыжъ,чей
100,Moor::N,орыжъ,чей
101,Wiese::N,хъупӏэ́,луга
102,Wiese::N,мэкъупӏ,луга
103,Wald::N,мэзы́,вирь
104,Hügel::N,ӏуашъхь,губорь
105,Hügel::N,ӏуашъхь,пандыне
106,Anhöhe::N,чӏыӏэтыгъ,губорь
107,Anhöhe::N,чӏыӏэтыгъ,пандыне
108,Berg::N,къушъхьэ́,пандо
109,Gipfel::N,шыгу,пря
110,Höhle::N,гъочӏэгъ,пещера
111,Abhang::N,чапэ,пандочама
112,Quelle::N,псынэчэ́чъ,ушодкс
113,Bach::N,псышкуашку,чудикерькс
114,Fluss::N,псыхъо́,лей
115,Ufer::N,нэпкъы,чире
116,Küste::N,ӏушъо,лейчире
117,Festland::N,чӏл́ыгу,мода
118,Meer::N,хы,моря
119,Bucht::N,хыблыгу,усия
120,Insel::N,хыгъэхъу́н,усия
121,Blume::N,къэгъа́гь,цеця
122,Gras::N,уцы́,тикше
123,Wurzel::N,лъапсэ́,юр
124,Wurzel::N,лъапсэ́,ундокс
125,Baum::N,чъыгы́,чувто
126,Stamm::N,пкъы,рунго
127,Rinde::N,пхъашъо́,суд
128,Rinde::N,пхъашъо́,керь
129,Ast::N,куамэ,морго
130,Zweig::N,къутамэ́,тарад
131,Blatt::N,тхьап,лопа
