,Concept_ID,mn,en
0,Auge::N,нүд,eye
1,Ohr::N,чих,ear
2,Nase::N,хамар,nose
3,Mund::N,ам,mouth
4,Zahn::N,шүд,tooth
5,Zunge::N,хэл,tongue
6,Lippe::N,уруул,lip
7,Wange::N,хацар,cheek
8,Gesicht::N,царай,face
9,Gesicht::N,нүүр,face
10,Stirn::N,дух,forehead
11,Haar::N,үс,hair
12,Schnurrbart::N,дээд сахал,moustache
13,Schnurrbart::N,живэр сахал,moustache
14,Bart::N,сахал,beard
15,Kinn::N,эрүү,chin
16,Kiefer[Anatomie]::N,эрүү,jaw
17,Kehle::N,хоолой,throat
18,Hals::N,хүзүү,neck
19,Genick::N,шил,nape
20,Genick::N,хүзүү,nape
21,Kopf::N,толгой,head
22,Rücken::N,ар,back
23,Rücken::N,ар,spine
24,Rücken::N,нуруу,back
25,Rücken::N,нуруу,spine
26,Bauch::N,хэвлий,belly
27,Bauch::N,гэдэс,belly
28,Nabel::N,хүйс,navel
29,Busen::N,хөх,bosom
30,Brust::N,цээж,chest
31,Brust::N,цээж,breast
32,Schulter::N,мөр,shoulder
33,Schulter::N,бугалга,shoulder
34,Arm::N,гар,arm
35,Ellenbogen::N,тохой,elbow
36,Hand::N,гар,hand
37,Hand::N,алга,hand
38,Handfläche::N,алга,palm
39,Finger::N,хуруу,finger
40,Fingernagel::N,хурууны хумс,fingernail
41,Nagel[Anatomie]::N,хумс,nail
42,Zeh::N,хуруу,toe
43,Fuß::N,хөл,foot
44,Ferse::N,өсгий,heel
45,Knie::N,өвдөг,knee
46,Oberschenkel::N,гуя,thigh
47,Bein::N,хөл,leg
48,Körper::N,бие,body
49,Haut::N,арьс,skin
50,Blut::N,цус,blood
51,Ader::N,судас,vein
52,Sehne::N,бүлх,sinew
53,Sehne::N,шандас,sinew
54,Knochen::N,яс,bone
55,Gehirn::N,тархи,brain
56,Herz::N,зүрх,heart
57,Magen::N,ходоод,stomach
58,Leber::N,элэг,liver
59,Atem::N,амьсгаа,breath
