,Concept_ID,ba,mdf
0,Auge::N,күҙ,сельме
1,Ohr::N,ҡолаҡ,пиле
2,Nase::N,танау,шалхка
3,Mund::N,ауыҙ,курга
4,Zahn::N,теш,пей
5,Zunge::N,тел,кяль
6,Lippe::N,ирен,търва́
7,Wange::N,яцаҡтар,щёка
8,Gesicht::N,бит,шама
9,Stirn::N,маңлай,коня
10,Haar::N,сәс,шя́ярь
11,Schnurrbart::N,мылтыҡ,уса́
12,Bart::N,һаҡал,сакал
13,Kinn::N,эйэк,ула
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,саласка
15,Kehle::N,тамаҡ,кълдома
16,Kehle::N,тамаҡ,кърга́парь
17,Hals::N,муйын,сялдаз
18,Genick::N,соңҡа,шовонь
19,Kopf::N,баш,пря
20,Rücken::N,арҡа,копорь
21,Bauch::N,ҡорһаҡ,пеке
22,Nabel::N,кендек,по́кон
23,Busen::N,күкрәк,потя
24,Brust::N,түш,мяште
25,Schulter::N,яурын,лафту
26,Arm::N,ҡул,кядь
27,Ellenbogen::N,терһәк,кенерьба́карь
28,Hand::N,ҡул,кядь
29,Hand::N,ҡул суғы,кядь
30,Handfläche::N,ус төбө,кядьлапш
31,Finger::N,бармаҡ,сур
32,Fingernagel::N,тырнаҡ,кенже
33,Nagel[Anatomie]::N,тырнаҡ,кенже
34,Zeh::N,бармаҡ,пильгосу́р
35,Fuß::N,табан,пильге
36,Fuß::N,табан,пильгелапа
37,Ferse::N,үксә,кочкяря
38,Knie::N,тубыҡ,эль
39,Knie::N,тубыҡ,пълма́нжа
40,Oberschenkel::N,сандыр,пильгепукша
41,Bein::N,аяҡ,пильге
42,Körper::N,тән,ро́нга
43,Körper::N,тән,по́нда
44,Haut::N,тире,киське
45,Blut::N,ҡан,вер
46,Ader::N,тамыр,сан
47,Ader::N,тамыр,верза́н
48,Sehne::N,һеңер,коське сан
49,Sehne::N,тарамыш,коське сан
50,Knochen::N,һойәк,пакарь
51,Gehirn::N,мейе,уй
52,Herz::N,йорәк,седи
53,Magen::N,ашҡаҙан,коткърдазь
54,Leber::N,бауыр,макса
55,Atem::N,һулыш,лекома
56,Atem::N,һулыш,ваймонь тарксема
57,Hunger::N,аслыҡ,вачеши
58,Träne::N,күҙ иәше,сельмове́дь
59,Geschmack::N,тәм,таньф
60,Geruch::N,еҫ,шине
61,Schlaf::N,йоҡлау,удома́
62,Traum::N,төш,он
63,Himmel::N,күк,менель
64,Sonne::N,ҡояш,ши
65,Mond::N,ай,ков
66,Stern::N,йондоҙ,тяште
67,Luft::N,һауа,кожф
68,Wind::N,ел,варма
69,Welle::N,тулҡын,тавла
70,Wasser::N,һыу,ведь
71,Stein::N,таш,кев
72,Boden::N,тупраҡ,мода
73,Boden::N,тупраҡ,потмакс
74,Erde::N,балсҡ,мода
75,Erde::N,балсҡ,мастор
76,Staub::N,туҙан,пуль
77,Rauch::N,төтөн,качам
78,Funke::N,осҡон,ця́тка
79,Feuer::N,ут,тол
80,Licht::N,яҡтылыҡ,ва́лда
81,Schatten::N,күләгә,цильф
82,Wetter::N,һауа торошо,уша
83,Nebel::N,төман,тума́н
84,Wolke::N,болот,ковол
85,Regen::N,ямғыр,пизем
86,Schnee::N,ҡар,лов
87,Eis::N,боҙ,эй
88,Frost::N,һалҡын,ке́льме
89,Kälte::N,һыуыҡ,якшама
90,Hitze::N,томра,пси
91,Hitze::N,эҫелек,пси
92,Raureif::N,ҡырау,леш
93,Regenbogen::N,йәйғор,а́тямъёнга
94,Donner::N,күк күкрәү,атям
95,Strömung::N,ағым,шудема́
96,Tropfen::N,тамсы,путькс
97,Tropfen::N,тамсы,пътняфкс
98,Schaum::N,күбек,шов
99,Schmutz::N,батҡаҡ,ърда́з
100,See::N,күл,эрьхке
101,Sumpf::N,һаҙлык,шяй
102,Moor::N,һаҙ,шяй
103,Wiese::N,болон,луга
104,Wald::N,урман,вирь
105,Hügel::N,түбә,губо́р
106,Hügel::N,түбә,пандоня
107,Anhöhe::N,түбә,губо́р
108,Anhöhe::N,ҡалҡыулыҡ,губо́р
109,Berg::N,тау,панда
110,Gipfel::N,түбә,пря
111,Höhle::N,мәмерйә,у́нда
112,Abhang::N,ипкен,па́нда ша́ма
113,Quelle::N,шишмә,эшиня
114,Bach::N,шишмә,шудерькс
115,Fluss::N,йылға,ляй
116,Ufer::N,яр,търва́
117,Küste::N,яр буйы,ляйтърва́
118,Festland::N,ҡоро ер,мода
119,Meer::N,диңгез,моря
120,Bucht::N,бухта,ведьуське
121,Insel::N,үтрау,цёнга
122,Blume::N,сәскә,панчф
123,Gras::N,үлән,тише
124,Wurzel::N,тамыр,юр
125,Wurzel::N,тамыр,ункс
126,Baum::N,ағас,шуфта
127,Stamm::N,олон,ро́нга
128,Stamm::N,көбәк,ро́нга
129,Rinde::N,ҡабыҡ,кер
130,Ast::N,ботаҡ,морга
131,Zweig::N,ботаҡ,тарад
132,Zweig::N,тармаҡ,тарад
133,Blatt::N,япраҡ,лопа
134,Birke::N,ҡайын,ке́лу
135,Kiefer[Baum]::N,ҡарғай,пиче
136,Weide[Baum]::N,тал,каль
137,Tanne::N,шыршы,куз
138,Horn::N,мөғөҙ,сюра
139,Feder::N,ҡауырһын,толга
140,Fell::N,тире,кедь
141,Flügel::N,ҡанат,паця
142,Klaue::N,тырнаҡ,кенже
143,Kralle::N,аяҡ,кенже
144,Schwanz::N,ҡойроҡ,пула
145,Ei::N,йомортҡа,ал
146,Nest::N,оя,пиза
147,Bau::N,оң,пиза
148,Tier::N,жайуан,жува́та
149,Tier::N,йыртҡыс,жува́та
150,Herde::N,көтөү,нал
151,Herde::N,көтөү,стада
152,Kuh::N,һыйыр,скал
153,Kuh::N,һыйыр,тракс
154,Bulle::N,үгеҙ,бука
155,Pferd::N,ат,лишме
156,Schaf::N,һарыҡ,уча́
157,Schwein::N,сусҡа,тува
158,Hund::N,эт,пине
159,Katze::N,бесәй,катоня
160,Katze::N,бесәй,аваката
161,Bär::N,айыу,офта
162,Eichhörnchen::N,тейен,ур
163,Elch::N,мышы,ся́рда
164,Fuchs::N,төлкө,келазь
165,Hase::N,ҡуян,ну́мол
166,Maus::N,сысҡан,шеер
167,Wolf::N,бүре,върьгаз
168,Vogel::N,ҡош,нармонь
169,Schwarm::N,көтөү,ко́вол
170,Schwarm::N,көтөү,ме́швеле
171,Huhn::N,тауыҡ,сараз
172,Hahn::N,әтәс,а́тякш
173,Gans::N,ҡаҙ,маци
174,Adler::N,бөркөт,куцькан
175,Ente::N,өйрәк,яксярга
176,Eule::N,өкө,ко́рож
177,Eule::N,ябалаҡ,ко́рож
178,Kranich::N,торна,ка́рга
179,Krähe::N,ҡарға,ва́рси
180,Kuckuck::N,кәкүк,ку́ку
181,Schwan::N,аҡҡош,ло́ксти
182,Fisch::N,балыҡ,кал
183,Barsch::N,алабуға,о́кунь
184,Hecht::N,суртан,щу́ка
185,Schlange[Tier]::N,йылан,куй
186,Wurm::N,селяүсен,сукс
187,Spinne::N,үрмәксе,унжа́
188,Ameise::N,ҡырмыҫҡа,панжам
189,Laus::N,бет,си
190,Mücke::N,серәкәй,ся́ське
191,Fliege::N,себен,кару
192,Schmetterling::N,күбәләк,ме́лав
193,Beere::N,еләк,и́мож
194,Apfel::N,алма,марь
195,Pilz::N,бәшмәк,панга
196,Zwiebel::N,һуган,шурьхкя́
197,Saat::N,орлоҡ,видьмот
198,Korn::N,иген,сёра
199,Heu::N,бесән,тише
200,Schale::N,ҡабыҡ,кедь
201,Grube::N,соҡор,лотка
202,Falle::N,тоҙак,туфкс
203,Falle::N,тоҙак,кунда́ма
204,Falle::N,ҡапҡан,туфкс
205,Falle::N,ҡапҡан,кунда́ма
206,Schlinge::N,тоҙак,килькш
207,Spur::N,әҫер,пильгоки́
208,Asche::N,көл,кулу
