,Concept_ID,udm,av
0,Auge::N,син,
1,Ohr::N,пель,гӏин
2,Nase::N,ныр,мегӏер
3,Mund::N,ым,кӏал
4,Zahn::N,пинь,гӏус
5,Zunge::N,кыл,мацӏ
6,Lippe::N,ымдур,кӏветӏ
7,Wange::N,бам,гӏоно
8,Gesicht::N,ымныр,гьумер
9,Stirn::N,кымес,нодо
10,Haar::N,йырси,рас
11,Schnurrbart::N,мыйык,михъ
12,Bart::N,туш,мегеж
13,Kinn::N,ангес,нилъу
14,Kiefer[Anatomie]::N,ан,чанагъ
15,Kiefer[Anatomie]::N,анлы,чанагъ
16,Kehle::N,гульым,щекъер
17,Hals::N,чырты,габур
18,Genick::N,йырбер,гъванща
19,Kopf::N,йыр,бетӏер
20,Rücken::N,мыш,мугъ
21,Bauch::N,кӧт,чехь
22,Nabel::N,гогы,цӏину
23,Busen::N,ноны,керен
24,Brust::N,мӧля,керен
25,Schulter::N,пельпум,гъажазубетӏер
26,Arm::N,суй,гъеж
27,Ellenbogen::N,гырпум,гӏункӏрукь
28,Hand::N,ки,квер
29,Handfläche::N,ки пыдэс,огъохъат
30,Handfläche::N,ки пыдэс,жанисахъат
31,Handfläche::N,кырым пыдэс,огъохъат
32,Handfläche::N,кырым пыдэс,жанисахъат
33,Finger::N,чиньы,килищ
34,Fingernagel::N,гижы,малъ
35,Fingernagel::N,гиждӥнь,малъ
36,Nagel[Anatomie]::N,гижы,малъ
37,Zeh::N,пыдчиньы,килищ
38,Fuß::N,пыд,хӏетӏ
39,Fuß::N,пыд,хӏетӏе
40,Ferse::N,пыдбер,эгъе
41,Knie::N,пыдес,наку
42,Oberschenkel::N,макес,мачӏ
43,Bein::N,пыд,бох
44,Körper::N,мугор,къаркъала
45,Körper::N,вылтыр,къаркъала
46,Haut::N,ку,тӏом
47,Blut::N,вир,би
48,Ader::N,вирсэр,бидурихь
49,Sehne::N,вуж,
50,Knochen::N,лы,ракьа
51,Gehirn::N,вим,гӏадалнах
52,Herz::N,сюлэм,ракӏ
53,Magen::N,ӝуш,кванирукъ
54,Leber::N,мус,тӏул
55,Atem::N,лул,хӏухь
56,Atem::N,шокан,хӏухь
57,Hunger::N,кӧтсюман,ракъи
58,Träne::N,синкыли,магӏу
59,Geschmack::N,шӧм,тату
60,Geruch::N,зын,махӏ
61,Schlaf::N,вӧт,макьу
62,Traum::N,уйвӧт,макьу
63,Himmel::N,ин,зоб
64,Sonne::N,шунды,бакъ
65,Mond::N,толэзь,моцӏ
66,Stern::N,кизили,цӏва
67,Luft::N,омыр,гьава
68,Wind::N,тӧл,гьури
69,Welle::N,тулкым,карачел
70,Wasser::N,ву,лъим
71,Stein::N,из,гьецӏо
72,Boden::N,музъем,ракь
73,Erde::N,му,ракь
74,Erde::N,му,дуниял
75,Staub::N,пыль,хӏур
76,Rauch::N,ӵын,кӏкӏуй
77,Funke::N,гизьы,
78,Feuer::N,тыл,цӏа
79,Licht::N,тыл,канлъи
80,Schatten::N,вужер,рагӏад
81,Wetter::N,куазь,гьава-бакъ
82,Nebel::N,бус,гӏодобнакӏкӏ
83,Wolke::N,пилем,накӏкӏ
84,Regen::N,зор,цӏад
85,Schnee::N,лымы,гӏазу
86,Eis::N,йӧ,цӏер
87,Frost::N,кезьыт,замгьари
88,Kälte::N,кезьыт,квач
89,Hitze::N,пӧсь,багӏари
90,Raureif::N,гӧр,мартӏ
91,Regenbogen::N,вуюись,нур
92,Regenbogen::N,вуюись,чамбара
93,Donner::N,гудыри,гъугъай
94,Donner::N,гудыри,гъугъади
95,Strömung::N,бызён,чвахи
96,Tropfen::N,шапык,резел
97,Tropfen::N,шапык,тӏинкӏ
98,Tropfen::N,шапык,къатӏра
99,Tropfen::N,шапык,тӏенкӏел
100,Schaum::N,шукы,полоп
101,Schmutz::N,нӧд,чороклъи
102,Schmutz::N,дэри,чороклъи
103,See::N,ты,хӏор
104,Sumpf::N,нюр,хьуцӏ
105,Moor::N,нюр,
106,Wiese::N,возь,мегъ
107,Wiese::N,возь,гӏурдаллъи
108,Wiese::N,возьвыл,мегъ
109,Wiese::N,возьвыл,гӏурдаллъи
110,Wald::N,сик,рохь
111,Wald::N,нюлэс,рохь
112,Hügel::N,выр,гохӏ
113,Hügel::N,вырйыл,гохӏ
114,Anhöhe::N,выр,сийитма
115,Anhöhe::N,вырйыл,сийитма
116,Berg::N,гурезь,мегӏер
117,Gipfel::N,йыл,тӏогь
118,Höhle::N,гу,нохъо
119,Abhang::N,бам,лабаллъи
120,Quelle::N,ошмес,ицц
121,Bach::N,пичи шур,лъар
122,Fluss::N,шур,гӏор
123,Ufer::N,ярдур,рагӏал
124,Küste::N,вудур,рагӏал
125,Festland::N,мувыр,ракь
126,Festland::N,мувыр,ракъдаллъи
127,Meer::N,зарезь,ралъад
128,Bucht::N,вукож,кӏветӏ
129,Insel::N,вумуӵ,чӏинкӏиллъи
130,Insel::N,шормуӵ,чӏинкӏиллъи
131,Blume::N,сяська,тӏегь
132,Gras::N,турын,хер
133,Wurzel::N,выжы,кьибил
134,Baum::N,пу,гъветӏ
135,Stamm::N,модос,рохти
136,Rinde::N,сул,макъар
137,Ast::N,ул,ноцӏ
138,Zweig::N,вай,гӏаркьел
139,Blatt::N,куар,тӏамах
140,Birke::N,кызьпу,мах
141,Birke::N,кызьпу,махигъветӏ
142,Kiefer[Baum]::N,пужым,накӏкӏигъветӏ
143,Weide[Baum]::N,бадьпу,рицӏцӏ
144,Weide[Baum]::N,бадьпу,рицӏцӏигъветӏ
145,Tanne::N,кыз,ёлка
146,Horn::N,сюр,лълъар
147,Feder::N,тылы,хӏули
148,Fell::N,ку,тӏом
149,Fell::N,ку,цӏоко
150,Flügel::N,бурд,кваркьи
151,Klaue::N,гижы,галъ
152,Kralle::N,пыд,квачӏ
153,Kralle::N,пыд,катиквачӏ
154,Schwanz::N,быж,рачӏ
155,Ei::N,пуз,хоно
156,Ei::N,кукей,хоно
157,Nest::N,кар,бусен
158,Nest::N,пузкар,бусен
159,Bau::N,кар,каратӏ
160,Bau::N,гу,каратӏ
161,Tier::N,пӧйшур,хӏайван
162,Herde::N,уллё,рехъен
163,Herde::N,уллё,рехъед
164,Kuh::N,скал,гӏака
165,Bulle::N,ош,оц
166,Bulle::N,пороз,оц
167,Pferd::N,вал,чу
168,Schaf::N,ыж,чахъу
169,Schwein::N,парсь,болъон
170,Hund::N,пуны,гьой
171,Katze::N,коӵыш,кету
172,Bär::N,гондыр,ци
173,Eichhörnchen::N,коньы,гвангва
174,Elch::N,койык,
175,Fuchs::N,ӟичы,цер
176,Hase::N,кеч,гӏанкӏ
177,Maus::N,шыр,гӏункӏкӏ
178,Wolf::N,кион,бацӏ
179,Vogel::N,тылобурдо,хӏинчӏ
180,Schwarm::N,уллё,тӏел
181,Huhn::N,курег,гӏанкӏу
182,Hahn::N,атас,хӏелеко
183,Gans::N,ӟазег,хъаз
184,Adler::N,ӧрзи,цӏум
185,Ente::N,ӵӧж,ордек
186,Eule::N,кучыран,беццаруз
187,Kranich::N,тури,къункъра
188,Krähe::N,куака,гъеду
189,Kuckuck::N,кикы,гагу
190,Schwan::N,юсь,хӏанкъва
191,Fisch::N,чорыг,ччугӏа
192,Barsch::N,юш,окунь
193,Hecht::N,чипей,щука
194,Schlange[Tier]::N,кый,борохь
195,Wurm::N,нумыр,хӏапара
196,Spinne::N,чонари,хъанхъра
197,Ameise::N,кузьыли,цӏунцӏра
198,Laus::N,тэй,нацӏ
199,Mücke::N,нымы,кӏкӏара
200,Mücke::N,чибинь,кӏкӏара
201,Fliege::N,кут,тӏутӏ
202,Schmetterling::N,бубыли,кӏалкӏучӏ
203,Beere::N,узы-боры,
204,Apfel::N,яблок,гӏеч
205,Pilz::N,губи,гӏурдахӏан
206,Zwiebel::N,сугон,кӏочӏопер
207,Saat::N,кидыс,хьон
208,Korn::N,тысь,мугь
209,Heu::N,турын,хер
210,Schale::N,кыд,хъал
211,Grube::N,гу,гвенд
212,Grube::N,гоп,гвенд
213,Falle::N,налик,къор
214,Falle::N,налик,къотен
215,Schlinge::N,гиӟ,кӏичӏ
216,Schlinge::N,герд,кӏичӏ
217,Spur::N,пытьы,лъалкӏ
218,Spur::N,бервыл,лъалкӏ
219,Asche::N,пень,рахъу
220,Dreck::N,дэри,гъиз
221,Dreck::N,дэри,хӏарщ
222,Eisen::N,корт,махх
223,Gold::N,зарни,месед
224,Silber::N,азвесь,гӏарац
225,Kohle::N,эгыр,тӏурччи
226,Glas::N,стекло,цӏер
227,Glas::N,пияла,цӏер
228,Lehm::N,сюй,хӏатӏ
229,Sand::N,луо,сали
230,Mensch::N,мурт,чи
231,Mensch::N,адями,чи
232,Mann::N,воргорон,бихьинчи
233,Frau::N,кышномурт,гӏадан
234,Kind::N,нуны,лъимер
235,Kind::N,пинал,лъимер
236,Junge::N,пи,вас
237,Mädchen::N,ныл,яс
238,Familie::N,семья,хъизан
239,Großvater::N,песятай,кӏудада
240,Großvater::N,пересь атай,кӏудада
241,Großmutter::N,песянай,кӏодо
242,Großmutter::N,пересь анай,кӏодо
243,Eltern::N,атай-анай,эбел-эмен
244,Eltern::N,бубы-мумы,эбел-эмен
245,Vater::N,айы,эмен
246,Vater::N,атай,эмен
247,Mutter::N,мумы,эбел
248,Sohn::N,пи,вас
249,Tochter::N,ныл,яс
250,Bruder::N,агай,вац
251,Schwester::N,апа,яц
252,Schwester::N,сузэр,яц
253,Onkel::N,агай,даци
254,Tante::N,апа,ада
255,Tante::N,кенак,ада
256,Ehemann::N,карт,рос
257,Ehefrau::N,кышно,чӏужу
258,Freude::N,шумпотон,ракӏбохи
259,Gelächter::N,горем,релъи
260,Glück::N,шуд,талихӏ
261,Glück::N,шуд,талихӏ-рохел
262,Kummer::N,кайгу,хӏалкъай
263,Kummer::N,куректон,хӏалкъай
264,Wunsch::N,мылпотон,къасд
265,Lust::N,потон,гъира
266,Geist::N,лул,чӏанкӏ
267,Geist::N,лул,рухӏ-жан
268,Gedanke::N,малпан,пикру
269,Gedächtnis::N,йырсазь,
270,Gedächtnis::N,тодэваён,
271,Verstand::N,йырвизь,лумалъи
272,Verstand::N,йырвизь,цӏодорлъи
273,Sinn::N,смысл,магӏна
274,Grund::N,муг,багьана
275,Grund::N,ньӧм,багьана
276,Wahrheit::N,зэм,ритӏухълъи
277,Wahrheit::N,шонер,ритӏухълъи
278,Gespräch::N,вераськон,накъит
279,Märchen::N,выжыкыл,маргьа
280,Erzählung::N,верос,къиса
281,Nachricht::N,ивор,хабар
282,Neuigkeit::N,выльивор,хабар-гӏазаб
283,Name::N,ним,цӏар
284,Rätsel::N,мадькыл,бицанкӏо
285,Rede::N,верам,речь
286,Rede::N,верам,калам
287,Sprache::N,кыл,мацӏ
288,Stimme::N,куара,гьаракь
289,Wort::N,кыл,рагӏи
290,Zeichen::N,пус,ишара
291,Zeichen::N,пус,гӏаламат
292,Zeichen::N,тодмет,ишара
293,Zeichen::N,тодмет,гӏаламат
294,Ruf::N,ӧтён,ахӏи
295,Ruf::N,чортон,ахӏи
296,Lärm::N,ӵашетон,хъуй
297,Lärm::N,ӵашетон,хъуди
298,Laut::N,куара,гьаракь
299,Laut::N,куара,сас
300,Ton::N,куара,
301,Lied::N,кырӟан,кечӏ
302,Ruhe::N,чалмыт улон,рахӏат
303,Leute::N,адямиос,гӏадамал
304,Volk::N,калык,халкъ
305,Arbeit::N,уж,хӏалтӏи
306,Gast::N,куно,гьобол
307,Geschenk::N,салам,сайигъат
308,Geschenk::N,кузьым,сайигъат
309,Spiel::N,шудон,хӏай
310,Spiel::N,шудон,расанди
311,Gesellschaft::N,калык,жамагӏат
312,Hilfe::N,юрттон,кумек
313,Freund::N,эш,гьудул
314,Freund::N,юлтош,гьудул
315,Kamerad::N,тодмо,гьалмагъ
316,Angelegenheit::N,уж,къваригӏел
317,Anzahl::N,лыд,рикӏкӏен
318,Art::N,тус,жинс
319,Stück::N,юдэс,кесек
320,Teil::N,люкет,пай
321,Hälfte::N,ӝыны,бащдаб
322,Kreis::N,котырес,гор
323,Kreuz::N,крест,хъанч
324,Linie::N,гож,мухъ
325,Strich::N,гож,хӏучч
326,Abstand::N,вис,манзил
327,Abstand::N,кусып,манзил
328,Entfernung::N,кусып,манзил
329,Gegend::N,инты,рахъ
330,Platz::N,инты,бакӏ
