,Concept_ID,en,mdf
0,Auge::N,eye,сельме
1,Ohr::N,ear,пиле
2,Nase::N,nose,шалхка
3,Mund::N,mouth,курга
4,Zahn::N,tooth,пей
5,Zunge::N,tongue,кяль
6,Lippe::N,lip,търва́
7,Wange::N,cheek,щёка
8,Gesicht::N,face,шама
9,Stirn::N,forehead,коня
10,Haar::N,hair,шя́ярь
11,Schnurrbart::N,moustache,уса́
12,Bart::N,beard,сакал
13,Kinn::N,chin,ула
14,Kiefer[Anatomie]::N,jaw,саласка
15,Kehle::N,throat,кълдома
16,Kehle::N,throat,кърга́парь
17,Hals::N,neck,сялдаз
18,Genick::N,nape,шовонь
19,Kopf::N,head,пря
20,Rücken::N,back,копорь
21,Rücken::N,spine,копорь
22,Bauch::N,belly,пеке
23,Nabel::N,navel,по́кон
24,Busen::N,bosom,потя
25,Brust::N,chest,мяште
26,Brust::N,breast,мяште
27,Schulter::N,shoulder,лафту
28,Arm::N,arm,кядь
29,Ellenbogen::N,elbow,кенерьба́карь
30,Hand::N,hand,кядь
31,Handfläche::N,palm,кядьлапш
32,Finger::N,finger,сур
33,Fingernagel::N,fingernail,кенже
34,Nagel[Anatomie]::N,nail,кенже
35,Zeh::N,toe,пильгосу́р
36,Fuß::N,foot,пильге
37,Fuß::N,foot,пильгелапа
38,Ferse::N,heel,кочкяря
39,Knie::N,knee,эль
40,Knie::N,knee,пълма́нжа
41,Oberschenkel::N,thigh,пильгепукша
42,Bein::N,leg,пильге
43,Körper::N,body,ро́нга
44,Körper::N,body,по́нда
45,Haut::N,skin,киське
46,Blut::N,blood,вер
47,Ader::N,vein,сан
48,Ader::N,vein,верза́н
49,Sehne::N,sinew,коське сан
50,Knochen::N,bone,пакарь
51,Gehirn::N,brain,уй
52,Herz::N,heart,седи
53,Magen::N,stomach,коткърдазь
54,Leber::N,liver,макса
55,Atem::N,breath,лекома
56,Atem::N,breath,ваймонь тарксема
57,Hunger::N,hunger,вачеши
58,Träne::N,tear,сельмове́дь
59,Geschmack::N,flavour,таньф
60,Geschmack::N,flavor,таньф
61,Geruch::N,odour,шине
62,Geruch::N,odor,шине
63,Schlaf::N,sleep,удома́
64,Traum::N,dream,он
65,Himmel::N,sky,менель
66,Sonne::N,sun,ши
67,Mond::N,moon,ков
68,Stern::N,star,тяште
69,Luft::N,air,кожф
70,Wind::N,wind,варма
71,Welle::N,wave,тавла
72,Wasser::N,water,ведь
73,Stein::N,stone,кев
74,Boden::N,soil,мода
75,Boden::N,soil,потмакс
76,Boden::N,ground,мода
77,Boden::N,ground,потмакс
78,Erde::N,earth,мода
79,Erde::N,earth,мастор
80,Staub::N,dust,пуль
81,Rauch::N,smoke,качам
82,Funke::N,spark,ця́тка
83,Feuer::N,fire,тол
84,Licht::N,light,ва́лда
85,Schatten::N,shadow,цильф
86,Wetter::N,weather,уша
87,Nebel::N,fog,тума́н
88,Wolke::N,cloud,ковол
89,Regen::N,rain,пизем
90,Schnee::N,snow,лов
91,Eis::N,ice,эй
