,Concept_ID,hy,sl
0,Auge::N,աչք,okó
1,Ohr::N,ականջ,uhó
2,Nase::N,քիթ,nós
3,Mund::N,բերան,ústa
4,Zahn::N,ատամ,zób
5,Zunge::N,լեզու,jêzik
6,Lippe::N,շրթունք,ústnica
7,Wange::N,այտ,líce
8,Wange::N,թուշ,líce
9,Gesicht::N,դեմք,oblíčje
10,Stirn::N,ճակատ,čêlo
11,Haar::N,մազ,lás
12,Schnurrbart::N,բեղ,bŕki
13,Bart::N,մորուք,bráda
14,Kinn::N,կզակ,bráda
15,Kiefer[Anatomie]::N,ծնոտ,čeljúst
16,Kehle::N,կոկորդ,gŕlo
17,Hals::N,վիզ,vrát
18,Hals::N,պարանոց,vrát
19,Genick::N,ծոծրակ,zatílnik
20,Kopf::N,գլուխ,gláva
21,Rücken::N,մեջք,hrbèt
22,Bauch::N,փոր,trébuh
23,Bauch::N,որովայն,trébuh
24,Nabel::N,պորտ,pópek
25,Busen::N,ծոց,nédrja
26,Brust::N,կուրծք,pŕsi
27,Schulter::N,ուս,ráma
28,Schulter::N,ուս,plêče
29,Arm::N,թեւ,rôka
30,Arm::N,բազուկ,rôka
31,Ellenbogen::N,արմունկ,komólec
32,Hand::N,ձեռք,rôka
33,Handfläche::N,ափ,dlán
34,Finger::N,մատ,pŕst
35,Fingernagel::N,եղունգ,nóht na rôki
36,Nagel[Anatomie]::N,եղունգ,nóht
37,Zeh::N,ոտքի մատ,pŕst na nôgi
38,Fuß::N,ոտք,nôga
39,Ferse::N,գարշապար,pêta
40,Knie::N,ծունկ,koléno
41,Oberschenkel::N,ազդր,stêgno
42,Bein::N,ոտք,nôga
43,Körper::N,մարմին,teló
44,Haut::N,մաշկ,kóža
45,Blut::N,արյուն,krí
46,Ader::N,երակ,žíla
47,Sehne::N,ջիղ,kíta
48,Sehne::N,ձգտան,kíta
49,Knochen::N,ոսկոր,kóst
50,Gehirn::N,խելք,možgáni
51,Herz::N,սիրտ,srcé
52,Magen::N,ստամոքս,želódec
53,Leber::N,լյարդ,jétra
54,Atem::N,շունչ,díh
55,Hunger::N,քաղց,glád
56,Träne::N,արտասուք,sólza
57,Geschmack::N,համ,okús
58,Geschmack::N,բուրմունք,okús
59,Geruch::N,հոտ,vónj
60,Geruch::N,բուրում,vónj
61,Schlaf::N,քուն,sèn
62,Schlaf::N,քուն,spánec
63,Traum::N,երազ,sánje
64,Himmel::N,երկինք,nebó
65,Sonne::N,արեւ,sónce
66,Mond::N,լուսին,lúna
67,Mond::N,լուսին,mésec
68,Stern::N,աստղ,zvézda
69,Luft::N,օդ,zràk
70,Wind::N,քամի,véter
71,Welle::N,ալիք,vál
72,Wasser::N,ջուր,vôda
73,Stein::N,քար,kámen
74,Boden::N,գետին,tlà
75,Erde::N,հող,pŕst
76,Erde::N,հող,zêmlja
77,Staub::N,փոշի,práh
78,Rauch::N,ծուխ,dìm
79,Funke::N,կայծ,ískra
80,Feuer::N,կրակ,ôgenj
81,Feuer::N,հրդեհ,ôgenj
82,Licht::N,լույս,lúč
83,Schatten::N,ստվեր,sénca
84,Wetter::N,եղանակ,vrême
85,Nebel::N,մեգ,meglà
86,Nebel::N,մառախուղ,meglà
87,Wolke::N,ամպ,oblák
88,Regen::N,անձրև,dèž
89,Schnee::N,ձյուն,snég
90,Eis::N,սառույց,léd
91,Frost::N,սառնամանիք,zmrzál
92,Kälte::N,դող,mràz
93,Hitze::N,շոգ,pripéka
94,Raureif::N,ցօղեղեամ,ívje
95,Raureif::N,ցօղեղեամ,slána
96,Regenbogen::N,ծիածան,mávrica
97,Donner::N,որոտ,gròm
98,Strömung::N,հոսանք,strúja
99,Tropfen::N,կաթիլ,káplja
100,Schaum::N,փրփուր,péna
101,Schmutz::N,կեղտ,nesnága
102,See::N,լիճ,jézero
103,Sumpf::N,ճահիճ,močvírje
104,Moor::N,ճահիճ,bárje
105,Wiese::N,մարգագետին,trávnik
106,Wald::N,անտառ,lés
107,Wald::N,անտառ,gòzd
108,Hügel::N,բլուր,brég
109,Hügel::N,բլուր,goríca
110,Anhöhe::N,բարձունք,gríč
111,Anhöhe::N,բարձունք,višína
112,Berg::N,լեռ,gôra
113,Berg::N,լեռ,planína
114,Gipfel::N,գագաթ,vŕh
115,Gipfel::N,կատար,vŕh
116,Höhle::N,քարայր,jáma
117,Höhle::N,քարայր,votlína
118,Abhang::N,լանջ,pobóčje
119,Abhang::N,զառիվայր,pobóčje
120,Quelle::N,աղբյուր,izvír
121,Bach::N,վտակ,pôtok
122,Fluss::N,գետ,réka
123,Ufer::N,ծովափ,brég
124,Küste::N,ափ,obála
125,Küste::N,ափ,obréžje
126,Küste::N,ծովափ,obála
127,Küste::N,ծովափ,obréžje
128,Festland::N,ցամաք,celína
129,Festland::N,ցամաք,kopnína
130,Meer::N,ծով,mórje
131,Bucht::N,հաչիւն,zalív
